model,10ms_Accuracy,20ms_Accuracy,30ms_Accuracy,40ms_Accuracy,50ms_Accuracy,10ms_ROC-AUC,20ms_ROC-AUC,30ms_ROC-AUC,40ms_ROC-AUC,50ms_ROC-AUC
InceptionTime,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
GRU,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
LSTM,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
CNN--LSTM,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
TFT,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.001,0.998 ± 0.000,0.998 ± 0.001,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
Dilated CNN,0.999 ± 0.000,0.998 ± 0.000,0.997 ± 0.001,0.996 ± 0.001,0.996 ± 0.001,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
CNN,0.998 ± 0.000,0.994 ± 0.001,0.989 ± 0.002,0.985 ± 0.004,0.984 ± 0.001,0.999 ± 0.001,0.998 ± 0.001,0.998 ± 0.001,0.999 ± 0.001,0.999 ± 0.000
TCN,0.987 ± 0.001,0.961 ± 0.001,0.925 ± 0.010,0.858 ± 0.016,0.844 ± 0.004,0.998 ± 0.001,0.994 ± 0.000,0.992 ± 0.001,0.987 ± 0.003,0.989 ± 0.001
RNN,0.980 ± 0.017,0.916 ± 0.022,0.835 ± 0.005,0.770 ± 0.068,0.795 ± 0.033,0.654 ± 0.316,0.866 ± 0.221,0.947 ± 0.011,0.841 ± 0.137,0.976 ± 0.008
