model,10ms_F1,20ms_F1,30ms_F1,40ms_F1,50ms_F1,10ms_PR-AUC,20ms_PR-AUC,30ms_PR-AUC,40ms_PR-AUC,50ms_PR-AUC
InceptionTime,0.998 ± 0.002,0.999 ± 0.001,0.999 ± 0.000,0.999 ± 0.001,0.999 ± 0.000,0.999 ± 0.001,0.999 ± 0.001,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
GRU,0.995 ± 0.003,0.997 ± 0.002,0.998 ± 0.000,0.998 ± 0.001,0.999 ± 0.001,0.999 ± 0.001,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
CNN--LSTM,0.996 ± 0.002,0.997 ± 0.001,0.998 ± 0.001,0.998 ± 0.001,0.998 ± 0.000,0.999 ± 0.001,0.999 ± 0.001,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
LSTM,0.995 ± 0.001,0.998 ± 0.001,0.998 ± 0.001,0.998 ± 0.001,0.998 ± 0.001,0.999 ± 0.001,0.999 ± 0.001,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
TFT,0.996 ± 0.003,0.996 ± 0.001,0.995 ± 0.003,0.996 ± 0.001,0.996 ± 0.001,0.999 ± 0.001,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
Dilated CNN,0.988 ± 0.004,0.991 ± 0.002,0.992 ± 0.002,0.991 ± 0.002,0.993 ± 0.001,0.998 ± 0.000,0.999 ± 0.001,0.999 ± 0.001,0.998 ± 0.001,0.999 ± 0.000
CNN,0.966 ± 0.005,0.966 ± 0.006,0.966 ± 0.005,0.969 ± 0.008,0.977 ± 0.001,0.989 ± 0.002,0.989 ± 0.002,0.990 ± 0.002,0.991 ± 0.003,0.994 ± 0.001
TCN,0.781 ± 0.014,0.766 ± 0.003,0.738 ± 0.027,0.721 ± 0.017,0.803 ± 0.006,0.841 ± 0.017,0.837 ± 0.004,0.833 ± 0.026,0.801 ± 0.030,0.851 ± 0.007
RNN,0.446 ± 0.489,0.326 ± 0.223,0.335 ± 0.056,0.312 ± 0.317,0.730 ± 0.057,0.451 ± 0.495,0.388 ± 0.246,0.410 ± 0.042,0.395 ± 0.323,0.755 ± 0.063
