model,10ms_F1,20ms_F1,30ms_F1,40ms_F1,50ms_F1,10ms_PR-AUC,20ms_PR-AUC,30ms_PR-AUC,40ms_PR-AUC,50ms_PR-AUC
InceptionTime,0.996 ± 0.001,0.998 ± 0.001,0.998 ± 0.001,0.999 ± 0.001,0.999 ± 0.000,0.998 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
TFT,0.993 ± 0.001,0.997 ± 0.000,0.998 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.997 ± 0.001,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
GRU,0.997 ± 0.001,0.995 ± 0.002,0.997 ± 0.000,0.997 ± 0.001,0.999 ± 0.000,0.998 ± 0.000,0.998 ± 0.001,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
Dilated CNN,0.993 ± 0.001,0.996 ± 0.001,0.997 ± 0.001,0.998 ± 0.000,0.999 ± 0.000,0.997 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
LSTM,0.996 ± 0.001,0.994 ± 0.003,0.996 ± 0.002,0.997 ± 0.002,0.999 ± 0.001,0.998 ± 0.000,0.998 ± 0.001,0.999 ± 0.001,0.999 ± 0.000,0.999 ± 0.000
CNN,0.991 ± 0.001,0.995 ± 0.001,0.997 ± 0.000,0.998 ± 0.000,0.999 ± 0.000,0.996 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
TCN,0.992 ± 0.001,0.994 ± 0.001,0.996 ± 0.001,0.998 ± 0.000,0.999 ± 0.000,0.996 ± 0.000,0.998 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
CNN--LSTM,0.992 ± 0.001,0.993 ± 0.001,0.996 ± 0.001,0.998 ± 0.000,0.999 ± 0.000,0.996 ± 0.000,0.997 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
RNN,0.964 ± 0.031,0.944 ± 0.044,0.962 ± 0.021,0.974 ± 0.006,0.963 ± 0.026,0.980 ± 0.023,0.974 ± 0.023,0.986 ± 0.011,0.989 ± 0.007,0.983 ± 0.016
