model,10ms_Accuracy,20ms_Accuracy,30ms_Accuracy,40ms_Accuracy,50ms_Accuracy,10ms_ROC-AUC,20ms_ROC-AUC,30ms_ROC-AUC,40ms_ROC-AUC,50ms_ROC-AUC
InceptionTime,0.996 ± 0.001,0.997 ± 0.001,0.998 ± 0.001,0.998 ± 0.001,0.999 ± 0.001,0.997 ± 0.001,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
TFT,0.992 ± 0.001,0.997 ± 0.000,0.998 ± 0.000,0.999 ± 0.001,0.999 ± 0.000,0.994 ± 0.001,0.998 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
GRU,0.996 ± 0.001,0.994 ± 0.002,0.996 ± 0.000,0.996 ± 0.001,0.999 ± 0.000,0.997 ± 0.000,0.996 ± 0.001,0.998 ± 0.000,0.998 ± 0.000,0.999 ± 0.000
Dilated CNN,0.993 ± 0.001,0.995 ± 0.001,0.996 ± 0.001,0.998 ± 0.000,0.999 ± 0.000,0.995 ± 0.001,0.998 ± 0.001,0.998 ± 0.001,0.999 ± 0.000,0.999 ± 0.000
LSTM,0.996 ± 0.001,0.994 ± 0.003,0.996 ± 0.002,0.996 ± 0.003,0.998 ± 0.001,0.997 ± 0.000,0.996 ± 0.002,0.998 ± 0.001,0.998 ± 0.001,0.999 ± 0.000
CNN,0.991 ± 0.001,0.995 ± 0.001,0.996 ± 0.001,0.998 ± 0.001,0.999 ± 0.001,0.994 ± 0.001,0.998 ± 0.001,0.998 ± 0.001,0.999 ± 0.000,0.999 ± 0.000
TCN,0.992 ± 0.001,0.994 ± 0.001,0.996 ± 0.001,0.997 ± 0.001,0.998 ± 0.001,0.994 ± 0.001,0.996 ± 0.001,0.997 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
CNN--LSTM,0.992 ± 0.001,0.992 ± 0.001,0.995 ± 0.001,0.997 ± 0.001,0.998 ± 0.000,0.994 ± 0.001,0.995 ± 0.001,0.997 ± 0.000,0.998 ± 0.000,0.999 ± 0.000
RNN,0.964 ± 0.031,0.938 ± 0.049,0.955 ± 0.026,0.967 ± 0.007,0.947 ± 0.038,0.977 ± 0.019,0.969 ± 0.023,0.979 ± 0.014,0.983 ± 0.009,0.972 ± 0.023
