run_id,name,state,created_at,heartbeat_at,url,group,job_type,sweep_id,tags
ucnf8q9n,hv_double_line_90kv__y_fault_line__cnn_classifier,finished,2026-02-06T18:20:10Z,2026-02-06T18:27:48Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/ucnf8q9n,,,,[]
sf8gr8wk,hv_double_line_90kv__y_fault_line__cnn_lstm_classifier,finished,2026-02-06T18:27:56Z,2026-02-06T18:36:41Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/sf8gr8wk,,,,[]
bysmn4ma,hv_double_line_90kv__y_fault_line__cnn_classifier,finished,2026-02-06T18:36:48Z,2026-02-06T18:39:50Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/bysmn4ma,,,,[]
lt2frjas,hv_double_line_90kv__y_fault_line__cnn_lstm_classifier,finished,2026-02-06T18:39:57Z,2026-02-06T18:43:44Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/lt2frjas,,,,[]
3c4gkxej,hv_double_line_90kv__y_fault_present__gru_classifier,finished,2026-02-06T19:21:23Z,2026-02-06T20:28:10Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/3c4gkxej,,,,[]
rujeaxt2,hv_double_line_90kv__y_fault_present__dilated_cnn_classifier,finished,2026-02-06T20:28:20Z,2026-02-06T21:32:37Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/rujeaxt2,,,,[]
67g52aoh,hv_double_line_90kv__y_fault_present__gru_classifier,finished,2026-02-06T21:32:46Z,2026-02-06T22:39:53Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/67g52aoh,,,,[]
t1694w9q,hv_double_line_90kv__y_fault_present__dilated_cnn_classifier,finished,2026-02-06T22:40:02Z,2026-02-06T23:37:23Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/t1694w9q,,,,[]
yqf7b02d,hv_double_line_90kv__y_fault_present__gru_classifier,finished,2026-02-06T23:37:32Z,2026-02-07T00:32:25Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/yqf7b02d,,,,[]
xoc5qbkd,hv_double_line_90kv__y_fault_present__dilated_cnn_classifier,finished,2026-02-07T00:32:34Z,2026-02-07T01:26:13Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/xoc5qbkd,,,,[]
1fx2e7qn,hv_double_line_90kv__y_fault_present__gru_classifier,finished,2026-02-07T01:26:22Z,2026-02-07T02:22:25Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/1fx2e7qn,,,,[]
zgmn9tml,hv_double_line_90kv__y_fault_location__cnn_regressor__W20ms,finished,2026-02-09T12:31:58Z,2026-02-09T12:47:29Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/zgmn9tml,,,,[]
2ursxc18,hv_double_line_90kv__y_fault_location__cnn_regressor__W20ms,finished,2026-02-09T12:41:45Z,2026-02-09T13:20:24Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/2ursxc18,,,,[]
kyzb6zyy,hv_double_line_90kv__y_fault_location__rnn_regressor__W20ms,finished,2026-02-09T12:47:39Z,2026-02-09T13:10:56Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/kyzb6zyy,,,,[]
