factor,bucket,n,mae,median,rmse,p90,p99,hit_1pct,hit_3pct,hit_5pct
fault_resistance_ohm,"(-0.001, 1.0]",772,5.518441182021921,0.03557875738514937,37.78199968991585,6.745926948744134,96.83420225403546,0.8652849740932642,0.8821243523316062,0.8886010362694301
fault_resistance_ohm,"(1.0, 3.0]",1786,4.908979832346011,0.029989931703672923,29.464838328427838,9.035726153810113,75.85253608461113,0.8521836506159015,0.8717805151175811,0.8852183650615901
fault_resistance_ohm,"(3.0, 6.0]",2664,5.475758275792623,0.02703291849504197,40.19241830267866,5.430947770882924,79.23045559206706,0.8693693693693694,0.8877627627627628,0.8982732732732732
fault_resistance_ohm,"(6.0, 10.0]",3565,4.770890321070093,0.02750090968849861,29.39322070602762,8.63641524173142,64.56745530941002,0.8580645161290322,0.8748948106591865,0.8872370266479663
true_distance,near(<20%),1807,5.132186685544522,0.028871554120337706,23.54969404150089,7.855102750317986,59.03623906769978,0.8677365799667958,0.8854454897620365,0.8942999446596569
true_distance,mid,5249,4.243456498702203,0.020261980283279968,32.4564762267255,6.000092215999167,67.95559336100382,0.861878453038674,0.8807391884168413,0.8944560868736903
true_distance,far(>80%),1731,7.553757430358473,0.0642973005098213,44.99534504240373,27.331648567932824,116.01182615210575,0.8509532062391681,0.8659734257654534,0.8734835355285961
n_faulted_phases,1,2222,4.589394169225137,0.05755262518313753,28.979408558221273,5.8074035868124705,64.25216542441952,0.869036903690369,0.8834383438343835,0.896939693969397
n_faulted_phases,2,4351,5.235442115032685,0.03022014322210964,34.95476278353181,9.242934548358853,74.54483843973834,0.8563548609515054,0.8742817743047575,0.8843943920937716
n_faulted_phases,3,2214,5.260287320637698,0.009712917015270328,35.90268293733549,5.7546665735406775,89.37301255464547,0.8617886178861789,0.8830171635049684,0.8952122854561879
