experiment,perturbation,model,mae_mean,mae_std,rmse_mean,rmse_std,delta_mae_abs,delta_mae_rel,n_episodes,n_windows,line_conditioned,uses_faulted_line_for_input_selection,deployment_interpretation
minimal_communication_perturbation_fl_50ms,none,gru_regressor,0.0834428314093659,0.005536842645915134,0.11498457373911534,0.006587786905102832,0.0,0.0,9022,81198,False,False,centralized_full_observability_test_time_perturbation
minimal_communication_perturbation_fl_50ms,time_shift_2_samples,gru_regressor,0.08388642805551573,0.0054627689977182455,0.11563154024749764,0.006484355725612484,0.0004435966461498325,0.005316174423343475,9022,81198,False,False,centralized_full_observability_test_time_perturbation
minimal_communication_perturbation_fl_50ms,block_loss_10ms,gru_regressor,0.18243854196286438,0.009279137278356348,0.24432688815718767,0.010425036144482897,0.09899571055349848,1.1863896380484864,9022,81198,False,False,centralized_full_observability_test_time_perturbation
