fold4/class_3/recall,fold0/class_1/f1-score,fold1/class_2/precision,fold2/class_3/f1-score,fold0/class_0/recall,fold0/class_3/precision,fold1/class_0/precision,fold3/confusion_matrix,fold2/class_1/precision,fold3/class_1/f1-score,_runtime,fold4/class_3/f1-score,fold0/class_2/recall,fold2/class_1/recall,fold2/class_2/precision,fold0/class_0/f1-score,fold4/class_0/recall,fold2/class_3/recall,cv5/fold_metrics,fold1/class_1/recall,fold4/class_2/f1-score,_timestamp,fold1/class_2/f1-score,fold3/class_3/precision,fold2/class_0/f1-score,fold4/class_2/recall,fold4/class_1/precision,fold0/class_2/precision,fold4/class_0/precision,fold1/class_3/f1-score,fold0/class_1/recall,fold1/class_3/recall,fold2/class_0/recall,fold1/class_0/recall,fold2/class_0/precision,fold3/class_0/recall,fold2/confusion_matrix,fold2/class_1/f1-score,_step,fold1/class_1/f1-score,fold2/class_3/precision,fold4/confusion_matrix,fold3/class_2/precision,fold3/class_2/recall,fold0/confusion_matrix,fold0/class_0/precision,fold3/class_1/precision,fold3/class_3/f1-score,fold3/class_0/f1-score,fold4/class_1/recall,fold2/class_2/recall,fold4/class_0/f1-score,fold0/class_1/precision,fold2/class_2/f1-score,fold4/class_2/precision,fold0/class_3/recall,fold3/class_3/recall,fold1/class_0/f1-score,fold1/class_2/recall,fold1/confusion_matrix,fold0/class_2/f1-score,fold3/class_0/precision,fold1/class_3/precision,fold4/class_1/f1-score,fold1/class_1/precision,fold3/class_1/recall,fold0/class_3/f1-score,fold3/class_2/f1-score,fold4/class_3/precision
,,,,,,,,,,1041.697232704,,,,,,,,,,,1770724298.92661,,,0.9989071038251366,,,,,,,,0.9981279251170047,,0.9996875,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.9927826784282278,,1041.697530274,,,0.9943775100401606,,,,,,,,1770724298.9269488,,,,,,,,,,,,,,,,0.9935794542536116,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1041.697989265,,,,0.9987433239082626,,,,,,,1770724298.9273155,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,0.9996855345911949,,,0.9992142071349992,,,,,,,,,,,,,,,
,,,0.9964028776978417,,,,,,,1041.698372954,,,,,,,0.9964028776978417,,,,1770724298.9277537,,,,,,,,,,,,,,,,,14,,0.9964028776978417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"{'nrows': 4, 'artifact_path': 'wandb-client-artifact://fhv4ube3ersd6vnnefy2541n036myww3ywouoc9qjwh50yo5n3qqgbevwej4hczpg2yje2ioyosgogish5dm1bqgoy4qiqhhi6rrhdthhafx9lk41s3kz4kv94b40z5z/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://rivnfsb3q29p7dwzi5s2v5lnckufagncq9hcvdzak6lpjm1hrxzp9ydgqo0umarqs8qqoq3d53hlejf743cfwb95zgva5bezqnd0q4l3swaeirromyutdxueq3z240ul:latest/fold3/confusion_matrix.table.json', 'ncols': 5, 'path': 'media/table/fold3/confusion_matrix_15_d3953f50b3bb3afd399e.table.json', 'size': 146, 'sha256': 'd3953f50b3bb3afd399eb8c60003faf57d26b22a7953e4dd3f06e419955962fd', 'log_mode': 'IMMUTABLE', '_type': 'table-file'}",,,1433.523699793,,,,,,,,,,,1770724690.753004,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1433.525833268,,,,,,,,,,,1770724690.7550035,,,,,,,,,,,,,,1,,,16,,,,,,,,,,0.9990454979319122,,,,,,,,,,,,,0.9980928162746344,,,,,,,
,,,,,,,,,0.9996224990562477,1433.526186247,,,,,,,,,,,1770724690.7555757,,,,,,,,,,,,,,,,,17,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.999245283018868,,,
,,,,,,,,,,1433.526516213,,,,,,,,,,,1770724690.755911,,,,,,,,,,,,,,,,,18,,,,1,0.9953488372093023,,,,,,,,,,,,,,,,,,,,,,,,0.9976689976689976,
,,,,,,,,,,1433.526896209,,,,,,,,,,,1770724690.7562456,,0.9925650557620818,,,,,,,,,,,,,,,19,,,,,,,,,0.996268656716418,,,,,,,,,1,,,,,,,,,,,,
,,,,,,,,,,1582.119068942,,,,,,,,,,,1770724839.34824,,,,,,,,,,,,,,,,,20,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://maztobkfplxkb840w0mgkn3d76n3ylykcm19l3a315md2swsilizfn5l1wjsrwd4pfry48aobypcrin0bj8xv98sbi9xeqgcrufvwv9z9s9nazvaum6hi6sx2oaajhia:latest/fold4/confusion_matrix.table.json', 'ncols': 5, 'artifact_path': 'wandb-client-artifact://clx5yvs4hpa0pht734y17u78cn2ojofmr59p36onicv708m8pkapbunhjdjxv1j5jilfrissuaz6k7tbr2iriuk8kxt36p12cmtmkpigrhq0mn2sd3w4or6mu9bf6q99/fold4/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 4, 'path': 'media/table/fold4/confusion_matrix_20_4a123c2029d8aec98818.table.json', 'size': 149, 'sha256': '4a123c2029d8aec988187f2220777a8039d8a71c02a60183a43fed240bcb3364'}",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1582.121287712,,,,,,0.9876777251184834,,,,,1770724839.3504958,,,,,,,0.998403066113063,,,,,,,,,,21,,,,,,,,,,,,,0.9930114358322745,,,,,,,,,,,,,,,,,
,,,,,,,,,,1582.121744596,,,,,,,,,,,1770724839.3510997,,,,,0.9646616541353383,,,,,,,,,,,,22,,,,,,,,,,,0.9756653992395438,,,,,,,,,,,,,,0.9701323251417769,,,,,
,,,,,,,,,,1582.122099156,,,,,,,,,,0.9934762348555451,1770724839.3515244,,,,0.990092879256966,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,0.9968827930174564,,,,,,,,,,,,,,
0.983206106870229,,,,,,,,,,1582.122406328,0.9680571213829388,,,,,,,,,,1770724839.3518546,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9533678756476683
,,,,,,,,,,1582.50366447,,,,,,,,"{'ncols': 9, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://17tkj3artxvgqpqdom54badnfa2t7k2i3wydaimxfknj8iz98b8ood0q2c10xs11fxk4suiotivpp2hd6cbwltuunh1htly2ugr6cmad2l60j8smtkxwx7itys9m0be3:latest/cv5/fold_metrics.table.json', 'size': 776, '_type': 'table-file', 'sha256': '61641d07c3f44f2e2628b6f2cac670f5130c3aa49686753002a269532adee3d5', 'path': 'media/table/cv5/fold_metrics_25_61641d07c3f44f2e2628.table.json', 'artifact_path': 'wandb-client-artifact://ujfp81ljcv0jt5820eim1j7i8uhnl8dylbczt3nbq785hw6c5em6ondciph3vabazy4bqj38dxkgz1bddn93bsacaxc8g11xzeoqhb1eak7bps9bsb5jnyb6sd9c59ah/cv5/fold_metrics.table.json', 'nrows': 5}",,,1770724839.7330263,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
