fold4/class_0/f1-score,fold1/class_2/precision,fold4/class_3/precision,fold0/class_3/precision,fold1/class_1/f1-score,fold4/class_2/recall,fold4/confusion_matrix,fold1/class_3/recall,fold4/class_1/recall,fold2/class_0/precision,fold3/class_0/f1-score,fold0/class_3/recall,fold4/class_0/recall,fold1/class_2/f1-score,fold2/class_3/recall,fold2/class_3/f1-score,fold1/class_0/recall,fold3/class_0/precision,fold0/class_1/precision,fold0/class_1/f1-score,fold2/class_1/f1-score,cv5/fold_metrics,fold0/confusion_matrix,fold1/class_1/recall,fold2/class_3/precision,_timestamp,fold0/class_1/recall,fold4/class_1/f1-score,fold3/class_2/precision,fold2/class_2/precision,fold0/class_0/recall,fold0/class_3/f1-score,fold3/confusion_matrix,fold3/class_1/recall,fold3/class_1/precision,fold1/class_3/precision,fold1/confusion_matrix,fold0/class_2/precision,fold4/class_3/f1-score,fold2/class_1/precision,fold0/class_0/precision,fold4/class_3/recall,fold0/class_0/f1-score,fold1/class_3/f1-score,fold3/class_2/f1-score,fold2/class_2/recall,fold2/class_2/f1-score,fold4/class_0/precision,fold0/class_2/recall,fold1/class_1/precision,_runtime,fold3/class_0/recall,_step,fold0/class_2/f1-score,fold2/class_0/f1-score,fold2/confusion_matrix,fold1/class_2/recall,fold4/class_1/precision,fold4/class_2/precision,fold1/class_0/precision,fold4/class_2/f1-score,fold2/class_0/recall,fold1/class_0/f1-score,fold3/class_2/recall,fold2/class_1/recall,fold3/class_1/f1-score,fold3/class_3/recall,fold3/class_3/f1-score,fold3/class_3/precision
,,,,,,,,,,,,,,,,,,,,,,,,,1770727527.18784,,,,,,,,,,,,,,,,,,,,,,,,,3778.473155411,,10,,,"{'_latest_artifact_path': 'wandb-client-artifact://gobow5kryu6zap9b464vwssx2b51ospos6hck9rkxbvm4zu1gm74n8arwv9dpo8nold4x42pkwjk5mxtgipw0nh29xlsm2gsxwqckacwxiqbuy4qd54ctveyrziiwnkn:latest/fold2/confusion_matrix.table.json', 'ncols': 5, 'size': 153, 'nrows': 4, 'sha256': 'f81521c5f018d0dbce176a7b874baeb3e705b1fcc2e7dde8a471d4c80d6256b6', 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'path': 'media/table/fold2/confusion_matrix_10_f81521c5f018d0dbce17.table.json', 'artifact_path': 'wandb-client-artifact://2c8cinkuchrp18ere8816k9rjc3qn5t87ypq7mhbckpsi1me0pgwe2z8d3x2oqvh7t7ci82thze5gbqk46gqzh7hd4jenrcdbbyafpiqgllutltthu37ihe9zuqc4d3s/fold2/confusion_matrix.table.json'}",,,,,,,,,,,,,
,,,,,,,,,0.9752453166815344,,,,,,,,,,,,,,,,1770727527.18929,,,,,,,,,,,,,,,,,,,,,,,,,3778.474524018,,11,,0.974919184037454,,,,,,,0.9745932694450635,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.9752691300552808,,,,,1770727527.1896753,,,,,,,,,,,,,,0.9893742621015348,,,,,,,,,,,3778.474857373,,12,,,,,,,,,,,,0.9615605278255881,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1770727527.1899831,,,,0.964403427818062,,,,,,,,,,,,,,,,0.9858490566037735,0.9750083305564812,,,,3778.475184096,,13,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.959917780061665,0.9716514954486346,,,,,,,,,0.9836756187467088,1770727527.1903708,,,,,,,,,,,,,,,,,,,,,,,,,3778.475540647,,14,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1770727902.4638326,,,,,,,"{'sha256': 'e1685141ade175bdd1d3bf9fe5b5e59673fade68d7d41f94e4f9ea7fe792938a', 'ncols': 5, 'nrows': 4, '_latest_artifact_path': 'wandb-client-artifact://a4486wr3ouxatp2mxxydqz0z09krkxjigj6ihms11aij4k2xmofpkb65v4y0nee9eih734tai4owpiec9xnsepm63cz7m4zi4xpgp9bonxxyts2i5nzp8rrosc1ozcym:latest/fold3/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'size': 155, 'artifact_path': 'wandb-client-artifact://wy8027g7xdx4rsubvxe8pttb6ya3ea10mvxsxbuagii33zw120skkv9548eeh2sppwwz9uaf4rvg7jic011gkvvibuvj3s5chrm003i4fqjyn7u880akg1flxritn1km/fold3/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold3/confusion_matrix_15_e1685141ade175bdd1d3.table.json'}",,,,,,,,,,,,,,,,,,4153.749321974,,15,,,,,,,,,,,,,,,,
,,,,,,,,,,0.9777981231403067,,,,,,,0.9838783970520497,,,,,,,,1770727902.465503,,,,,,,,,,,,,,,,,,,,,,,,,4153.750902945,0.9717925386715196,16,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1770727902.4660304,,,,,,,,0.9628032345013477,0.9883785279468733,,,,,,,,,,,,,,,,4153.751421541,,17,,,,,,,,,,,,,0.9754232659748772,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1770727902.466474,,,0.962546005628924,,,,,,,,,,,,,,,,0.9735055835340486,,,,,,4153.751613732,,18,,,,,,,,,,,0.9847176079734219,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1770727902.4667501,,,,,,,,,,,,,,,,,,,,,,,,,4153.751901094,,19,,,,,,,,,,,,,,0.9652220438737292,0.9657387580299786,0.9662560257096947
,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://h1gauu0ckvrp8pedjfs4a7l26oajrr5rkqsfgt31agx7tuwr6cjjfwsusswlfiealt3mfc4vlif8ojwr2ypq44dc5tlaqgre83ga9v4yscq0m73tnfuwdk2m627g1c9f:latest/fold4/confusion_matrix.table.json', 'path': 'media/table/fold4/confusion_matrix_20_162432ec488bb624bce6.table.json', 'size': 155, 'artifact_path': 'wandb-client-artifact://wr2fkg7ss5tm78uuawdehvm69olsllpkkabafjbtfrnriwmwfhpvut30o3x2k4rwk1gasjvb9p19xbt6l8gmkmksj5o2rvcd8xifke8dx6ctanl8s25irezotphu91i8/fold4/confusion_matrix.table.json', 'nrows': 4, 'sha256': '162432ec488bb624bce62fd82be537d9189eb615da0ed889c08617c39e652a69', 'ncols': 5, 'log_mode': 'IMMUTABLE', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,1770728181.7174394,,,,,,,,,,,,,,,,,,,,,,,,,4433.002804864,,20,,,,,,,,,,,,,,,,
0.9707377697435318,,,,,,,,,,,,0.969532836831415,,,,,,,,,,,,,1770728181.7189531,,,,,,,,,,,,,,,,,,,,,,0.971945701357466,,,4433.004167756,,21,,,,,,,,,,,,,,,,
,,,,,,,,0.9646931015752308,,,,,,,,,,,,,,,,,1770728181.7194092,,0.9696969696969697,,,,,,,,,,,,,,,,,,,,,,,4433.004725959,,22,,,,,0.9747530186608123,,,,,,,,,,,
,,,,,0.9876160990712074,,,,,,,,,,,,,,,,,,,,1770728181.7198467,,,,,,,,,,,,,,,,,,,,,,,,,4433.005012932,,23,,,,,,0.9589864719776681,,0.9730907506264299,,,,,,,,
,,0.9878542510121457,,,,,,,,,,,,,,,,,,,,,,,1770728181.720154,,,,,,,,,,,,,0.9587426326129665,,,0.9312977099236641,,,,,,,,,4433.005367981,,24,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"{'_type': 'table-file', 'artifact_path': 'wandb-client-artifact://gkbsrko66sxkq84nc3w8q8b0d9e6b85t4mypa9hz1ryfmjoqld4m1kfhsx8b9sbdfi7jqvwdryacjqzncw2erh002ldzhordv9rcb1qtu4iphg54tkoznbf9934czkrn/cv5/fold_metrics.table.json', 'ncols': 9, 'path': 'media/table/cv5/fold_metrics_25_53f8bd62905bd131c428.table.json', '_latest_artifact_path': 'wandb-client-artifact://8lu2z0dsp417qoszqljz1d5d7wybx5o51ckdutri28yepyjr63myqnzpz7sf8s817d9smi57f38ro7mid5v449pkr3m57fwudpeezoysvl0lasxi76r1370k74286xgp:latest/cv5/fold_metrics.table.json', 'size': 776, 'nrows': 5, 'log_mode': 'IMMUTABLE', 'sha256': '53f8bd62905bd131c4281d05ea8f1ee1838256a0123257834d56181b2ece2b79'}",,,,1770728182.0159755,,,,,,,,,,,,,,,,,,,,,,,,,4433.30133268,,25,,,,,,,,,,,,,,,,
