fold3/class_0/precision,fold1/class_2/precision,fold0/class_1/f1-score,fold0/class_0/f1-score,fold3/class_2/precision,fold3/class_3/precision,fold1/class_2/recall,fold0/class_1/recall,_step,fold4/class_0/recall,fold2/class_0/recall,fold3/class_1/precision,fold2/class_3/recall,fold0/class_2/precision,fold0/class_1/precision,fold1/class_3/precision,_runtime,fold4/class_3/recall,fold1/class_2/f1-score,fold4/class_2/precision,fold0/class_0/recall,fold3/class_1/f1-score,fold2/class_3/f1-score,fold1/class_0/precision,fold3/class_3/recall,fold0/class_0/precision,fold4/class_1/recall,fold2/class_0/f1-score,fold1/class_1/precision,fold1/class_1/recall,fold3/confusion_matrix,fold3/class_0/f1-score,fold3/class_3/f1-score,fold4/class_1/precision,fold2/class_2/precision,fold3/class_0/recall,fold2/class_2/f1-score,fold2/class_1/recall,fold4/class_0/precision,fold4/class_1/f1-score,fold1/class_3/recall,cv5/fold_metrics,fold1/class_3/f1-score,fold4/class_2/f1-score,fold2/class_1/precision,fold4/class_3/precision,fold4/confusion_matrix,fold3/class_2/recall,fold1/class_0/f1-score,fold0/class_3/f1-score,fold0/class_2/recall,fold2/class_2/recall,fold4/class_3/f1-score,fold0/confusion_matrix,fold1/class_1/f1-score,fold2/confusion_matrix,fold3/class_2/f1-score,fold0/class_3/recall,fold4/class_2/recall,fold2/class_0/precision,fold3/class_1/recall,_timestamp,fold1/confusion_matrix,fold0/class_3/precision,fold1/class_0/recall,fold0/class_2/f1-score,fold2/class_3/precision,fold2/class_1/f1-score,fold4/class_0/f1-score
,,,,,,,,11,,0.9791991679667187,,,,,,115.546005578,,,,,,,,,,,0.9799635701275046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9807291666666667,,1770715131.6027095,,,,,,,
,,,,,,,,12,,,,,,,,115.546433714,,,,,,,,,,,,,,,,,,,,,0.9772423025435074,,,,,,,0.8538011695906432,,,,,,,,,,,,,,,,,1770715131.6031399,,,,,,0.9113607990012484,
,,,,,,,,13,,,,,,,,115.547043188,,,,,,,,,,,,,,,,,,0.9819148936170212,,0.9746568109820486,,,,,,,,,,,,,,,0.9675052410901468,,,,,,,,,,1770715131.603615,,,,,,,
,,,,,,,,14,,,,0.9028776978417267,,,,115.547587692,,,,,,0.9465744814582024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770715131.6041918,,,,,0.9947159841479525,,
,,,,,,,,15,,,,,,,,149.663505603,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'path': 'media/table/fold3/confusion_matrix_15_00f0d7b27382a26a7e0d.table.json', 'sha256': '00f0d7b27382a26a7e0d0346f1a1521113dae6e987ef31ccbd456b5c2730894d', 'ncols': 5, 'nrows': 4, 'artifact_path': 'wandb-client-artifact://xqqb1ej7ah1j4doz4kzolwbj9c27wr7ork3o45bmxqwgakbu8ln0dmsmu2d3uprvam9911ky2cktj60lcyanrpgyqrjzh8jobifrzea87zces063widdo7ebnbryixua/fold3/confusion_matrix.table.json', 'size': 150, '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://4zbwsz89dvguzc70jq1mqhhbdwlza2zkteffwjr1mh5jcz6yr8noiubcyfv060vymdzscru8i26jyluvyp3n6xtezy7bhsv0eyz0ces5o70g88zdupero78o7uqq62mf:latest/fold3/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770715165.7200181,,,,,,,
0.972193074501574,,,,,,,,16,,,,,,,,149.668674627,,,,,,,,,,,,,,,0.9778364116094986,,,,0.9835456475583864,,,,,,,,,,,,,,,,,,,,,,,,,,1770715165.7253196,,,,,,,
,,,,,,,,17,,,0.9972451790633609,,,,,149.66917962,,,,,0.9520052596975674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9106918238993711,1770715165.7258577,,,,,,,
,,,,0.9450766947055913,,,,18,,,,,,,,149.669646222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9870801033591732,,,,,,,,,0.9656218402426694,,,,,1770715165.7262971,,,,,,,
,,,,,0.973753280839895,,,19,,,,,,,,149.670071919,,,,,,,,0.9263420724094882,,,,,,,,0.9494561740243123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770715165.7267504,,,,,,,
,,,,,,,,20,,,,,,,,196.649283977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'sha256': '30496bd8643d1d5ebac7be12147a0dc3be7b1ac0c44ffa8855a1a86c9a86a609', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://2opnl3bsdqgfvrmiz6w4d3kzchb68uahswcf5n2svc82v11qnvv3a3b4phs94jzjyac4hxu1386ar2fh22hkn79m0337tzxch3msi1es74i2r1rb2359krpwdx6na4fl/fold4/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://zibc80vktttv4y9qw7aafqd482udj2vtbja1npp3du4glxyssdavd3q0dy8ir80n5qp5tptxt0ju9gxyf17ysys7zk8x8jp6ixtrfsdd9mn7jmlo81wckx8ietd9bmgc:latest/fold4/confusion_matrix.table.json', 'ncols': 5, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold4/confusion_matrix_20_30496bd8643d1d5ebac7.table.json', 'size': 146, 'nrows': 4}",,,,,,,,,,,,,,,1770715212.70561,,,,,,,
,,,,,,,,21,0.9852553975776724,,,,,,,196.653753601,,,,,,,,,,,,,,,,,,,,,,0.9878563885955649,,,,,,,,,,,,,,,,,,,,,,,1770715212.710402,,,,,,,0.9865541787503296
,,,,,,,,22,,,,,,,,196.654174466,,,,,,,,,,0.9683143219264893,,,,,,,0.9807445442875481,,,,,,0.9744897959183674,,,,,,,,,,,,,,,,,,,,,,1770715212.7109287,,,,,,,
,,,,,,,,23,,,,,,,,196.654580901,,,0.9683576092415871,,,,,,,,,,,,,,,,,,,,,,,,0.981420208704505,,,,,,,,,,,,,,,0.9948400412796697,,,1770715212.711349,,,,,,,
,,,,,,,,24,,,,,,,,196.655041857,0.9440203562340967,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9919786096256684,,,,,,,0.9674054758800521,,,,,,,,,1770715212.711802,,,,,,,
,,,,,,,,25,,,,,,,,197.108186156,,,,,,,,,,,,,,,,,,,,,,,,,"{'_type': 'table-file', 'path': 'media/table/cv5/fold_metrics_25_005be19a336ebd0e848b.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://jnfma3dv8g7k0yo7c1xs19zl1b4qtp4thubo0gfkwot3ikxzbud8t4g1o8e7546mosarm09ldqpizwc77rk7j8uzm74rd8gu6znir1jx89r0tzzlgnwiqx70crc0n4od:latest/cv5/fold_metrics.table.json', 'ncols': 9, 'nrows': 5, 'sha256': '005be19a336ebd0e848b56cd762ea9be7e034916cb1838d21fb9a3ec71028410', 'size': 771, 'artifact_path': 'wandb-client-artifact://v3b7mhy7ntcyjx5l54lh209z74oafejtpsh2uvi0kx6jus5ho462p3j7bu9ursp2gzbn5sdux7psidb6xlywx15af0rzrvp66gvanyzvjn4pe6cdmu77zqimblix82n1/cv5/fold_metrics.table.json'}",,,,,,,,,,,,,,,,,,,,1770715213.1646597,,,,,,,
