fold4/class_2/precision,fold2/confusion_matrix,fold2/class_5/precision,fold0/class_1/f1-score,cv5/fold_metrics,fold4/class_5/recall,fold0/class_0/f1-score,fold4/confusion_matrix,fold4/class_2/recall,fold4/class_6/f1-score,fold1/class_7/precision,fold2/class_5/recall,fold1/class_1/recall,fold4/class_1/recall,fold3/class_3/precision,fold4/class_1/precision,fold4/class_3/recall,fold4/class_10/recall,fold4/class_5/precision,fold2/class_4/recall,fold3/class_7/precision,fold2/class_6/f1-score,fold0/class_10/f1-score,fold1/class_5/f1-score,fold0/class_3/f1-score,fold3/class_8/precision,fold3/class_4/recall,fold3/class_1/f1-score,fold3/class_4/f1-score,fold0/class_4/recall,fold3/class_3/recall,fold0/class_3/precision,fold4/class_8/recall,fold1/class_7/f1-score,fold0/class_4/f1-score,fold4/class_2/f1-score,fold2/class_7/precision,fold3/class_6/f1-score,fold1/class_0/f1-score,fold4/class_5/f1-score,fold1/class_5/recall,fold3/class_2/f1-score,fold1/class_0/recall,fold2/class_4/f1-score,fold2/class_1/recall,fold0/class_8/recall,fold4/class_7/precision,fold0/class_5/recall,fold0/class_9/f1-score,fold2/class_8/recall,fold4/class_4/recall,fold1/class_6/precision,fold3/class_2/recall,fold3/class_0/f1-score,_step,fold0/class_9/recall,fold3/class_9/recall,fold1/class_6/f1-score,fold0/class_2/recall,fold3/class_8/recall,fold0/class_0/precision,fold2/class_4/precision,fold1/class_10/recall,fold1/class_3/precision,fold1/class_9/f1-score,fold0/class_10/recall,fold3/class_8/f1-score,fold2/class_3/recall,fold1/class_2/f1-score,fold1/class_1/precision,fold3/class_7/f1-score,fold2/class_1/f1-score,fold3/class_6/precision,fold0/class_2/precision,fold1/class_5/precision,fold2/class_7/f1-score,fold4/class_6/precision,fold4/class_3/f1-score,fold0/class_6/f1-score,fold0/class_3/recall,fold2/class_7/recall,fold2/class_3/f1-score,fold3/class_1/recall,fold0/class_5/f1-score,fold3/class_10/recall,fold1/class_3/f1-score,fold4/class_9/precision,fold1/class_1/f1-score,fold1/class_4/f1-score,fold3/class_1/precision,fold0/class_1/precision,fold2/class_10/f1-score,fold3/class_10/precision,fold4/class_9/recall,fold3/class_6/recall,_timestamp,fold0/class_6/recall,fold3/class_5/f1-score,fold2/class_2/recall,fold1/class_10/f1-score,fold2/class_0/f1-score,fold4/class_0/precision,fold2/class_9/f1-score,fold4/class_10/precision,fold0/class_0/recall,fold2/class_2/precision,fold3/class_5/precision,fold3/class_3/f1-score,fold3/class_7/recall,fold2/class_10/precision,fold2/class_8/f1-score,fold4/class_7/f1-score,fold1/class_10/precision,fold3/confusion_matrix,fold1/class_7/recall,fold0/class_9/precision,fold4/class_9/f1-score,fold2/class_6/precision,fold0/class_5/precision,fold3/class_0/recall,fold4/class_4/precision,fold3/class_5/recall,fold4/class_4/f1-score,fold4/class_3/precision,fold2/class_1/precision,fold1/class_4/recall,fold2/class_10/recall,fold4/class_6/recall,fold2/class_5/f1-score,fold0/class_10/precision,fold0/class_7/precision,fold1/confusion_matrix,fold1/class_0/precision,fold0/class_8/precision,fold4/class_0/f1-score,fold0/confusion_matrix,fold4/class_8/f1-score,fold2/class_3/precision,fold3/class_10/f1-score,fold0/class_2/f1-score,fold0/class_4/precision,fold1/class_2/recall,fold2/class_0/recall,fold0/class_1/recall,fold0/class_8/f1-score,fold1/class_9/recall,fold1/class_2/precision,fold4/class_8/precision,fold3/class_2/precision,fold0/class_6/precision,fold2/class_6/recall,fold3/class_0/precision,fold4/class_10/f1-score,fold2/class_2/f1-score,fold3/class_4/precision,fold1/class_9/precision,fold1/class_3/recall,fold1/class_8/recall,fold1/class_8/f1-score,fold2/class_9/precision,fold4/class_0/recall,fold1/class_4/precision,fold3/class_9/precision,fold2/class_8/precision,fold0/class_7/f1-score,fold2/class_9/recall,fold4/class_1/f1-score,fold1/class_8/precision,fold1/class_6/recall,fold4/class_7/recall,fold3/class_9/f1-score,fold0/class_7/recall,fold2/class_0/precision,_runtime
,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739533.8173225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11884.137566123
,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739533.8178718,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,11884.138167594
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1770739533.818372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11884.138549353
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978354978354979,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739533.8187356,,,,,,,,,,,,,,,0.9989165763813651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,11884.138874566
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739533.8190882,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,11884.139227629
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1770739533.8194134,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11884.139602424
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770740717.9711277,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://n5gk2hydue70g3kys4u1sojotnfyignpdzdvbxprskihhqcswsjxvtlo05c8sgbey7dyub4228locngjekumhddsrexmmtpnd9f6owujreny2l9x4vs8hck9tfg2nv1h:latest/fold3/confusion_matrix.table.json', 'size': 559, 'ncols': 12, 'path': 'media/table/fold3/confusion_matrix_36_215d1cee6cacc4b28bcd.table.json', 'nrows': 11, 'sha256': '215d1cee6cacc4b28bcdb28102ff4cf2c61ea8449f5a22efdefa26989125127d', 'artifact_path': 'wandb-client-artifact://if0jn7dnjl5t7c38j542x6cluikovjs38rjseomwylyek5qzyxws4zzf8vdis5uw9lwlzz2w92mos5igw21l4cfaz15emvi77b0q849omojl35wb08a4763wlkksidg4/fold3/confusion_matrix.table.json', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13068.291512771
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770740717.9728148,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,13068.292998426
,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1770740717.973148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13068.293312511
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770740717.9734638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,13068.293656364
,,,,,,,,,,,,,,0.9955156950672646,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770740717.9737883,,,,,,,,,,,,0.9977528089887641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13068.293953948
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770740717.9741883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,13068.294418441
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770740717.974672,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13068.294855733
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1770740717.9750652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13068.295269209
,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1770740717.9754357,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13068.295623667
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,0.9954022988505747,,,,,,,0.9976958525345622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770740717.9757984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13068.295989923
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,0.9976190476190476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770740717.9761577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9976190476190476,,,,,,,,0.9976190476190476,,,13068.29629334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992784992784993,,,,,,,,0.9992784992784993,,,1770740717.9764597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992784992784993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13068.296573326
,,,,,,,"{'artifact_path': 'wandb-client-artifact://lejz6zutn87m5mb0z2bmouyhzrqzagk21t93t99lkj8vl63r9cdyqfvh2ayzshcx03z3gvvywkin7wz2e42io9a284t6jy5ge5klso2psqk08uoc7tx4w4p3vm2w8059/fold4/confusion_matrix.table.json', 'path': 'media/table/fold4/confusion_matrix_48_8fd56411e64b5be196a7.table.json', 'ncols': 12, 'sha256': '8fd56411e64b5be196a7cfc9477ed2ccbb936c998f7b1cb2502e4bee0e935465', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://a5dkuizaqwf5hbfexnl90xixod82dfphc09oax94avibb3ydxn4nyy1yw9puhx2ida290g7tcmyqa7jmxwujlfba1wh073f0jcxc1hql6bncp01u1mq7b2av8q8nc92u:latest/fold4/confusion_matrix.table.json', 'nrows': 11, 'size': 559, 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770741828.6557124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14178.976333309
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770741828.6578448,,,,,,0.9999360422973607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999573606225349,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999786798567286,,,,,,,,,,,,,14178.978333038
,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770741828.6585803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,14178.978881891
1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770741828.6590073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14178.979197609
,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,0.9975728155339806,,,,,,,,,,,,,,,,,,1770741828.659382,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9951573849878934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14178.979506977
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770741828.6597083,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14178.979826477
,,,,,1,,,,,,,,,,,,,0.9978813559322034,,,,,,,,,,,,,,,,,,,,,0.9989395546129375,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770741828.6600752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14178.980299295
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1770741828.6604705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14178.980625616
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770741828.6608288,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,14178.980978456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770741828.6611397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,14178.981282663
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0.9954022988505747,,1770741828.6614451,,,,,,,,,,,,,,,,,,,,,0.9976958525345622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14178.98157617
,,,,,,,,,,,,,,,,,0.9977116704805492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770741828.661747,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9988545246277205,,,,,,,,,,,,,,,,,,,,,14178.981896647
,,,,"{'size': 768, 'path': 'media/table/cv5/fold_metrics_60_bcb17aac27ccb5d1d2da.table.json', '_latest_artifact_path': 'wandb-client-artifact://3mc9kvtgr352nqx72x4e0t2xbwm7wd0wi2twigs5ioo24q5w1fopbz92qfntwvkk29phc2su9zjx16jax4ceomfvcrtr8q5waj9pvwk5a7ipu42adcpfk40xo0p78nsc:latest/cv5/fold_metrics.table.json', '_type': 'table-file', 'nrows': 5, 'artifact_path': 'wandb-client-artifact://xknvfoo1hskr4bl2wzrzd7tvfve96i2w6w4u7zgso6r0j90i8yugntu6om6isfjcmtjb4ewqnbph5v4oy54on6v0ibt8d5ya1nh7037tm9cn2b9h97ktet486rdecgv7/cv5/fold_metrics.table.json', 'ncols': 9, 'log_mode': 'IMMUTABLE', 'sha256': 'bcb17aac27ccb5d1d2daa0b6091bc118af904d4b71b064e26194fd6f7a2450a5'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770741829.0231736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14179.34349058
