fold4/class_0/f1-score,fold4/class_1/precision,_step,fold4/class_2/recall,fold1/class_1/precision,fold0/class_1/f1-score,fold0/class_0/recall,fold4/class_3/f1-score,fold1/class_0/precision,fold4/class_0/recall,fold0/class_1/precision,fold3/class_1/precision,fold3/class_1/recall,fold1/class_3/precision,fold3/class_3/precision,fold4/class_1/recall,fold0/class_1/recall,fold1/confusion_matrix,fold4/class_3/precision,cv5/fold_metrics,fold2/class_0/recall,fold1/class_2/recall,fold0/class_3/precision,_runtime,fold1/class_3/f1-score,fold1/class_1/f1-score,fold1/class_0/recall,fold3/class_2/f1-score,fold3/class_0/recall,fold2/class_1/f1-score,fold0/class_2/f1-score,fold2/class_3/f1-score,fold1/class_2/precision,fold1/class_2/f1-score,fold4/class_1/f1-score,fold2/class_0/precision,fold3/class_0/f1-score,fold0/class_0/precision,fold0/class_2/precision,fold0/class_3/recall,fold3/class_3/recall,fold2/class_3/precision,fold3/class_2/precision,fold0/class_3/f1-score,fold2/class_1/precision,fold4/class_2/f1-score,fold0/class_0/f1-score,fold3/confusion_matrix,fold2/class_2/precision,_timestamp,fold4/class_2/precision,fold2/class_2/recall,fold1/class_1/recall,fold2/class_3/recall,fold2/class_2/f1-score,fold4/class_0/precision,fold4/confusion_matrix,fold2/class_0/f1-score,fold4/class_3/recall,fold3/class_3/f1-score,fold3/class_1/f1-score,fold1/class_0/f1-score,fold2/confusion_matrix,fold0/class_2/recall,fold2/class_1/recall,fold3/class_0/precision,fold1/class_3/recall,fold0/confusion_matrix,fold3/class_2/recall
,,15,,,,,,,,,,,,,,,,,,,,,96.056913841,,,,,,,,,,,,,,,,,,,,,,,,"{'size': 145, 'log_mode': 'IMMUTABLE', 'nrows': 4, 'path': 'media/table/fold3/confusion_matrix_15_0ff12186d2da21897453.table.json', '_type': 'table-file', 'ncols': 5, '_latest_artifact_path': 'wandb-client-artifact://4u1ei38fzb9avyp5pm3p3k8kg6gprhlgtjiezj3f2ungm9g3daggueh662ac1znul9wwhklqfqybjqd7a51cu9fa17o3m3mkd951vsxz62qedd3kx6suoqb01bq2ext5:latest/fold3/confusion_matrix.table.json', 'artifact_path': 'wandb-client-artifact://xkscueb3mtt0osbiw8jgp8mlucj3slty7q4nngcnojq7lp8wiuhmhg7rl54plrbmsghrukhq35j9x7p6ldergglwmki0q0qlnjatf08816a0ty62wb3wo2uvd7uo4nyz/fold3/confusion_matrix.table.json', 'sha256': '0ff12186d2da218974532d5ba1bb4afd2996d8d7ffa7985e1e418290e5169cab'}",,1770716975.516741,,,,,,,,,,,,,,,,,,,
,,16,,,,,,,,,,,,,,,,,,,,,96.058097625,,,,,0.9904458598726115,,,,,,,,0.9711163153786104,,,,,,,,,,,,,1770716975.5180385,,,,,,,,,,,,,,,,0.9525267993874426,,,
,,17,,,,,,,,,0.978448275862069,0.8566037735849057,,,,,,,,,,,96.058483062,,,,,,,,,,,,,,,,,,,,,,,,,,1770716975.5184095,,,,,,,,,,,0.9134808853118712,,,,,,,,
,,18,,,,,,,,,,,,,,,,,,,,,96.058832389,,,,0.9656226126814362,,,,,,,,,,,,,,,0.9518072289156626,,,,,,,1770716975.518791,,,,,,,,,,,,,,,,,,,0.9798449612403101
,,19,,,,,,,,,,,,0.91796875,,,,,,,,,96.059205446,,,,,,,,,,,,,,,,,0.8801498127340824,,,,,,,,,1770716975.5191698,,,,,,,,,,0.8986615678776291,,,,,,,,,
,,20,,,,,,,,,,,,,,,,,,,,,113.187376506,,,,,,,,,,,,,,,,,,,,,,,,,,1770716992.6472278,,,,,,,"{'nrows': 4, 'sha256': '657c9a145986a87c0e6fb6617cd70476ad98352c3417a2005b27e819f8266fb3', 'size': 148, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'ncols': 5, 'path': 'media/table/fold4/confusion_matrix_20_657c9a145986a87c0e6f.table.json', 'artifact_path': 'wandb-client-artifact://p6d37tslk440cq7l9nxjiffvvjmnrksu81c5gdtxbqid379mp82ziq96x923q1pixpiehpuqgdhcb7j5mlkb2ayfia6xi9hmwun4pp9la8cqdmlyuommgy96ml3sgxwc/fold4/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://7qw0g41q1pq12iz51hqga8rvnllccuzinej5mlrt642dtf8j8x942oznpc3u5gl3xpwlodolxos1jcxqx2c1z4aox84c0x3iqqtc6s32lwjq95oybjofdnggeof5l7jy:latest/fold4/confusion_matrix.table.json'}",,,,,,,,,,,,
0.9619269619269619,,21,,,,,,,0.9778830963665087,,,,,,,,,,,,,,113.188819456,,,,,,,,,,,,,,,,,,,,,,,,,,1770716992.6488056,,,,,,0.9464831804281345,,,,,,,,,,,,,
,0.8413284132841329,22,,,,,,,,,,,,,0.8669201520912547,,,,,,,,113.189128182,,,,,,,,,,,0.8539325842696629,,,,,,,,,,,,,,,1770716992.649158,,,,,,,,,,,,,,,,,,,
,,23,0.9427244582043344,,,,,,,,,,,,,,,,,,,,113.189511497,,,,,,,,,,,,,,,,,,,,,,0.9552941176470588,,,,1770716992.6494834,0.9682034976152624,,,,,,,,,,,,,,,,,,
,,24,,,,,0.81640625,,,,,,,,,,,0.836,,,,,113.189742468,,,,,,,,,,,,,,,,,,,,,,,,,,1770716992.6497903,,,,,,,,,0.7977099236641222,,,,,,,,,,
,,25,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://qbd47xg563i2k420zx411gqd9hcu5b9pbv4utinmd3naw0cfq6he0zuehs5b278ynjxhk7w5k0xwm5c0rcn8oinai5nabuswjxmt1dm2wxa6lqylmc4vgrvumdroxxcn:latest/cv5/fold_metrics.table.json', 'size': 758, 'ncols': 9, 'sha256': '5319a64d391dab4eb8d22873353e76e94eec76903e04947747112431c03b6b5c', 'artifact_path': 'wandb-client-artifact://l2qxivxx2ib6tvp41am690lf7efbxvz7q37elz142pbtlfg1sr6q2lcbfwjrxs02ssmgin7rov5od2uffh35p0rt7mppto6gvj7vqj9upm1eemuj4p0kypejepk2vmq8/cv5/fold_metrics.table.json', 'nrows': 5, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'path': 'media/table/cv5/fold_metrics_25_5319a64d391dab4eb8d2.table.json'}",,,,113.531331521,,,,,,,,,,,,,,,,,,,,,,,,,,1770716992.9911687,,,,,,,,,,,,,,,,,,,
