fold2/class_0/precision,fold4/class_1/recall,fold4/class_3/recall,fold4/class_2/f1-score,fold3/class_0/precision,fold0/class_3/recall,fold3/class_1/recall,fold3/class_3/f1-score,fold1/class_2/f1-score,_step,fold0/class_2/f1-score,fold1/class_1/recall,fold0/class_0/f1-score,cv5/fold_metrics,fold4/class_2/recall,fold2/class_0/recall,fold1/class_0/precision,fold0/class_2/precision,fold1/class_0/f1-score,_timestamp,fold3/class_3/recall,fold3/confusion_matrix,fold0/confusion_matrix,fold2/class_0/f1-score,fold2/confusion_matrix,fold1/class_3/f1-score,fold2/class_3/precision,fold3/class_1/f1-score,fold2/class_1/recall,fold0/class_1/precision,fold4/class_2/precision,fold4/class_3/f1-score,fold4/confusion_matrix,fold2/class_1/precision,fold3/class_2/recall,fold0/class_1/f1-score,fold2/class_1/f1-score,fold3/class_2/precision,fold1/class_3/precision,fold3/class_1/precision,fold2/class_2/recall,fold4/class_1/f1-score,fold0/class_0/precision,fold0/class_3/precision,fold2/class_3/recall,fold0/class_1/recall,fold3/class_0/f1-score,fold3/class_3/precision,fold0/class_0/recall,fold1/class_2/recall,fold3/class_2/f1-score,fold1/class_3/recall,fold4/class_1/precision,fold4/class_0/recall,fold2/class_2/f1-score,fold0/class_2/recall,_runtime,fold4/class_0/f1-score,fold1/class_1/f1-score,fold4/class_3/precision,fold1/class_0/recall,fold2/class_3/f1-score,fold2/class_2/precision,fold4/class_0/precision,fold1/confusion_matrix,fold1/class_1/precision,fold1/class_2/precision,fold0/class_3/f1-score,fold3/class_0/recall
0.9967156439066551,,,,,,,,,11,,,,,,0.999479979199168,,,,1770935782.3692803,,,,0.9980958975246668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5829.669010425,,,,,,,,,,,,
,,,,,,,,,12,,,,,,,,,,1770935782.3696253,,,,,,,,,0.9950914770191879,,,,,0.9986565158978952,,,0.9968708091193563,,,,,,,,,,,,,,,,,,,,5829.669270051,,,,,,,,,,,,
,,,,,,,,,13,,,,,,,,,,1770935782.3698666,,,,,,,,,,,,,,,,,,,,,0.9982529699510831,,,,,,,,,,,,,,0.9988637356874399,,5829.669463706,,,,,,0.9994752492566031,,,,,,
,,,,,,,,,14,,,,,,,,,,1770935782.3700876,,,,,,,0.9976009596161536,,,,,,,,,,,,,,,,,,0.9972022382094324,,,,,,,,,,,,5829.669673593,,,,,0.9974015590645613,,,,,,,
,,,,,,,,,15,,,,,,,,,,1770936327.9853008,,"{'ncols': 5, 'nrows': 4, 'path': 'media/table/fold3/confusion_matrix_15_22ac879748c1fd318e6b.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://fah06v4kwcop7mj9euhlkkwbn55mfftak49ralld1ttj3dsxan56utdzn6k1nfvu34wgy0q8j38iyi13bi0pjt446zwart8w66329twyxv9sqaaq09d5aj3z5gggnbh6:latest/fold3/confusion_matrix.table.json', 'size': 148, 'sha256': '22ac879748c1fd318e6be15fe958bd09c5cdfccc041a2bea8e32235cefe6ca10', 'artifact_path': 'wandb-client-artifact://2tdtr946nxhu85ejbvqeo9xqadzs3w1ex8t3wcslw54ixyxexj415vtkitfw2lmt1297el408lc3rr6ax7cnpx4h2yyv0f94j9r257d9b4ewojxssqi7x68n11ha2hs6/fold3/confusion_matrix.table.json', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6375.285150161,,,,,,,,,,,,
,,,,0.9950625991888555,,,,,16,,,,,,,,,,1770936327.9868855,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9967323147575731,,,,,,,,,,6375.286722297,,,,,,,,,,,,0.9984076433121019
,,,,,,0.9916142557651991,,,17,,,,,,,,,,1770936327.9872947,,,,,,,,0.9932801343973121,,,,,,,,,,,,0.9949516196886832,,,,,,,,,,,,,,,,,6375.287073034,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,1770936327.9876204,,,,,,,,,,,,,,,0.9948320413436692,,,0.9972370920393714,,,,,,,,,,,,,0.9960331148671956,,,,,,6375.287187241,,,,,,,,,,,,
,,,,,,,0.9923060927427739,,19,,,,,,,,,,1770936327.9877613,0.9929255097794424,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9916874480465503,,,,,,,,,6375.287380465,,,,,,,,,,,,
,,,,,,,,,20,,,,,,,,,,1770936790.5233495,,,,,,,,,,,,,"{'ncols': 5, 'nrows': 4, 'path': 'media/table/fold4/confusion_matrix_20_f101a11ab694b795c02f.table.json', 'sha256': 'f101a11ab694b795c02f902e117f01f1ca1acb61a44969b92a57158d45859e1e', '_latest_artifact_path': 'wandb-client-artifact://ytj5eq7lbk27h61p7u9oc4tiwd1z3b4ki5xmvmfh2dx4xk5b763j2gmilxdgg3yarqqdlo29l3fmqkppqu6ofeanm57v8wu70wnd6o0nsaclpvyt0ejbfvkdck2skuon:latest/fold4/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://rvfkp9gf96nruvz0j14oyn2r8ieiscmtfj4kx8pihp8by7s0zk9utzmjtzan7uw81zuivpt20l5pdjvq49wxrtkjsp4oz5gdvr0rt4uhidtn5wcgo8oyn6svf542watb/fold4/confusion_matrix.table.json', '_type': 'table-file', 'size': 148}",,,,,,,,,,,,,,,,,,,,,,,,6837.823159619,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,1770936790.524523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9970159733192908,,,6837.824271319,0.9975412715138743,,,,,,0.9980671235283781,,,,,
,0.9915504858470638,,,,,,,,22,,,,,,,,,,1770936790.5248506,,,,,,,,,,,,,,,,,,,,,,0.9951240195039219,,,,,,,,,,,0.9987234042553191,,,,6837.824505074,,,,,,,,,,,,
,,,0.9980245641157777,,,,,,23,,,,,0.9993120055039559,,,,,1770936790.5250754,,,,,,,,,,,0.9967404357522731,,,,,,,,,,,,,,,,,,,,,,,,,,6837.824687206,,,,,,,,,,,,
,,0.9940627650551315,,,,,,,24,,,,,,,,,,1770936790.5252943,,,,,,,,,,,,0.9923793395427604,,,,,,,,,,,,,,,,,,,,,,,,,6837.824918857,,,0.9907016060862215,,,,,,,,,
,,,,,,,,,25,,,,"{'log_mode': 'IMMUTABLE', '_type': 'table-file', 'nrows': 5, 'ncols': 9, '_latest_artifact_path': 'wandb-client-artifact://zjosqrfjxssl06sqqfv2gpve6i19odw5uphto5z7f35ofbcbpn7y3wpri4n124q0o838hgnoz8acf5kyv7heq54daversie7ji3bghm8dpu8qz8tixw6nve0iieupveq:latest/cv5/fold_metrics.table.json', 'size': 781, 'artifact_path': 'wandb-client-artifact://xi917jrixk0ngtb3xozvouq4ksqssiyrh1isr2e9339zsxsk8d3bcatqupzovdaldpftpt5fdd6fgmbonkpilktvjzawt6k6dff4xw7b0wyxd3e2k3row5bc4fulwd4j/cv5/fold_metrics.table.json', 'path': 'media/table/cv5/fold_metrics_25_e1516e2056aa4ada7838.table.json', 'sha256': 'e1516e2056aa4ada7838a759a6c2077e0923ee1b8a140cda5902a85a3c6c7f55'}",,,,,,1770936790.8210106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6838.120875989,,,,,,,,,,,,
