fold4/class_2/recall,fold3/class_3/precision,fold2/class_2/precision,_timestamp,fold3/class_3/f1-score,fold1/class_0/recall,fold2/class_0/f1-score,fold3/class_1/f1-score,_step,fold0/class_3/f1-score,fold3/class_1/precision,fold4/class_0/recall,fold2/class_3/precision,fold1/class_1/precision,fold3/class_3/recall,fold0/class_0/recall,fold4/class_1/recall,fold1/class_3/f1-score,fold0/class_2/precision,fold3/class_0/precision,fold0/class_2/recall,fold1/class_1/recall,fold0/class_1/recall,fold4/confusion_matrix,fold1/class_3/recall,fold0/class_3/recall,fold3/class_1/recall,fold3/class_0/f1-score,fold4/class_2/precision,fold4/class_3/recall,fold2/class_0/precision,fold0/class_1/f1-score,fold2/class_2/recall,fold2/class_3/f1-score,fold1/class_0/precision,_runtime,fold0/confusion_matrix,fold0/class_3/precision,fold2/class_2/f1-score,cv5/fold_metrics,fold2/class_1/recall,fold1/class_2/precision,fold4/class_1/f1-score,fold2/class_0/recall,fold3/class_2/recall,fold0/class_0/precision,fold4/class_0/precision,fold4/class_1/precision,fold1/class_0/f1-score,fold4/class_3/precision,fold1/class_3/precision,fold2/class_1/f1-score,fold1/confusion_matrix,fold1/class_2/recall,fold3/confusion_matrix,fold4/class_2/f1-score,fold4/class_3/f1-score,fold3/class_2/precision,fold2/class_1/precision,fold1/class_1/f1-score,fold2/confusion_matrix,fold3/class_2/f1-score,fold0/class_1/precision,fold4/class_0/f1-score,fold3/class_0/recall,fold0/class_2/f1-score,fold0/class_0/f1-score,fold2/class_3/recall,fold1/class_2/f1-score
,,,1770721731.59535,,,0.8855501546619532,,11,,,,,,,,,,,,,,,,,,,,,,0.8387276785714286,,,,,875.014619238,,,,,,,,0.9379095163806552,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1770721731.5958357,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,875.015036268,,,,,0.8120481927710843,,,,,,,,,,,0.8549682875264271,,,,,,,0.9026785714285714,,,,,,,,,,
,,0.9430067775723968,1770721731.596285,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,0.9625786163522012,,,875.015460272,,,0.9526921879863056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1770721731.596639,,,,,14,,,,0.8261682242990654,,,,,,,,,,,,,,,,,,,,,0.71869918699187,,875.015779083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6359712230215827,
,,,1770721871.767745,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,1015.187114027,,,,,,,,,,,,,,,,,,,"{'path': 'media/table/fold3/confusion_matrix_15_eb9cab4706c1b835aad4.table.json', 'ncols': 5, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'nrows': 4, 'sha256': 'eb9cab4706c1b835aad407fcd38f9195d7784f0c950a313b5aab29fb25de9092', 'size': 152, 'artifact_path': 'wandb-client-artifact://3mawfkuk9r8b65v9860gvymnexr64f3gxv5a4p9ttbydc09vmjy2lb9g8jmsuunj2k1whxbke1jztqho02iuyt8ixr38137eq35q1m92zt1xvfpduwsxs1maejuw9wg9/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://rp4u2wbrrsjetszmtc9atave3nxyex5j6d360u2erwe488iigh9ntkgrdkewfzgrugt5k1pujymg8lsrnxny8h40xv65s7ffkowqffm9uwx781zykaru0f865lnx3xnh:latest/fold3/confusion_matrix.table.json'}",,,,,,,,,,,,,,
,,,1770721871.7693794,,,,,16,,,,,,,,,,,0.9165415791053738,,,,,,,,0.9435944985319116,,,,,,,,1015.188604318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9722929936305732,,,,
,,,1770721871.7697122,,,,0.9184411410204901,17,,0.9819587628865979,,,,,,,,,,,,,,,,0.8626415094339622,,,,,,,,,1015.188906579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1770721871.7700148,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,1015.1892366,,,,,,,,,0.96,,,,,,,,,,,,,0.9990319457889641,,,,0.9791271347248577,,,,,,,
,0.8658280922431866,,1770721871.770328,0.89587852494577,,,,19,,,,,,0.9280898876404494,,,,,,,,,,,,,,,,,,,,,1015.189489158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1770722109.6275964,,,,,20,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://8pbho1w3kqezsbmnlj8j9ubytxlkjenm19j9hzjb2ou7yhmitkzce74zrv0cuemo8nu6syqzi498vojk863zbz5seuq0fngq0ryhmhjazo36s3pjn1hcmvbfh96y18pr:latest/fold4/confusion_matrix.table.json', 'size': 152, 'sha256': '48b108b9d276ae1fd00af0d29d01fd571d8d6e0b4095ecd7d17ff1df8ae7fbcc', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://p3sqgupp4kswna82iokmd7q0w3wmbc8m0l13bijje7oqwkr47pz7lldr4w8qr9fhs9kbwvd8tt5w1e12f08ekv660cuowrdbm6jwupr0axw4t5c7pthxht8v0mv6l50k/fold4/confusion_matrix.table.json', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold4/confusion_matrix_20_48b108b9d276ae1fd00a.table.json'}",,,,,,,,,,,,1253.046974797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1770722109.6294181,,,,,21,,,0.9696682464454977,,,,,,,,,,,,,,,,,,,,,,,,1253.048760227,,,,,,,,,,,0.9516279069767442,,,,,,,,,,,,,,,,,0.9605633802816902,,,,,
,,,1770722109.6298113,,,,,22,,,,,,,,0.905703422053232,,,,,,,,,,,,,,,,,,,1253.049015617,,,,,,,0.9333855799373041,,,,,0.9628132578819725,,,,,,,,,,,,,,,,,,,,,
0.9674922600619195,,,1770722109.6301873,,,,,23,,,,,,,,,,,,,,,,,,,,0.9958572339069471,,,,,,,1253.049403663,,,,,,,,,,,,,,,,,,,,0.9814698492462312,,,,,,,,,,,,,
,,,1770722109.6305144,,,,,24,,,,,,,,,,,,,,,,,,,,,0.966412213740458,,,,,,1253.049688593,,,,,,,,,,,,,,0.8915492957746479,,,,,,,0.9274725274725275,,,,,,,,,,,,
,,,1770722109.9053726,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,1253.324685462,,,,"{'_type': 'table-file', 'ncols': 9, 'nrows': 5, 'artifact_path': 'wandb-client-artifact://6s6zty571ihhbu1zlpqy3vx7mjyaj6gknh9opb4556hrs5z1nk4yjbvsfzgwjitjlpr2cdrauc5krbnu0oqp2zxe3x8jzlbh2tgwnoq7cjyniujazwrp67tcixdhfjse/cv5/fold_metrics.table.json', 'size': 769, 'path': 'media/table/cv5/fold_metrics_25_21e9bcc12958432a7f6f.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://yp4zcaf0hg94byvu9ojbgjztuu29wjal61a07k1tquyqlwy8z66bqazgg01caplflfve9xvuqxte0t1jhsiudindlz7lrkbaij84x8k0cobj84x4zotzs6ets92tbhmn:latest/cv5/fold_metrics.table.json', 'sha256': '21e9bcc12958432a7f6fc143f08fc93e410baf6bf68e3b48a5a78326f3c0dbd7'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
