fold2/class_0/recall,fold2/class_0/precision,_step,fold4/class_3/f1-score,fold1/class_3/f1-score,cv5/fold_metrics,fold3/class_1/f1-score,fold0/class_2/f1-score,fold2/class_2/f1-score,fold2/class_3/recall,fold2/confusion_matrix,fold1/class_2/recall,fold3/class_0/recall,fold1/class_1/precision,fold1/confusion_matrix,fold1/class_1/f1-score,fold0/class_3/recall,fold0/confusion_matrix,fold0/class_0/precision,fold1/class_3/recall,fold4/confusion_matrix,fold4/class_0/f1-score,fold4/class_1/recall,fold3/confusion_matrix,fold4/class_2/recall,fold0/class_3/precision,fold0/class_1/f1-score,fold3/class_3/f1-score,fold3/class_2/recall,fold1/class_2/f1-score,fold4/class_1/precision,fold2/class_1/precision,fold4/class_3/recall,fold2/class_1/f1-score,fold4/class_1/f1-score,fold0/class_0/recall,fold1/class_2/precision,fold3/class_3/recall,fold1/class_0/precision,fold3/class_1/precision,fold3/class_3/precision,fold0/class_0/f1-score,fold0/class_2/precision,fold3/class_2/f1-score,fold1/class_3/precision,fold2/class_3/f1-score,fold4/class_2/precision,fold0/class_1/recall,fold1/class_0/f1-score,fold2/class_1/recall,fold1/class_0/recall,fold0/class_2/recall,fold1/class_1/recall,fold4/class_0/recall,fold3/class_0/precision,fold0/class_3/f1-score,fold3/class_2/precision,fold2/class_2/precision,fold4/class_2/f1-score,fold2/class_0/f1-score,_runtime,fold4/class_3/precision,fold3/class_0/f1-score,fold4/class_0/precision,_timestamp,fold3/class_1/recall,fold0/class_1/precision,fold2/class_2/recall,fold2/class_3/precision
0.9835079117450413,0.9859249329758714,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9847149391944662,729.964089175,,,,1770719119.4826899,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.964367816091954,,0.9635371805914441,,,,,,,,,,,,,,,,0.9627079747561675,,,,,,,,,,,729.964474832,,,,1770719119.483126,,,,
,,13,,,,,,0.9841804106361495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9831876260928043,,,729.964862753,,,,1770719119.4835193,,,0.9851752021563343,
,,14,,,,,,,0.9660842754367934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9648447523736208,,,,,,,,,,,,,,,729.965198069,,,,1770719119.4838676,,,,0.9636084059456689
,,15,,,,,,,,,,,,,,,,,,,,,"{'_type': 'table-file', 'artifact_path': 'wandb-client-artifact://xuqd3ejumu6v0712367jsl6wxjik9fzcpnwikohwzpc0d5mlxfs51nzgnpmxzvvxf2u5jqdbswydzjhsre354gg9dzqj2ahiz97m7ad1jqon8dru1n2modjfmtmqr4x5/fold3/confusion_matrix.table.json', 'size': 155, 'ncols': 5, 'path': 'media/table/fold3/confusion_matrix_15_19c7c6f6abcaa7faa6e2.table.json', '_latest_artifact_path': 'wandb-client-artifact://oymxzwbgrt2xcxyoruec88abndg0l3q0bc6op9vrw9cubbqj3uckyjd58vpmtiwebs0mnedap4zxvq99mkgs6cm53si93fn8n1c0whzxcprzmg0fclj5c0bviouog9ny:latest/fold3/confusion_matrix.table.json', 'sha256': '19c7c6f6abcaa7faa6e2c04fce4f301108142b0308050ed13d15cb86aca437d7', 'nrows': 4, 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978.72121116,,,,1770719368.2397857,,,,
,,16,,,,,,,,,,0.9872611464968153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9963269054178145,,,,,,978.72315838,,0.9917733089579525,,1770719368.241596,,,,
,,17,,,,0.9743589743589743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9655902593965061,,,,,,,,,,,,,,,,,,,,,978.723772529,,,,1770719368.2422884,0.9832884097035041,,,
,,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.9920265780730897,,,,,,,,,,,,,,,0.9888508665415608,,,,,,,,,,,,,0.9856954225352113,,,,978.724246838,,,,1770719368.242835,,,,
,,19,,,,,,,,,,,,,,,,,,,,,,,,,0.9701211305518169,,,,,,,,,,0.9641519529159979,,,0.9761646803900325,,,,,,,,,,,,,,,,,,,,978.72483895,,,,1770719368.2433548,,,,
,,20,,,,,,,,,,,,,,,,,,"{'nrows': 4, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://evh8m3udj4hkevbpzdwc78ok0lzo4cij3gf6ihd2r0ajlnl0j4lsroxr8h3rom1h60zc1xr3kxga4ib0azhnxazdob1hypi4ihpjk9f8ycp3dh29u682ag3d4n5httv8/fold4/confusion_matrix.table.json', 'sha256': '1b5fdac7005f11b698da15831a0be26ec3e432ea4f408fb959ec7d28190a82ff', 'size': 156, '_latest_artifact_path': 'wandb-client-artifact://zl1sthubx9iixnq9j77hw8be83lf0b9mdf85s4lzxlpri5fum6h4993istxvhidvxe8n1udlgeuaw6bf3bicegoqw0ojgcu23i7sf1lf1mn8bl1d6en82junszmpqiho:latest/fold4/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold4/confusion_matrix_20_1b5fdac7005f11b698da.table.json', 'ncols': 5}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1223.834718105,,,,1770719613.3530002,,,,
,,21,,,,,,,,,,,,,,,,,,,0.986289053719937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9902956443240803,,,,,,,1223.836156194,,,0.9823147526304007,1770719613.3548188,,,,
,,22,,,,,,,,,,,,,,,,,,,,0.9674090168386746,,,,,,,,0.9637445887445888,,,,0.9655733261046354,,,,,,,,,,,,,,,,,,,,,,,,,,1223.836578321,,,,1770719613.3551874,,,,
,,23,,,,,,,,,,,,,,,,,,,,,,0.9858469703670942,,,,,,,,,,,,,,,,,,,,,,0.988031914893617,,,,,,,,,,,,0.9869382333407128,,1223.836870823,,,,1770719613.3555534,,,,
,,24,0.9705639614855571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9618320610687023,,,,,,,,,,,,,,,,,,,,,,,,,,,,1223.837201234,0.9794558578567463,,,1770719613.3558376,,,,
,,25,,,"{'path': 'media/table/cv5/fold_metrics_25_e003ca89f51dd0c6c721.table.json', 'artifact_path': 'wandb-client-artifact://b9faorjhqfyicslh4pu6hnuwv724exmmvz107ic7vjcfprgpvv0v5fjpger9xxpvg6soq51yh7oimj668py69lhghzoj4pvfehdpww0zyudp949jm3q0fcl0wq2aqqjf/cv5/fold_metrics.table.json', '_type': 'table-file', 'sha256': 'e003ca89f51dd0c6c7219958c94a8cf2d0201eac7029b684bddacaf64bcf5c7a', 'size': 776, 'ncols': 9, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://ayj7hzhyrofwkroorghq7en4bgpxxpznzne9z5wjons193ol4h4ovu1dxrlusc1yk02ee02kai295i7zp404tgrbd89epmkiaeynyapjw78nvzmbxuqo553ryocb84nf:latest/cv5/fold_metrics.table.json', 'nrows': 5}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224.16331859,,,,1770719613.6818526,,,,
