fold2/class_0/precision,fold3/class_2/f1-score,fold3/class_0/recall,fold0/confusion_matrix,fold0/class_3/precision,fold1/class_3/f1-score,fold2/class_3/recall,fold3/class_2/precision,fold3/class_0/precision,fold3/confusion_matrix,fold4/class_0/f1-score,fold2/class_0/f1-score,fold3/class_3/precision,fold2/class_2/precision,fold2/class_1/recall,fold0/class_3/f1-score,fold2/class_3/precision,cv5/fold_metrics,fold1/class_1/precision,fold4/class_3/precision,fold4/class_1/recall,fold2/class_1/f1-score,fold4/class_3/f1-score,fold1/class_0/precision,fold0/class_3/recall,fold4/class_3/recall,fold3/class_3/recall,fold1/class_3/recall,fold0/class_0/f1-score,fold0/class_2/recall,fold3/class_0/f1-score,fold1/class_1/f1-score,fold4/class_1/f1-score,fold0/class_2/precision,fold0/class_1/recall,fold3/class_2/recall,_step,fold1/confusion_matrix,fold0/class_1/precision,fold0/class_1/f1-score,fold3/class_1/f1-score,fold0/class_2/f1-score,fold4/class_0/precision,fold1/class_1/recall,fold2/class_0/recall,fold4/class_2/precision,fold0/class_0/recall,fold1/class_3/precision,_timestamp,fold1/class_0/f1-score,fold4/class_2/recall,fold3/class_1/precision,fold4/class_0/recall,fold1/class_2/f1-score,fold1/class_2/recall,fold1/class_0/recall,fold4/class_2/f1-score,fold2/confusion_matrix,fold2/class_2/recall,fold3/class_1/recall,fold2/class_1/precision,fold2/class_2/f1-score,fold4/class_1/precision,_runtime,fold1/class_2/precision,fold0/class_0/precision,fold4/confusion_matrix,fold2/class_3/f1-score,fold3/class_3/f1-score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,1770721309.0903099,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://rp2qzctxsq3mfh5h71gisjvz20q9ndlz2jn0gkga5e7xw0pq8nxeroz3jdv52k4udv2xieuswjbvsoqs3ozbjbha0wo0hlu423cuh58k8utkpyuij5rqe7qvs6pktut7:latest/fold2/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 5, 'nrows': 4, 'sha256': 'e3861dcef1dfb8611a34e9178d224fa148d3db73f3ec6c82eca8185c90650897', 'size': 141, 'artifact_path': 'wandb-client-artifact://vtnb1y0mx8q210lrrs51fuorej8auw3xts5jhgo0i7xfh86tivs374y7mjdqsl7gu5l52wvtl4bwkeel7hjqn7g9zzd1gejsblog9r3lcgzblgqkp2fmpuiqktxc26hv/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_10_e3861dcef1dfb8611a34.table.json'}",,,,,,85.257538691,,,,,
0.9906542056074766,,,,,,,,,,,0.9914263445050663,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,0.9921996879875195,,,,1770721309.0922828,,,,,,,,,,,,,,,85.25941971,,,,,
,,,,,,,,,,,,,,0.9839357429718876,,,,,,,0.9919028340080972,,,,,,,,,,,,,,,12,,,,,,,,,,,,1770721309.0928092,,,,,,,,,,,,1,,,85.259880982,,,,,
,,,,,,,,,,,,,0.9798449612403101,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,1770721309.0932558,,,,,,,,,,0.9937106918238994,,,0.9867291178766588,,85.260273952,,,,,
,,,,,,0.9712230215827338,,,,,,,,,,0.9926470588235294,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,1770721309.09366,,,,,,,,,,,,,,,85.260661341,,,,0.9818181818181818,
,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'path': 'media/table/fold3/confusion_matrix_15_d86801521d1dbcbdfa2d.table.json', 'sha256': 'd86801521d1dbcbdfa2d7316619bb2a50ce7d2a1482935aa10c34224062ec449', 'nrows': 4, 'ncols': 5, 'size': 142, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://ktaebkyy6792kxla85keo4zo3xiqi2iwzi4vtp6x76wp10es1kkmjrtphlkwlo2n54g4yg5f938e7vtzbr47qam7kx5valay4kv4y1a1wzek0ytz074mgfbbgfr1cvyp/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://xivpci3hws6ynf9aesox4l45uluecvfg9czoc4xw4fg89x5r4qbglo23gf0vh4msq4r4onxv1y1wetzp0gdshh6unu6tvn1dvwfimzx3zltqc2nw28c30zj98jr0d4dm:latest/fold3/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,1770721329.2093863,,,,,,,,,,,,,,,105.376591676,,,,,
,,0.9888535031847133,,,,,,0.9872813990461049,,,,,,,,,,,,,,,,,,,,,,0.9880668257756563,,,,,,16,,,,,,,,,,,,1770721329.2110841,,,,,,,,,,,,,,,105.37833426,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,0.9829867674858223,,,,,,,,1770721329.2116458,,,0.9848484848484849,,,,,,,,0.9811320754716981,,,,105.378768198,,,,,
,0.982017200938233,,,,,,0.9905362776025236,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9736434108527132,18,,,,,,,,,,,,1770721329.2120147,,,,,,,,,,,,,,,105.379034724,,,,,
,,,,,,,,,,,,0.9244604316546763,,,,,,,,,,,,,,0.9625468164794008,,,,,,,,,,19,,,,,,,,,,,,1770721329.2123373,,,,,,,,,,,,,,,105.379337622,,,,,0.9431192660550459
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,1770721353.603449,,,,,,,,,,,,,,,129.770522136,,,"{'size': 141, '_type': 'table-file', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold4/confusion_matrix_20_853c1542b8a2cd09f3db.table.json', 'artifact_path': 'wandb-client-artifact://veybcxx10iddfyh9kkrkejkdbni8p6opzdqywu1mirrqxtjszo0sl76huyby3hsu399cfpmc133lp3uknpv2eamdabd4oetke8f0grft04in24j9nex28wmfv1id27et/fold4/confusion_matrix.table.json', 'sha256': '853c1542b8a2cd09f3db8afeffcb00370ed0017618424478d125c4dde30710b9', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://69q8n97tsdxq7a05g6ldmjl0zzdkmajze4upm3uiwruk5helc4iat18n956z089xon6q29gbicu8upjpn6dmjfau4o6xvasu0iipxfh7ai8wsi069xeho0ygmjl5zhke:latest/fold4/confusion_matrix.table.json'}",,
,,,,,,,,,,0.982839313572543,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,0.9707241910631741,,,,,,1770721353.6047513,,,,0.995260663507109,,,,,,,,,,,129.771879642,,,,,
,,,,,,,,,,,,,,,,,,,,0.9619771863117871,,,,,,,,,,,,0.9768339768339769,,,,22,,,,,,,,,,,,1770721353.6052065,,,,,,,,,,,,,,0.9921568627450981,129.772241536,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,0.9906832298136646,,,1770721353.6056564,,0.9876160990712074,,,,,,0.9891472868217054,,,,,,,129.772751801,,,,,
,,,,,,,,,,,,,,,,,,,0.96875,,,0.9575289575289575,,,0.9465648854961832,,,,,,,,,,,24,,,,,,,,,,,,1770721353.6060967,,,,,,,,,,,,,,,129.773096284,,,,,
,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://w3bkxgxqgqrpak7j6gdred0di0ffi1cc4op0xglbme7vbzz5wj9i6fjwrsoprt7sw9ci84n8uz8fh0vdvmh1hrh1esjnocihc6owdjrialbkf8ezr3qlxb368j4fp5dz:latest/cv5/fold_metrics.table.json', 'ncols': 9, 'sha256': '3132344c022c7547053fbccd4266cd5fdcbc8b39a4e34ee14151ee5cd156a36c', 'size': 765, 'nrows': 5, 'log_mode': 'IMMUTABLE', 'path': 'media/table/cv5/fold_metrics_25_3132344c022c7547053f.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://97cvdw34v2akebnwuv2n82t4gzat9e1ehu3ibtci9xxzdp4w3onauph4tgipfv9nxml6xcnra1n413nx40zey32rcbsei2tuhj2w2o4r13nkyrljy8lypji1aesp4nzp/cv5/fold_metrics.table.json'}",,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,1770721353.8919673,,,,,,,,,,,,,,,130.059144889,,,,,
