fold1/class_0/precision,fold1/class_3/precision,fold1/class_2/precision,fold1/confusion_matrix,fold2/class_2/recall,fold1/class_2/recall,fold1/class_1/precision,fold3/class_3/precision,cv5/fold_metrics,fold2/class_0/f1-score,fold2/confusion_matrix,fold0/class_1/f1-score,fold2/class_1/f1-score,fold3/confusion_matrix,fold1/class_0/f1-score,fold0/class_3/recall,fold2/class_1/recall,fold1/class_3/recall,fold2/class_0/precision,_runtime,fold4/class_1/precision,fold3/class_0/recall,fold3/class_3/recall,fold3/class_2/recall,fold4/class_1/f1-score,fold2/class_3/precision,_step,fold0/class_0/f1-score,fold4/class_2/precision,fold2/class_0/recall,fold0/class_0/recall,fold3/class_2/precision,fold2/class_2/f1-score,fold4/confusion_matrix,fold1/class_2/f1-score,fold0/confusion_matrix,fold4/class_1/recall,fold4/class_0/precision,fold0/class_3/f1-score,fold4/class_3/recall,fold4/class_3/precision,fold2/class_3/f1-score,fold1/class_3/f1-score,fold1/class_1/f1-score,fold4/class_2/f1-score,fold1/class_1/recall,fold0/class_1/precision,fold0/class_3/precision,fold0/class_0/precision,fold3/class_1/recall,fold2/class_2/precision,fold0/class_2/recall,_timestamp,fold0/class_1/recall,fold2/class_3/recall,fold1/class_0/recall,fold2/class_1/precision,fold0/class_2/f1-score,fold3/class_1/precision,fold4/class_3/f1-score,fold3/class_2/f1-score,fold3/class_1/f1-score,fold3/class_3/f1-score,fold0/class_2/precision,fold3/class_0/f1-score,fold4/class_0/recall,fold3/class_0/precision,fold4/class_2/recall,fold4/class_0/f1-score
,,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://v02wsyrqv940udwddcjz3f7e7hg5j2v7skzo2tf799yl7ki37pt2k0bvvl1e5fdn5cvm35sknst7rm69v2fq4tosngbukhxsvli385exqb8pk5p6ox7ptda3dbnc0pki:latest/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_10_a581efd4db19c76fb6e6.table.json', 'sha256': 'a581efd4db19c76fb6e6bd84212eb674074d21701c55541710b61835b8c695e0', 'nrows': 4, '_type': 'table-file', 'size': 146, 'artifact_path': 'wandb-client-artifact://6t22u177e5d1fu7krdcy81ixezgyez2np2ju1tabvzqcoaq7artsqvmfeekubj059b4lvvhq2dvjn0cauk1hw5okj4hrl7k7wqwqqo3c6fvprx7q665jt5y1yyg0x0yj/fold2/confusion_matrix.table.json', 'ncols': 5}",,,,,,,,,546.448168547,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,1770721916.2417414,,,,,,,,,,,,,,,,
,,,,,,,,,0.9548989113530326,,,,,,,,,0.951937984496124,546.449918567,,,,,,,11,,,0.9578783151326054,,,,,,,,,,,,,,,,,,,,,,,1770721916.2434413,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.9090909090909091,,,,0.8634538152610441,,,546.450339118,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,1770721916.2440238,,,,0.9598214285714286,,,,,,,,,,,,
,,,,0.9591194968553459,,,,,,,,,,,,,,,546.450699381,,,,,,,13,,,,,,0.9486780715396579,,,,,,,,,,,,,,,,,,0.9384615384615385,,1770721916.2444377,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,546.451043545,,,,,,0.8526315789473684,14,,,,,,,,,,,,,,,0.8632326820603907,,,,,,,,,,,1770721916.2447805,,0.8741007194244604,,,,,,,,,,,,,,
,,,,,,,,,,,,,"{'sha256': 'd1d2d2d5efef88d5d1648f465e145d71b0cb1668f0db9ad82f228fd3945c55d0', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://2ywyaprivlsywtvm5uvkmoo6bqxjl3qaw2o113s24v1noachmiyio7du7m5l00lf4h7e3gj6eco1bhdwe8e9lvzxf1uevh0m909q6ho8hv65t3t0662ac165i6iac3pt/fold3/confusion_matrix.table.json', 'path': 'media/table/fold3/confusion_matrix_15_d1d2d2d5efef88d5d164.table.json', 'ncols': 5, 'nrows': 4, 'size': 145, '_latest_artifact_path': 'wandb-client-artifact://3o4cvk64m2zq37whn1zu5mp70gr7wsekhe9w6qt4bvm7zukw8gmxpcpi8891957wss0i7kiuudcc9cy1i1kjcdsj1dmhm8frtb5871k9golb65k5ea2paaeupakrnrwj:latest/fold3/confusion_matrix.table.json'}",,,,,,579.464676445,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,1770721949.2583036,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,579.466504536,,0.9490445859872612,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,1770721949.2601383,,,,,,,,,,,,0.9558941459502807,,0.962843295638126,,
,,,,,,,,,,,,,,,,,,,579.466861143,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,0.9169811320754717,,,1770721949.2605557,,,,,,0.9135338345864662,,,0.9152542372881356,,,,,,,
,,,,,,,,,,,,,,,,,,,579.467271147,,,,0.9565891472868217,,,18,,,,,0.9405487804878049,,,,,,,,,,,,,,,,,,,,,1770721949.2609553,,,,,,,,0.9485011529592621,,,,,,,,
,,,,,,,0.8636363636363636,,,,,,,,,,,,579.467703443,,,0.8539325842696629,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,1770721949.2613947,,,,,,,,,,0.8587570621468926,,,,,,
,,,,,,,,,,,,,,,,,,,631.052616536,,,,,,,20,,,,,,,"{'nrows': 4, 'sha256': 'f72be164e08805407320102943e51c46218576b40809f43a2d4625d79cd6ea7d', 'log_mode': 'IMMUTABLE', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://o24d1n1bwfjdg6kyg1tu03doitck8skhi7spz801nfdc5t3bg5ycujuo93ktaxeac7ejifgtenofb21zgxrbmttdatdk8zl1w4eqp3jlhk84f3swannb0fihejvfdbp5:latest/fold4/confusion_matrix.table.json', 'ncols': 5, 'path': 'media/table/fold4/confusion_matrix_20_f72be164e08805407320.table.json', 'artifact_path': 'wandb-client-artifact://bc6yemgkid4iigaqgcuoa8mccf2eq9iy82sgjrvrkllvrnm7a0q6gfpza8ptd8b224k2hy1fobkxgs88dsohbsyew80dpc3520snd8dsajlz5ntd63b0h5wfzwer4v33/fold4/confusion_matrix.table.json', 'size': 146}",,,,,,,,,,,,,,,,,,,1770722000.8461106,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,631.054291272,,,,,,,21,,,,,,,,,,,0.9577464788732394,,,,,,,,,,,,,,,1770722000.847975,,,,,,,,,,,,,0.966824644549763,,,0.9622641509433962
,,,,,,,,,,,,,,,,,,,631.054792389,0.9915611814345991,,,,0.94,,22,,,,,,,,,,0.8935361216730038,,,,,,,,,,,,,,,,1770722000.8483992,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,631.055197536,,,,,,,23,,0.9367469879518072,,,,,,,,,,,,,,,,0.9496183206106871,,,,,,,,1770722000.8488753,,,,,,,,,,,,,,,0.9628482972136223,
,,,,,,,,,,,,,,,,,,,631.055516012,,,,,,,24,,,,,,,,,,,,,0.8816793893129771,0.875,,,,,,,,,,,,1770722000.8492439,,,,,,,0.8783269961977186,,,,,,,,,
,,,,,,,,"{'ncols': 9, 'path': 'media/table/cv5/fold_metrics_25_0ce00ad8167766bc015e.table.json', '_type': 'table-file', 'nrows': 5, 'artifact_path': 'wandb-client-artifact://0vfgvtpraoq1xojvch20ap1ndhd95m7iqnut6gxjtlsud1fud9hygcjmcuvwid2g3v189rugfwgxf3k6ue1n2e0k3zkqhaznjue3shkk3amm97imx8wh2j47dzqc5gkj/cv5/fold_metrics.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://y73ext60c5ohrdpu3nbuiaepqwsyeyd1m6iq1llixjinz39whmxck8zb5fpvjdn0dpqkhfni3r8v7atr1cqom7pq3nd7y68wyck6fcxe3q46a4rpck8qp7vku1rga04w:latest/cv5/fold_metrics.table.json', 'sha256': '0ce00ad8167766bc015e8892746e13816076c8aecf9416f0e3ee5701d2a046ae', 'size': 764}",,,,,,,,,,,631.341890457,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,1770722001.1356213,,,,,,,,,,,,,,,,
