fold2/class_0/precision,fold0/class_0/precision,fold2/class_2/recall,fold3/class_1/recall,fold0/class_3/precision,fold3/class_3/precision,fold4/class_1/recall,fold0/class_3/recall,fold2/class_0/f1-score,fold4/class_1/precision,fold1/class_3/f1-score,fold3/class_2/f1-score,fold0/class_2/precision,fold4/class_2/precision,fold4/class_0/f1-score,_step,_runtime,fold2/class_1/f1-score,fold0/class_0/f1-score,fold2/class_3/recall,fold4/class_1/f1-score,fold1/class_1/precision,fold2/class_1/precision,fold2/class_3/precision,fold1/class_0/precision,fold1/class_1/f1-score,fold0/class_1/f1-score,fold1/class_3/recall,fold2/confusion_matrix,fold3/class_1/f1-score,fold1/class_2/precision,fold1/class_2/f1-score,fold3/class_3/recall,fold0/class_1/recall,fold0/class_2/recall,fold0/confusion_matrix,fold1/class_0/f1-score,fold3/class_2/recall,fold3/class_3/f1-score,fold4/class_3/f1-score,fold2/class_1/recall,fold3/class_0/precision,fold1/class_1/recall,fold4/class_3/precision,fold3/class_0/recall,fold2/class_2/f1-score,fold1/confusion_matrix,cv5/fold_metrics,fold2/class_0/recall,fold4/class_3/recall,fold0/class_0/recall,fold3/class_1/precision,fold4/class_0/recall,fold0/class_3/f1-score,fold1/class_3/precision,fold3/class_0/f1-score,_timestamp,fold2/class_2/precision,fold3/confusion_matrix,fold4/class_2/f1-score,fold0/class_1/precision,fold0/class_2/f1-score,fold1/class_0/recall,fold4/class_2/recall,fold4/class_0/precision,fold3/class_2/precision,fold4/confusion_matrix,fold2/class_3/f1-score,fold1/class_2/recall
,,,,,,,,,,,,,,,10,44.600263003,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'nrows': 4, 'sha256': '2b8aa33954e82c69953c066f8cf31b44c4910dc26399f9d95909c34416991fc2', 'size': 141, '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://tm6j65x1vyfxfjmw6xdbprrtyqnbhzvtlhkly8qg6tivx79gx8p4l4xb1i1yqy626gf3bcf99ao25iiqcbv76wp2so91plwazsx2gxxnzzv3sdjk86swd7qulr1h9j7l:latest/fold2/confusion_matrix.table.json', 'ncols': 5, 'path': 'media/table/fold2/confusion_matrix_10_2b8aa33954e82c69953c.table.json', 'artifact_path': 'wandb-client-artifact://g2vshhmczlx2v37l2yor9icib4w4d42q2bswjkrlboismt3va1un3si2i5yfdqfbip3ki4b1tn1ff168l2blmk33hny8pz3l3ps6yg6mxwblz7hpk4et9rvum114c63t/fold2/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,1770717049.9221005,,,,,,,,,,,,
0.9937888198757764,,,,,,,,0.9961089494163424,,,,,,,11,44.601861419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9984399375975039,,,,,,,,1770717049.9237528,,,,,,,,,,,,
,,,,,,,,,,,,,,,12,44.60233316,0.9859154929577465,,,,,0.9879032258064516,,,,,,,,,,,,,,,,,,0.9839357429718876,,,,,,,,,,,,,,,,1770717049.924265,,,,,,,,,,,,
,,0.9952830188679245,,,,,,,,,,,,,13,44.602842458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9937205651491365,,,,,,,,,,,1770717049.9247718,0.9921630094043887,,,,,,,,,,,
,,,,,,,,,,,,,,,14,44.603176149,,,0.9748201438848921,,,,0.9890510948905109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770717049.9251854,,,,,,,,,,,0.9818840579710145,
,,,,,,,,,,,,,,,15,62.940790726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770717068.2624297,,"{'nrows': 4, 'sha256': 'b4a3d8af0967c79ba85f5b79b1fe2ad894ae0e6954928cf0bc5dd746a3e6302b', 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold3/confusion_matrix_15_b4a3d8af0967c79ba85f.table.json', '_latest_artifact_path': 'wandb-client-artifact://hkwny44sd1pkkxmve3noqqzs55w5znykc81kiv0xot0c4h5hwbwbin1aiwqr24xvd2g4eu69zu46m2a6t498rm2ta5ny29xwb622r9om5fvduthmnljh7c8lfnbhicz6:latest/fold3/confusion_matrix.table.json', 'size': 141, 'artifact_path': 'wandb-client-artifact://fdmu0lyg6cgzset9kqprbeqtth158ugd1f5h0d5t99hofqsedmrqafn14mfzwkj3jij0k8bysp6imlq6uqvwqysxm92qk8qpcgdthzpwbhouz231r7utdkc69lw1oaxe/fold3/confusion_matrix.table.json', 'ncols': 5, '_type': 'table-file'}",,,,,,,,,,
,,,,,,,,,,,,,,,16,62.942779549,,,,,,,,,,,,,,,,,,,,,,,,,0.9984076433121019,,,0.9984076433121019,,,,,,,,,,,0.9984076433121019,1770717068.2646716,,,,,,,,,,,,
,,,0.9962264150943396,,,,,,,,,,,,17,62.943079527,,,,,,,,,,,,,0.9962264150943396,,,,,,,,,,,,,,,,,,,,,,0.9962264150943396,,,,,1770717068.2650583,,,,,,,,,,,,
,,,,,,,,,,,0.9922118380062306,,,,18,62.943502058,,,,,,,,,,,,,,,,,,,,,0.9875968992248062,,,,,,,,,,,,,,,,,,,1770717068.2654521,,,,,,,,,0.9968701095461658,,,
,,,,,0.9706959706959707,,,,,,,,,,19,62.943851338,,,,,,,,,,,,,,,,0.9925093632958801,,,,,,0.9814814814814815,,,,,,,,,,,,,,,,,,1770717068.2658205,,,,,,,,,,,,
,,,,,,,,,,,,,,,20,74.112079824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770717079.4339027,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://sfz9585bw49r5k0rwpu8ynigp3w94lgxin5dsm7w7gm11bsn91wid293sjcqxfohdg0y96up0dnpr52hks2dn7m7g2ofcvlp38rz26q1jgc98f86k0ufgils2uf1t8n5/fold4/confusion_matrix.table.json', '_type': 'table-file', 'sha256': 'f52886d38d2ef24a51ba6b0cc2ff6e36ed6534f1592384c87eea3c1fe5102aa1', '_latest_artifact_path': 'wandb-client-artifact://vgk3ctr60n08rt3ynmq2y3fzm0zoj044krafncec3cwk9c100sqxkh6z64mqbnbfjdnuvslw3jx7hual5yfykcuecd84hd5an8vne98adahn48qph1lfcltv899u0zhd:latest/fold4/confusion_matrix.table.json', 'ncols': 5, 'nrows': 4, 'size': 142, 'path': 'media/table/fold4/confusion_matrix_20_f52886d38d2ef24a51ba.table.json', 'log_mode': 'IMMUTABLE'}",,
,,,,,,,,,,,,,,0.9819890368050117,21,74.1137192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.990521327014218,,,,1770717079.4356883,,,,,,,,0.9736024844720497,,,,
,,,,,,0.9125475285171103,,,0.975609756097561,,,,,,22,74.114020999,,,,0.9430255402750491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770717079.436032,,,,,,,,,,,,
,,,,,,,,,,,,,0.9922480620155039,,23,74.114315315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770717079.4363465,,,0.9914794732765299,,,,0.9907120743034056,,,,,
,,,,,,,,,,,,,,,24,74.114609146,,,,,,,,,,,,,,,,,,,,,,,0.9566854990583804,,,,0.9442379182156134,,,,,,0.9694656488549618,,,,,,,1770717079.4366338,,,,,,,,,,,,
,,,,,,,,,,,,,,,25,74.378518217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://uucwcam5hya19gqtjxvbo4ihorwir4fbiyy2m7jcuaqiukkmll9y9bqm8facaak689urmdqnqtjwgwmjhvzkz5akyx66kcpjqcwxnfaiz2s4guj4q9xi6shf3sz1e594:latest/cv5/fold_metrics.table.json', 'ncols': 9, 'artifact_path': 'wandb-client-artifact://g3rx4abrvypt98fkw4dgfb6g65d4l6j74ci6y984l8wary6ermpd03g6wf8on1gwz2jqq57li9nx8dp5sz2s4ciz9yb9z0s65oqiidyeg3zbpbyy9w0o9hwzc46j2hjt/cv5/fold_metrics.table.json', 'path': 'media/table/cv5/fold_metrics_25_5d544049e53cb06add2c.table.json', 'size': 767, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'nrows': 5, 'sha256': '5d544049e53cb06add2c17f64f8a457c95a8a706360903c8b2f4d65bac42e784'}",,,,,,,,,1770717079.700397,,,,,,,,,,,,
