fold4/class_0/precision,fold2/class_1/recall,fold2/class_3/f1-score,fold3/class_2/precision,fold3/class_2/recall,fold0/class_2/precision,fold3/class_2/f1-score,fold3/class_3/f1-score,fold1/class_1/recall,fold2/class_0/recall,fold4/confusion_matrix,fold1/class_0/f1-score,fold2/class_1/f1-score,fold4/class_1/f1-score,fold2/class_3/precision,fold1/class_2/recall,fold1/class_1/precision,fold3/class_0/precision,_runtime,fold0/class_1/f1-score,fold0/class_1/precision,cv5/fold_metrics,fold0/class_3/recall,fold4/class_0/recall,fold4/class_2/recall,fold4/class_1/recall,fold1/class_3/precision,fold2/class_2/precision,fold3/class_3/precision,fold0/class_2/f1-score,fold2/class_2/f1-score,fold2/confusion_matrix,fold1/class_0/recall,fold0/class_2/recall,fold4/class_3/recall,fold0/class_1/recall,fold4/class_2/precision,fold4/class_0/f1-score,fold1/class_1/f1-score,fold2/class_0/f1-score,fold1/class_0/precision,fold0/class_0/precision,fold1/class_3/f1-score,fold3/class_1/f1-score,fold3/class_1/precision,fold0/class_3/f1-score,fold0/class_0/f1-score,fold1/confusion_matrix,fold3/class_1/recall,fold2/class_0/precision,fold3/confusion_matrix,fold3/class_0/f1-score,fold0/class_3/precision,fold4/class_3/precision,fold2/class_3/recall,fold3/class_0/recall,fold4/class_2/f1-score,fold0/class_0/recall,fold3/class_3/recall,fold0/confusion_matrix,_step,_timestamp,fold1/class_2/precision,fold2/class_2/recall,fold2/class_1/precision,fold1/class_3/recall,fold1/class_2/f1-score,fold4/class_3/f1-score,fold4/class_1/precision
,,,,,,,,,,,,,,,,,,370.842397542,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'sha256': '8cffbbaf44d19d46571e03acec68bcbb6b0052ca3fb6643df11119ade9cb6e30', 'size': 145, '_type': 'table-file', 'ncols': 5, 'path': 'media/table/fold2/confusion_matrix_10_8cffbbaf44d19d46571e.table.json', 'artifact_path': 'wandb-client-artifact://r5n0rfqfa8jpjc8bv32sfeg5ffc1mhexbpb7geospk5vahhacejoxg7fzy5q1og8t52od560wx7eec2a6kujxztzlpd0csjuqrh1qd18bfko87ryljcxzh2xjst6oos6/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://z8x1i80jy17b392z8snz3zak60u0ga1ibmbo9bazbtu0bkkj29rea3vl2vojw5vkk9kaj2bxkxy08u4v1xff211o0wljfa28usmac6mzyb0rp501v8w6ftip2ddqozbh:latest/fold2/confusion_matrix.table.json', 'nrows': 4}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1770720884.0703084,,,,,,,
,,,,,,,,,0.9990639625585024,,,,,,,,,370.843692471,,,,,,,,,,,,,,,,,,,,,0.9992198470900296,,,,,,,,,,0.9993757802746567,,,,,,,,,,,11,1770720884.0716443,,,,,,,
,0.9919678714859438,,,,,,,,,,,0.9951651893634166,,,,,,370.844095419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1770720884.0720088,,,0.9983831851253031,,,,
,,,,,,,,,,,,,,,,,,370.844503979,,,,,,,,,0.9993698802772527,,,0.998426188227888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1770720884.0723553,,0.9974842767295597,,,,,
,,0.9932021466905188,,,,,,,,,,,,0.9879003558718861,,,,370.844905765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9985611510791367,,,,,,14,1770720884.0727606,,,,,,,
,,,,,,,,,,,,,,,,,,481.737315744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://c85tlk74a5tyowpnaulhbej1qr3k4o188ihgpandc3rda8j03r0wndp0pr7iz70ana639z8n3ql3v798fnyp0ywtpj40s7obxtzlq7srg6jixfrgzkplysmy7hvs44qb/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://j0d0b9svv56b8dvt6wexsd96655vpkyc2syxh6kricf40667qpcj6hj9frx7460qmn4p7i9i80buvz976onxila5gtjcs40oaltp9x3oieo55waj3gsdtqrzsdci3qzd:latest/fold3/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 5, 'path': 'media/table/fold3/confusion_matrix_15_a1c99fb00305b70527f7.table.json', 'sha256': 'a1c99fb00305b70527f7150d93042b7974f69fdd9ea62b01eabe93e30d3ef595', 'log_mode': 'IMMUTABLE', 'nrows': 4, 'size': 145}",,,,,,,,,,15,1770720994.96511,,,,,,,
,,,,,,,,,,,,,,,,,0.9990448901623686,481.739315965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992039484158574,,,,0.9993630573248408,,,,,16,1770720994.967037,,,,,,,
,,,,,,,,,,,,,,,,,,481.739794045,,,,,,,,,,,,,,,,,,,,,,,,,0.9984905660377359,0.9984905660377359,,,,0.9984905660377359,,,,,,,,,,,,17,1770720994.9676287,,,,,,,
,,,0.9993788819875776,0.997829457364341,,0.9986035686578744,,,,,,,,,,,,481.740234971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1770720994.9681122,,,,,,,
,,,,,,,0.9955123410620793,,,,,,,,,,,481.740605399,,,,,,,,,,0.9940253920836445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997003745318352,,19,1770720994.9685104,,,,,,,
,,,,,,,,,,"{'ncols': 5, 'nrows': 4, 'sha256': '7ff53a2fa59245aae8f1a77086fdb37a72e695b4231196c94f85a581ba701692', '_latest_artifact_path': 'wandb-client-artifact://web0c74r9ekjdh69i9f31btglal1zs4ctttik8sfg54o1cua1p3dt99v37u91zvvbek75hrygz95ri0913cvyqrmd2gk9zypvk074pzhvmhpo84kyakmvgsgftr5xf3q:latest/fold4/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold4/confusion_matrix_20_7ff53a2fa59245aae8f1.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://k137z6qi9i1l973m9qub88ltbt3sfmgpbxtz7tey1ykket2ntdflsdixzctv1ow5rmbwb5md35v2ezl6j373al8ht7488nc2x0q0jcpbbfv7w780sinm5f7zzyhd6c37/fold4/confusion_matrix.table.json', 'size': 145}",,,,,,,,602.77307498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1770721116.0007493,,,,,,,
0.9987345776652958,,,,,,,,,,,,,,,,,,602.774588923,,,,,0.9974723538704582,,,,,,,,,,,,,,0.9981030667088208,,,,,,,,,,,,,,,,,,,,,,,21,1770721116.0023627,,,,,,,
,,,,,,,,,,,,,0.9954233409610984,,,,,602.774957996,,,,,,,0.9923954372623575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1770721116.0028455,,,,,,,0.9984697781178271
,,,,,,,,,,,,,,,,,,602.775417739,,,,,,0.9990712074303405,,,,,,,,,,,,0.9984529702970297,,,,,,,,,,,,,,,,,,,,0.9987619931909626,,,,23,1770721116.0032854,,,,,,,
,,,,,,,,,,,,,,,,,,602.775815564,,,,,,,,,,,,,,,,0.9946564885496183,,,,,,,,,,,,,,,,,,,0.9871212121212121,,,,,,,24,1770721116.003754,,,,,,0.990874524714829,
,,,,,,,,,,,,,,,,,,603.448008739,,,"{'nrows': 5, 'ncols': 9, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://s0b2wvxkeqnghuwkro0fdsr4ybgu1sjgp1pjppaaqa8tzt60t7ort0fxahe6431m9er7fmou0aydaej2cotm6fiyfxsctxeywez85v2s7d8jjpcmtaf4er46y678j9ld:latest/cv5/fold_metrics.table.json', '_type': 'table-file', 'path': 'media/table/cv5/fold_metrics_25_e34994149c24255432a1.table.json', 'sha256': 'e34994149c24255432a1082477d400b3d6daeb70e9fa33cfde0fc7dfebfe119d', 'artifact_path': 'wandb-client-artifact://8pf5ddquw1ndu37k3gzmk20obp19cj79cp0u88cotp18tinnu1ki55mgj9p7tdgpjdue1n9d0wydat2ttwwca0gcgrloln6243tbuzjxqxkt5ugusj0iqgrer7l07t5m/cv5/fold_metrics.table.json', 'size': 775}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1770721116.6757085,,,,,,,
