fold2/class_3/precision,fold3/class_2/recall,fold4/class_1/recall,fold2/class_1/precision,fold4/class_3/recall,fold3/confusion_matrix,fold1/class_0/recall,fold3/class_0/recall,fold0/class_0/precision,fold2/class_2/precision,fold1/class_2/recall,fold1/class_1/recall,fold2/class_3/recall,fold3/class_3/f1-score,fold0/class_0/recall,fold0/class_1/f1-score,fold2/class_3/f1-score,fold2/class_0/precision,fold2/class_2/f1-score,fold4/class_0/precision,fold4/class_3/precision,fold0/class_3/recall,fold4/confusion_matrix,fold0/class_3/precision,fold4/class_2/recall,_step,fold3/class_1/f1-score,fold1/class_2/precision,fold3/class_3/precision,fold4/class_2/f1-score,fold2/class_1/recall,fold3/class_1/precision,fold0/class_1/precision,fold0/class_0/f1-score,fold1/class_3/f1-score,fold3/class_2/precision,fold1/confusion_matrix,fold0/confusion_matrix,fold3/class_0/f1-score,fold4/class_3/f1-score,fold3/class_2/f1-score,fold0/class_3/f1-score,fold1/class_1/f1-score,fold1/class_3/recall,fold1/class_2/f1-score,fold4/class_0/f1-score,fold0/class_2/f1-score,_timestamp,fold4/class_1/f1-score,fold4/class_2/precision,fold1/class_0/precision,fold0/class_1/recall,_runtime,fold2/class_1/f1-score,fold4/class_0/recall,fold1/class_3/precision,fold2/class_0/recall,cv5/fold_metrics,fold2/confusion_matrix,fold3/class_3/recall,fold0/class_2/precision,fold2/class_0/f1-score,fold0/class_2/recall,fold3/class_0/precision,fold4/class_1/precision,fold3/class_1/recall,fold2/class_2/recall,fold1/class_0/f1-score,fold1/class_1/precision
,,,,,,,,,,,,,,,,,0.9996870109546165,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,1770720612.8154054,,,,,2214.728010215,,,,0.9965678627145086,,,,,0.998125,,,,,,,
,,,0.9983857949959645,,,,,,,,,,,,,,,,,,,,,,12,,,,,0.993574297188755,,,,,,,,,,,,,,,,,1770720612.815749,,,,,2214.728320425,0.9959742351046699,,,,,,,,,,,,,,,
,,,,,,,,,0.9968642207588586,,,,,,,,,0.998272884283247,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,1770720612.8161414,,,,,2214.728785372,,,,,,,,,,,,,,0.9996855345911949,,
0.9863994273443092,,,,,,,,,,,,0.9913669064748202,,,,0.9888769285970578,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,1770720612.8165572,,,,,2214.729182412,,,,,,,,,,,,,,,,
,,,,,"{'path': 'media/table/fold3/confusion_matrix_15_4dcca47948ab6a04ed25.table.json', 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'size': 148, '_latest_artifact_path': 'wandb-client-artifact://tm54l3b0ch66qlng93m0kji3h6sc474i9fpc0qdqkeitdy697y3aspfv9zlqy46ms1a34qmjj4j6trfyalvefe03yqk70jgdt2xbrxdopf8vveri88pxkx4amwzt446w:latest/fold3/confusion_matrix.table.json', 'ncols': 5, 'nrows': 4, 'sha256': '4dcca47948ab6a04ed25762424992386d0b9f6ad1fd918328a949394aafcb48a', 'artifact_path': 'wandb-client-artifact://cgmu2d8kjdmrwweguqckgre88fzok7423vp5td9e3rfwggpkeukccflb3yb2f2dmsd14wlejuqc4e8qd9mshage4lwu5wyekaj6e10j2ycdp4fu9k4vdkj4t9e3vvp21/fold3/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,1770720744.089776,,,,,2346.002489355,,,,,,,,,,,,,,,,
,,,,,,,0.9955414012738854,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,0.997765719757421,,,,,,,,,1770720744.0915694,,,,,2346.004216707,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,17,0.9895052473763118,,,,,0.9828741623231572,,,,,,,,,,,,,,,,1770720744.0920022,,,,,2346.004646834,,,,,,,,,,,,,0.9962264150943396,,,
,0.9910077519379845,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,0.9968808484092326,,,,,0.9939356243197014,,,,,,,1770720744.0924501,,,,,2346.0051037,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9780260707635009,,,,,,,,,,,,19,,,0.9725925925925926,,,,,,,,,,,,,,,,,,,1770720744.092867,,,,,2346.005503212,,,,,,,0.9835205992509364,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"{'ncols': 5, '_latest_artifact_path': 'wandb-client-artifact://o2cjywv3qqw0c5652ftvly9ay7l4xwyitk1yksvckr8zwvpcghhdqwbvetqgjcdelvf7sb8h1ev85yezlh6surjlohwnalrz7gih603v12lv9u98oaydpd5wu6erim9l:latest/fold4/confusion_matrix.table.json', 'size': 152, 'sha256': 'd7562cf88fa91e32a58d0b3a8da0a2165b0996a5e3b93aa09a129fbae619baca', 'log_mode': 'IMMUTABLE', 'nrows': 4, 'path': 'media/table/fold4/confusion_matrix_20_d7562cf88fa91e32a58d.table.json', 'artifact_path': 'wandb-client-artifact://k50rxkuhnv0bjes8xewc2w0w05uv47oyv0pe9ykyyequ3qpzwma5u5bs4j8t4i6y4n6jbl0kpu77q8luh4tbai3o6aerfpd9tgqh4ukltcy0u0dlegecyqzkmmxdu7bk/fold4/confusion_matrix.table.json', '_type': 'table-file'}",,,20,,,,,,,,,,,,,,,,,,,,,,1770720843.644615,,,,,2445.557295267,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.9936244819891616,,,,,,21,,,,,,,,,,,,,,,,,,,,0.9892097746747064,,1770720843.6463184,,,,,2445.55893188,,0.9848341232227488,,,,,,,,,,,,,,
,,0.9239543726235742,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,1770720843.6468315,0.9473684210526315,,,,2445.559465044,,,,,,,,,,,,0.972,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.9894736842105263,23,,,,0.9922384352685502,,,,,,,,,,,,,,,,,,1770720843.647274,,0.9950186799501868,,,2445.559835867,,,,,,,,,,,,,,,,
,,,,0.9778625954198473,,,,,,,,,,,,,,,,0.9014778325123153,,,,,24,,,,,,,,,,,,,,0.9381179055291102,,,,,,,,1770720843.6476502,,,,,2445.560206552,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,1770720843.9718919,,,,,2445.884631435,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://dud203g997y5t0tju278qh6jrmgot6ez49q537ej51sp5fd19v3jlk7rfjsa4a813pbmz2b3e8ocba2p5woqeaqtads98qydqhb5l7iefcsxmc405582exogb27bbs78:latest/cv5/fold_metrics.table.json', '_type': 'table-file', 'sha256': '26258a6789008a650fcdab1aea6421d1f29f2525a233164ea4d2fc3160c03def', 'ncols': 9, 'path': 'media/table/cv5/fold_metrics_25_26258a6789008a650fcd.table.json', 'log_mode': 'IMMUTABLE', 'size': 776, 'nrows': 5, 'artifact_path': 'wandb-client-artifact://lm3dxvlyclc59ylke6x5d4tuirgiu38drawnxlfgn4jr5qvr223ldehlz9o1g4a4i4627u16p2n53vojyhfr3itri7oi6x4v7piywb60hc0tjqjp17xaqba65c6li9pa/cv5/fold_metrics.table.json'}",,,,,,,,,,,
