fold4/class_1/recall,fold2/class_1/f1-score,fold3/class_1/precision,fold3/class_2/f1-score,fold3/class_3/precision,fold1/class_3/f1-score,fold2/class_0/precision,fold1/class_2/precision,fold3/class_1/f1-score,fold2/class_3/f1-score,fold4/class_2/f1-score,fold0/class_0/precision,fold1/class_3/precision,fold3/confusion_matrix,fold1/class_1/f1-score,fold2/class_3/precision,fold0/class_0/recall,fold3/class_2/precision,fold0/class_1/recall,fold4/class_0/precision,_runtime,fold0/class_2/recall,fold4/class_1/f1-score,fold1/class_0/f1-score,fold2/class_1/recall,fold0/class_2/precision,_timestamp,fold3/class_0/f1-score,fold2/class_2/recall,fold2/class_2/f1-score,fold2/class_0/recall,fold2/confusion_matrix,fold1/class_2/f1-score,fold0/class_0/f1-score,fold1/class_0/recall,fold2/class_1/precision,fold4/class_0/f1-score,fold3/class_3/f1-score,fold0/class_3/f1-score,fold3/class_3/recall,fold3/class_1/recall,fold0/confusion_matrix,fold1/class_1/recall,fold4/class_2/precision,fold2/class_2/precision,fold4/class_1/precision,fold1/class_0/precision,_step,fold4/class_2/recall,fold4/class_3/f1-score,fold2/class_3/recall,fold3/class_0/recall,fold3/class_2/recall,fold0/class_3/precision,fold1/class_3/recall,fold4/class_3/recall,fold1/class_1/precision,fold0/class_3/recall,fold2/class_0/f1-score,cv5/fold_metrics,fold4/confusion_matrix,fold3/class_0/precision,fold0/class_2/f1-score,fold4/class_0/recall,fold1/class_2/recall,fold0/class_1/f1-score,fold0/class_1/precision,fold1/confusion_matrix,fold4/class_3/precision
,,,,,,,,,,,,,,,,,,,,2232.011227333,,,,,,1770724354.0786943,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://y4h9fgneynja73gy5dhya0wkxq29vxnybyy3ffnkz9zrps2l1m5838ovtcf2k8c3mnvtfkcem30nvetuy8ur1xedxygwepvernzk4b3k0123520y8ta5huykcsff2t05:latest/fold2/confusion_matrix.table.json', 'ncols': 5, 'sha256': '73b747a78ddac73f0ced48da6c2c803dc7df31ed27bfe31dc90b6b106401ce58', 'artifact_path': 'wandb-client-artifact://88imb8g8igjerjkc9cb3shqwvycpe78tp3jwuwidth4bn2npxi7sdg5z0w9ze8l8abqjb8hj28aqbaqawep1z2wd58rjtxml937gyamazyfhcx7t27vlbzrma11956n6/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_10_73b747a78ddac73f0ced.table.json', 'size': 153, '_type': 'table-file', 'nrows': 4}",,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.97347316471314,,,,,,,,,,,,,,2232.012633587,,,,,,1770724354.080229,,,,0.9847113884555382,,,,,,,,,,,,,,,,,11,,,,,,,,,,,0.9790600279199628,,,,,,,,,,
,0.9662107803700724,,,,,,,,,,,,,,,,,,,2232.013039937,,,,0.9646586345381526,,1770724354.080612,,,,,,,,,0.967767929089444,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2232.013452455,,,,,,1770724354.0810206,,0.9836477987421384,0.9785703112779602,,,,,,,,,,,,,,,0.9735449735449735,,,13,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.9712601326455417,,,,,,0.9954682779456193,,,,,2232.013771556,,,,,,1770724354.081369,,,,,,,,,,,,,,,,,,,,,14,,,0.9482014388489208,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://jrdp7kwoeykfpqot3pkx88ytyan7rkm5l5dl42toa49564w79o44cqa58kwzgkpk51zcwiee8p06eljkeymhf0tieajvolabko7ynbfu5i58xrv8vwh1yqnhytxxjh7q/fold3/confusion_matrix.table.json', 'sha256': '3fe7e1ed0b95d713f3b50a694273635d174c4dfdd5027e47cbea9d5d5e5b7d2f', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://t4v7zgw26wipskflmoeu8i6zflwsj2zds0qz2ewt6p5chglzmx6eomrw8jfi5z3pw2j08qbhfuji348dylpow37axsmw6mn89aedmzc54nkkyfns10gv0a1woilbzgl0:latest/fold3/confusion_matrix.table.json', 'path': 'media/table/fold3/confusion_matrix_15_3fe7e1ed0b95d713f3b5.table.json', 'size': 153, 'ncols': 5, 'log_mode': 'IMMUTABLE', 'nrows': 4}",,,,,,,2389.562190118,,,,,,1770724511.6295655,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2389.563874796,,,,,,1770724511.6313636,0.9813997477931904,,,,,,,,,,,,,,,,,,,,16,,,,0.9914012738853503,,,,,,,,,,0.9715980024968789,,,,,,,
,,0.9719058466211086,,,,,,0.9689629068887207,,,,,,,,,,,,2389.564391391,,,,,,1770724511.6319194,,,,,,,,,,,,,,0.9660377358490566,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
,,,0.9811085089773615,,,,,,,,,,,,,,0.9880503144654088,,,2389.564734734,,,,,,1770724511.6323307,,,,,,,,,,,,,,,,,,,,,18,,,,,0.9742635658914729,,,,,,,,,,,,,,,,
,,,,0.9705438066465257,,,,,,,,,,,,,,,,2389.565105912,,,,,,1770724511.632754,,,,,,,,,,,0.9665287702143663,,0.9625468164794008,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2533.228694034,,,,,,1770724655.2961667,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://sheoyy15sij49axqiiex2juw821pctpl3ur9j1pwzn52t8a0dwi24awn1oel43trfctq1a6292khwi3wh4obpca76i8h2du15lk0iex128zg4czrcj51wlwg5dooqct9/fold4/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://09o8jgsd56ivgclbwmy8vfc3wq72fetxk3km06wgggyhedsd1mjbamx3bx6qjpclyixoth0svx3rxvybjrys0ehvy025vbaidqcxceci4wam463qynntwqqgosmaku5g:latest/fold4/confusion_matrix.table.json', 'path': 'media/table/fold4/confusion_matrix_20_c101e68944eae8cd4106.table.json', 'size': 154, '_type': 'table-file', 'ncols': 5, 'nrows': 4, 'log_mode': 'IMMUTABLE', 'sha256': 'c101e68944eae8cd410684eaf5c6ce51b40e51d037d9f501639f95514ac2290f'}",,,,,,,,
,,,,,,,,,,,,,,,,,,,0.9853689567430025,2533.230285879,,,,,,1770724655.2978811,,,,,,,,,,0.9820890790933587,,,,,,,,,,,21,,,,,,,,,,,,,,,,0.9788309636650869,,,,,
0.9695817490494296,,,,,,,,,,,,,,,,,,,,2533.230740233,,0.9681093394077449,,,,1770724655.298312,,,,,,,,,,,,,,,,,,,0.9666413949962093,,22,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.973120728929385,,,,,,,,,,2533.23112855,,,,,,1770724655.2987537,,,,,,,,,,,,,,,,,0.9549925484351713,,,,23,0.9919504643962849,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2533.231547323,,,,,,1770724655.299149,,,,,,,,,,,,,,,,,,,,,24,,0.9538216560509554,,,,,,0.9145038167938931,,,,,,,,,,,,,0.9966722129783694
,,,,,,,,,,,,,,,,,,,,2533.501221251,,,,,,1770724655.568741,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://kfibteusvx93r1c4hhnvd6r4tavbcmmgjoyhq9wbuexrii8pcvw8e92049w0t5lkv8cslu2fs2dlvtx1c9sgjei84gyuv8m0hf2d2q2z56yqpl5ylm4vimn6ph1psur4/cv5/fold_metrics.table.json', 'nrows': 5, '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://on6qzxpofc4w6f5f2a5n6h37kturtw8fn5tq8f55hdudk560lf4qw8xs6jnyqvopktyczmblswwpvd73u4j5qg8i4hylmdv3m76gxdn4jo3vyj7zebiw6wnnnakw55ek:latest/cv5/fold_metrics.table.json', 'path': 'media/table/cv5/fold_metrics_25_e57e161b53a169e5d355.table.json', 'log_mode': 'IMMUTABLE', 'sha256': 'e57e161b53a169e5d3553acdc499b1a39f9a5d22c0ae50628a63e376cc0f47c7', 'size': 772, 'ncols': 9}",,,,,,,,,
