fold2/class_3/precision,fold1/class_0/recall,fold4/class_2/recall,fold4/class_3/precision,fold2/class_1/f1-score,fold1/class_1/f1-score,fold3/class_1/f1-score,fold4/class_0/f1-score,fold3/confusion_matrix,fold3/class_0/recall,fold2/class_0/f1-score,_step,fold0/class_0/recall,fold3/class_3/f1-score,fold2/class_0/recall,fold1/class_3/precision,fold1/class_3/f1-score,fold1/class_2/precision,fold1/confusion_matrix,fold2/confusion_matrix,fold0/class_3/precision,fold0/class_3/f1-score,fold0/class_2/f1-score,fold4/class_1/precision,fold3/class_3/recall,fold2/class_2/precision,fold4/class_2/f1-score,fold3/class_2/f1-score,fold3/class_3/precision,fold4/class_1/recall,fold4/class_3/recall,fold1/class_2/recall,fold4/confusion_matrix,fold1/class_1/recall,fold3/class_0/f1-score,fold0/class_0/precision,fold3/class_2/recall,fold0/class_1/f1-score,_timestamp,fold1/class_1/precision,fold2/class_2/recall,fold0/confusion_matrix,fold0/class_2/recall,fold0/class_3/recall,fold1/class_3/recall,cv5/fold_metrics,fold0/class_0/f1-score,_runtime,fold3/class_1/recall,fold2/class_3/f1-score,fold4/class_0/recall,fold2/class_1/recall,fold4/class_3/f1-score,fold1/class_0/f1-score,fold3/class_1/precision,fold4/class_1/f1-score,fold2/class_0/precision,fold1/class_0/precision,fold0/class_1/precision,fold4/class_2/precision,fold2/class_1/precision,fold0/class_2/precision,fold1/class_2/f1-score,fold3/class_0/precision,fold2/class_2/f1-score,fold0/class_1/recall,fold3/class_2/precision,fold4/class_0/precision,fold2/class_3/recall
,,,,,,,,,,0.9751031006567894,11,,,0.9959438377535101,,,,,,,,,,,,,,,,,,,,,,,,1770718890.9956887,,,,,,,,,228.736631669,,,,,,,,,0.9551166965888689,,,,,,,,,,,,
,,,,0.9681580008061266,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1770718890.9961817,,,,,,,,,228.736984735,,,,0.9646586345381526,,,,,,,,,0.9716828478964401,,,,,,,,
,,,,,,,,,,,13,,,,,,,,,,,,,,0.9929214929214929,,,,,,,,,,,,,1770718890.9965808,,0.970440251572327,,,,,,,228.737383301,,,,,,,,,,,,,,,,,0.9815521628498728,,,,
0.9880059970014993,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,1770718890.9969268,,,,,,,,,228.737730085,,0.9676945668135095,,,,,,,,,,,,,,,,,,,0.9482014388489208
,,,,,,,,"{'_type': 'table-file', 'nrows': 4, 'sha256': 'a47353c3bc2af50f064cd13d41d145f994885a3a5657839f9ee44f69f1f214ee', 'size': 149, 'artifact_path': 'wandb-client-artifact://aqsao0rxn7ut51paha6112rhbhgl3trgl5dp8636l50aad0cas08jjxxfj7cqwrybcplw2xm2pmkfzlxmdeesctdvwfholvftr0on0v70lvseap9azvek2a3djzrbxbd/fold3/confusion_matrix.table.json', 'ncols': 5, 'path': 'media/table/fold3/confusion_matrix_15_a47353c3bc2af50f064c.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://isnohhdazdvsj63gvukb2x9gucpexylcuf293c7gefcarc8vn9ft873hv749e6wahg50n994ii090atl7vzha5lx19mmanpxudd1yp0zngd9qn31tkaelldlktx854gu:latest/fold3/confusion_matrix.table.json'}",,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,1770718986.849703,,,,,,,,,324.590631443,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.9875796178343949,,16,,,,,,,,,,,,,,,,,,,,,,,0.9927965423403233,,,,1770718986.8512323,,,,,,,,,324.592070688,,,,,,,,,,,,,,,,0.9980688767299646,,,,,
,,,,,,0.9769585253456221,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,1770718986.8516245,,,,,,,,,324.592426388,0.96,,,,,,0.9945269741985927,,,,,,,,,,,,,,
,,,,,,,,,,,18,,,,,,,,,,,,,,,,0.9836566366274629,,,,,,,,,0.9984496124031008,,1770718986.852014,,,,,,,,,324.592832817,,,,,,,,,,,,,,,,,,,0.9692956050571945,,
,,,,,,,,,,,19,,0.9743589743589743,,,,,,,,,,,0.9677902621722847,,,,0.9810174639331815,,,,,,,,,,1770718986.8523748,,,,,,,,,324.593158603,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://1tbqhl09n4madi7ys4970on64b69y5s3345kqpm1x18s7rsqgcbi8h9e8v7za356navitjq991op0y6g7avuu3djdlr29cm0ao2pqeaaa7xm899s71hxpnj9gao0dlho/fold4/confusion_matrix.table.json', 'path': 'media/table/fold4/confusion_matrix_20_77e08f3bc43eecb7b8bf.table.json', 'sha256': '77e08f3bc43eecb7b8bf063910a7fc17f2e7716a7981158648bfb12ba7283a8b', '_latest_artifact_path': 'wandb-client-artifact://cdk71dum7mtu6he3v4ivr6jfj05vm1p4b27kz9h9z6kztcpfnqb99j571ypfhox7o9nvq4chmds8up3els3yhdavdkk07kd7x4fvzp5zrjpa3a75aldqfab0n3jo0dxc:latest/fold4/confusion_matrix.table.json', 'size': 154, '_type': 'table-file', 'nrows': 4, 'ncols': 5}",,,,,,1770719075.348887,,,,,,,,,413.08981259,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.9769542198691996,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1770719075.350499,,,,,,,,,413.091360516,,,0.9911532385466034,,,,,,,,,,,,,,,,,0.9631562787841572,
,,,,,,,,,,,22,,,,,,,,,,,,0.9552572706935123,,,,,,0.9741444866920153,,,,,,,,,1770719075.3509092,,,,,,,,,413.091755296,,,,,,,,0.9646084337349398,,,,,,,,,,,,,
,,0.9665634674922601,,,,,,,,,23,,,,,,,,,,,,,,,0.9771517996870109,,,,,,,,,,,,1770719075.3513105,,,,,,,,,413.09214681,,,,,,,,,,,,0.9879746835443038,,,,,,,,,
,,,0.9841521394611727,,,,,,,,24,,,,,,,,,,,,,,,,,,,0.9480916030534351,,,,,,,,1770719075.3517144,,,,,,,,,413.092497328,,,,,0.9657853810264385,,,,,,,,,,,,,,,,
,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,1770719075.674421,,,,,,,"{'nrows': 5, 'artifact_path': 'wandb-client-artifact://b1s90fcprpy64o9767tlb5tqtoky18pz68xrg9ty7x81m0bb7amtnqhp9m84fr7h8xrfiko358g5f8rstlu9swgs0s0pf9yjgig2f5ke55np3xgt0pguc4qqc0t17alz/cv5/fold_metrics.table.json', 'size': 771, 'path': 'media/table/cv5/fold_metrics_25_5ad24ce1871300183ab7.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://y905bgxlblpl31x9g6odjz3u3scwi64j8gplnokxo2lgt5h060v7afk6vh22x5vq3q4dhchwqnglo50po69a2rjhnallvhc7zl76xr8jd057bpxlw4yd1sew2pij66mo:latest/cv5/fold_metrics.table.json', 'ncols': 9, 'sha256': '5ad24ce1871300183ab7398b37fd24e759e4ad94c615b736ef4706290fca6c62'}",,413.41529694,,,,,,,,,,,,,,,,,,,,,
