fold1/class_7/precision,_step,fold0/class_5/precision,fold2/class_9/precision,fold4/class_9/precision,fold2/class_6/precision,fold2/class_3/f1-score,fold4/class_2/recall,fold1/class_5/f1-score,fold4/class_10/precision,fold3/class_10/f1-score,fold1/class_3/recall,fold2/class_7/precision,fold3/class_2/precision,fold3/class_8/f1-score,fold4/class_8/precision,fold4/class_1/precision,fold0/class_3/f1-score,fold1/class_5/precision,fold0/class_1/recall,fold3/class_4/precision,fold1/class_0/recall,fold0/class_10/f1-score,fold4/class_10/f1-score,fold3/class_3/precision,fold1/class_3/f1-score,fold2/class_10/precision,fold3/class_7/recall,fold3/class_5/recall,fold0/class_0/f1-score,fold0/class_5/f1-score,fold1/class_10/f1-score,fold1/class_10/precision,fold3/class_7/precision,fold4/class_1/f1-score,fold3/class_5/f1-score,fold0/class_2/recall,fold2/class_9/f1-score,fold3/class_5/precision,fold1/confusion_matrix,fold2/class_7/f1-score,fold3/class_9/f1-score,fold1/class_0/f1-score,fold0/class_0/recall,fold0/class_5/recall,fold1/class_1/f1-score,fold3/class_10/recall,fold4/class_0/precision,fold4/class_4/recall,fold0/class_4/precision,fold3/class_1/recall,fold3/class_8/recall,fold0/class_8/recall,fold2/class_5/f1-score,fold4/class_9/f1-score,fold2/confusion_matrix,fold0/class_6/precision,fold2/class_9/recall,fold3/class_6/precision,fold2/class_8/recall,fold0/class_1/precision,fold4/class_8/f1-score,fold1/class_0/precision,fold4/class_4/precision,fold0/class_10/recall,fold0/class_4/f1-score,fold1/class_8/recall,fold4/class_3/precision,_runtime,fold2/class_3/precision,fold2/class_1/recall,fold3/confusion_matrix,fold2/class_2/precision,fold1/class_2/f1-score,fold4/class_2/f1-score,fold0/class_7/precision,fold1/class_2/recall,fold4/class_6/recall,fold4/class_3/f1-score,fold4/class_6/precision,fold0/confusion_matrix,fold1/class_6/precision,fold4/class_2/precision,fold4/class_7/precision,fold4/class_6/f1-score,fold0/class_8/f1-score,fold4/class_8/recall,fold4/class_4/f1-score,fold1/class_7/f1-score,fold4/class_5/f1-score,fold4/class_10/recall,fold3/class_4/f1-score,fold3/class_7/f1-score,fold0/class_2/f1-score,fold2/class_10/f1-score,fold1/class_10/recall,cv5/fold_metrics,fold3/class_3/f1-score,fold1/class_6/recall,fold0/class_0/precision,fold4/class_7/recall,fold2/class_7/recall,fold3/class_0/recall,fold2/class_10/recall,fold4/class_9/recall,fold3/class_3/recall,fold1/class_6/f1-score,fold3/class_9/recall,fold1/class_1/recall,fold1/class_5/recall,fold1/class_3/precision,fold0/class_2/precision,fold1/class_2/precision,fold2/class_4/precision,fold2/class_4/recall,fold2/class_6/f1-score,fold0/class_8/precision,fold0/class_3/precision,fold3/class_8/precision,fold4/class_3/recall,fold4/confusion_matrix,fold3/class_6/recall,fold0/class_4/recall,fold0/class_10/precision,fold1/class_4/f1-score,fold0/class_9/f1-score,fold3/class_1/precision,fold4/class_5/recall,fold1/class_9/recall,fold3/class_0/f1-score,fold0/class_3/recall,fold3/class_2/recall,fold2/class_1/f1-score,fold1/class_4/precision,fold0/class_9/recall,fold2/class_2/f1-score,fold1/class_1/precision,fold3/class_4/recall,fold0/class_1/f1-score,fold2/class_0/f1-score,fold2/class_0/precision,fold2/class_1/precision,fold1/class_7/recall,_timestamp,fold0/class_6/recall,fold2/class_2/recall,fold4/class_0/recall,fold0/class_7/f1-score,fold1/class_4/recall,fold2/class_8/precision,fold3/class_10/precision,fold1/class_9/f1-score,fold3/class_1/f1-score,fold4/class_5/precision,fold4/class_1/recall,fold2/class_3/recall,fold1/class_8/f1-score,fold3/class_2/f1-score,fold4/class_7/f1-score,fold2/class_0/recall,fold3/class_9/precision,fold1/class_9/precision,fold2/class_4/f1-score,fold2/class_5/precision,fold0/class_9/precision,fold1/class_8/precision,fold4/class_0/f1-score,fold2/class_8/f1-score,fold0/class_6/f1-score,fold3/class_0/precision,fold2/class_6/recall,fold0/class_7/recall,fold2/class_5/recall,fold3/class_6/f1-score
,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21171171171171171,,,,,,,,,,,,,,,626.197509841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911552.6420052,,,,,,,,,,,,,,,,,,,,0.6573426573426573,,,,,,,,,0.1261744966442953,
,31,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.197684799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005031446540880503,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911552.6421783,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002531645569620253,,,
,32,,,,,,,,,,,0.48596112311015116,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3869303525365434,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.197835087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32142857142857145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911552.6423414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31390728476821195,,,,,,,,,626.1980025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911552.6425076,,,,,,0.4647058823529412,,,,,,,,,,,,,,,,,,0.37470355731225297,,,,,,
,34,,0.4737762237762238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4294770206022187,,,,,,,,,,,,,,,,,,,,0.3927536231884058,,,,,,,,,,,626.198154933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911552.6426687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,,,,,,,,,,,,,,,,,,,,,,,,,0.5499092558983666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.198316283,,,,,,,,,,,,,,,,,,,,,,,,,,0.3637454981992797,,,,,,,,,0.2717488789237668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911552.642824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.480894509,,,"{'artifact_path': 'wandb-client-artifact://dstirotgl4bnch0jc5w3h9g9zv52ga151qfu1ktwqarh9j0bos0vl75qz5ohv0qfbkoy1e4ii0t7bi9xnx3ufj2cbrt70hax8txuk7favszuh8fvco5yccanuptj8ghb/fold3/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold3/confusion_matrix_36_c81baec51d179e30d8fd.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 12, 'sha256': 'c81baec51d179e30d8fd529b54ef00f6f6608f84566fad889b07e7dc904b244c', 'size': 602, '_latest_artifact_path': 'wandb-client-artifact://no90ny6rwp8l35eci6mff7e8wkldymipi4it2i7vypa6qhdm3k1gwh74jvuhdv5fpgqzyush2ddl4yfhonwh99m6kcc6jjgzt0938r6kt1x5oqp7mnxgvropiqcxxkyx:latest/fold3/confusion_matrix.table.json', 'nrows': 11}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911767.9252112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.481952711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9812789760129006,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9126272745380622,,,,,,,,,,,,,,1770911767.9262645,,,,,,,,,,,,,,,,,,,,,,,,,,0.852953415536915,,,,
,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.320253164556962,,,,,,,,,,,,,,,,,,841.48223423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5039840637450199,,,,,,,,,,,,,,,,,1770911767.9266431,,,,,,,,,0.39164086687306504,,,,,,,,,,,,,,,,,,,,,
,39,,,,,,,,,,,,0.5393258426966292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.482398897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2612244897959184,,,,,,,,,,,,1770911767.9268956,,,,,,,,,,,,,,0.3519706691109074,,,,,,,,,,,,,,,,
,40,,,,,,,,,,,,,,,,,,,,,,,0.5024875621890548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.482575618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3600713012477718,,,,,,,,0.28055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911767.9270554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.482693903,,,,,,,,,,,,,,,,,,,,,,,0.0024906600249066002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00125,,,,,,1770911767.9272013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.482831827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911767.927346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,841.48297945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1770911767.92748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,44,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,0.4393939393939394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.483107585,,,,,,,,,,,,,,,,,,,,,,,,0.34203875315922494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911767.9276273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,,,,,,,,,,,,,0.3507737656595431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30318471337579617,,,,,,,,,,,,,,,,,841.483248926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4160839160839161,,,,,,,,,,,,,,,,,,,,,,,,,1770911767.927761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4735099337748344,,,,,,,,,,,,,,,,,,,,,,,,,,,841.483368253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43007518796992483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911767.9278948,,,,,,,,,,,,,,,,,0.5267034990791897,,,,,,,,,,,,,
,47,,,,,,,,,0.050226430629888845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027477477477477478,,,,,,,,,,,,,,,,,,,,,,841.483503131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911767.9280255,,,,,,,0.291866028708134,,,,,,,,,,,,,,,,,,,,,,,
,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117.101328996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://snbqhb4q6jdba2pcjtbd4mzw58zawqqu605vh2z0694o9or7uivt65xaipuyk0qj0m92li8kn7jnjwxs1exdmmat5b9ntwjhef0ii8fn0828gcdtd6vapbmwv1y3p5vu/fold4/confusion_matrix.table.json', 'nrows': 11, 'path': 'media/table/fold4/confusion_matrix_48_e757e81ea1b1fbc991b9.table.json', 'sha256': 'e757e81ea1b1fbc991b9582b6fda73fea546242cd4df8840f9f0e4f2440c0891', '_type': 'table-file', 'ncols': 12, '_latest_artifact_path': 'wandb-client-artifact://nw22pn9er2dtpdtxi49adbkxifj42h8eax5a0iijnsjeqtu92gojnqb488z6tj4f5573db067qfbpxxqrde7cjzfqk8hxij6bf62n9a9mz9muorajf7wnth23zvvysgo:latest/fold4/confusion_matrix.table.json', 'size': 606, 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,,,,,,,1770912043.5456054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8600017690504622,,,,,,,,,,,,,,,,,,,,,1117.102276689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770912043.5466204,,,0.9799183632332191,,,,,,,,,,,,,,,,,,,,0.9160522906606996,,,,,,,
,50,,,,,,,,,,,,,,,0.4766949152542373,,,,,,,,,,,,,,,,,,0.36824877250409166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117.102519772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770912043.5469553,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,
,51,,,,,,0.1889655172413793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117.102935808,,,,,,0.26020892687559355,,,,,,,,0.4176829268292683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770912043.5471961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48255813953488375,1117.102981198,,,,,,,,,,0.33233233233233234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2534351145038168,,,,,,,,,,,,,,,,,,,,,,,,1770912043.547371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,1117.103080856,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770912043.54754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117.103238509,,,,,,,,,,,,,,,,,,,,,0.0896637608966376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,,,,,,,,,,,,,,,,1770912043.5476985,,,,,,,,,,0.6792452830188679,,,,,,,,,,,,,,,,,,,,
,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117.103375692,,,,,,,,,0.04878048780487805,,0.7547169811320755,,,,,0.09163802978235967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770912043.5478463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117.103494498,,,,,,,,,,,,,,,0.4779116465863454,,,,,,,,,,,,,,,,,0.3012658227848101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770912043.547991,,,,,,,,,,,,,,,0.3695652173913043,,,,,,,,,,,,,,,
,57,,,,,,,,,,,,,,0.4338235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3525018670649739,,,,,,,1117.103614526,,,,,,,,,,,,,,,,,,0.2968553459119497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770912043.5481324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,,,0.46987951807228917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23076923076923078,,,,,,,,,,,,,,1117.10398912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15294117647058825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770912043.548262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,,,,,,,,0.5058201058201058,,,,,,,,,,,,,,0.2905775075987842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117.104015082,,,,,,,,,,,,,,,,,,,,,,0.20383795309168443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770912043.5483932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117.425224789,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'size': 791, 'ncols': 9, 'nrows': 5, 'artifact_path': 'wandb-client-artifact://7u9bfmi0mirp19he3y7ja4137ht5x5eufa1n88pl0gemk7y7ni8bgf0nt17vsvx708xb6oothag22df71xwqfc7trc5v0m3x9jlxftye8abpg2qyhk4843667wygv3r8/cv5/fold_metrics.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://1yzdyg4sq6embuc2vovjra3ennibl7iqgecgjvjpxb05vyax9zkrtg3erayjgtggn1lozp4029c4io53vja2wf2naezfbahblkj8cz5hzmrv8sb6zs3tu4w5mh6x0qr2:latest/cv5/fold_metrics.table.json', 'path': 'media/table/cv5/fold_metrics_60_56aef5e9bdb2b536b89e.table.json', 'sha256': '56aef5e9bdb2b536b89eb60173cd6cb629eb49905398d5c014891ccc7d7efc66'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770912043.869607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
