fold1/class_0/recall,fold4/class_2/f1-score,_timestamp,fold2/class_2/f1-score,fold3/class_1/precision,fold0/class_1/f1-score,fold2/class_3/precision,fold3/class_2/recall,fold2/class_0/f1-score,fold1/class_1/precision,fold3/class_3/precision,_runtime,fold2/class_3/recall,fold1/class_3/recall,fold3/class_3/recall,fold0/class_3/f1-score,_step,fold2/class_3/f1-score,fold4/class_0/recall,fold3/class_2/precision,fold3/class_0/recall,fold3/class_0/precision,fold1/class_1/f1-score,fold0/class_2/recall,fold1/class_2/f1-score,fold0/class_2/f1-score,fold0/class_3/precision,fold4/class_0/precision,fold1/confusion_matrix,fold2/class_0/precision,fold0/class_0/precision,fold0/class_1/recall,fold3/class_3/f1-score,fold0/confusion_matrix,fold4/class_3/recall,fold0/class_0/f1-score,fold1/class_0/precision,fold1/class_0/f1-score,fold2/class_1/precision,fold3/class_1/recall,fold2/class_1/f1-score,cv5/fold_metrics,fold0/class_3/recall,fold1/class_3/f1-score,fold3/class_0/f1-score,fold4/class_1/recall,fold4/class_1/f1-score,fold4/class_2/recall,fold4/class_3/f1-score,fold4/class_2/precision,fold1/class_1/recall,fold0/class_1/precision,fold4/class_1/precision,fold2/class_1/recall,fold1/class_3/precision,fold1/class_2/precision,fold1/class_2/recall,fold4/class_3/precision,fold4/class_0/f1-score,fold2/class_0/recall,fold3/confusion_matrix,fold3/class_1/f1-score,fold0/class_0/recall,fold2/class_2/precision,fold2/class_2/recall,fold3/class_2/f1-score,fold4/confusion_matrix,fold0/class_2/precision,fold2/confusion_matrix
,,1770708789.397373,,,,,,0.9768160741885626,,,97.322797153,,,,,11,,,,,,,,,,,,,0.9678407350689127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9859594383775351,,,,,,,,,
,,1770708789.3975658,,,,,,,,,97.322934788,,,,,12,,,,,,,,,,,,,,,,,,,,,,0.983402489626556,,0.9673469387755103,,,,,,,,,,,,,0.9518072289156626,,,,,,,,,,,,,,,
,,1770708789.3977082,0.9803613511390417,,,,,,,,97.32304564,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9795918367346939,0.9811320754716981,,,,
,,1770708789.397827,,,,0.9413919413919414,,,,,97.323199528,0.9244604316546763,,,,14,0.9328493647912885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1770708800.975963,,,,,,,,,108.901558305,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'size': 141, 'artifact_path': 'wandb-client-artifact://tr3qfxf4hc5jvrem5hjejur4c88suwv0k23b24tdechg95cm104egt553tgrmu4enyvajo2fwfls9dutn82edcjrsq65rgf6kmn1tk96b7otk5be333m52f0r1qednd5/fold3/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 4, 'sha256': '399b1ccda9c22d839809a22ef09fb325a5a5ba51aff20eb75f214ef56c435b41', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'path': 'media/table/fold3/confusion_matrix_15_399b1ccda9c22d839809.table.json', '_latest_artifact_path': 'wandb-client-artifact://26gvx956y1oyp44woki7g7oghp8aaynzhv64rhx2kzsrjhjeqkkzqet1k3rad3qmya4bdl4ytuczwjy1ysvbdy6pmequk1ce2dclgnjks5y4xhpkw3dejvvguzcovdnj:latest/fold3/confusion_matrix.table.json'}",,,,,,,,
,,1770708800.9767802,,,,,,,,,108.902212024,,,,,16,,,,0.9888535031847133,0.9888535031847133,,,,,,,,,,,,,,,,,,,,,,,0.9888535031847133,,,,,,,,,,,,,,,,,,,,,,,,
,,1770708800.9769988,,0.99609375,,,,,,,108.902342545,,,,,17,,,,,,,,,,,,,,,,,,,,,,,0.9622641509433962,,,,,,,,,,,,,,,,,,,,,,0.9788867562380038,,,,,,,
,,1770708800.9771373,,,,,0.9891472868217054,,,,108.902522916,,,,,18,,,0.9906832298136646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9899146625290923,,,
,,1770708800.977275,,,,,,,,0.9458483754512635,108.902656814,,,0.9812734082397003,,19,,,,,,,,,,,,,,,,0.9632352941176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1770708816.939524,,,,,,,,,124.865226802,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://78griw2vdw69sk4b11gey21ht079ohkxruq1zl57shg9rayeb2g02yx7lsqrlvpx73np69bo20kf4ocypz5x4rx1mpygatad8xz7g2yfmpjs6z3slyzi6k0jlcgszhro/fold4/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://f5sgsed7rud5abbsbw4ly961ku24c00ce64uxikjr2rba4qroff18as01vnzsohshtk5qgk62p66bb6f2drsukcyzyeedz9nx8tx1ez3x28p2vav2floaw2h6r8hfdvc:latest/fold4/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'size': 142, 'ncols': 5, '_type': 'table-file', 'nrows': 4, 'path': 'media/table/fold4/confusion_matrix_20_d652fbff1ba595d7758e.table.json', 'sha256': 'd652fbff1ba595d7758e323e0ed1e0d1badd8e4b8ac0b904e7f9d6a68dc8c957'}",,
,,1770708816.9405658,,,,,,,,,124.866162575,,,,,21,,0.9889415481832543,,,,,,,,,0.9858267716535433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9873817034700315,,,,,,,,,,
,,1770708816.9409213,,,,,,,,,124.866418548,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9695817490494296,0.9826589595375722,,,,,,0.99609375,,,,,,,,,,,,,,,,
,0.9883086515978177,1770708816.9411693,,,,,,,,,124.866565312,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9814241486068112,,0.9952904238618524,,,,,,,,,,,,,,,,,,,
,,1770708816.9413295,,,,,,,,,124.866692597,,,,,24,,,,,,,,,,,,,,,,,,0.9732824427480916,,,,,,,,,,,,,,0.9479553903345725,,,,,,,,,0.9239130434782609,,,,,,,,,,,
,,1770708817.1596806,,,,,,,,,125.085252185,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://9a459y37iy2kqn6n4liqbmo3yxxf4mltrw2nl9ch1337jirj8iraag7t03ditzpgrysrzss4pnefn30e2pucwv6fmehr30itwc9q6loel3w8t79ad61snl8c04efucao:latest/cv5/fold_metrics.table.json', '_type': 'table-file', 'ncols': 9, 'path': 'media/table/cv5/fold_metrics_25_ee19f639b1c8481197e0.table.json', 'sha256': 'ee19f639b1c8481197e058b88d0612520295f5a58309a87a9a378b5b690308ef', 'size': 764, 'nrows': 5, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://nf4nddap7ir39vdzo585ow18u3utl7giihcagnw7vp1l9hi9nrxk3mhddnjzdyevxe0bihmxslckk5k47ctqdxfy4jkxb7v2ij16igtpzug1ogdy8d0ta40qnuv0gnju/cv5/fold_metrics.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,
