fold2/class_1/precision,fold4/class_0/recall,fold0/class_0/recall,fold3/class_3/f1-score,fold4/class_2/precision,fold4/class_2/recall,fold2/class_2/f1-score,fold3/class_0/f1-score,fold2/class_0/precision,fold1/class_2/precision,fold0/class_1/precision,fold2/class_2/recall,_runtime,cv5/fold_metrics,fold0/class_2/recall,fold1/class_3/precision,fold4/class_3/recall,fold2/class_0/recall,fold0/class_3/f1-score,fold2/class_3/precision,fold3/class_3/precision,fold3/confusion_matrix,fold0/confusion_matrix,fold0/class_3/recall,fold1/class_1/precision,fold4/class_1/recall,fold2/class_3/f1-score,fold0/class_1/recall,fold1/class_1/recall,fold3/class_1/precision,fold1/confusion_matrix,fold4/class_3/precision,fold2/confusion_matrix,fold1/class_2/recall,fold2/class_3/recall,fold0/class_0/f1-score,fold1/class_0/recall,fold2/class_1/f1-score,fold3/class_1/f1-score,fold2/class_0/f1-score,fold4/class_0/precision,fold0/class_0/precision,fold3/class_0/precision,fold3/class_2/recall,fold3/class_0/recall,fold3/class_2/f1-score,fold4/class_1/f1-score,fold0/class_1/f1-score,fold0/class_3/precision,fold3/class_3/recall,fold3/class_2/precision,fold4/class_0/f1-score,fold2/class_1/recall,fold3/class_1/recall,_timestamp,fold1/class_0/f1-score,fold0/class_2/f1-score,fold1/class_3/recall,fold4/confusion_matrix,fold1/class_1/f1-score,fold4/class_3/f1-score,fold2/class_2/precision,fold1/class_3/f1-score,fold1/class_0/precision,fold4/class_1/precision,fold1/class_2/f1-score,fold0/class_2/precision,_step,fold4/class_2/f1-score
,,,,,,,,,,,,3097.545148281,,,,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://ufps977c798irwffq1u4nkgevjyskrfchicqv55xeg1yeugh2b5708scrrtv7dyc6e81qa4uedq1f1u5ila7n1qfkktf9k12nyq6gx6v8zbmotfva00snq5wwnfhsxta:latest/fold2/confusion_matrix.table.json', 'nrows': 4, 'sha256': 'e031855e3ff03e2111fee1e56fb04cb32da67c41d30c8055c48aa8540157833c', 'artifact_path': 'wandb-client-artifact://4oz5ykd8wm3ekr528evlzft8tpzh2tefcek67dijz3f3pm01lycilbx4g07vw1h2nj9tjpescxze02ca31r3qufgbf89pd9wn2cyethizu6c1vrz0cu4d5drzst2ehlc/fold2/confusion_matrix.table.json', 'size': 146, 'path': 'media/table/fold2/confusion_matrix_10_e031855e3ff03e2111fe.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'ncols': 5}",,,,,,,,,,,,,,,,,,,,,,1770721487.0279748,,,,,,,,,,,,,10,
,,,,,,,,0.9979968840418428,,,,3097.546643905,,,,,0.9993314018275017,,,,,,,,,,,,,,,,,,,,,,0.9986636971046771,,,,,,,,,,,,,,,1770721487.0296583,,,,,,,,,,,,,11,
0.9994192799070848,,,,,,,,,,,,3097.546925558,,,,,,,,,,,,,,,,,,,,,,,,,0.9933621933621933,,,,,,,,,,,,,,,0.9873780837636259,,1770721487.030011,,,,,,,,,,,,,12,
,,,,,,0.9991021324354658,,,,,0.9997753818508536,3097.547329622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721487.0303462,,,,,,,0.9984297891431135,,,,,,13,
,,,,,,,,,,,,3097.547666524,,,,,,,0.989769820971867,,,,,,,0.9920533196616252,,,,,,,,0.9943473792394656,,,,,,,,,,,,,,,,,,,,1770721487.0307367,,,,,,,,,,,,,14,
,,,,,,,,,,,,3176.383773142,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://vrqs0xrngj9n5jiaiuiy155we4c7nvzm8cbkma8zoya2qlhi5n656nwfx0erc4sm9m9718az4l6x9cjkr30n5oi751ha9qgnu5ify6d92fpjzpkyamfz3brbm0snl2o4:latest/fold3/confusion_matrix.table.json', 'sha256': '608526893dfcc38c46307b71308cf8446bbaa73b551308b2bc531a7cb9798c30', 'ncols': 5, 'size': 163, 'artifact_path': 'wandb-client-artifact://0vbsxrani7uin7gk6w46lrcqbb8mo11t6fi85gqxbf1g5gi31bo489eyhmvpsagoi8620xefjyojhheabrrtua7a6vmdjj7425t8epdxyatntpz65wmex64j31acyn1r/fold3/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold3/confusion_matrix_15_608526893dfcc38c4630.table.json', 'nrows': 4, 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721565.8665416,,,,,,,,,,,,,15,
,,,,,,,0.8198757763975155,,,,,3176.385215481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.8407643312101911,,,,,,,,,,1770721565.868176,,,,,,,,,,,,,16,
,,,,,,,,,,,,3176.38551027,,,,,,,,,,,,,,,,,0.5214723926380368,,,,,,,,,0.5752961082910322,,,,,,,,,,,,,,,0.6415094339622641,1770721565.8685503,,,,,,,,,,,,,17,
,,,,,,,,,,,,3176.385773512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8031007751937984,,0.8212910532276331,,,,,0.840324449594438,,,,1770721565.868876,,,,,,,,,,,,,18,
,,,0.45999391542439916,,,,,,,,,3176.386082027,,,,,,,,0.5331452750352609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4044943820224719,,,,,1770721565.8691258,,,,,,,,,,,,,19,
,,,,,,,,,,,,3551.629894192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721941.1127875,,,,"{'ncols': 5, 'nrows': 4, '_type': 'table-file', 'size': 146, '_latest_artifact_path': 'wandb-client-artifact://38ykucy54ire2az03iayab8kl35xv1ib4p9dzme39fx0hwu8jgceg9vd8as1w8tdjplo7a4jx5xfxkb2qoana15ecs3y4112ch3pyrddyuxkq2t843kw222c3mvrpag4:latest/fold4/confusion_matrix.table.json', 'path': 'media/table/fold4/confusion_matrix_20_77b4f4ded1f1f85a83d2.table.json', 'sha256': '77b4f4ded1f1f85a83d2a1f17b960dbc907e3f902dd8bce2747227f3f687fb0a', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://0og5ciou9t3lwpx2v3grn6wbzc5jyvzfop80z9goj45j3388ca5lluk9835q1vjjt2dzn32t6zbm3qgg8nan9cs0ws0hs5jp2x862p2rnxtqbch4alb458a5uooegoan/fold4/confusion_matrix.table.json'}",,,,,,,,,20,
,0.9970661250282103,,,,,,,,,,,3551.63146245,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993214204931011,,,,,,,,,,,0.9981924988703118,,,1770721941.1144063,,,,,,,,,,,,,21,
,,,,,,,,,,,,3551.631773675,,,,,,,,,,,,,0.9945681694731124,,,,,,,,,,,,,,,,,,,,,0.9956498096791735,,,,,,,,1770721941.1148334,,,,,,,,,,0.9967338051170387,,,22,
,,,,0.9971321420692698,0.9995577178239717,,,,,,,3551.632219107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721941.1151981,,,,,,,,,,,,,23,0.9983434566537824
,,,,,,,,,,,,3551.632629277,,,,0.9923664122137404,,,,,,,,,,,,,,,0.9907457811649428,,,,,,,,,,,,,,,,,,,,,,,1770721941.1156063,,,,,,0.991555434486516,,,,,,,24,
,,,,,,,,,,,,3551.910713828,"{'_latest_artifact_path': 'wandb-client-artifact://7tw15cf5dzjzkq3ev9p2b8cdntoo69aklxmr8uxo4cva9dwo85o13sbgqh6ju85wsug8d7mjqq84lgflyzy47n6phgndkwvc9r8zk93eijs773h9k28olclisy5ci68k:latest/cv5/fold_metrics.table.json', 'artifact_path': 'wandb-client-artifact://d1b9vgvb2qcxs5epgddxu13l2hb83talfvyzyklvydnwg8rtrzkln8rf81i2spffshzslqy46iqmml5t5oul34xmr2yzjzafhgflb2xvg2k08ptiugvhgxxjzoebw00b/cv5/fold_metrics.table.json', 'sha256': '9915e746350a3f9d963b4f3d00de8f9be56dd3cd199fc5c8efaefed4625f29eb', 'size': 773, 'nrows': 5, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'ncols': 9, 'path': 'media/table/cv5/fold_metrics_25_9915e746350a3f9d963b.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721941.393588,,,,,,,,,,,,,25,
