fold0/class_7/recall,fold3/class_7/recall,fold0/class_6/f1-score,fold2/class_8/precision,fold1/class_2/f1-score,fold2/class_9/f1-score,fold0/class_4/recall,fold2/class_4/recall,fold0/class_1/recall,fold1/class_3/recall,fold3/class_6/recall,fold3/class_6/f1-score,fold0/class_4/precision,fold0/class_10/recall,fold2/class_8/f1-score,fold2/class_7/f1-score,fold3/class_5/f1-score,fold0/class_8/precision,fold1/class_10/precision,fold3/class_9/f1-score,fold4/class_5/recall,fold0/class_2/f1-score,fold0/class_7/f1-score,fold0/class_9/recall,fold0/class_5/precision,fold3/class_4/precision,fold0/class_5/recall,fold3/class_2/recall,fold1/class_5/recall,fold1/class_7/precision,fold0/class_3/f1-score,fold4/class_10/recall,fold4/class_4/recall,fold2/class_6/precision,fold2/class_4/precision,fold0/class_8/f1-score,fold2/class_7/recall,fold2/class_3/f1-score,fold1/class_5/precision,fold4/class_8/recall,fold1/class_6/f1-score,fold2/class_10/f1-score,fold3/class_1/precision,fold1/class_8/recall,fold2/class_5/recall,fold3/class_2/f1-score,fold2/class_3/precision,fold0/class_3/precision,fold3/class_10/precision,fold2/class_0/f1-score,fold2/class_10/precision,fold1/class_7/f1-score,fold3/class_3/precision,fold0/class_9/precision,fold1/class_4/precision,fold2/class_9/recall,fold3/class_2/precision,fold3/class_7/f1-score,fold0/class_3/recall,fold0/class_10/precision,fold4/class_1/recall,fold0/class_1/f1-score,fold1/class_9/f1-score,fold1/class_0/precision,fold3/class_0/precision,fold2/class_2/recall,fold0/class_2/recall,fold3/class_6/precision,fold4/class_3/precision,fold4/class_9/f1-score,fold4/class_3/recall,fold1/class_6/precision,fold3/class_9/recall,fold4/class_7/f1-score,fold0/class_9/f1-score,fold0/class_7/precision,fold2/class_4/f1-score,fold1/class_0/recall,fold3/class_10/f1-score,fold2/class_5/precision,fold3/class_10/recall,fold3/class_8/recall,fold4/class_7/recall,fold1/class_1/recall,fold3/class_4/recall,fold1/class_10/f1-score,fold4/class_0/f1-score,fold3/class_0/recall,fold0/class_0/recall,_step,_timestamp,fold4/confusion_matrix,fold1/confusion_matrix,_runtime,fold1/class_10/recall,fold1/class_4/recall,fold3/class_5/recall,fold4/class_5/f1-score,fold2/class_5/f1-score,fold2/class_6/f1-score,fold1/class_2/recall,fold2/class_8/recall,fold1/class_3/f1-score,fold3/class_8/precision,fold4/class_0/precision,fold2/class_6/recall,fold4/class_0/recall,fold4/class_8/precision,fold1/class_2/precision,fold2/class_1/precision,fold1/class_5/f1-score,fold0/class_1/precision,fold4/class_7/precision,fold3/class_3/f1-score,fold2/class_2/precision,fold3/class_3/recall,fold2/class_9/precision,fold2/class_7/precision,fold1/class_8/f1-score,fold3/class_4/f1-score,fold4/class_4/precision,fold3/class_8/f1-score,fold2/confusion_matrix,fold0/class_2/precision,fold0/class_0/f1-score,fold1/class_1/f1-score,fold2/class_1/f1-score,fold4/class_6/f1-score,fold0/class_8/recall,fold2/class_0/precision,fold3/class_5/precision,fold4/class_5/precision,fold3/class_1/recall,fold4/class_1/precision,fold0/class_6/recall,fold1/class_4/f1-score,fold0/class_0/precision,fold1/class_1/precision,fold1/class_7/recall,fold0/class_4/f1-score,fold4/class_9/recall,fold2/class_2/f1-score,fold0/class_10/f1-score,fold3/class_0/f1-score,fold4/class_10/f1-score,fold4/class_8/f1-score,fold4/class_2/recall,fold3/confusion_matrix,fold4/class_9/precision,fold1/class_9/precision,fold4/class_2/f1-score,fold4/class_1/f1-score,fold4/class_6/precision,fold3/class_1/f1-score,fold0/class_5/f1-score,fold0/class_6/precision,fold4/class_4/f1-score,fold2/class_0/recall,fold1/class_6/recall,fold4/class_3/f1-score,fold0/confusion_matrix,fold2/class_10/recall,fold4/class_10/precision,fold1/class_3/precision,fold2/class_3/recall,fold2/class_1/recall,fold3/class_7/precision,fold1/class_8/precision,fold1/class_0/f1-score,fold1/class_9/recall,cv5/fold_metrics,fold3/class_9/precision,fold4/class_2/precision,fold4/class_6/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992784992784993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,30,1770930486.3305635,,,3734.352792798,,,,,0.9996391194514616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,1770930486.3306878,,,3734.352910434,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1770930486.3308096,,,3734.353029042,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,1770930486.330933,,,3734.353167931,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1770930486.3310637,,,3734.353286579,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998717126363054,,,,,,,,,0.9997434581836839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,1770930486.3311865,,,3734.353420507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1770930754.056535,,,4002.082723809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'sha256': '5b78bef6f90c46244ad9d9db3316b2cc0b9f314ecd46870629bfddc197cda093', 'nrows': 11, '_type': 'table-file', 'ncols': 12, '_latest_artifact_path': 'wandb-client-artifact://dh3ejdmgr65kcr0utm1ktkbyqler9pzu6gqfflktf07yp966okhf19gmvix19ns8qcidx26qowvls4m8n4dqgjhm4okuoqfuegompwzrs51jj9qsnnpoimtjqbkb9l5o:latest/fold3/confusion_matrix.table.json', 'size': 569, 'artifact_path': 'wandb-client-artifact://xlmtpoqrus5503hpklm70ahjp4089xme223knzw2hymkl0ci1oivpzjqt9kepmwi4f44u6f3yzqb6qiadsehvh03ixrbsw5ph4kgr85uxzjfm2tjo0rjmwrkx2f5qdnw/fold3/confusion_matrix.table.json', 'path': 'media/table/fold3/confusion_matrix_36_5b78bef6f90c46244ad9.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.9999604054482103,,37,1770930754.0613163,,,4002.083717472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999802023321652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992972593113141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,1770930754.0615842,,,4002.083925169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.9996485061511423,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.9926725800231392,,,,,,,,,,,0.9854517611026034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,1770930754.0618024,,,4002.084142465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9940298507462687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1770930754.0620108,,,4002.084311263,,,,,,,,,,,,,,,,,,,,0.9970059880239521,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.9992343032159265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,41,1770930754.0622134,,,4002.084497728,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996170049789352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1770930754.0624056,,,4002.084689763,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.9993011879804332,0.999650471862985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,43,1770930754.0625956,,,4002.084880896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.9851851851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9925373134328358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,1770930754.062786,,,4002.085079404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992337164750957,,,,,,,,45,1770930754.0630026,,,4002.085314115,,,,,,,,,,0.998468606431853,,,,,,,,,,,,,,,,,,0.9988510149368058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.995484543244182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9951388888888889,,,,,,,,,,,,,,,,,46,1770930754.0632038,,,4002.085489918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9958304378040306,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997553816046967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989001588659416,,0.998046398046398,,,,,,,,,47,1770930754.0633934,,,4002.085704288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1770931010.8953779,"{'log_mode': 'IMMUTABLE', 'size': 568, '_type': 'table-file', 'path': 'media/table/fold4/confusion_matrix_48_cad121959febd2fbc00f.table.json', 'sha256': 'cad121959febd2fbc00f76351b7c6c1d4e320eaf0f8c62beeb6ff53a152acba0', 'ncols': 12, 'nrows': 11, 'artifact_path': 'wandb-client-artifact://iesa63mbr8yuxalfmjj5o9k1lz2wti4qpw1lirpddnund7u0vi7gp41odz7vnesp23l95zrnazx4hijg2q6pobyk3cvzwcmoxt40ryy17jxy1ub66ngkwdf1mhw8q6ue/fold4/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://xejvrwtkubacud5d7a52uhhy3svhwavufsxg65yt9tqt8sn1lsf63uvdvs6lbwr07w5slrw3jnp6vyxfnabr94e0oyr75ej0nbw7zsrc61yieztvep8t2cu8mduw2tn4:latest/fold4/confusion_matrix.table.json'}",,4258.917809531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997623762376238,,,49,1770931010.8966925,,,4258.919135952,,,,,,,,,,,1,,0.9995248653785239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1770931010.8970616,,,4258.919395613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992181391712275,,,,,,,,,,,,,,,,,,0.9996089166992569,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,1770931010.8973038,,,4258.919576736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992877492877493,,,,0.9982212735681252,,,,,,,,,,,,,,,,,,,,,,0.9971570717839374,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.983132530120482,,1,,,,,,,,,,,,,,,,,,,52,1770931010.8974571,,,4258.919701617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991494532199271,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,1770931010.8975992,,,4258.919840495,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9986301369863013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993145990404386,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1770931010.8977368,,,4258.919980366,,,,0.9996440014239943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999288256227758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,1770931010.8978748,,,4258.920123673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9966777408637874,,,,,,,,,,,,,,,,,,,,,,,,,0.9933774834437086,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9980135081446166,,,,,,,,,0.9968253968253968,,,,,,,56,1770931010.898019,,,4258.920255849,,,,,,,,,,,,,,,,,,,0.9992044550517104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9939531368102796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,1770931010.8981545,,,4258.920389116,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9969673995451099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9969040247678018,,,,,,,,,,,,,,,,,,,,58,1770931010.8982842,,,4258.920519608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9938271604938271,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9985845718329794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1770931010.8984172,,,4258.920648095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992917847025495,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1770931011.1477923,,,4259.170265769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'ncols': 9, '_type': 'table-file', 'path': 'media/table/cv5/fold_metrics_60_28afa6db17f623c8fb4c.table.json', 'sha256': '28afa6db17f623c8fb4c4b8fb57e20366b56256ead279db82d8b445bf9dc48c5', 'log_mode': 'IMMUTABLE', 'size': 764, 'artifact_path': 'wandb-client-artifact://vgl3ni7ye5c3yr2h4pdxzp15qoc922o4cylic7fcvslv1jm8gdpoof8b64wjdndmz3ap2wzplwleb6fu6e70rd93z4ybdmzf7pdhkqm64p3ijbaco9vdi5zu6q0bn1z4/cv5/fold_metrics.table.json', '_latest_artifact_path': 'wandb-client-artifact://kr5rxnbcgh2i9m1bo2bpyfwgyz77jq64d9ncz8pzc5yj45jj8lxsg6vqjd7vdcubtg9dag8jbnrm8m5fgxvncl6xvie4et53ksjad3fe3djan6v0k4ljhnc4y3yzgd76:latest/cv5/fold_metrics.table.json', 'nrows': 5}",,,
