fold2/class_2/precision,fold4/class_10/precision,fold2/class_9/precision,fold1/class_2/f1-score,fold0/class_7/recall,fold3/class_8/recall,fold2/class_4/recall,fold1/class_9/f1-score,fold0/class_2/f1-score,fold3/class_3/precision,fold3/class_4/precision,fold4/class_8/f1-score,fold1/class_6/precision,fold4/class_1/precision,fold2/class_1/recall,fold4/class_10/recall,fold3/class_5/recall,fold1/class_5/recall,fold4/class_3/recall,fold3/class_8/precision,fold4/class_4/recall,fold0/class_4/recall,fold4/class_0/f1-score,fold3/class_8/f1-score,fold4/class_9/f1-score,fold3/class_10/precision,fold1/class_6/f1-score,fold1/class_2/precision,fold3/class_7/f1-score,fold1/class_1/precision,fold3/class_4/recall,fold3/class_5/f1-score,fold4/class_7/f1-score,fold4/confusion_matrix,fold4/class_7/precision,fold0/class_10/f1-score,fold0/class_1/precision,fold0/class_2/precision,fold4/class_0/recall,fold3/class_7/precision,fold4/class_5/recall,fold2/class_7/f1-score,fold1/class_6/recall,fold4/class_9/recall,fold2/class_10/precision,fold1/class_0/precision,fold2/class_10/f1-score,fold2/class_3/precision,fold0/class_2/recall,fold1/class_0/f1-score,fold1/class_7/precision,fold2/class_8/recall,fold1/class_10/f1-score,fold0/class_1/f1-score,fold1/class_3/f1-score,fold0/class_3/recall,fold2/class_5/recall,fold4/class_3/precision,fold3/class_10/f1-score,fold2/class_6/precision,fold1/class_7/recall,fold1/class_9/recall,fold0/class_8/precision,fold3/class_0/recall,fold4/class_4/precision,fold1/class_3/recall,fold0/class_0/f1-score,fold2/class_4/precision,fold4/class_3/f1-score,fold2/class_2/f1-score,fold4/class_2/f1-score,fold2/class_7/recall,fold3/class_2/f1-score,fold3/class_10/recall,fold3/class_4/f1-score,fold4/class_7/recall,fold2/class_10/recall,fold2/class_6/f1-score,fold0/class_3/f1-score,fold2/class_3/recall,fold4/class_8/precision,_timestamp,fold4/class_6/precision,fold1/class_5/precision,fold1/class_4/recall,fold1/class_7/f1-score,fold1/class_10/recall,fold3/class_3/f1-score,fold1/class_0/recall,fold2/class_6/recall,fold1/class_8/recall,_step,fold3/class_3/recall,fold2/class_9/f1-score,fold0/class_8/f1-score,fold0/class_1/recall,fold1/class_5/f1-score,fold3/class_6/precision,fold3/class_7/recall,fold2/class_3/f1-score,fold3/class_0/f1-score,fold1/class_3/precision,fold1/class_9/precision,fold0/class_6/f1-score,fold0/class_6/recall,fold1/class_1/f1-score,fold2/class_7/precision,fold0/class_9/recall,fold2/confusion_matrix,fold3/class_9/precision,fold0/class_8/recall,fold0/class_7/f1-score,fold0/class_10/precision,fold4/class_10/f1-score,fold2/class_8/f1-score,fold0/confusion_matrix,fold0/class_4/precision,fold4/class_1/recall,fold1/class_8/precision,fold3/class_5/precision,fold4/class_5/precision,fold4/class_6/recall,fold3/confusion_matrix,fold3/class_1/recall,fold3/class_1/f1-score,fold2/class_0/recall,fold4/class_0/precision,fold1/class_2/recall,fold4/class_8/recall,fold0/class_9/f1-score,fold4/class_5/f1-score,fold3/class_6/recall,fold0/class_7/precision,fold2/class_4/f1-score,fold2/class_0/f1-score,cv5/fold_metrics,fold3/class_9/recall,fold3/class_6/f1-score,fold2/class_9/recall,fold0/class_4/f1-score,fold0/class_9/precision,fold4/class_2/recall,fold2/class_8/precision,fold2/class_1/f1-score,fold4/class_4/f1-score,fold3/class_0/precision,fold1/class_4/precision,fold1/confusion_matrix,fold1/class_1/recall,fold4/class_1/f1-score,fold0/class_5/precision,fold2/class_1/precision,fold3/class_2/precision,fold0/class_5/f1-score,fold3/class_1/precision,fold0/class_6/precision,fold2/class_5/precision,fold3/class_2/recall,fold0/class_10/recall,fold0/class_0/precision,fold4/class_2/precision,fold4/class_6/f1-score,fold2/class_0/precision,fold0/class_0/recall,fold0/class_5/recall,fold2/class_5/f1-score,fold2/class_2/recall,fold1/class_4/f1-score,fold0/class_3/precision,_runtime,fold3/class_9/f1-score,fold4/class_9/precision,fold1/class_10/precision,fold1/class_8/f1-score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770738897.2025342,,,,,,,,,,10,,,,,,,,,,,,,,,,0.998015873015873,,,,,,,,,,,,,,,,,,,,,,0.9990069513406157,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6181.726659182,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9988901220865705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770738897.2028549,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9977827050997783,,,,,,,,,,,6181.726957186,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739367.7478597,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://xpz3p6ft7xkis0hppw13saz3sobg9oq7mj67gd3qlowq7iau7hkt088m1a9ei71y0r7fumv6tqn4dxu77ex0968nz7nozkw1cr652qyo4dz14dkykjxgneon036e5dn0:latest/fold1/confusion_matrix.table.json', 'nrows': 11, 'path': 'media/table/fold1/confusion_matrix_12_8c61b06aefc9e8905527.table.json', 'ncols': 12, 'size': 559, 'artifact_path': 'wandb-client-artifact://aszqao6wvojtuoxgosggrasj19od1wopucvagy4hd5scplt3qqs9rab0krxxmvav8g9t47rih2781bewb4mbbf8dgebba9ao4ruj3trure0er35i6so1mrlpj8mbdgxf/fold1/confusion_matrix.table.json', '_type': 'table-file', 'sha256': '8c61b06aefc9e89055279df55b9e3b8575e75863c359273f7b80b90e19022f3e', 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,,,,,,6652.27207767,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999147721219611,,,,0.9999467308737202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739367.7496386,,,,,,,0.9999786916684423,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6652.273794982,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739367.7500618,,,,,,,,,,14,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6652.274245919,,,,
,,,0.9884169884169884,,,,,,,,,,,,,,,,,,,,,,,,0.9789674952198852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739367.7504716,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9980506822612085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6652.274675766,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1770739367.7508743,,,,,,,,,,16,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6652.275033594,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739367.7512434,,,1,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,6652.275379977,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739367.7516065,,1,,,,,,,,18,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6652.275815906,,,,
,,,,,,,,,,,,0.9978118161925602,,,,,,,,,,,,,,0.9989047097480832,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739367.7520187,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6652.276222565,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.9813519813519813,,,,,,,,,,,,,,,,,,,,,1770739367.7524421,,,,0.9905882352941177,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6652.276543575,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739367.7527354,,,,,,,,,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6652.276817813,,,,1
,,,,,,,0.9956616052060737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9935064935064936,,,,,,,,,,,,,,,,,,,,1770739367.7530289,,,,,,,,,,22,,,,,,,,,,,0.9978260869565218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6652.277123222,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9984996249062266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739367.7533123,,,,,0.997003745318352,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6652.277385416,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739795.662222,,,,,,,,,,24,,,,,,,,,,,,,,,,,"{'size': 559, '_type': 'table-file', 'ncols': 12, 'nrows': 11, 'sha256': 'ec6a9a4294890ee8ea054b505dfa2eff7167805b32dcb7c07c8b8b18953a1289', 'artifact_path': 'wandb-client-artifact://jfb0pla4j2hikasso5r279hoziyx4dd2cgzzm9bxdn5bv0p654j7ptrpxvre6ivj8iloymxte11lfmtjegzoxnogbythri4bf7ordgcfc76tpy3pw90sf5oljfyklhb9/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_24_ec6a9a4294890ee8ea05.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://kied8j783znbagxp1nm2ylmir8uhw4a0gor7947hyejy63uejxuyz7ojygetgfshwehrnmtxnrfjympdxnz76o88zakfs2ev6sro2j6c2w9conwmn5t1rrtmhkyf4c6u:latest/fold2/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7080.186545374,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739795.6642294,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999936039570186,,,,,,,,,0.999936039570186,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999936039570186,,,,,,,7080.188518765,,,,
,,,,,,,,,,,,,,0.9956427015250545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739795.6647778,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9967284623773174,,,,,,,,0.9978165938864629,,,,,,,,,,,,,,,,,,7080.188895465,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1770739795.6652496,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,7080.189444902,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9979757085020243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9959595959595959,,1770739795.665787,,,,,,,,,,28,,,,,,,,0.9969666329625885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7080.189983268,,,,
,,,,,,0.9978902953586498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1770739795.6662447,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989440337909187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7080.190349806,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1770739795.666619,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,7080.190760609,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9924812030075187,,,,,,,,,,,,,,,,,,0.9962264150943396,,,,1770739795.6669736,,,,,,,,1,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7080.191083441,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1770739795.667279,,,,,,,,,,32,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7080.191369183,,,,
