fold2/confusion_matrix,fold4/class_0/f1-score,fold0/class_3/precision,fold2/class_1/precision,fold4/class_3/precision,fold0/class_3/f1-score,cv5/fold_metrics,fold4/class_2/f1-score,fold0/class_0/precision,fold2/class_0/f1-score,fold2/class_1/f1-score,fold4/class_1/f1-score,fold4/confusion_matrix,fold3/class_2/f1-score,fold4/class_1/precision,fold1/class_0/precision,fold4/class_3/f1-score,fold3/class_3/precision,fold3/class_3/recall,fold0/class_0/f1-score,fold4/class_0/precision,fold2/class_2/precision,fold0/class_3/recall,fold1/class_2/f1-score,fold0/class_0/recall,fold1/class_1/f1-score,fold3/confusion_matrix,fold1/confusion_matrix,fold0/class_1/recall,fold2/class_1/recall,fold2/class_3/f1-score,fold2/class_3/recall,fold3/class_0/recall,fold1/class_3/precision,fold1/class_1/recall,fold3/class_3/f1-score,fold0/class_1/f1-score,fold2/class_2/recall,fold0/class_1/precision,_step,fold3/class_1/f1-score,fold3/class_2/recall,fold1/class_0/f1-score,fold4/class_0/recall,fold1/class_1/precision,fold4/class_2/precision,fold4/class_2/recall,fold3/class_0/f1-score,fold3/class_1/recall,fold3/class_0/precision,fold1/class_0/recall,fold1/class_3/f1-score,fold3/class_1/precision,fold4/class_1/recall,fold0/confusion_matrix,fold1/class_2/precision,_runtime,fold0/class_2/recall,fold2/class_0/precision,fold0/class_2/f1-score,_timestamp,fold2/class_3/precision,fold1/class_2/recall,fold4/class_3/recall,fold1/class_3/recall,fold2/class_0/recall,fold2/class_2/f1-score,fold0/class_2/precision,fold3/class_2/precision
,,,,,,,,,0.9919751488480456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,140.647340666,,0.9876288659793815,,1770707918.4976668,,,,,0.9963598543941757,,,
,,,0.9864864864864865,,,,,,,0.9818426361802286,,,,,,,,,,,,,,,,,,,0.9772423025435074,,,,,,,,,,12,,,,,,,,,,,,,,,,,140.64762255,,,,1770707918.4980118,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.9921711899791231,,,,,,,,,,,,,,,,0.9963312368972747,,13,,,,,,,,,,,,,,,,,140.647920316,,,,1770707918.4982524,,,,,,0.9942468619246861,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.983030303030303,0.9724220623501199,,,,,,,,14,,,,,,,,,,,,,,,,,140.648059605,,,,1770707918.4984994,0.9938725490196079,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"{'ncols': 5, 'nrows': 4, 'path': 'media/table/fold3/confusion_matrix_15_3768c96e093569aac728.table.json', 'sha256': '3768c96e093569aac728662bf93df5c291f2abd1feb29668807436942448c286', 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://ttrxjwk8k96rrgyqq8pkvrrgfrakt2g5oxxqi64qjmeyhm7cgop1wz7brbpkr6wue4958omuy1kup21pjfeykymgzp11ke51b5vysm23bxkrojzuz0wbz0h1os08cjq1/fold3/confusion_matrix.table.json', 'size': 145, '_latest_artifact_path': 'wandb-client-artifact://trvwpfjma3smda7dtw77ayl1g8uupqfv720fo0gso5tif91f54wbhd7xrjedas0zp0lsla2i62wo9mzws88wxjum7kidbnsoqxenlkigzv4u3uvpcuter65pmhae0nry:latest/fold3/confusion_matrix.table.json'}",,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,179.400877426,,,,1770707957.2509933,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9920382165605095,,,,,,,16,,,,,,,,0.9881046788263284,,0.9842022116903634,,,,,,,179.40213783,,,,1770707957.252402,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.9739351557533376,,,,,,,,0.9635220125786164,,,,0.9845758354755784,,,,179.402414864,,,,1770707957.2527468,,,,,,,,
,,,,,,,,,,,,,0.9922320041429311,,,,,,,,,,,,,,,,,,,,,,,,,,18,,0.9901808785529715,,,,,,,,,,,,,,,179.402638612,,,,1770707957.2530324,,,,,,,,0.99429164504411
,,,,,,,,,,,,,,,,,0.9728729963008631,0.9850187265917603,,,,,,,,,,,,,,,,,0.9789081885856079,,,,19,,,,,,,,,,,,,,,,,179.402845376,,,,1770707957.2532604,,,,,,,,
,,,,,,,,,,,,"{'ncols': 5, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold4/confusion_matrix_20_670f872d86a25e0edcb4.table.json', 'nrows': 4, 'artifact_path': 'wandb-client-artifact://voarrw0y3wnnyjo2hkte6dmg5hhd82mgm5vor5rcemcdg8no1302zawq8l10ktf0thxzkw0s0mvg1jmzbk0iksdp03yj6verlz9gagl99l7shvgb58s5lyh9791rq0oo/fold4/confusion_matrix.table.json', 'size': 146, '_latest_artifact_path': 'wandb-client-artifact://q9zgjgshcy9kdhgcelfrcev5liv4mu83fv39rx83hn1qwno1dgv7u4fj405z8axa94egmgji2lvaqb4okicsamky6bu1ulxd9wh1xh48dnx3a2wzirfrdrt3wwytcgv5:latest/fold4/confusion_matrix.table.json', 'sha256': '670f872d86a25e0edcb431945c93c2f8e4d105c17e3d413308fdcf223e140574', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,208.792876036,,,,1770707986.6429908,,,,,,,,
,0.9942166140904312,,,,,,,,,,,,,,,,,,,0.9926509186351706,,,,,,,,,,,,,,,,,,,21,,,,0.9957872564507636,,,,,,,,,,,,,208.794593524,,,,1770707986.6447728,,,,,,,,
,,,,,,,,,,,0.9799612152553329,,,1,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,0.9607097591888466,,,208.794994888,,,,1770707986.645241,,,,,,,,
,,,,,,,0.989769820971867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,0.981237322515213,0.9984520123839009,,,,,,,,,,208.795394328,,,,1770707986.645656,,,,,,,,
,,,,0.9781209781209781,,,,,,,,,,,,0.9724888035828535,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,208.795521973,,,,1770707986.6459184,,,0.9669211195928753,,,,,
,,,,,,"{'ncols': 9, 'nrows': 5, 'size': 774, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://0s3sm9g88i8iqs9rgwk207jiqsuff97vgerv3m4oc5qc6i378e811z749hko6fxkj3bligmx3vaop1d7r8tuafmxohx20jgok2iel2wxd7xp64vms5imb479zc23i459:latest/cv5/fold_metrics.table.json', 'path': 'media/table/cv5/fold_metrics_25_a662f2ee3a7bded9425c.table.json', 'sha256': 'a662f2ee3a7bded9425cf8a4e554c593c6604c82f341027c0c042806b2d822ba', 'artifact_path': 'wandb-client-artifact://5a2p5um6p7zroobcp29dij8jgfx0q73ufxtqyja9rqvm07bxyeqwqh9k3fgzniz6x0tpbrjjs3lf4673rle5j0vzsz0r86w4h6psvf91bachiydkfb8315nsy1lzywf9/cv5/fold_metrics.table.json', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,209.098817978,,,,1770707986.9490104,,,,,,,,
