fold3/class_7/f1-score,fold4/class_3/f1-score,fold1/class_6/f1-score,fold4/class_7/precision,fold4/class_8/precision,fold4/class_4/f1-score,fold1/class_9/f1-score,fold1/class_8/precision,fold0/class_3/precision,fold0/class_0/recall,fold3/class_3/f1-score,fold0/class_2/f1-score,fold0/class_1/f1-score,fold1/class_10/f1-score,fold3/class_2/recall,fold0/class_7/f1-score,fold1/class_9/precision,fold2/class_3/f1-score,fold3/confusion_matrix,fold1/class_0/f1-score,fold0/class_10/precision,fold2/class_8/f1-score,fold4/class_8/f1-score,fold4/class_0/precision,fold2/class_5/recall,fold0/class_2/recall,fold0/class_7/precision,fold1/class_2/precision,fold2/class_0/recall,fold3/class_0/recall,fold0/class_7/recall,fold0/class_9/recall,fold4/class_4/recall,fold0/class_0/f1-score,fold0/class_0/precision,fold4/class_2/recall,fold3/class_3/precision,fold0/class_2/precision,fold2/class_1/precision,fold4/class_9/recall,fold3/class_7/recall,fold3/class_9/f1-score,fold2/class_10/recall,_runtime,fold0/class_4/f1-score,fold3/class_0/f1-score,fold1/class_3/recall,fold2/class_2/f1-score,fold1/class_2/f1-score,fold4/class_10/f1-score,fold3/class_9/precision,fold1/class_2/recall,fold2/class_1/recall,fold1/class_5/f1-score,fold2/class_4/precision,cv5/fold_metrics,fold4/class_9/precision,fold3/class_5/f1-score,fold2/class_2/precision,fold1/class_9/recall,fold4/class_5/recall,fold2/class_6/recall,fold2/class_0/f1-score,fold3/class_6/precision,fold2/class_2/recall,fold4/class_3/precision,fold1/class_5/recall,fold0/class_3/f1-score,fold3/class_6/recall,fold2/class_7/precision,fold2/class_6/precision,_timestamp,fold0/class_4/precision,fold4/class_4/precision,fold3/class_3/recall,fold1/class_4/f1-score,fold4/class_2/precision,fold0/class_4/recall,fold1/confusion_matrix,fold0/class_1/recall,fold2/class_4/f1-score,fold4/class_0/recall,fold0/class_9/f1-score,fold0/class_6/precision,fold1/class_4/precision,fold1/class_7/recall,fold4/class_2/f1-score,fold0/class_3/recall,fold2/class_8/recall,fold2/confusion_matrix,fold2/class_6/f1-score,fold1/class_0/precision,fold2/class_3/precision,fold0/class_6/f1-score,fold1/class_8/recall,fold1/class_6/precision,fold2/class_10/precision,fold3/class_8/precision,fold1/class_10/recall,fold4/class_6/precision,fold1/class_0/recall,fold1/class_5/precision,fold3/class_1/recall,fold4/class_5/f1-score,fold2/class_0/precision,fold4/class_1/recall,fold4/class_10/recall,fold3/class_9/recall,fold0/class_1/precision,fold3/class_4/recall,fold1/class_1/precision,fold1/class_7/precision,fold0/class_10/f1-score,fold0/confusion_matrix,fold4/class_7/recall,fold0/class_9/precision,fold4/class_6/recall,fold3/class_7/precision,fold4/confusion_matrix,fold0/class_5/precision,fold0/class_8/f1-score,fold1/class_7/f1-score,fold3/class_5/precision,fold4/class_6/f1-score,fold0/class_8/precision,fold3/class_4/precision,fold2/class_3/recall,fold4/class_10/precision,fold3/class_0/precision,fold0/class_8/recall,fold2/class_7/f1-score,fold2/class_7/recall,fold1/class_4/recall,fold3/class_10/f1-score,fold2/class_8/precision,fold2/class_9/f1-score,fold4/class_3/recall,fold3/class_5/recall,fold3/class_1/precision,fold2/class_1/f1-score,fold3/class_10/recall,fold1/class_1/f1-score,fold2/class_9/precision,fold0/class_6/recall,fold0/class_10/recall,fold1/class_8/f1-score,fold4/class_5/precision,fold3/class_2/precision,fold4/class_9/f1-score,fold4/class_0/f1-score,fold2/class_5/f1-score,_step,fold1/class_6/recall,fold4/class_8/recall,fold3/class_2/f1-score,fold3/class_10/precision,fold2/class_9/recall,fold0/class_5/f1-score,fold1/class_10/precision,fold3/class_8/recall,fold2/class_10/f1-score,fold3/class_8/f1-score,fold4/class_7/f1-score,fold1/class_3/precision,fold4/class_1/precision,fold1/class_3/f1-score,fold2/class_4/recall,fold3/class_6/f1-score,fold0/class_5/recall,fold2/class_5/precision,fold3/class_1/f1-score,fold4/class_1/f1-score,fold1/class_1/recall,fold3/class_4/f1-score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9877394636015325,,,,,,,,,,,,10361.943899058,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770936401.2831879,,,,,,,,,,,0.9791112799088493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9706325301204819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.9829807926088013,,,,,,,,,,,,,,,,,,,,,,,10361.944015178,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770936401.2833004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9829807926088013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9829807926088013,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10983.378168571,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770937022.71734,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://2769f7of67exyi617ujxauctgqa3fdxz185nn8bp2zzkh1qhal6o51y3v23h0pck9pvwpd8o7w8hcyr3ddbay690dmyyi20ju1fzknlqmykrf6soqwdnnmroe6rvhhx7:latest/fold1/confusion_matrix.table.json', 'ncols': 12, 'nrows': 11, 'size': 585, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://livwjb1w69bv6vdzmpuh82qks88tjtji2k450u4iq6muaa7hzyrhde9dbzw1am3puraktd8yxg2pdzwmzc4ovlofvf6hgqk33108fx0vdw5bob15pa3354irfu9buktu/fold1/confusion_matrix.table.json', 'sha256': '5afdc9629d08a82608ea5831523a7c90086c4badb418ebaaf5ef829496106904', '_type': 'table-file', 'path': 'media/table/fold1/confusion_matrix_12_5afdc9629d08a82608ea.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.9887644878971852,,,,,,,,,,,,,,,,,,,,,,,,10983.379648417,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770937022.7188032,,,,,,,,,,,,,,,,,,,,0.9850365250176734,,,,,,,,,0.9925207756232687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10983.379841991,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770937022.7190464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9773531493276716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9681037504381353,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,0.9590277777777778,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9844134536505332,,,,,,,,,,,,,,,,10983.380084372,,,,,0.97165991902834,,,0.9592326139088729,,,,,,,,,,,,,,,,,,,,1770937022.719245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10983.380220182,,,0.9648745519713262,,,,,,,,,,,,,,,,,,,,,,,,,1770937022.7194479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,0.9704397981254506,,0.9676491732566499,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10983.380413696,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770937022.7196407,,,,0.9755895738518825,,,,,,,,,0.980865224625624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9703703703703703,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10983.380594515,,,,,,,,,,0.9672727272727273,,,,,,,,,,,,,0.9595959595959596,,,,,1770937022.7198288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9750733137829912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,0.9705248023005032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10983.380772829,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770937022.7200093,,,,,,,,,,,,,,,,,,,,,,,,0.9733237202595529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0.967741935483871,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10983.380964178,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770937022.7201927,,,,,,,,,,,,,,0.9953379953379954,,,,,,,,,,,,,,,,,,,,,,,,,,0.9953379953379954,,,,,,,,,,0.9953379953379954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.9971870604781997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10983.381130498,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770937022.7203836,,,,,,,,,,,,,,,,,,,,,,,0.9607046070460704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9786059351276742,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.9831834180680485,,,,,,,,,,0.989763779527559,,,,,,,,,,,,,,,,,,,,,,,,,,,10983.381335004,,,,,,,,,,,,,,,,0.9766899766899767,,,,,,,,,,,,1770937022.720559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9860012172854534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10983.381471776,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770937022.7207634,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9846827133479212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,0.9873232569478303,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11764.445334177,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770937803.7843728,,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://5mfcsi7z2b7zg9ruth3boxxkmclgcqa267ukiadzrpe3ecc600zpfyqcc4r5plr2euknd44afqmh9sbljjc29140jvhdeljsn7m5bg3luozvhpi877753poc709owpue:latest/fold2/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://voonom9nsm8sxarndv1g7s7pp0l02adztc6to9gmufgw9sfiy7crm6gmv6tv660vkjoqsyajzb9wk7bz6ejbynrjuneip6ipvq4u6nxpmpvxe3d4wvk35ggm52mahsap/fold2/confusion_matrix.table.json', 'sha256': '995b77b44b3ec5c2956070d2b6bcbc77af7cd0c22f2d2bf96a4ca2eae9386c82', 'nrows': 11, 'size': 587, 'ncols': 12, 'path': 'media/table/fold2/confusion_matrix_24_995b77b44b3ec5c29560.table.json', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9914475768134304,,,,,,,,,,,,,,,11764.446649658,,,,,,,,,,,,,,,,,,,0.987810170026431,,,,,,,,,1770937803.7857563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9841993553965883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9756838905775076,,,,,11764.446903031,,,,,,,,,0.963963963963964,,,,,,,,,,,,,,,,,,,1770937803.786078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9697885196374623,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11764.447101445,,,,0.9657794676806084,,,,,,,,,,,0.9674515235457064,,,,,,0.9641131815044859,,,,,,,1770937803.7863028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.9668400520156046,,,,,,,,,,,,,,,,,,,,,,,,,,11764.447266753,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770937803.786507,,,,,,,,,,,,,,,,,,,,,0.9789335088874259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9550417469492614,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11764.44739646,,,,,,,,,,,0.9761549925484352,,,,,,,,,,,,,,,,,1770937803.786673,,,,,,,,,0.9798055347793567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,0.9834834834834835,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.9451659451659452,,,,,,,,,,,,,,,,,,,11764.447529504,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770937803.786811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.966789667896679,30,,,,,,,,,,,,,,,,,,0.9894259818731118,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11764.447665183,,,,,,,,,,,,,,,,,,0.989272030651341,,,,,,,,,0.9562962962962963,1770937803.786945,,,,,,,,,,,,,,,,,,,0.9725047080979284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11764.447794359,,,,,,,,,,,,,,,,,,,,,,,,,,0.9885057471264368,,1770937803.7870789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9783845278725825,0.9684684684684685,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.9800884955752213,,,,,,,,,,,,,,,,,,,,,,11764.447918746,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770937803.7872105,,,,,,,,,,,,,,,,,0.977924944812362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9822616407982262,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11764.44805191,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770937803.7873387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9786561264822135,,,,,,,0.99597747385358,,,,,,,,,34,,,,,0.9619269619269619,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9787015653066461,11764.448183562,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770937803.7874677,,,,,,,,,,,,,,,,,,,,,,,,,0.9896211728074727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,0.9841310798606632,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://xk16zu1vtvq7wjv1ybluzxxh0absj882b8r6s06wlr5iizq0c26sf7c3fyf0hqte1shjvtnhnlc72d57mz8rdsfxfif4der2fwixtelntgaunesro0o3amb0m2bfey42:latest/fold3/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 12, 'path': 'media/table/fold3/confusion_matrix_36_c3f88be3da03f15a789e.table.json', 'sha256': 'c3f88be3da03f15a789eb4e4c31de828a4f8881209e6a387facbd32940fbc7a6', 'size': 587, 'nrows': 11, 'artifact_path': 'wandb-client-artifact://qnby7tyygwbs6zbk01xcxezc5i8wnaoqvajmqox418il4dgqmalzt3prj36x7b928jq1mkoly9ci4bum3299q0hk79it8a7cu35v7yzkfk9pfye2z2pwe3x83c6hq4d9/fold3/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,12461.189170779,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770938500.528265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992595818815331,,,,,,,,,,,,,,12461.190166495,,0.9904585053633868,,,,,,,,,,,,,,,,,,,,,,,,,,1770938500.529354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9883303765030554,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12461.190437883,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770938500.5296009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9578059071729957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9855282199710564,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,0.9714693295292439,,,
