fold2/class_2/precision,fold0/class_0/precision,fold0/class_3/precision,fold0/class_1/recall,fold2/confusion_matrix,fold1/class_3/precision,fold4/class_1/precision,fold2/class_2/recall,fold3/class_1/f1-score,fold4/confusion_matrix,fold1/class_1/precision,fold1/class_0/precision,fold4/class_2/precision,cv5/fold_metrics,fold2/class_1/precision,_timestamp,fold0/class_2/f1-score,fold3/class_0/precision,fold0/confusion_matrix,fold2/class_3/f1-score,fold4/class_3/recall,fold4/class_2/recall,fold0/class_1/precision,fold0/class_2/recall,fold3/class_0/f1-score,fold1/class_2/f1-score,_runtime,fold1/class_2/precision,fold0/class_3/recall,fold2/class_0/precision,fold1/class_2/recall,fold2/class_0/f1-score,fold3/class_1/precision,fold0/class_0/recall,fold4/class_1/f1-score,fold0/class_3/f1-score,fold1/confusion_matrix,fold2/class_1/recall,fold1/class_3/f1-score,fold2/class_3/precision,fold3/class_3/recall,fold3/class_0/recall,fold4/class_0/f1-score,fold1/class_3/recall,fold4/class_3/precision,fold4/class_3/f1-score,fold4/class_2/f1-score,fold2/class_1/f1-score,fold1/class_1/recall,fold2/class_3/recall,fold0/class_0/f1-score,fold3/class_2/recall,fold3/class_2/precision,_step,fold3/confusion_matrix,fold3/class_3/f1-score,fold0/class_1/f1-score,fold4/class_0/precision,fold3/class_1/recall,fold3/class_2/f1-score,fold1/class_1/f1-score,fold0/class_2/precision,fold1/class_0/f1-score,fold4/class_0/recall,fold2/class_2/f1-score,fold2/class_0/recall,fold4/class_1/recall,fold3/class_3/precision,fold1/class_0/recall
,,,,,,,,,,,,,,,1770721273.1459503,,,,,,,,,,,233.280416213,,,0.9772307692307692,,0.9840433772269559,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,0.9909516380655227,,,
,,,,,,,,,,,,,,0.9949579831932773,1770721273.1463192,,,,,,,,,,,233.280720703,,,,,,,,,,,0.951004016064257,,,,,,,,,,0.9724845995893224,,,,,,12,,,,,,,,,,,,,,,
0.9801449732114718,,,,,,,0.9779874213836478,,,,,,,,1770721273.1466732,,,,,,,,,,,233.28109443,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,0.9790650086573273,,,,
,,,,,,,,,,,,,,,1770721273.147055,,,,0.9610296746514122,,,,,,,233.281496751,,,,,,,,,,,,,0.9552238805970149,,,,,,,,,,0.9669064748201439,,,,14,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1770721362.268728,,,,,,,,,,,322.403354617,,,,,,,,,,,,,,,,,,,,,,,,,,,15,"{'ncols': 5, 'path': 'media/table/fold3/confusion_matrix_15_8311802f5555cd33e8e4.table.json', 'artifact_path': 'wandb-client-artifact://79zu7p4dlhqwgtma96t8m94f4uqm7ms9kxd2zymxt7tjo5zk92239po8m48nx7e0gdc6g75owras40xxadah5ocnv8ohiqa0vay7xdvprmns7a2hxocqw65g3uk46oeg/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://48knd895fh8kyo5v2pzd1wlokvg7ecs4v0uu2qohlwz9ryaa5nvnpapqpegxouqaz5otfi1nesg68dk3qo64dzs4fvvkejvy2dou8binymv45w2gl9rxd2bynezt49le:latest/fold3/confusion_matrix.table.json', 'nrows': 4, 'size': 150, 'sha256': '8311802f5555cd33e8e4c920a3b22588916752aee8272dfbf64be701b18a8072', 'log_mode': 'IMMUTABLE', '_type': 'table-file'}",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1770721362.2704923,,0.9584870848708487,,,,,,,0.9752816020025031,,322.405007993,,,,,,,,,,,,,,,0.9926751592356687,,,,,,,,,,,,16,,,,,,,,,,,,,,,
,,,,,,,,0.9729102167182663,,,,,,,1770721362.2709463,,,,,,,,,,,322.405358238,,,,,,0.9984114376489277,,,,,,,,,,,,,,,,,,,,,17,,,,,0.9486792452830188,,,,,,,,,,
,,,,,,,,,,,,,,,1770721362.2712922,,,,,,,,,,,322.405699154,,,,,,,,,,,,,,,,,,,,,,,,,0.9851162790697674,0.9820710973724884,18,,,,,,0.9835913312693498,,,,,,,,,
,,,,,,,,,,,,,,,1770721362.271634,,,,,,,,,,,322.406016984,,,,,,,,,,,,,,0.951310861423221,,,,,,,,,,,,,19,,0.9716908951798011,,,,,,,,,,,,0.9929632525410477,
,,,,,,,,,"{'size': 151, 'ncols': 5, '_type': 'table-file', 'nrows': 4, 'path': 'media/table/fold4/confusion_matrix_20_f639b103d5034fb9bcbe.table.json', 'sha256': 'f639b103d5034fb9bcbe20fd28b2027797d2ff2b8eba26b91ebf554580a371c6', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://01345aism8krwn5vqgrbtl6laaceuild0fd0hnh7rncfwgrhq66t1lgxx6bo5nytymju26uoqjccpk0a2d3pgmiollf3h26qcpu0yp52gzns6nadlprawza01o4fzjet/fold4/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://ihgmxl1ram4a2kpx98lparypv2sp8ydrr93ly489yjf7qsdsxq0btaglzoxxy7gno9wsd8c2vsonx2p45t1rnbslkl4e6adagijal9imujdykjy4rvu5r4zan13jjtzd:latest/fold4/confusion_matrix.table.json'}",,,,,,1770721493.2676322,,,,,,,,,,,453.402191394,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1770721493.2692614,,,,,,,,,,,453.403691515,,,,,,,,,,,,,,,,0.9922505139965206,,,,,,,,,,,21,,,,0.993350221659278,,,,,,0.9911532385466034,,,,,
,,,,,,0.9714070729872084,,,,,,,,,1770721493.2696626,,,,,,,,,,,453.404185401,,,,,,,,0.9765506807866868,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,0.9817490494296578,,
,,,,,,,,,,,,0.97166968053044,,,1770721493.2700825,,,,,,0.9981424148606811,,,,,453.404527249,,,,,,,,,,,,,,,,,,,,0.984728161270617,,,,,,,23,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1770721493.2705278,,,,,0.9267175572519084,,,,,,453.404920671,,,,,,,,,,,,,,,,,,0.9991769547325103,0.9615841584158416,,,,,,,,24,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://ewzwo0jyojaj0bqifm8r91m33ckf1ee3ppcmqlc2r4wiyylilgpfxa366p4zd78f3q442jel5gro0zs6omflsz6mlr4iyjjtq30b52gu435nz6jtqbkuxwiz08f111lw/cv5/fold_metrics.table.json', 'ncols': 9, 'nrows': 5, 'path': 'media/table/cv5/fold_metrics_25_b6dc6216ed3ab61d1ef4.table.json', '_type': 'table-file', 'sha256': 'b6dc6216ed3ab61d1ef41fa0c36d253ebbdbd53ffeb04bb166fb2107a53d154b', '_latest_artifact_path': 'wandb-client-artifact://wycs2oqx9wg5cgatjhobyyos6r4rikuh7tkqf7xa85p3ixkw68uykr6xdim2qt869jqukoejjg5ph6k8hy6jzjz9zyzp8xilbiiqipu0rzq0kpznhlnpcmlqdj3x2lk6:latest/cv5/fold_metrics.table.json', 'size': 771}",,1770721493.551579,,,,,,,,,,,453.686028429,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,
