fold4/class_0/f1-score,fold2/class_2/precision,fold4/class_1/recall,fold3/class_0/precision,fold3/confusion_matrix,fold3/class_3/recall,fold4/confusion_matrix,fold0/confusion_matrix,fold0/class_2/f1-score,fold0/class_1/f1-score,fold1/confusion_matrix,fold4/class_3/precision,fold4/class_1/f1-score,fold1/class_1/recall,fold2/class_1/precision,fold4/class_2/f1-score,fold0/class_3/precision,fold1/class_2/f1-score,fold3/class_2/f1-score,fold4/class_0/recall,fold2/class_0/recall,fold4/class_3/recall,fold3/class_0/f1-score,fold0/class_1/precision,fold3/class_1/f1-score,fold3/class_1/precision,fold1/class_3/precision,fold2/class_3/precision,fold0/class_0/f1-score,fold1/class_3/recall,fold2/class_1/recall,fold2/class_2/recall,fold3/class_2/precision,fold0/class_0/recall,fold1/class_2/recall,fold0/class_3/recall,fold3/class_0/recall,fold2/class_2/f1-score,fold2/class_0/precision,fold2/class_3/f1-score,fold2/class_3/recall,fold3/class_3/f1-score,fold0/class_1/recall,fold4/class_2/precision,fold1/class_1/precision,fold0/class_3/f1-score,fold2/class_0/f1-score,fold3/class_3/precision,fold4/class_0/precision,fold0/class_0/precision,fold1/class_2/precision,fold4/class_3/f1-score,fold1/class_0/f1-score,_timestamp,fold1/class_1/f1-score,fold1/class_0/precision,fold0/class_2/recall,fold1/class_0/recall,fold3/class_1/recall,fold4/class_1/precision,fold3/class_2/recall,cv5/fold_metrics,fold0/class_2/precision,fold4/class_2/recall,fold2/class_1/f1-score,fold1/class_3/f1-score,_step,fold2/confusion_matrix,_runtime
,,,,,,,,,,,,,,,,,,,,0.9787831513260531,,,,,,,,,,,,,,,,,,0.993979721166033,,,,,,,,0.9863229052035843,,,,,,,1770722479.7217689,,,,,,,,,,,,,11,,220.125861339
,,,,,,,,,,,,,,0.9042709867452136,,,,,,,,,,,,,,,,0.9863453815261044,,,,,,,,,,,,,,,,,,,,,,,1770722479.7221572,,,,,,,,,,,0.9435266999615828,,12,,220.126243411
,0.9875835721107927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9754716981132076,,,,,,0.9814902705268154,,,,,,,,,,,,,,,,1770722479.7225592,,,,,,,,,,,,,13,,220.126621224
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9655677655677656,,,,,,,,,,,,0.9568058076225046,0.9482014388489208,,,,,,,,,,,,,1770722479.7229419,,,,,,,,,,,,,14,,220.127021608
,,,,"{'artifact_path': 'wandb-client-artifact://kxbfli2wj44dkzu548bd4wkyrft46x5q2ntayaj5nhz2qvm8mwyivwb2cnlv8r93jsrmzeb1n9wtw98gy4smyx173ubjow038wgs96du6g1khnwdje4fxpljknylxia8/fold3/confusion_matrix.table.json', 'path': 'media/table/fold3/confusion_matrix_15_44f81f01f55764d1a7ef.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'nrows': 4, 'sha256': '44f81f01f55764d1a7ef9969f281669e5171c50f45d257596ce6f67088e62fd5', 'size': 151, 'ncols': 5, '_latest_artifact_path': 'wandb-client-artifact://6uwbs95h6mlhz5tid2q8ytnemlg7t82l9i52c8w7qk6zhfolmpj9mmrmvgbeaz7zexwxsd0hxt497yzmoo0k26zftemtdmkjip332c32bb90cyu7fcoq9mqhwa7ljsmi:latest/fold3/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770722552.0931957,,,,,,,,,,,,,15,,292.497433019
,,,0.9904549793191219,,,,,,,,,,,,,,,,,,,0.9909279006843864,,,,,,,,,,,,,,0.9914012738853503,,,,,,,,,,,,,,,,,1770722552.094866,,,,,,,,,,,,,16,,292.49899258
,,,,,,,,,,,,,,,,,,,,,,,,0.9721904761904762,0.9815384615384616,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770722552.0954163,,,,,0.9630188679245283,,,,,,,,17,,292.49951896
,,,,,,,,,,,,,,,,,,0.9847018420231033,,,,,,,,,,,,,,0.9915121031122288,,,,,,,,,,,,,,,,,,,,,1770722552.09586,,,,,,,0.977984496124031,,,,,,18,,292.499952015
,,,,,0.9760299625468165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.952485380116959,,,,,,0.9300499643112062,,,,,,1770722552.0963247,,,,,,,,,,,,,19,,292.500381927
,,,,,,"{'sha256': 'cc835587119ca034cb4a8003824051aa92a2c8c703ea8af7f12edaabbad219d1', 'size': 150, '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 4, 'artifact_path': 'wandb-client-artifact://t9hdcl7djhsikuae188lskny8un2zattjls1i9e39dpifd3salmdqygrc4j881229p6ts7il7wxiz1n1ducpw0gng059se14m4l8yoyzcwph5awgrjeha7qkykpiw2hv/fold4/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://zsgyjd87r18ebfurqphsafhyzk5pjfgukyxxhdv0rnkc4cdaj9ma2zbqc5xlv9g50evms6ocg17keo4f6nnn1e2p1p7b14xtnudp179ja4hryi3wxdznxnie0ddkyd1l:latest/fold4/confusion_matrix.table.json', 'path': 'media/table/fold4/confusion_matrix_20_cc835587119ca034cb4a.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770722637.2678242,,,,,,,,,,,,,20,,377.671994305
0.9903861308116627,,,,,,,,,,,,,,,,,,,0.9927330173775671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9880503144654088,,,,,1770722637.2696757,,,,,,,,,,,,,21,,377.67377413
,,0.9825095057034221,,,,,,,,,,0.9810174639331815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770722637.270051,,,,,,0.979529946929492,,,,,,,22,,377.67407408
,,,,,,,,,,,,,,,0.993965650626644,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9935044849984535,,,,,,,,,,1770722637.2704058,,,,,,,,,,0.9944272445820433,,,23,,377.674458479
,,,,,,,,,,,0.9906832298136646,,,,,,,,,,0.9740458015267176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9822940723633564,,1770722637.2707574,,,,,,,,,,,,,24,,377.674754605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770722637.5856233,,,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://snt2hmj909dzk197m57cfv8ajc9s7xf597f5y35ejdy97jjo854ketgle6xxnwp6du1i5y4wf1fs0qijkyww7kfgvms2mctmkz6g0xezly51bzcj37nn1ue8jtgi2k26:latest/cv5/fold_metrics.table.json', 'nrows': 5, 'sha256': '3feb7ff37f62ac4a18766e0254b575b26720ddebc10d85f116999109ee00a2ac', 'artifact_path': 'wandb-client-artifact://5dlkc4xgwiz0dhlsbsjknkju5svouskql8s5fnjkls936fk9fc8kb6iocucw6iqdx76io5spt9nmwiispxw3vhbnek52nherscxxz1jot0v5wep30ksd1rq1zu8dzz8i/cv5/fold_metrics.table.json', '_type': 'table-file', 'ncols': 9, 'size': 771, 'path': 'media/table/cv5/fold_metrics_25_3feb7ff37f62ac4a1876.table.json'}",,,,,25,,377.989711706
