fold0/class_4/recall,fold3/class_1/recall,fold2/class_0/recall,fold1/class_3/f1-score,fold2/class_4/recall,fold2/class_1/precision,fold3/confusion_matrix,fold1/class_9/recall,fold1/class_3/precision,fold2/class_9/f1-score,fold4/class_9/precision,fold3/class_3/recall,fold0/class_2/precision,fold4/class_0/f1-score,fold1/class_2/f1-score,fold0/class_1/recall,fold3/class_7/precision,fold4/class_4/recall,fold3/class_8/recall,fold3/class_8/f1-score,fold2/class_5/recall,fold2/class_3/f1-score,_step,fold3/class_1/precision,fold1/class_7/recall,fold0/class_10/recall,fold1/class_6/precision,fold0/class_8/recall,fold4/class_10/precision,fold4/confusion_matrix,fold3/class_9/precision,fold0/class_10/precision,fold2/class_9/recall,fold4/class_3/f1-score,fold1/class_7/f1-score,fold2/class_7/f1-score,fold3/class_4/precision,fold1/class_9/precision,fold0/class_7/precision,fold0/class_6/recall,fold2/class_4/f1-score,fold4/class_5/precision,fold1/class_2/precision,fold0/class_3/f1-score,fold3/class_0/f1-score,fold0/class_0/precision,fold4/class_6/recall,fold0/class_2/f1-score,fold0/class_2/recall,fold1/class_6/recall,fold2/class_8/f1-score,fold0/class_0/recall,_runtime,fold1/class_5/f1-score,fold0/class_3/recall,fold1/class_6/f1-score,fold4/class_5/recall,fold4/class_0/recall,fold0/class_4/f1-score,fold4/class_7/f1-score,fold2/class_7/precision,fold0/class_1/f1-score,fold2/class_2/f1-score,fold2/class_5/f1-score,fold3/class_4/f1-score,fold0/class_5/recall,fold3/class_10/recall,fold4/class_0/precision,fold1/class_4/recall,fold2/class_1/recall,fold2/class_2/precision,fold1/class_2/recall,fold2/class_10/precision,fold3/class_2/recall,fold0/class_1/precision,fold3/class_8/precision,_timestamp,fold1/class_8/recall,fold3/class_4/recall,fold2/class_1/f1-score,fold4/class_1/recall,fold1/class_10/recall,fold1/class_0/f1-score,fold2/class_0/f1-score,fold2/class_4/precision,fold3/class_0/precision,fold2/class_6/f1-score,fold3/class_5/recall,fold0/class_9/precision,fold1/class_0/precision,fold1/class_10/f1-score,fold0/class_6/precision,fold1/class_8/f1-score,fold4/class_2/precision,fold4/class_2/recall,fold4/class_6/precision,fold3/class_2/f1-score,fold4/class_5/f1-score,fold4/class_8/recall,fold4/class_2/f1-score,fold1/class_4/f1-score,fold4/class_9/recall,cv5/fold_metrics,fold4/class_1/precision,fold3/class_6/recall,fold4/class_8/f1-score,fold0/class_7/recall,fold3/class_1/f1-score,fold0/class_8/precision,fold4/class_10/f1-score,fold2/class_6/precision,fold3/class_7/f1-score,fold2/class_8/precision,fold1/class_1/precision,fold1/confusion_matrix,fold3/class_9/f1-score,fold1/class_7/precision,fold2/class_0/precision,fold4/class_1/f1-score,fold2/class_3/precision,fold0/class_10/f1-score,fold0/class_9/recall,fold2/class_3/recall,fold4/class_3/precision,fold2/class_10/f1-score,fold3/class_6/precision,fold4/class_10/recall,fold0/confusion_matrix,fold3/class_7/recall,fold2/class_5/precision,fold0/class_0/f1-score,fold3/class_5/precision,fold3/class_6/f1-score,fold0/class_9/f1-score,fold4/class_4/f1-score,fold4/class_3/recall,fold3/class_3/f1-score,fold3/class_5/f1-score,fold2/class_10/recall,fold1/class_5/recall,fold0/class_5/precision,fold2/class_9/precision,fold1/class_1/f1-score,fold0/class_8/f1-score,fold2/class_2/recall,fold2/class_7/recall,fold4/class_8/precision,fold0/class_7/f1-score,fold2/confusion_matrix,fold1/class_8/precision,fold1/class_10/precision,fold0/class_6/f1-score,fold3/class_10/f1-score,fold3/class_9/recall,fold3/class_0/recall,fold0/class_5/f1-score,fold4/class_7/precision,fold2/class_6/recall,fold2/class_8/recall,fold4/class_6/f1-score,fold0/class_4/precision,fold1/class_9/f1-score,fold1/class_0/recall,fold4/class_7/recall,fold3/class_2/precision,fold1/class_3/recall,fold1/class_5/precision,fold4/class_9/f1-score,fold1/class_1/recall,fold4/class_4/precision,fold3/class_3/precision,fold0/class_3/precision,fold3/class_10/precision,fold1/class_4/precision
,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993373094764745,,5331.036559029,,,,,,,,,,,,,,,,,,,,,,,,1770916336.4025455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9986754966887417,,,,,,,,,,,,,,,
,,,,,,,,,1,,,,,,,,,,,,,34,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5331.036727336,,,,,,,,,,,,,,,,,,,,,,,,1770916336.4026995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5331.036861926,,,,,,,,,,,,,,,,,,,,1,,,,1770916336.4028525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9988776655443322,,,,,,,,,,,,,,0.9977578475336323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"{'artifact_path': 'wandb-client-artifact://onnptw7a9tx7x6l81j7kvcrta4mvl8tbmk5uqb7vb00w4ioj4f95gmwfiif374hc5lvf088qm7pa0v5mndcew3kdxalndqpzf5htz3smgkbelhiumlcgoidvxea3rwg0/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://c4nc6u3sn4i98yy95jg9b1fbdxdci5cw16my2bvw47mkfzq106i7wf8jcl9y4obghgu1oita5neyt3dy3p8fdth20lvudd9hddg6lvxt1ki2ba4euislc9guqgbkfz3l:latest/fold3/confusion_matrix.table.json', 'sha256': 'd882ac252b074475cac34da90c5027ee251b7d1d08a923e10d06e13867ea549a', 'size': 559, 'ncols': 12, 'nrows': 11, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold3/confusion_matrix_36_d882ac252b074475cac3.table.json', '_type': 'table-file'}",,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5735.979682521,,,,,,,,,,,,,,,,,,,,,,,,1770916741.345506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,0.999949609473419,,,,,,,,5735.981086868,,,,,,,,,,,,,,,,,,,,,,,,1770916741.3469288,,,,,,,,,0.9998992240249924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5735.981285406,,,,,,,,,,,,,,,,,,,,,,,,1770916741.3471913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5735.981373312,,,,,,,,,,,,,,,,,,,,,0.9959183673469387,,,1770916741.3473542,,,,,,,,,,,,,,,,,,,,0.9979550102249489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,1,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5735.981534616,,,,,,,,,,,,,,,,,,,,,,,,1770916741.3475008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997229916897507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994475138121547,,,
,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5735.981655809,,,,,,,,,,,,0.9993746091307066,,,,,,,,,,,,1770916741.3476396,,0.99875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5735.981793736,,,,,,,,,,,,,,,,,,,,,,,,1770916741.3477752,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987277353689568,,,,,,0.9993634627625716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5735.981963506,,,,,,,,,,,,,,,,,,,,,,,,1770916741.3479168,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5735.982073918,,,,,,,,,,,,,,,,,,,,,,,,1770916741.3480732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.9974522292993631,0.9987244897959183,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5735.98220494,,,,,,,,,,,,,,,,,,,,,,,1,1770916741.3481975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,5735.982322416,,,,,,,,,,,,,,,,,,,,,,,,1770916741.3483193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9969834087481146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9939849624060151,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5735.982430042,,,,,,,,,,,,,,1,,,,,,,,,,1770916741.3484426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997748254897546,,,,,,,,,,,,,,,,,,,,0.9995497523638001,
,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://ug9x4elo1lpae23jxxqmmx9m4u201doz3op4amicoo56ymn9r499e4yycnt4yo4fc3r2995sllxyg64tlcg6wmptxusw6mgzhnv5cv8bc6jkrczkntxjt0mzn9jphyzy:latest/fold4/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold4/confusion_matrix_48_b77e9fdd018f562757d9.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://gnw8c7zv1yvrfak1mz2srjkpjtkdcgm83tl979r2jif1hl2c6f9li2nraf61kwffy8swxvpipo68dvib85n0w0k712nrudrpxddwnifdia6t13tu841efh5w9z4rh89y/fold4/confusion_matrix.table.json', 'sha256': 'b77e9fdd018f562757d9686ba420d75bc4c1eb7848475da4bcebd55c62b07561', 'ncols': 12, 'nrows': 11, 'size': 559}",,,,,,,,,,,,,,,,,,,,,,,6129.514667846,,,,,,,,,,,,,,,,,,,,,,,,1770917134.8803198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9998866255999396,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6129.516064679,,,,,0.9999748034670429,,,,,,,,,,0.9997984632825293,,,,,,,,,1770917134.8818264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6129.516228889,,,,,,,,,,,,,,,,,,,,,,,,1770917134.8821313,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.9920634920634921,,,,,,,,,,,,,,,0.9960159362549801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6129.516393208,,,,,,,,,,,,,,,,,,,,,,,,1770917134.8822963,,,,,,,,,,,,,,,,,1,0.9986206896551724,,,,,0.9993098688750862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,0.9992372234935164,,,,,,,,,,,,,,,,,,,6129.516551356,,,,,,,,,,,,,,,,,,,,,,,,1770917134.8824441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9984756097560976,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.9904,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6129.516715485,,,,,,,,,,,,,,,,,,,,,,,,1770917134.8826694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9951768488745981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,6129.516840626,,,,0.9986666666666667,,,,,,,,,,,,,,,,,,,,1770917134.8828225,,,,,,,,,,,,,,,,,,,,,0.9993328885923949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,0.998780487804878,,,,,,6129.516990016,,,,,,,,,,,,,,,,,,,,,,,,1770917134.8829634,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993898718730934,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6129.51711151,,,,,,,0.9961880559085133,,,,,,,,,,,,,,,,,1770917134.8831115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0.9924050632911392,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6129.517257693,,,,,,,,,,,,,,,,,,,,,,,,1770917134.883242,,,,,,,,,,,,,,,,,,,,,,0.9987421383647799,,,,,,,0.9993706733794839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6129.517371071,,,,,,,,,,,,,,,,,,,,,,,,1770917134.883371,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,59,,,,,,0.9982956966340009,,,,,,,,,,,,,,,,,,,,,,,,6129.517494348,,,,,,,,,,,,,,,,,,,,,,,,1770917134.8834996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987212276214834,,,,,,,,,,,,,,,,,0.9991471215351813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6129.806288292,,,,,,,,,,,,,,,,,,,,,,,,1770917135.1719463,,,,,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://6fm6p1m5t9a4arre054kvxeu1r0wle07jq31nw0c8qri1qw073u13ronmn3tqq1gbe4c0uws7ynaujpfv6xfpodvpix8qakk09b27kp3u3um59froa5k5y3u2zt6t6l8/cv5/fold_metrics.table.json', 'nrows': 5, 'size': 797, 'ncols': 9, 'log_mode': 'IMMUTABLE', 'path': 'media/table/cv5/fold_metrics_60_92df3998d86dffdd47a5.table.json', 'sha256': '92df3998d86dffdd47a5e40cef56f78dc5bebb86099966b7f13e4a63520fd6bf', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://h8rlhvss90r3uon4yd5fyi9flfpmmggn2tqt4347inxnyzqkxes9rjuu1gj0sr7ohg5l36rflxg5lqq33w2xem5szyqcubuabh6h4vm2illjt5rme18mq9y569j1467f:latest/cv5/fold_metrics.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
