fold3/class_7/precision,fold0/class_4/precision,fold3/confusion_matrix,fold0/class_7/recall,fold1/class_9/precision,fold3/class_7/f1-score,fold3/class_1/precision,fold0/class_4/f1-score,fold0/class_10/f1-score,fold2/class_1/f1-score,_timestamp,fold1/class_1/f1-score,fold0/class_1/recall,fold3/class_6/recall,fold0/class_6/precision,fold0/class_1/f1-score,fold4/class_7/f1-score,fold4/class_3/precision,fold1/class_10/f1-score,fold0/class_5/recall,fold3/class_0/f1-score,fold3/class_4/f1-score,fold0/class_0/recall,fold1/class_5/f1-score,fold1/class_7/f1-score,fold3/class_9/f1-score,fold4/class_7/precision,fold3/class_1/recall,fold4/class_0/recall,fold2/class_9/precision,fold0/class_7/f1-score,fold4/class_5/precision,fold4/class_9/f1-score,fold3/class_2/precision,fold1/class_7/precision,fold2/class_10/f1-score,fold2/class_3/f1-score,fold2/class_0/precision,fold3/class_6/precision,fold3/class_5/precision,fold0/class_5/precision,fold3/class_4/recall,fold4/class_9/recall,fold1/class_6/precision,fold2/class_7/recall,fold2/class_7/f1-score,fold2/class_4/precision,fold1/class_1/precision,fold3/class_10/f1-score,fold4/class_8/precision,fold1/class_4/precision,fold3/class_2/recall,fold2/class_6/recall,fold3/class_10/recall,fold2/confusion_matrix,fold2/class_2/precision,fold4/class_6/recall,fold4/class_9/precision,fold2/class_8/precision,fold4/class_2/precision,fold4/class_4/recall,fold0/class_6/f1-score,cv5/fold_metrics,fold2/class_1/precision,fold4/class_10/precision,fold2/class_8/f1-score,fold3/class_3/precision,fold1/class_8/recall,fold0/class_8/f1-score,fold2/class_0/f1-score,fold0/class_8/precision,fold0/class_10/precision,fold0/class_6/recall,fold3/class_9/precision,fold4/class_2/f1-score,fold2/class_4/recall,fold1/class_8/f1-score,fold0/class_7/precision,fold3/class_6/f1-score,fold0/confusion_matrix,fold3/class_8/recall,fold0/class_8/recall,fold2/class_4/f1-score,fold3/class_5/recall,fold1/class_7/recall,fold4/class_1/recall,fold0/class_9/recall,fold3/class_3/recall,fold1/class_6/f1-score,fold1/class_1/recall,fold2/class_2/recall,fold3/class_2/f1-score,fold0/class_3/recall,fold4/class_10/f1-score,fold2/class_10/precision,fold3/class_7/recall,fold4/class_6/f1-score,fold0/class_1/precision,fold3/class_8/precision,fold2/class_0/recall,fold2/class_5/precision,fold2/class_9/f1-score,fold1/confusion_matrix,fold4/class_8/f1-score,fold0/class_0/precision,fold1/class_4/recall,fold2/class_6/precision,fold3/class_1/f1-score,fold4/class_6/precision,fold2/class_3/recall,fold4/class_4/f1-score,fold2/class_5/recall,fold4/class_8/recall,fold1/class_3/recall,fold0/class_3/f1-score,fold1/class_10/precision,fold4/class_10/recall,fold3/class_0/precision,fold0/class_5/f1-score,fold1/class_0/f1-score,fold3/class_9/recall,fold2/class_7/precision,fold2/class_6/f1-score,fold1/class_5/precision,fold1/class_3/f1-score,fold0/class_9/f1-score,fold4/class_2/recall,fold2/class_9/recall,fold0/class_2/f1-score,fold4/class_1/f1-score,fold2/class_1/recall,fold4/class_5/f1-score,fold2/class_8/recall,fold3/class_10/precision,fold2/class_10/recall,_runtime,fold0/class_9/precision,fold3/class_5/f1-score,fold4/class_1/precision,fold0/class_10/recall,fold4/confusion_matrix,fold4/class_0/precision,fold0/class_2/recall,fold1/class_5/recall,fold1/class_8/precision,fold1/class_0/recall,fold1/class_6/recall,fold1/class_2/precision,fold1/class_9/f1-score,fold4/class_3/recall,fold1/class_2/f1-score,fold4/class_3/f1-score,fold1/class_3/precision,fold1/class_4/f1-score,fold1/class_0/precision,fold4/class_0/f1-score,_step,fold4/class_5/recall,fold3/class_0/recall,fold3/class_3/f1-score,fold1/class_10/recall,fold2/class_2/f1-score,fold1/class_2/recall,fold0/class_3/precision,fold4/class_7/recall,fold2/class_5/f1-score,fold3/class_4/precision,fold2/class_3/precision,fold1/class_9/recall,fold0/class_4/recall,fold3/class_8/f1-score,fold0/class_2/precision,fold4/class_4/precision,fold0/class_0/f1-score
,,,,,,,,,,1770735247.5798244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,3179.085497323,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,0,,,,,,,,
,,,,,,,,,,1770735247.5801697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,3179.085853147,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770735247.5805237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,3179.086184562,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770735247.580848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3179.086513091,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770735247.5811718,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,3179.086840888,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770735247.5815165,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3179.087189444,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,
,,"{'size': 558, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://uinwmqbb77z8kn74lbuoqaulf3lscsxzvzmju0pg54ax8xn1p7s7178eqwoip1i3u6t4nyrjiyq8y3pdk5cy39n7y5tb7sskljxm3khfgii23gwmjstiym4mfg56pysl/fold3/confusion_matrix.table.json', 'nrows': 11, '_latest_artifact_path': 'wandb-client-artifact://jy1hf0ynez4cq0k2yv70byf1r3m3si77vsazuu0fx37pml45qxrt8joiok2irso2gbmulir00xyq6dykx2r9wiudsnwwvx66wzmmiuze5888tnguf0tpa7x0szv6feqx:latest/fold3/confusion_matrix.table.json', 'path': 'media/table/fold3/confusion_matrix_36_137ac6530fe7ecb4be0b.table.json', 'sha256': '137ac6530fe7ecb4be0b2eebd2190c04de1fca2cd83c35d675c2ec4c7bcc3aea', '_type': 'table-file', 'ncols': 12}",,,,,,,,1770736046.2330472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3977.738862896,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770736046.23506,,,,,,,,,,0.9998429633735162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997044425972107,,,,,,,,,,,,,,,,,,3977.74074895,,,,,,,,,,,,,,,,,,,,,37,,0.9999815225424982,,,,,,,,,,,,,,,
,,,,,,0.9872611464968153,,,,1770736046.2354126,,,,,,,,,,,,,,,,,0.9810126582278481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9841269841269841,,,,,,,,,,,,,,,,,,,,,,,,,,,,3977.741062321,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770736046.2357934,,,,,,,,,,,,,,,,,,,,,,,0.958041958041958,,,,,,,,,,,,,,,,,,0.958041958041958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.958041958041958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3977.74147208,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770736046.2361255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9727891156462585,,,,,,,,,,,,,,,,,,,,,0.9662162162162162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3977.741823096,,,,,,,,,,,,,,,,,,,,,40,,,0.9694915254237289,,,,,,,,,,,,,,
,,,,,,,,,,1770736046.2365282,,,,,,,,,,,0.9930555555555556,,,,,,,,,,,,,,,,,,,,0.9862068965517241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3977.742232441,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,1,,,,,,,
,,,,,,,,,,1770736046.2369263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9928571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9858156028368794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3977.742653019,,0.9893238434163701,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770736046.2372806,,,0.9937106918238994,,,,,,,,,,,,,,,,,,,,,,,,,0.9937106918238994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9937106918238994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3977.742978521,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,
1,,,,,0.9864864864864865,,,,,1770736046.2376456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9733333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3977.743297501,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770736046.2379754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9655172413793104,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3977.743620051,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,0.9824561403508771,,,
,,,,,,,,,,1770736046.2382722,,,,,,,,,,,,,,,0.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.975,,,,,,,,,,,,,,,3977.743894291,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770736046.2385912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9966996699669967,,,,,0.9956043956043956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9977973568281938,,3977.744240463,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770736561.2705712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4492.776419386,,,,,"{'ncols': 12, 'nrows': 11, 'path': 'media/table/fold4/confusion_matrix_48_791df14db41c6596eb6d.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://v3masc1mcvjshkjaxgtn1rg0o553izinmytczm38bh70g7tbydiqw72hq4qdfqbx38np1s7vhdbi5a5cqvlih722gkuin7p2v0a9rcx4r9b9xpwvl7jpjmoolm1wvbb9/fold4/confusion_matrix.table.json', 'sha256': '791df14db41c6596eb6d58013b9667ce1ce8cf3236856d055be8a308a62e02b0', 'size': 559, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://a9alwmwldnrg6a4mei21c4fq1tjyheog7u2w7bq3njj7v9lrnxugdmmbype46k7wyqizim1ic4kf865y8cv0pwgb605aj4qi6xymxqe8b7zsch4c90fh8ja4520pmk3e:latest/fold4/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770736561.27208,,,,,,,,,,,,,,,,,,0.9999260901699926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4492.777886546,,,,,,0.9998337182448037,,,,,,,,,,,,,,0.9998799020739988,49,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770736561.2725258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9577464788732394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9784172661870504,,,,,,4492.778201725,,,1,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770736561.2728314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9807692307692307,,,,,,,,,,,,,,,0.9807692307692307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9807692307692307,,,,,,,,,4492.778521212,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770736561.273152,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4492.778863639,,,,,,,,,,,,,,0.9705882352941176,,0.9850746268656716,,,,,52,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770736561.2736304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9259259259259259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9523809523809523,,,,,,,,,,,,,,,,,,,,,,,,,4492.779362568,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,0.9803921568627451,
,,,,,,,,,,1770736561.2740397,,,,,,,,,,,,,,,,,,,,,0.9807692307692307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9807692307692307,,,,4492.779767918,,,,,,,,,,,,,,,,,,,,,54,0.9807692307692307,,,,,,,,,,,,,,,,
,,,,,,,,,,1770736561.274462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9733333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9636963696369637,,,,,,,,,,,,0.954248366013072,,,,,,,,,,,,,,,,,,,,,,,,,,,4492.780175846,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770736561.2748594,,,,,,0.9857142857142858,,,,,,,,,,0.9857142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4492.780452669,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,0.9857142857142858,,,,,,,,,
,,,,,,,,,,1770736561.275149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9733333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9831649831649831,,,,,,,,,0.9931972789115646,,,,,,,,,,,,,,,,,,,,,,,4492.780810286,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770736561.2754622,,,,,,,,,,,,,,,,,,,,,,0.9896193771626297,,,,,,,,,,0.9930555555555556,,,,,,,,,,,,,,,0.9862068965517241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4492.781088284,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770736561.2757525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9665271966527197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9736564805057956,,,,,,,,,,,,,,,,,,,,,,,0.9808917197452229,,,,,,,,,,,,,,,,,,,4492.781388625,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,
,,,,,,,,,,1770736561.6158478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'sha256': 'a911e67b6b0de47069308ad7cb1f37384dc15ee9828ed0cdc6cd0eb7a860853e', 'ncols': 9, 'artifact_path': 'wandb-client-artifact://4g8x1u1wuk1jtxotsolcpg06s8d7mnlrc2cvyczq3t9sh5o8lgqofv12ugchb1thlqx23i2g0ick8z8pvch9e36yw6qokcbp8voqojp45kt242pverae5279itxsiew6/cv5/fold_metrics.table.json', 'nrows': 5, 'size': 796, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://w4hrm5fz3weon5dkopnhpe9x0ttupw39jq2ofm6rp3oios03zoet1owdt3d2kc25h1i453c80mwqc0pnnjc4yhkte7nl0gkcmkv5am5hye8g4qy4hi7em8nhw4emc0gc:latest/cv5/fold_metrics.table.json', '_type': 'table-file', 'path': 'media/table/cv5/fold_metrics_60_a911e67b6b0de4706930.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4493.121679183,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,
