cv5/fold_metrics,fold2/class_0/precision,fold0/class_0/precision,fold4/confusion_matrix,fold3/class_3/recall,fold4/class_2/recall,fold1/class_0/precision,fold4/class_1/precision,fold0/class_1/f1-score,fold2/class_2/precision,fold2/class_3/precision,fold1/class_2/recall,fold3/class_1/f1-score,fold0/class_1/recall,fold2/class_2/recall,fold0/class_3/f1-score,fold4/class_3/precision,fold4/class_3/f1-score,fold3/class_3/precision,fold3/class_0/precision,fold4/class_1/recall,fold0/class_2/recall,fold3/class_0/recall,fold3/class_2/precision,fold1/class_3/f1-score,fold4/class_0/f1-score,fold1/class_1/recall,fold4/class_2/precision,fold2/class_2/f1-score,fold3/class_1/precision,fold2/confusion_matrix,fold2/class_0/recall,fold2/class_1/f1-score,fold3/class_2/f1-score,fold2/class_1/precision,fold2/class_3/recall,fold0/confusion_matrix,fold0/class_0/f1-score,fold1/class_0/recall,fold2/class_3/f1-score,fold1/class_1/precision,_runtime,fold4/class_1/f1-score,fold0/class_3/recall,fold4/class_2/f1-score,fold1/class_3/precision,fold4/class_0/precision,fold0/class_1/precision,fold4/class_0/recall,fold3/class_0/f1-score,fold1/class_0/f1-score,fold1/class_2/precision,fold2/class_0/f1-score,_step,fold4/class_3/recall,fold1/class_1/f1-score,fold1/class_3/recall,fold0/class_0/recall,fold0/class_2/f1-score,fold0/class_2/precision,fold1/class_2/f1-score,fold3/class_1/recall,fold1/confusion_matrix,fold0/class_3/precision,fold3/class_3/f1-score,fold3/confusion_matrix,fold3/class_2/recall,fold2/class_1/recall,_timestamp
,0.997510115157174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1505.73772593,,,,,,,,,,,0.9987535057650359,11,,,,,,,,,,,,,,,1770722650.213612
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9967793880837359,,0.9991928974979822,,,,,,,1505.73808077,,,,,,,,,,,,12,,,,,,,,,,,,,,0.9943775100401606,1770722650.2140224
,,,,,,,,,0.9984301412872841,,,,,1,,,,,,,,,,,,,,0.9992144540455616,,,,,,,,,,,,,1505.738495489,,,,,,,,,,,,13,,,,,,,,,,,,,,,1770722650.2143989
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.9949640287769784,,,,0.997475658131987,,1505.738781815,,,,,,,,,,,,14,,,,,,,,,,,,,,,1770722650.214735
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1882.508243693,,,,,,,,,,,,15,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://7c2bnp9ed6cn1yu6rsdey4w33dyfgxll40dfilab6a3navgmup5p4x7oymyci44lwebkr2bmbbanuqhecd1rdpqikv4elayxrcswmh2pp90r8gazl0hyej9p9qses3au/fold3/confusion_matrix.table.json', 'sha256': '39e0e76abcb6fb85ad5770058cd9718242bb8121706bff3f20040f51c73eed35', '_latest_artifact_path': 'wandb-client-artifact://gghd5fgxa261c0mt7f7syr24oygi8gg3hdrn0ut86xxl8olykpehbzj8fb07wn6fsjp59ic5orf2m6yk1oecq1drzd3tcyeio30dh4ybwkzzi5d7r1b8evw8zesldlfb:latest/fold3/confusion_matrix.table.json', '_type': 'table-file', 'size': 145, 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold3/confusion_matrix_15_39e0e76abcb6fb85ad57.table.json'}",,,1770723026.9839056
,,,,,,,,,,,,,,,,,,,0.9993634627625716,,,1,,,,,,,,,,,,,,,,,,,1882.50991114,,,,,,,,0.9996816300541229,,,,16,,,,,,,,,,,,,,,1770723026.9857616
,,,,,,,,,,,,0.9969834087481146,,,,,,,,,,,,,,,,,0.9962321024868124,,,,,,,,,,,,1882.510431998,,,,,,,,,,,,17,,,,,,,,0.9977358490566037,,,,,,,1770723026.9863086
,,,,,,,,,,,,,,,,,,,,,,,0.9996894409937889,,,,,,,,,,0.9989138867339022,,,,,,,,1882.510915578,,,,,,,,,,,,18,,,,,,,,,,,,,0.998139534883721,,1770723026.9867964
,,,,0.9992509363295881,,,,,,,,,,,,,,0.9985029940119761,,,,,,,,,,,,,,,,,,,,,,,1882.511298062,,,,,,,,,,,,19,,,,,,,,,,,0.9988768251591165,,,,1770723026.987189
,,,"{'ncols': 5, 'artifact_path': 'wandb-client-artifact://5q6pqx8jatw3h801lvek7deelnnln5gv9z7728zwxjo35n13robgs526o56iskfn68c5e06yyvb27zvj9cl3i96wx2xxze1ejf6ir2hs4r0i4pzd2aqlzy73rkgyo23n/fold4/confusion_matrix.table.json', 'nrows': 4, '_latest_artifact_path': 'wandb-client-artifact://4b1noyq82sqc05h71m1ei7ajdl8orx1438tvdlwdcykyu4uhtmkeznbv7dviu4iqls52z9ur280u574b3ybvmcsy4e3kl79xzpwy6cfiu3cmm4s27pjuokf3s4ysdor8:latest/fold4/confusion_matrix.table.json', 'path': 'media/table/fold4/confusion_matrix_20_55b44889fa1c19208e3a.table.json', 'sha256': '55b44889fa1c19208e3a90d3dcb5e671a14d68220817f9d6a1a5a598947dee9d', 'log_mode': 'IMMUTABLE', 'size': 146, '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2095.09537078,,,,,,,,,,,,20,,,,,,,,,,,,,,,1770723239.57113
,,,,,,,,,,,,,,,,,,,,,,,,,0.9977848101265823,,,,,,,,,,,,,,,,2095.096993525,,,,,0.9993660855784469,,0.9962085308056872,,,,,21,,,,,,,,,,,,,,,1770723239.5728185
,,,,,,,0.9894419306184012,,,,,,,,,,,,,0.9977186311787072,,,,,,,,,,,,,,,,,,,,,2095.097411183,0.993563044301401,,,,,,,,,,,22,,,,,,,,,,,,,,,1770723239.5732665
,,,,,0.996594427244582,,,,,,,,,,,,,,,,,,,,,,0.9959777227722773,,,,,,,,,,,,,,2095.097815517,,,0.9962859795728877,,,,,,,,,23,,,,,,,,,,,,,,,1770723239.5736783
,,,,,,,,,,,,,,,,0.991583779648049,0.9904470768055025,,,,,,,,,,,,,,,,,,,,,,,,2095.098125239,,,,,,,,,,,,24,0.9893129770992366,,,,,,,,,,,,,,1770723239.5740345
"{'nrows': 5, 'sha256': 'e48a78a3e761e0e8f63e0910c968b54dfd2366c46106dc0da72bddbc236deab1', '_latest_artifact_path': 'wandb-client-artifact://49qjsxbs9wggsph5504olsu8wl014h7c76ektl226ljtnhwo5f0vpa54j8sqn33xu5y171tlg54me50jx4hnoi9ooglc0amumfxinbzqlbxu1px1w93070z60a0p1pcn:latest/cv5/fold_metrics.table.json', 'size': 775, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://1sggkit00p8p1tijd4x564dw54nx1cwniy0oldsm83e6rs2zg0hhqtja3fv6s11b4p1h0j23d6i36jjozd2tozm1dhk24toneizmv7qs33yhajfsp9uc5wftnvracfc1/cv5/fold_metrics.table.json', 'ncols': 9, 'path': 'media/table/cv5/fold_metrics_25_e48a78a3e761e0e8f63e.table.json', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2095.467675955,,,,,,,,,,,,25,,,,,,,,,,,,,,,1770723239.9433467
