fold2/confusion_matrix,fold0/class_2/recall,fold4/class_3/f1-score,fold2/class_0/precision,fold3/class_0/recall,fold2/class_1/precision,fold4/class_0/precision,fold2/class_3/recall,fold1/class_0/precision,fold4/class_1/precision,fold3/class_3/f1-score,cv5/fold_metrics,fold4/class_2/f1-score,fold3/class_1/recall,fold4/class_1/f1-score,fold0/class_3/recall,fold0/class_1/precision,fold0/confusion_matrix,fold0/class_2/f1-score,fold2/class_2/precision,fold1/confusion_matrix,fold3/class_2/precision,fold1/class_1/recall,fold3/class_2/f1-score,_step,fold3/class_3/precision,fold3/class_0/f1-score,fold0/class_0/recall,fold2/class_0/recall,fold1/class_0/f1-score,fold0/class_1/recall,fold1/class_3/f1-score,fold1/class_3/recall,fold2/class_2/f1-score,fold3/confusion_matrix,fold4/class_3/precision,fold0/class_1/f1-score,fold1/class_2/f1-score,fold4/confusion_matrix,fold1/class_2/precision,fold1/class_2/recall,fold2/class_1/recall,fold0/class_3/precision,fold0/class_2/precision,fold2/class_2/recall,fold3/class_0/precision,fold0/class_0/precision,_runtime,fold4/class_2/recall,fold1/class_3/precision,fold1/class_0/recall,fold2/class_0/f1-score,fold4/class_0/f1-score,fold2/class_3/precision,fold0/class_0/f1-score,fold2/class_1/f1-score,fold2/class_3/f1-score,fold3/class_2/recall,fold4/class_0/recall,fold3/class_1/f1-score,fold4/class_1/recall,fold1/class_1/precision,fold3/class_1/precision,fold4/class_2/precision,_timestamp,fold3/class_3/recall,fold4/class_3/recall,fold0/class_3/f1-score,fold1/class_1/f1-score
,,,0.9881783987103707,,,,,,,,,,,,,,,,,,,,,11,,,,0.9563182527301092,,,,,,,,,,,,,,,,,,,115.997988311,,,,0.9719873150105708,,,,,,,,,,,,,1770714532.0472455,,,,
,,,,,0.9549668874172186,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,0.965194109772423,,,,,,115.998309343,,,,,,,,0.9600532623169108,,,,,,,,,1770714532.0475848,,,,
,,,,,,,,,,,,,,,,,,,0.966529351184346,,,,,13,,,,,,,,,0.9750649350649351,,,,,,,,,,,0.9837526205450734,,,115.998596962,,,,,,,,,,,,,,,,,1770714532.047914,,,,
,,,,,,,0.9640287769784173,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,115.998884487,,,,,,0.9414519906323185,,,0.95260663507109,,,,,,,,1770714532.048206,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://fjgz9xjkkql7n8bv5kwg9pri4eci66bzzz3meew0gzm0kiyw20mwj45je0jyzce7zq0ey9fslbvk362emvb8a5xuxcwwxc7gz4gu6j1ygg7a0civ3b3rm932419i92uk/fold3/confusion_matrix.table.json', 'size': 148, '_latest_artifact_path': 'wandb-client-artifact://ivg86whfi1s9yz8b5sf4xlttxpltrnfno036jsnq8x242bif7zg7ojb24u68b012cwuywi13ilgig7w2slu5m971kmdvt7bokt7bsgi9wia7sfs9dndcesom65zv10of:latest/fold3/confusion_matrix.table.json', 'nrows': 4, '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'path': 'media/table/fold3/confusion_matrix_15_3a71eebbca79b3466573.table.json', 'sha256': '3a71eebbca79b346657387857d2a75dcb42bd8eb4e48298384a776375e362847'}",,,,,,,,,,,,,160.29149762,,,,,,,,,,,,,,,,,1770714576.3406203,,,,
,,,,0.9819532908704883,,,,,,,,,,,,,,,,,,,,16,,0.9832580387988307,,,,,,,,,,,,,,,,,,,0.9845662586482171,,160.292899373,,,,,,,,,,,,,,,,,1770714576.342175,,,,
,,,,,,,,,,,,,0.9635220125786164,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,160.293321841,,,,,,,,,,,,0.9782886334610472,,,0.993514915693904,,1770714576.3425136,,,,
,,,,,,,,,,,,,,,,,,,,,0.9634268537074149,,0.9783770033070466,18,,,,,,,,,,,,,,,,,,,,,,,160.293653524,,,,,,,,,,0.993798449612403,,,,,,,1770714576.3429174,,,,
,,,,,,,,,,0.9656050955414013,,,,,,,,,,,,,,19,0.9856957087126138,,,,,,,,,,,,,,,,,,,,,,160.294034155,,,,,,,,,,,,,,,,,1770714576.3432832,0.9463171036204744,,,
,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,"{'ncols': 5, 'path': 'media/table/fold4/confusion_matrix_20_567b876d70a7e819d769.table.json', 'sha256': '567b876d70a7e819d7691ef6486cf26ba0162cd2a6fe53c5e2732f93d4ae469e', 'artifact_path': 'wandb-client-artifact://7l0hdc4wl8vxkahtrzti5il2q42b8elxrrfndcpgt2sc8lb5ga00r2ohvgy5iukf9586t2ir8em4s2sqii7zmb4qdbni7gyaso6caxp6gvoh7m0xvxoh7vfevgtndgc7/fold4/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://k824fp1kprb994322g6m4o8pf37hmmoryh2fmv0o1i43jd6k4nknf2kv5ratg5z9jcm3ztyi1r74eashw5hloth8oiaptzvgrxbrcvp4g43y2c1vuoer44xymde77cma:latest/fold4/confusion_matrix.table.json', 'size': 148, 'nrows': 4, 'log_mode': 'IMMUTABLE', '_type': 'table-file'}",,,,,,,,,201.947607775,,,,,,,,,,,,,,,,,1770714617.9965777,,,,
,,,,,,0.9677584442169908,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,201.951368541,,,,,0.9815728004152608,,,,,,0.9957872564507636,,,,,,1770714618.0005026,,,,
,,,,,,,,,0.9780645161290322,,,,,0.969309462915601,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,201.951828431,,,,,,,,,,,,,0.9607097591888466,,,,1770714618.0009563,,,,
,,,,,,,,,,,,0.9781477627471384,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,201.952298702,0.9700722394220846,,,,,,,,,,,,,,,0.9863588667366212,1770714618.0014615,,,,
,,0.9609724888035829,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,0.9665379665379665,,,,,,,,,,,,201.952755477,,,,,,,,,,,,,,,,,1770714618.0019295,,0.955470737913486,,
,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://it68i190086k51un8jwn12hdb32tw517su1js7f0zz6r32v52m4tyxgvkbfnk2tknphm0ymkxpi0blnexrh4ym9ktdmsemkwl89g6awfj7h39jbqbmdyfg38szlt1sex/cv5/fold_metrics.table.json', 'sha256': '481c899d1343fa89379453cecc6f25aee3363a057d72976d06784d958075f577', 'size': 770, 'ncols': 9, 'nrows': 5, '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://xc4q1wowkbgkhlxtxeg2caipxexh5sbpx967zwqwcs3cxyxhslb86h03jbd2wlxjr2e6auhebwhqspipjyytfwuydd8b98xvkygnc1evemtor2qb3gft8icqsbmlctl3:latest/cv5/fold_metrics.table.json', 'log_mode': 'IMMUTABLE', 'path': 'media/table/cv5/fold_metrics_25_481c899d1343fa893794.table.json'}",,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,202.716294957,,,,,,,,,,,,,,,,,1770714618.7653172,,,,
