fold0/class_3/precision,fold4/class_3/f1-score,fold1/class_3/recall,fold0/class_0/f1-score,fold3/class_3/precision,fold0/class_1/precision,fold2/class_3/precision,fold4/class_1/f1-score,fold3/class_2/f1-score,fold1/class_0/f1-score,fold4/class_3/recall,cv5/fold_metrics,fold1/confusion_matrix,fold0/class_1/recall,fold3/class_2/recall,fold2/class_0/recall,fold3/class_0/f1-score,fold2/class_3/f1-score,fold0/class_2/f1-score,fold2/class_0/f1-score,fold2/class_1/recall,fold1/class_1/precision,fold3/class_0/recall,fold3/confusion_matrix,_runtime,fold2/class_0/precision,fold1/class_0/recall,fold1/class_1/f1-score,fold1/class_3/f1-score,fold1/class_2/recall,fold4/class_1/precision,fold0/confusion_matrix,fold3/class_0/precision,fold4/confusion_matrix,fold3/class_1/precision,fold1/class_3/precision,fold3/class_3/recall,fold4/class_2/f1-score,fold0/class_2/precision,_step,fold2/class_2/precision,fold0/class_3/f1-score,fold4/class_1/recall,fold3/class_1/f1-score,fold4/class_2/precision,fold0/class_1/f1-score,fold4/class_0/precision,fold4/class_2/recall,fold1/class_2/f1-score,fold3/class_1/recall,fold1/class_1/recall,fold0/class_3/recall,fold2/class_3/recall,fold2/class_1/f1-score,fold0/class_0/precision,fold3/class_2/precision,fold2/class_2/recall,fold1/class_2/precision,fold4/class_0/f1-score,fold0/class_0/recall,fold3/class_3/f1-score,fold4/class_3/precision,fold4/class_0/recall,fold0/class_2/recall,fold2/confusion_matrix,_timestamp,fold2/class_1/precision,fold2/class_2/f1-score,fold1/class_0/precision
,,,,,,,,,,,,,,,0.9953198127925117,,,,0.9922239502332815,,,,,1010.866012456,0.9891472868217054,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,1770718102.1993906,,,
,,,,,,,,,,,,,,,,,,,,0.9799196787148594,,,,1010.86647158,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,0.9799196787148594,,,,,,,,,,,,1770718102.1998556,0.9799196787148594,,
,,,,,,,,,,,,,,,,,,,,,,,,1010.866889412,,,,,,,,,,,,,,,13,0.9967320261437909,,,,,,,,,,,,,,,,0.9591194968553459,,,,,,,,,1770718102.200306,,0.9775641025641025,
,,,,,,0.9161073825503355,,,,,,,,,,,0.9479166666666666,,,,,,,1010.867415671,,,,,,,,,,,,,,,14,,,,,,,,,,,,,0.9820143884892086,,,,,,,,,,,,,1770718102.200759,,,
,,,,,,,,,,,,,,,,,,,,,,,"{'path': 'media/table/fold3/confusion_matrix_15_58b7c4e3dc9f5fc118b9.table.json', '_latest_artifact_path': 'wandb-client-artifact://zv4n52oysfyhdpk5tdl8nszzwdsf4if9c2aznuy3y5f67x8g9gigh77ybtv3iuktbcnwyj5kvcbk52cyxw1djwy9lr9glgjl39byk93c6gl4azqj4jsr8jitmn2yotdm:latest/fold3/confusion_matrix.table.json', 'nrows': 4, 'size': 143, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://oa24mrba449jm7glkk6gtyp8hcko6h3s3znydmmwbje274hgu9t6b2lm4s0oula9yn6x72kf1p0npr6f1vvbz5t4dyfcptj5t7hs7hk21ahgg4dxxrg71gd9xn8dtmpe/fold3/confusion_matrix.table.json', 'sha256': '58b7c4e3dc9f5fc118b9fd7049e4f2d70cfca60cdc94bed593e94aed54b019f4', 'log_mode': 'IMMUTABLE', 'ncols': 5}",1290.528550245,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,1770718381.8617632,,,
,,,,,,,,,,,,,,,,0.9928400954653938,,,,,,0.9936305732484076,,1290.530236108,,,,,,,,0.9920508744038156,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,1770718381.8636527,,,
,,,,,,,,,,,,,,,,,,,,,,,,1290.530683031,,,,,,,,,,0.9796747967479674,,,,,17,,,,0.9432485322896281,,,,,,0.909433962264151,,,,,,,,,,,,,,,,1770718381.8640842,,,
,,,,,,,,0.9655172413793104,,,,,,0.9333333333333333,,,,,,,,,,1290.531112299,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,1,,,,,,,,,,1770718381.864519,,,
,,,,0.7926829268292683,,,,,,,,,,,,,,,,,,,,1290.531382946,,,,,,,,,,,,0.9737827715355806,,,19,,,,,,,,,,,,,,,,,,,,,0.8739495798319328,,,,,1770718381.8648632,,,
,,,,,,,,,,,,,,,,,,,,,,,,1533.299813311,,,,,,,,,"{'nrows': 4, 'sha256': '0dc6fb6c136b514c923568f8d4edce36a62354d8775a643f425749ea8f31c731', 'size': 143, 'artifact_path': 'wandb-client-artifact://l4v7ralslfos0x92mcg5rlct85oicklbfs2ylzr6upo6lft5hu0luby7xzi0w8b13wpkg0ljkhk91d015pf6fbce5qhgjtoqn6v6oy8thavmb7j5olm2682ykmzj3l91/fold4/confusion_matrix.table.json', 'ncols': 5, 'path': 'media/table/fold4/confusion_matrix_20_0dc6fb6c136b514c9235.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://thyg6db0j8wvv9yhbdr9goz3wi9bxx5pod1a6ga6lbii5mfh46c0hsk1czjul8goo737w57685a5fiwy8zmz42yynhr0sepq2wxaz8bkq3uzdtbgwcr7bb9dtq55yxr9:latest/fold4/confusion_matrix.table.json'}",,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,1770718624.6331153,,,
,,,,,,,,,,,,,,,,,,,,,,,,1533.301398195,,,,,,,,,,,,,,,21,,,,,,,0.9920634920634921,,,,,,,,,,,,0.9897070467141726,,,,0.9873617693522907,,,1770718624.6347387,,,
,,,,,,,0.9573643410852714,,,,,,,,,,,,,,,,,1533.301808772,,,,,,0.9762845849802372,,,,,,,,,22,,,0.9391634980988594,,,,,,,,,,,,,,,,,,,,,,,1770718624.635197,,,
,,,,,,,,,,,,,,,,,,,,,,,,1533.302197259,,,,,,,,,,,,,0.9831288343558282,,23,,,,,0.9741641337386018,,,0.9922600619195047,,,,,,,,,,,,,,,,,,1770718624.635593,,,
,0.9295238095238095,,,,,,,,,0.9312977099236641,,,,,,,,,,,,,,1533.302602035,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,0.9277566539923955,,,,1770718624.636016,,,
,,,,,,,,,,,"{'sha256': '26de37e1932b8970f3468032be5ea3bc09cab924f82579ebd31aa49f7b11451e', 'size': 766, 'artifact_path': 'wandb-client-artifact://ha9z52jhve4qonceywlv2ge53henzeq7wt38di7kj2ryifybmvk6z9m563w3wt88rrk168emlu0jf7r1s4w3tx9db4db4h0dqxnrrj45kiz0trdhj15lw5not524b1mf/cv5/fold_metrics.table.json', 'ncols': 9, '_type': 'table-file', 'path': 'media/table/cv5/fold_metrics_25_26de37e1932b8970f346.table.json', 'nrows': 5, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://q5eumf1kzvnohz5g8dvzbu6fp5jz569wuip1fgrgf33rlaa3hbt2wfs4m1llv2y46bsdionxdvw8pq5nq6rlxa96db7ea2cghxqhspxcc3bgcvjmdwedkgme0lwxdcel:latest/cv5/fold_metrics.table.json'}",,,,,,,,,,,,,1533.642068226,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,1770718624.9753418,,,
