fold2/class_2/f1-score,fold0/confusion_matrix,fold0/class_1/precision,fold2/class_1/f1-score,fold1/class_2/recall,fold3/class_3/f1-score,fold2/class_3/f1-score,fold3/class_0/recall,_runtime,fold1/class_0/precision,cv5/fold_metrics,fold1/class_0/recall,fold1/class_0/f1-score,fold1/class_1/recall,fold1/class_2/f1-score,fold2/class_2/precision,fold4/class_0/recall,fold0/class_0/f1-score,fold3/class_3/precision,fold4/class_0/f1-score,fold2/class_0/f1-score,fold4/class_3/f1-score,fold4/class_1/recall,fold4/class_1/f1-score,fold2/class_0/recall,fold4/class_3/recall,fold1/class_3/precision,fold3/class_0/f1-score,fold0/class_1/f1-score,fold3/class_1/f1-score,fold0/class_1/recall,fold0/class_0/recall,fold2/class_3/recall,fold0/class_3/recall,fold2/class_3/precision,fold2/confusion_matrix,fold3/class_1/precision,fold2/class_1/recall,fold1/class_1/f1-score,fold0/class_2/f1-score,fold4/class_2/recall,fold1/class_2/precision,fold3/class_2/recall,fold3/class_3/recall,fold0/class_2/precision,fold3/class_0/precision,_step,fold4/class_0/precision,fold3/confusion_matrix,fold3/class_2/precision,fold4/class_2/precision,fold2/class_0/precision,_timestamp,fold1/class_3/f1-score,fold1/class_3/recall,fold0/class_3/f1-score,fold0/class_2/recall,fold0/class_0/precision,fold1/class_1/precision,fold2/class_1/precision,fold4/class_1/precision,fold1/confusion_matrix,fold0/class_3/precision,fold3/class_1/recall,fold4/class_3/precision,fold2/class_2/recall,fold4/confusion_matrix,fold3/class_2/f1-score,fold4/class_2/f1-score
,,,,,,,,11426.913879638,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://laybzwi8xvrua6t53q4rgch9qarzdgidlm46277ez5pfvnrf235imshl0dhf6x24gr31u0iz3j37q9odqq70in17q310w6nrrkoppwfjs1c06c9zwyhy8fg18hvdqj5b/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_10_3ec9c959d18dbd149e81.table.json', 'size': 147, 'log_mode': 'IMMUTABLE', 'sha256': '3ec9c959d18dbd149e81bc866a2d56accc794d1ce89e6ac9c94578cacc2e1554', 'nrows': 4, '_latest_artifact_path': 'wandb-client-artifact://xyodiyvyzamf4c4pdaosil40x6y6ppky981p571ma6ueilu4u7efff372gci2jjyai0fqj4jbu91s3dsxo8wr5ignbuxahggd55tiioll9cyiy24g3f1d676kj7nn8o8:latest/fold2/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 5}",,,,,,,,,,,10,,,,,,1770739623.6068127,,,,,,,,,,,,,,,,
,,,,,,,,11426.91560891,,,,,,,,,,,,0.9956652217405801,,,,0.9982170715400045,,,,,,,,,,,,,,,,,,,,,,11,,,,,0.9931263858093127,1770739623.6086164,,,,,,,,,,,,,,,,
,,,0.9933660224978368,,,,,11426.915998109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9879518072289156,,,,,,,,,12,,,,,,1770739623.6090348,,,,,,,0.9988399071925754,,,,,,,,,
0.9976438909458095,,,,,,,,11426.916530843,,,,,,,0.9966375252185609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,1770739623.6094763,,,,,,,,,,,,,0.9986522911051213,,,
,,,,,,0.9940706367620521,,11426.916953406,,,,,,,,,,,,,,,,,,,,,,,,0.9907502569373073,,0.9974133471288154,,,,,,,,,,,,14,,,,,,1770739623.6099303,,,,,,,,,,,,,,,,
,,,,,,,,12091.306365046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://79wrh0r4ddutu6s2m6z7kslvmo4sld8p0w3s9nbcie76bzfvrzcc4xog0qjfeb232lekrqwloxbmskdx5mji8wukmu4e5hiz8tbjos01x4vg436otbo7bvxcnb64wmjt:latest/fold3/confusion_matrix.table.json', 'size': 148, 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold3/confusion_matrix_15_027ca6378163f162e59a.table.json', 'artifact_path': 'wandb-client-artifact://e80fmf4n2mgn49jlxvsz7zaf97iss63du2hmb0pddqnpkvmkxg95d742iowxih2z2qeju6j0og6no01w6kgalkfnjc0lr95kh1osf2xspoa0i8zejgiqasxfvkum6zz3/fold3/confusion_matrix.table.json', 'sha256': '027ca6378163f162e59ab5286fae48747fb0b6684c70180ba6bdafa37e4d578a', '_type': 'table-file'}",,,,1770740287.9992933,,,,,,,,,,,,,,,,
,,,,,,,0.9970427661510464,12091.308288737,,,,,,,,,,,,,,,,,,,0.9952316076294278,,,,,,,,,,,,,,,,,,0.993427017225748,16,,,,,,1770740288.0012105,,,,,,,,,,,,,,,,
,,,,,,,,12091.308787832,,,,,,,,,,,,,,,,,,,,,0.9940443963183541,,,,,,,0.99836867862969,,,,,,,,,,17,,,,,,1770740288.0017571,,,,,,,,,,,0.9897574123989218,,,,,
,,,,,,,,12091.309152209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9944629014396457,,,,18,,,0.9988876529477196,,,1770740288.0021482,,,,,,,,,,,,,,,0.9966703662597114,
,,,,,0.9914848323576371,,,12091.309767731,,,,,,,,,,0.9862361037586025,,,,,,,,,,,,,,,,,,,,,,,,,0.9967897271268058,,,19,,,,,,1770740288.0026793,,,,,,,,,,,,,,,,
,,,,,,,,13303.426938172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,1770741500.1197867,,,,,,,,,,,,,,"{'nrows': 4, 'path': 'media/table/fold4/confusion_matrix_20_93485efd9335ecec03b8.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://cb9uzyfmoflw9q4r1w1h3yo4v0phtib1oty1c0qyuoit27dxg0cikrddlpm46xjy7aq9y9ttsn34k5woatpxebuyrx4oihagx0b0nl4kbzwtw49d9fa0eh2f9phdcvl0:latest/fold4/confusion_matrix.table.json', 'sha256': '93485efd9335ecec03b8481ee9400cc14c8d0eae7907c41f3d8c4b5f0543b6a0', 'size': 148, 'ncols': 5, 'artifact_path': 'wandb-client-artifact://hgzzntptnqc2atrb223pguxfod0x8kmp3dn0wkvcl8hekjjnq82d9246p72igh0jwrnbt4fjbdtn6l7f5z6h8yj258m0y8q1cvancn5ycdunuya2gmhv30oxf1qij3hs/fold4/confusion_matrix.table.json', '_type': 'table-file'}",,
,,,,,,,,13303.428719311,,,,,,,,0.995260663507109,,,0.9963849977406236,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0.9975118751413707,,,,,1770741500.1217327,,,,,,,,,,,,,,,,
,,,,,,,,13303.429065634,,,,,,,,,,,,,,0.9913090711569799,0.9940087145969498,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,1770741500.1221204,,,,,,,,0.9967231021299836,,,,,,,,
,,,,,,,,13303.429437711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993365767359575,,,,,,23,,,,0.9914436156208863,,1770741500.122478,,,,,,,,,,,,,,,,0.995374449339207
,,,,,,,,13303.429854395,,,,,,,,,,,,,0.9945235487404163,,,,0.990185387131952,,,,,,,,,,,,,,,,,,,,,24,,,,,,1770741500.1228983,,,,,,,,,,,,0.9988998899889989,,,,
,,,,,,,,13303.815664392,,"{'size': 781, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://b0ys5tconlasveehlu7mbxp19h9s79w2z4q3cg03b03a7qdzyffw8cshxovrl50rhhnee9htoe4u0awy9galyu2cxmxzvzgjtyy8lerlcrb3q6cozajmv5if3h0tprbp/cv5/fold_metrics.table.json', 'nrows': 5, 'path': 'media/table/cv5/fold_metrics_25_21b6dc134aff082a7035.table.json', 'ncols': 9, 'sha256': '21b6dc134aff082a7035a26a5a1ca9c69f1d8cf7da26d33f86b13b8268bc5973', '_latest_artifact_path': 'wandb-client-artifact://zgvaxbp8ywu3dtndg1fd6z755b2wrbvhvzmspj3n2fhuylclwg241cjfj1uvzjg39xc9ll8rod3m1q7szickc23we0gc6pzdi2z40ewgo8vceh4lpy1z1wrqwp6bkk49:latest/cv5/fold_metrics.table.json', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,1770741500.5086374,,,,,,,,,,,,,,,,
