fold1/class_1/precision,fold3/class_2/recall,_runtime,fold3/class_3/recall,fold3/class_0/f1-score,fold4/class_2/recall,fold2/class_2/recall,fold1/class_0/f1-score,fold1/class_1/recall,fold3/class_1/f1-score,fold0/class_0/recall,fold1/class_3/f1-score,fold4/class_0/recall,fold4/class_2/f1-score,fold4/class_1/precision,fold0/class_3/recall,fold2/class_0/precision,fold2/class_3/f1-score,fold2/class_1/precision,fold4/class_0/f1-score,fold1/class_2/recall,fold0/class_1/recall,fold4/class_3/f1-score,fold0/class_1/f1-score,fold2/class_1/f1-score,fold4/class_1/f1-score,fold0/class_3/precision,fold3/class_3/f1-score,fold3/class_1/precision,fold1/class_3/precision,fold1/class_0/recall,fold3/confusion_matrix,fold0/class_2/recall,fold1/class_3/recall,fold3/class_3/precision,fold0/class_3/f1-score,fold1/class_1/f1-score,fold2/class_3/precision,fold0/class_0/f1-score,fold3/class_2/f1-score,cv5/fold_metrics,fold3/class_2/precision,fold4/confusion_matrix,fold2/class_0/f1-score,fold2/class_0/recall,fold2/confusion_matrix,fold2/class_3/recall,fold2/class_2/precision,fold3/class_0/precision,fold1/class_2/precision,fold1/class_2/f1-score,fold2/class_2/f1-score,fold3/class_0/recall,fold0/class_2/f1-score,fold0/class_1/precision,fold4/class_3/precision,fold0/confusion_matrix,fold3/class_1/recall,_step,fold0/class_0/precision,fold4/class_1/recall,fold1/class_0/precision,fold4/class_0/precision,_timestamp,fold4/class_3/recall,fold0/class_2/precision,fold2/class_1/recall,fold1/confusion_matrix,fold4/class_2/precision
,,291.705275896,,,,,,,,,,,,,,0.9251805985552115,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9287749287749287,0.9323972958918356,,,,,,,,,,,,,,11,,,,,1770716100.9452627,,,,,
,,291.70573514,,,,,,,,,,,,,,,,0.9633757961783439,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,1770716100.9457157,,,0.8099062918340026,,
,,291.706125699,,,,0.9517819706498952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9880304678998912,,,,0.9695675387079552,,,,,,,13,,,,,1770716100.9461396,,,,,
,,291.706538713,,,,,,,,,,,,,,,0.8707926167209555,,,,,,,,,,,,,,,,,,,,0.7956349206349206,,,,,,,,,0.9616306954436451,,,,,,,,,,,,14,,,,,1770716100.946553,,,,,
,,377.791026147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'ncols': 5, 'path': 'media/table/fold3/confusion_matrix_15_93d82f354170c93a4bc8.table.json', 'sha256': '93d82f354170c93a4bc8d2f23f9fc81ed20bdc001a54095c710cd9037eff8b22', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://ri7ye8zn091hh6g380fs6u1x1ibbyhtickefk42wijjpnnb9bzkxsv32d1lmidekdox59h3lxtimjtport2c3ckfjyh160uyniaa4sn1g484f6g8a8uvc2h3nbzidi2l/fold3/confusion_matrix.table.json', 'size': 149, '_latest_artifact_path': 'wandb-client-artifact://zp5cwkx3fso23n44zqwomg1pdbc2ac8m6oa1sp8y1r5eb627obwne5kemze0afw963uafoiom2alrldmzezcpsfghg9f4c09tsdiqtb81ymqj846qiqbg6l63kzx490n:latest/fold3/confusion_matrix.table.json', 'nrows': 4}",,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,1770716187.0309122,,,,,
,,377.793042938,,0.9389892642052894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9266149870801034,,,,0.9516985138004246,,,,,,16,,,,,1770716187.0331168,,,,,
,,377.793393782,,,,,,,0.9185969556585043,,,,,,,,,,,,,,,,,,,0.9692737430167597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8729559748427673,17,,,,,1770716187.0334811,,,,,
,0.9596899224806201,377.793905967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9786561264822135,,0.9983870967741936,,,,,,,,,,,,,,,,,18,,,,,1770716187.0338922,,,,,
,,377.794397039,0.9500624219725343,,,,,,,,,,,,,,,,,,,,,,,,0.8926686217008798,,,,,,,0.8418141592920354,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,1770716187.0344157,,,,,
,,510.162116793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'nrows': 4, 'path': 'media/table/fold4/confusion_matrix_20_d34c4e99644e073ddd37.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://4o5ftzff21r5yaek2893f3ho7z1igpr9w0pm72vj7e1ucms4zaj9xotmnfrgp83klldiq0tadwe5xvxet3dshiiquamps7dhqp4rnvqzwrjkoplxcmvbb16fxuzn4i72:latest/fold4/confusion_matrix.table.json', 'size': 149, 'sha256': 'd34c4e99644e073ddd37a449457680ff77a1cbf8a860603681616e1847997f93', '_type': 'table-file', 'ncols': 5, 'artifact_path': 'wandb-client-artifact://9ikiwr8fxjpsh38l491as39ahdr3pd9cqemqg6v7trxb396qbow2a4wdt1dwpccy78x6qmvhuo7jw0x6ki3tk099c0wxcz5jvlmn60sagdq5olilks4p0j785059f6rv/fold4/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,20,,,,,1770716319.4019983,,,,,
,,510.16405225,,,,,,,,,,0.9626119010005266,,,,,,,0.9422680412371134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,0.9227662796567391,1770716319.4038517,,,,,
,,510.164454432,,,,,,,,,,,,0.9543446244477173,,,,,,,,,,,0.8828337874659401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,0.8212927756653993,,,1770716319.4044595,,,,,
,,510.165585895,,,0.9747162022703818,,,,,,,,0.9864229765013055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,1770716319.4048743,,,,,0.9984143763213531
,,510.165634463,,,,,,,,,,,,,,,,,,,,0.9319562575941677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.891860465116279,,,24,,,,,1770716319.4052384,0.9758269720101781,,,,
,,510.447983016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_type': 'table-file', 'ncols': 9, 'artifact_path': 'wandb-client-artifact://y2swn3vtgg0ygi30z63z7aoniusyfbkbd5ljvv0qexl4c44mvze7jx02fcoz0lilubdwp3xoug8y1u01gf9rx9zvk3lm33y72338fwid0we3jk1zlczr7w8e3ma27kj7/cv5/fold_metrics.table.json', 'size': 773, 'path': 'media/table/cv5/fold_metrics_25_4d8c2b1c93c156557998.table.json', '_latest_artifact_path': 'wandb-client-artifact://jt6vlammd259r8vlz5m67fxnm7eol6yhdazxnxzwpxm6nctjwx8grzu4nhfdof09a60e578axcu41799e4h0lvm31ktbndoja4dnlc5w9h32x1cfblk03x4ytmlmrqmr:latest/cv5/fold_metrics.table.json', 'nrows': 5, 'sha256': '4d8c2b1c93c1565579988158afa996d41212d155640e30244b7b94f01433af28'}",,,,,,,,,,,,,,,,,,25,,,,,1770716319.6879568,,,,,
