fold0/class_3/f1-score,fold3/class_3/recall,fold3/confusion_matrix,fold1/class_2/precision,fold1/class_0/precision,fold2/class_2/recall,fold1/class_0/f1-score,fold3/class_0/recall,fold1/class_3/precision,fold4/class_0/f1-score,fold0/class_0/precision,fold0/class_2/precision,fold2/class_0/f1-score,fold4/class_2/precision,fold2/class_0/precision,fold2/class_2/precision,fold3/class_1/f1-score,fold1/class_0/recall,fold4/confusion_matrix,fold1/confusion_matrix,fold3/class_2/recall,fold4/class_0/precision,fold2/class_3/f1-score,fold4/class_3/f1-score,fold4/class_2/recall,fold2/class_3/precision,fold4/class_1/f1-score,fold0/class_0/f1-score,fold0/class_2/recall,fold3/class_3/precision,fold0/class_0/recall,fold1/class_2/f1-score,fold2/class_2/f1-score,fold1/class_3/f1-score,fold2/confusion_matrix,fold3/class_0/f1-score,fold2/class_1/precision,fold1/class_2/recall,fold2/class_1/f1-score,fold0/class_1/precision,fold1/class_1/recall,fold3/class_2/precision,fold3/class_1/recall,fold0/class_3/recall,fold2/class_0/recall,fold0/confusion_matrix,fold0/class_3/precision,fold3/class_1/precision,fold0/class_1/f1-score,fold3/class_3/f1-score,fold1/class_3/recall,fold4/class_0/recall,fold2/class_3/recall,fold4/class_1/recall,fold1/class_1/precision,fold4/class_3/precision,cv5/fold_metrics,fold2/class_1/recall,fold4/class_2/f1-score,fold4/class_3/recall,fold1/class_1/f1-score,_runtime,fold3/class_0/precision,_timestamp,fold4/class_1/precision,fold0/class_2/f1-score,_step,fold3/class_2/f1-score,fold0/class_1/recall
,,,,,,,,,,,,0.9559270516717325,,0.9318518518518518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9812792511700468,,,,,,,,,,,,,,,,,62.328119076,,1770716826.6457424,,,11,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9570815450643777,,0.9253112033195021,,,,,,,,,,,,,,,,,,,0.8955823293172691,,,,62.328523785,,1770716826.6461427,,,12,,
,,,,,0.9559748427672956,,,,,,,,,,0.9382716049382716,,,,,,,,,,,,,,,,,0.9470404984423676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.329023168,,1770716826.6466045,,,13,,
,,,,,,,,,,,,,,,,,,,,,,0.8897338403041825,,,0.9435483870967742,,,,,,,,,,,,,,,,,,,,,,,,,,,0.841726618705036,,,,,,,,,62.329469174,,1770716826.6470933,,,14,,
,,"{'_type': 'table-file', 'artifact_path': 'wandb-client-artifact://jvpcjdncb2zh4oq0ckr6unc9nguv7hbtgpb2qb466ll50kliv05f9icscevr5h38anvmvtze4b9jdb8i3hyg6u1pkdxqjfuh82lcnpip5i950s1zxieotqqeuhal3fi3/fold3/confusion_matrix.table.json', 'ncols': 5, 'path': 'media/table/fold3/confusion_matrix_15_0dffca21aea65286bfda.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://w19fgnnpp2mc8ces4l7hmfyxdx53wxub9va6oejiatq4u2uddn2agpdyb4rgy28xdpu4z1u15acyx0oz4lfvbvuiulimsvyinim121zmd3eg6uu3p4d064zk8xp116my:latest/fold3/confusion_matrix.table.json', 'nrows': 4, 'sha256': '0dffca21aea65286bfda8beae6a2db5b52ce0d199899449cb27046fcaff5f0b0', 'size': 144}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.711869818,,1770716850.0293903,,,15,,
,,,,,,,0.9761146496815286,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9808,,,,,,,,,,,,,,,,,,,,,,,,,,85.713572709,0.9855305466237942,1770716850.0311322,,,16,,
,,,,,,,,,,,,,,,,0.9448529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,0.969811320754717,,,,,0.921146953405018,,,,,,,,,,,,,,85.713895258,,1770716850.0315394,,,17,,
,,,,,,,,,,,,,,,,,,,,0.9658914728682171,,,,,,,,,,,,,,,,,,,,,0.9614197530864198,,,,,,,,,,,,,,,,,,,,85.714294782,,1770716850.0319371,,,18,0.9636504253673627,
,0.9063670411985019,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9453125,,,,,,,,,,,,,,,,,,,,0.9254302103250478,,,,,,,,,,,,85.714594688,,1770716850.0322688,,,19,,
,,,,,,,,,,,,,,,,,,"{'sha256': '1235614b0e1c9a66555b4d998251a902342d7587cbbdaaffd0f45b88751c5288', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'nrows': 4, 'path': 'media/table/fold4/confusion_matrix_20_1235614b0e1c9a66555b.table.json', 'size': 147, 'ncols': 5, 'artifact_path': 'wandb-client-artifact://zxqimg327m3v3yx7cgi39ubyerlw5auz98r7u3klnyj063z1pc9z3fmi9e1xf7h65jrdczy1izwj6simd3qok0g57v55ylu73xyfdia5lcnh1u72ofr8qku79uj9k47b/fold4/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://4rqspyxuw6jde71dsx3ikh2vcl12ozjiylz78ff3imsuolg3vfpc3ibux9gptnhlpyzk0mux1dn1yfwi6yb7epmgl63y5okv998j1clbotozm8fxpt4aibkqeml910m3:latest/fold4/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.800815451,,1770716867.1182823,,,20,,
,,,,,,,,,0.9590100541376644,,,,,,,,,,,,0.9393939393939394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9794628751974723,,,,,,,,,,102.802460095,,1770716867.120108,,,21,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.9182879377431906,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8973384030418251,,,,,,,,102.802895349,,1770716867.1204677,0.9402390438247012,,22,,
,,,,,,,,,,,,,0.9492307692307692,,,,,,,,,,,0.955108359133127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9521604938271605,,,102.80332148,,1770716867.1209435,,,23,,
,,,,,,,,,,,,,,,,,,,,,,,0.8871287128712871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9218106995884774,,,,0.8549618320610687,,102.803747993,,1770716867.1213775,,,24,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://7gpvijz7jamfikuyn7gv4gesp8knij61f7d2s4cg0udxznfriliwjesbqynidpem602zozqruy93q9n37uakkz71rgvdqpgtgatb1t0op7ec1igy8h5o5x1jir62t01c/cv5/fold_metrics.table.json', '_latest_artifact_path': 'wandb-client-artifact://y1i1ucmcljlxor5q958wtv4f9g94vkdmyoj9pkkjfvl4gca3oq495gt1zqod3sr2vr39outu11vfoikik11h87bblip5bmbfsfs9pdxfz9hvji6jdxr37a1awvc0fubw:latest/cv5/fold_metrics.table.json', 'ncols': 9, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'nrows': 5, 'path': 'media/table/cv5/fold_metrics_25_68e26cc00586322f1734.table.json', 'sha256': '68e26cc00586322f17347c6d0f52ec61612bee0c6112d6c4651d851c3795025d', 'size': 761}",,,,,103.074773411,,1770716867.3923233,,,25,,
