fold4/class_0/recall,fold2/class_3/f1-score,fold3/class_1/recall,fold3/confusion_matrix,fold2/confusion_matrix,fold2/class_2/recall,fold0/class_2/f1-score,fold0/class_2/precision,fold1/class_1/f1-score,fold2/class_0/f1-score,fold3/class_1/precision,fold0/class_3/recall,fold4/class_2/recall,fold0/confusion_matrix,fold2/class_2/f1-score,fold0/class_0/f1-score,fold3/class_2/precision,fold2/class_3/precision,cv5/fold_metrics,fold1/class_1/recall,fold1/class_3/f1-score,fold0/class_3/precision,fold1/class_2/precision,fold3/class_3/precision,fold0/class_0/precision,fold4/class_3/precision,_step,fold4/class_0/precision,fold4/class_0/f1-score,fold0/class_1/precision,fold3/class_3/recall,fold1/class_3/precision,fold3/class_0/f1-score,fold3/class_2/f1-score,fold1/class_1/precision,fold4/class_1/precision,fold1/class_0/recall,fold4/class_1/f1-score,fold0/class_3/f1-score,fold3/class_3/f1-score,fold4/class_2/precision,fold1/class_2/recall,fold2/class_1/recall,fold4/class_3/f1-score,fold4/class_1/recall,fold1/class_0/precision,fold0/class_0/recall,fold0/class_1/recall,fold3/class_0/precision,fold1/class_2/f1-score,fold2/class_1/precision,fold2/class_3/recall,fold2/class_2/precision,_runtime,fold3/class_2/recall,fold4/confusion_matrix,fold0/class_2/recall,fold4/class_3/recall,fold1/class_0/f1-score,fold2/class_1/f1-score,fold2/class_0/recall,_timestamp,fold1/confusion_matrix,fold2/class_0/precision,fold1/class_3/recall,fold0/class_1/f1-score,fold3/class_1/f1-score,fold3/class_0/recall,fold4/class_2/f1-score
,,,,,,,,,0.9975023415547923,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,298.491508367,,,,,,,0.9968798751950078,1770722948.126184,,0.9981255857544518,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,0.9863453815261044,,,,,,,,0.9959448499594485,,,298.492011524,,,,,,0.9911218724778047,,1770722948.1266518,,,,,,,
,,,,,0.9962264150943396,,,,,,,,,0.9962264150943396,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962264150943396,298.492411439,,,,,,,,1770722948.1270773,,,,,,,
,0.9856938483547926,,,,,,,,,,,,,,,,0.9800853485064012,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,0.9913669064748202,,298.492844274,,,,,,,,1770722948.1274927,,,,,,,
,,,"{'path': 'media/table/fold3/confusion_matrix_15_0d27596d1d152e039e22.table.json', 'sha256': '0d27596d1d152e039e22cc082ac7d6a6abe426c973f9002516d0988fac25051b', 'artifact_path': 'wandb-client-artifact://vfc11lysyadtjupoe2rkotew87zs2tvv3jweus9usl3lq1wjl1zhaz7srjyxh2vtxbhqujxwrpxh3qs67xtt2i3b70q245u4agoplozahtqdh1l17cjfo2xcez8mjcgd/fold3/confusion_matrix.table.json', 'size': 145, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://8fijq24whfa7rti9bn9esdphvm57uzv1flteok887ja1mtqc8uz3l0m6s3pcudc0mnuzi4t7jto48y70bxxz97qz10agxm38qvdenmhjpen107fo0ddqro98az6hsjga:latest/fold3/confusion_matrix.table.json', 'ncols': 5, 'nrows': 4, '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,450.181209078,,,,,,,,1770723099.815729,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,0.9980867346938775,,,,,,,,,,,,,,,,0.9993614303959132,,,,,450.182701078,,,,,,,,1770723099.8173857,,,,,,0.9968152866242038,
,,0.9977358490566037,,,,,,,,0.9984894259818731,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,450.18304559,,,,,,,,1770723099.8177388,,,,,0.9981124952812382,,
,,,,,,,,,,,,,,,,0.99906919019547,,,,,,,,,,18,,,,,,,0.9987593052109182,,,,,,,,,,,,,,,,,,,,450.183332274,0.9984496124031008,,,,,,,1770723099.818073,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.9895988112927192,,,19,,,,0.9977528089887641,,,,,,,,,0.9936590824319284,,,,,,,,,,,,,,450.183595751,,,,,,,,1770723099.8183606,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,594.728903199,,"{'_type': 'table-file', 'ncols': 5, 'nrows': 4, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://lmy6ip98pu6iulrk66rv62z4pq3ktyq0o0a337h8mnd2zddq6y1h6b74fc5t85oinw9v4ero8f2pzw37zzo9v963ycbg7dnyhd23tbk7j4kn5lg5e1zkjk2b8mmfy5ge/fold4/confusion_matrix.table.json', 'path': 'media/table/fold4/confusion_matrix_20_00dd92006c1a4b116406.table.json', 'sha256': '00dd92006c1a4b116406953143b5cf83f274e67af16177562d0940bb932ee704', 'size': 145, '_latest_artifact_path': 'wandb-client-artifact://sx30r02px8li9suby8bou7a1lvdky1di7de8wqtzb82m7oihluufcjrib5bl1lm0n5fyvjnexacyifvsq1iljr116vpu3c7oqou94cyvoy96r4a87hymcqk6h50s2m32:latest/fold4/confusion_matrix.table.json'}",,,,,,1770723244.3634384,,,,,,,
0.9981042654028436,,,,,,,,,,,,,,,,,,,,,,,,,,21,0.9996835443037975,0.9988932806324111,,,,,,,,,,,,,,,,,,,,,,,,,594.730978982,,,,,,,,1770723244.3656147,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,0.9939255884586181,,0.9946808510638298,,,,,,,0.9954372623574145,,,,,,,,,594.73128181,,,,,,,,1770723244.3659742,,,,,,,
,,,,,,,,,,,,0.9990712074303405,,,,,,,,,,,,,,23,,,,,,,,,,,,,,0.9987619931909626,,,,,,,,,,,,,594.731563977,,,,,,,,1770723244.3662949,,,,,,,0.9989165763813651
,,,,,,,,,,,,,,,,,,,,,,,,,0.9939024390243902,24,,,,,,,,,,,,,,,,,0.9946605644546148,,,,,,,,,,594.732068122,,,,0.9954198473282443,,,,1770723244.3666596,,,,,,,
,,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://k71lc9c2rlnhxo5hqxqvqr5ud5wktk7jf4tza82mss4ha4qkxff70ep5vkfgfb78sv70p6ksrsoe28f3eyvtegrdrmqhvx5iwics3j9u7jjvy0p7wjm7uz1z07ck2hhv:latest/cv5/fold_metrics.table.json', 'path': 'media/table/cv5/fold_metrics_25_ba054a27ebcd66c9ea41.table.json', 'size': 776, '_type': 'table-file', 'nrows': 5, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://9jxo8bygpjdtymqd8nnj9766a798g4lmcb8h3hg3q0ez1lzwljlj7n257kq4pizqelketfo1bustiomaju6rokivdov4rp03e7dra2kt4zkqh4bnobmhrarud7lusox3/cv5/fold_metrics.table.json', 'sha256': 'ba054a27ebcd66c9ea417710a0d941985b832f2a419edd4f73e3d0469a735d19', 'ncols': 9}",,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,595.013296946,,,,,,,,1770723244.647875,,,,,,,
