fold3/class_0/precision,fold4/class_3/recall,fold4/class_0/recall,fold1/class_2/f1-score,fold3/class_2/precision,_step,fold0/class_1/f1-score,fold2/class_0/recall,fold0/class_3/precision,fold1/class_0/recall,fold2/class_3/precision,fold2/class_1/recall,fold3/class_1/recall,fold1/class_0/f1-score,fold1/class_3/f1-score,fold0/class_1/precision,fold1/class_1/recall,fold2/confusion_matrix,fold1/class_0/precision,cv5/fold_metrics,fold1/class_3/precision,fold3/class_1/f1-score,fold3/class_3/f1-score,fold2/class_2/f1-score,fold0/class_3/recall,fold3/class_2/recall,fold0/class_3/f1-score,fold3/class_2/f1-score,fold0/class_2/recall,fold4/class_0/precision,fold3/class_0/f1-score,fold1/class_3/recall,fold1/confusion_matrix,fold3/class_3/precision,fold2/class_0/f1-score,fold0/class_0/precision,fold0/class_1/recall,fold3/class_0/recall,fold0/class_0/f1-score,_runtime,fold0/class_2/f1-score,fold4/class_3/precision,fold0/class_0/recall,fold4/class_2/recall,fold2/class_1/f1-score,fold3/class_3/recall,fold2/class_1/precision,fold2/class_2/recall,fold4/class_1/recall,fold1/class_1/f1-score,fold2/class_3/recall,fold1/class_1/precision,fold4/class_3/f1-score,fold3/class_1/precision,fold0/class_2/precision,fold1/class_2/recall,fold4/class_1/f1-score,fold2/class_0/precision,fold4/confusion_matrix,fold1/class_2/precision,fold4/class_0/f1-score,fold2/class_2/precision,_timestamp,fold2/class_3/f1-score,fold4/class_2/precision,fold4/class_2/f1-score,fold4/class_1/precision,fold3/confusion_matrix,fold0/confusion_matrix
,,,,,10,,,,,,,,,,,,"{'path': 'media/table/fold2/confusion_matrix_10_6e04a37a5ec8240f4779.table.json', '_type': 'table-file', 'ncols': 5, 'artifact_path': 'wandb-client-artifact://yimq9qpkshev0mkjzbf1vz06cdr3o45oab2458x4rr57385k32hp8mwbs1k34t55qfj6cisvv9zksld6ty6hgcd7ge8ojn1zzu3o9ty2jxaeh8weilgnwwq4ibkdfjwo/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://oro2tv0zghlrft95vhxdxmtcyanj42ytdb8pfapvlgww05sokcsnqlww76myx15vpmdxvp5d3k5p27ysh1cwxd1vrvaholhvbcabrvrtj72hoxjf9j1dd0gah0pg1qpq:latest/fold2/confusion_matrix.table.json', 'size': 148, 'log_mode': 'IMMUTABLE', 'sha256': '6e04a37a5ec8240f4779ce31d428e3a854008488de21722ba5032f265dd279d2', 'nrows': 4}",,,,,,,,,,,,,,,,,,,,,,698.008523472,,,,,,,,,,,,,,,,,,,,,,,1770719786.792247,,,,,,
,,,,,11,,0.9953198127925117,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9951645609109343,,,,,698.009998209,,,,,,,,,,,,,,,,,,0.9950093574547723,,,,,1770719786.7938118,,,,,,
,,,,,12,,,,,,0.980722891566265,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.010239507,,,,,0.9870654810024252,,0.9934906427990235,,,,,,,,,,,,,,,,1770719786.7941935,,,,,,
,,,,,13,,,,,,,,,,,,,,,,,,0.9930795847750865,,,,,,,,,,,,,,,,698.010594152,,,,,,,,0.9927672955974842,,,,,,,,,,,,,,0.9933920704845814,1770719786.7945256,,,,,,
,,,,,14,,,,,0.9680170575692963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.010981045,,,,,,,,,,,0.9798561151079137,,,,,,,,,,,,1770719786.7949114,0.9739006077940651,,,,,
,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939.184229096,,,,,,,,,,,,,,,,,,,,,,,1770720027.9678624,,,,,"{'size': 146, 'path': 'media/table/fold3/confusion_matrix_15_a6795706d224f4f56c45.table.json', 'ncols': 5, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://upaqorh7owsdxr9w4sn4avzti6j5nsn108bcvspq06lj0hmjsr1aozjtpzri0t3z7hzamzqm2zhqa8xs87sj57uwv3c3568p20uhko1roo32qcan3hwkqumh6naz5r6m/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://664luo3dc96icuvbsdyre9t49hgk2f0pwshgmzhiybvp682yfduykquh6hcuety5hw4xad48ivk42bpqf0eyyayalqbi79cyzg78vu4by4ogy83wrsfn3tt36hle3f5z:latest/fold3/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 4, 'sha256': 'a6795706d224f4f56c458b7ec8e59f10e667f6ea1c448b9536a752389ac4cc49'}",
0.9961832061068703,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,0.9968173138128581,,,,,,,0.9974522292993631,,939.18587819,,,,,,,,,,,,,,,,,,,,,,,1770720027.9698033,,,,,,
,,,,,17,,,,,,,0.9916981132075472,,,,,,,,,0.9935727788279773,,,,,,,,,,,,,,,,,,939.186263993,,,,,,,,,,,,,,0.9954545454545455,,,,,,,,,1770720027.9702291,,,,,,
,,,,0.9972006220839813,18,,,,,,,,,,,,,,,,,,,,0.994108527131783,,0.9956521739130435,,,,,,,,,,,,939.186674883,,,,,,,,,,,,,,,,,,,,,,,1770720027.9705982,,,,,,
,,,,,19,,,,,,,,,,,,,,,,,0.9884371503170459,,,,,,,,,,,0.9843982169390788,,,,,,939.187595432,,,,,,0.9925093632958801,,,,,,,,,,,,,,,,,1770720027.9709644,,,,,,
,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1108.790336615,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://k4r9ve583uwjl2qs1aarptgykd62edr7qzvhpvgg0kmbxypw4uivy62c7vnit7mfdr7aq80jvv5kyz0ohhe0jw319yymwtxexq6f75p6r55f5jlgzjrsneya0d2m0eal/fold4/confusion_matrix.table.json', 'nrows': 4, 'path': 'media/table/fold4/confusion_matrix_20_a61c72c17a00731582aa.table.json', 'sha256': 'a61c72c17a00731582aaed90f45543e4e56906adf3aadfea9a68fbd1804f7ea6', 'ncols': 5, '_latest_artifact_path': 'wandb-client-artifact://6zj843yoz21d0lkl6da802fo8pi07qubhvvyiaaaq8wt6vds6qtbsj4n1i82qdqvnim7ecjy84omwtzwrxpg1a3qpfx3brij1su217hsox4qrt3btaxto9t5ayv7ugl8:latest/fold4/confusion_matrix.table.json', 'size': 147, 'log_mode': 'IMMUTABLE', '_type': 'table-file'}",,,,1770720197.5740645,,,,,,
,,0.9974723538704582,,,21,,,,,,,,,,,,,,,,,,,,,,,,0.9993668882557771,,,,,,,,,,1108.79203131,,,,,,,,,,,,,,,,,,,,,0.9984187223276407,,1770720197.5758884,,,,,,
,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1108.79250524,,,,,,,,,0.9901140684410646,,,,,,,,0.9889859475883023,,,,,,1770720197.5763638,,,,0.9878603945371776,,
,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1108.792855747,,,,0.9972136222910216,,,,,,,,,,,,,,,,,,,1770720197.5768352,,0.9987596899224807,0.9979860573199071,,,
,0.9877862595419847,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1108.793308554,,0.9817905918057663,,,,,,,,,,,0.984779299847793,,,,,,,,,,1770720197.5772548,,,,,,
,,,,,25,,,,,,,,,,,,,,"{'ncols': 9, 'sha256': '25c14f09b91cb3a28d2024b86cfdf732965003e18db5b644e093dda7aa1cdaa1', 'log_mode': 'IMMUTABLE', 'path': 'media/table/cv5/fold_metrics_25_25c14f09b91cb3a28d20.table.json', 'artifact_path': 'wandb-client-artifact://3ahw3nqqa1ljnmilm7nnmfsyazljzbcgpc88vwbg3bwjplcyevatt5u1ovkeuv79kz9k8qpvs44okqsrpeu7v5c4kktobrsdme8mx0z2xlexxlysbl7q9oje0f9hb3hi/cv5/fold_metrics.table.json', '_latest_artifact_path': 'wandb-client-artifact://9e8668ls2pw8rccdkc6fer88epicqkfjj0x08yw1o17xhv2blaawbuiivljloux37ylb5lz5ognld0os8o0474u81ydpp7brrknls0138ef2i522k5yunkz4j73yrdju:latest/cv5/fold_metrics.table.json', '_type': 'table-file', 'nrows': 5, 'size': 774}",,,,,,,,,,,,,,,,,,,,1109.191914616,,,,,,,,,,,,,,,,,,,,,,,1770720197.9757988,,,,,,
