fold1/class_5/f1-score,fold2/class_1/recall,fold1/class_9/precision,fold4/class_1/precision,fold4/class_4/precision,fold1/class_0/precision,fold2/class_1/precision,fold4/class_0/f1-score,fold4/class_8/precision,fold3/class_9/f1-score,fold1/class_10/precision,fold4/class_2/f1-score,fold1/class_1/precision,fold0/class_6/f1-score,fold3/class_4/precision,fold0/class_4/f1-score,fold0/class_6/recall,fold4/class_0/recall,fold1/class_2/f1-score,fold4/class_10/f1-score,fold2/class_8/f1-score,fold4/class_6/precision,fold4/class_2/recall,fold2/class_4/recall,fold0/class_7/recall,fold0/class_2/f1-score,fold0/class_7/precision,fold2/class_8/precision,_runtime,fold1/class_4/f1-score,fold3/class_6/precision,fold2/class_4/precision,fold3/class_2/recall,fold3/class_5/f1-score,fold4/class_9/f1-score,fold3/class_7/f1-score,fold0/class_0/f1-score,fold0/class_8/f1-score,fold1/class_1/f1-score,fold4/class_9/recall,fold4/class_5/f1-score,fold2/confusion_matrix,fold4/class_3/f1-score,fold1/class_4/precision,fold0/class_3/f1-score,fold3/class_9/recall,fold3/class_1/precision,fold3/class_9/precision,fold2/class_4/f1-score,cv5/fold_metrics,fold3/class_7/precision,fold1/class_7/recall,fold0/class_8/precision,fold1/class_9/recall,fold1/class_6/f1-score,fold0/class_10/precision,fold1/class_0/f1-score,fold2/class_10/recall,fold4/class_4/f1-score,fold3/class_0/precision,fold2/class_3/precision,fold3/class_5/precision,fold1/class_9/f1-score,fold3/class_3/recall,fold4/class_1/recall,fold3/confusion_matrix,fold0/class_1/precision,fold0/class_9/precision,fold3/class_0/f1-score,fold2/class_9/precision,fold3/class_2/precision,fold4/class_3/recall,fold1/class_1/recall,fold3/class_8/f1-score,fold3/class_7/recall,fold2/class_10/precision,fold3/class_0/recall,fold2/class_5/precision,fold0/class_4/precision,fold2/class_6/recall,fold2/class_9/f1-score,fold4/class_4/recall,fold0/class_5/f1-score,fold2/class_0/f1-score,fold2/class_7/precision,fold4/class_6/f1-score,fold2/class_8/recall,fold4/class_7/f1-score,fold2/class_6/f1-score,fold0/class_3/precision,_step,fold0/confusion_matrix,fold0/class_4/recall,fold1/class_2/recall,fold0/class_2/recall,fold0/class_2/precision,fold1/confusion_matrix,fold0/class_6/precision,fold2/class_1/f1-score,fold3/class_8/recall,fold2/class_2/f1-score,fold2/class_6/precision,fold0/class_5/precision,fold4/class_10/recall,fold2/class_0/precision,fold1/class_4/recall,fold3/class_3/f1-score,fold1/class_2/precision,fold3/class_5/recall,fold1/class_8/f1-score,fold0/class_9/f1-score,fold3/class_6/f1-score,fold1/class_8/precision,fold3/class_1/f1-score,fold3/class_1/recall,fold0/class_3/recall,fold0/class_9/recall,fold3/class_4/recall,fold1/class_10/recall,fold4/class_7/precision,fold4/class_7/recall,fold4/class_10/precision,fold0/class_5/recall,fold3/class_8/precision,fold2/class_7/f1-score,fold2/class_2/precision,fold1/class_3/recall,fold4/class_0/precision,fold0/class_1/recall,fold0/class_0/precision,fold3/class_3/precision,fold4/confusion_matrix,fold2/class_3/f1-score,fold1/class_7/precision,fold1/class_6/recall,fold2/class_10/f1-score,fold1/class_5/recall,fold1/class_0/recall,fold4/class_9/precision,fold4/class_3/precision,fold1/class_10/f1-score,fold4/class_1/f1-score,_timestamp,fold3/class_10/precision,fold0/class_8/recall,fold3/class_6/recall,fold1/class_6/precision,fold3/class_2/f1-score,fold0/class_1/f1-score,fold2/class_0/recall,fold3/class_10/recall,fold4/class_8/recall,fold1/class_7/f1-score,fold2/class_2/recall,fold1/class_3/f1-score,fold4/class_2/precision,fold3/class_4/f1-score,fold1/class_5/precision,fold0/class_0/recall,fold1/class_8/recall,fold0/class_7/f1-score,fold2/class_9/recall,fold4/class_8/f1-score,fold0/class_10/recall,fold4/class_6/recall,fold1/class_3/precision,fold4/class_5/precision,fold2/class_3/recall,fold2/class_5/recall,fold0/class_10/f1-score,fold3/class_10/f1-score,fold4/class_5/recall,fold2/class_5/f1-score,fold2/class_7/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.177319556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998019801980198,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,0.9990089197224975,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1770739874.0887585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.177867733,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9985174203113417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739874.0894287,,,,,,,,,,,,,,,,,,,,,0.9955654101995566,,,,,,0.997039230199852,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122.546691294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,"{'_type': 'table-file', 'artifact_path': 'wandb-client-artifact://1pib44n3slmfopszshqw11198p698se2ely1r80lny7rcu47pq84dbjwc6rn5syg54fh7mnrgyulvgkg7hbex5ogm1m2r0equ6780pd3loo37i11slt2g79uq7rrqy5f/fold1/confusion_matrix.table.json', 'nrows': 11, 'sha256': 'd5ca76ee0770b523a0b25b13674b18438c74b0cc752a47e401b035c330e76877', 'size': 559, 'ncols': 12, '_latest_artifact_path': 'wandb-client-artifact://060lh5afzb5u0qd9h7jl35v86fweqcpwbsma9qr0i4biyj1ftkp019mo561k05ykw0fvgon15c27fzsm5td4g7baamtuidr6cd7t1kga2cdouk1oiakpgocs8jj0zvd1:latest/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_12_d5ca76ee0770b523a0b2.table.json', 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770740531.4580853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.9997869257649366,,,,,,,,,,,,,,,,,,,,,,,1122.548652139,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998082291022992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998295333475389,,,,,1770740531.4601374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.9951456310679612,,,,,,,,,,,,,,,,1122.553680617,,,,,,,,,,0.9963547995139733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9975669099756691,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770740531.460727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.9855351976856316,,,,,,,,,,1122.553797043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,0.9961013645224172,,,,,,,,,,,,,,0.9751908396946565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770740531.461272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122.553856556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9940119760479041,,,,,,,,,,,,,,,,1770740531.4617257,,,,,,,,,,,,0.996996996996997,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122.553913168,0.9974811083123426,,,,,,,,,,,,,,0.9949748743718593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770740531.4621623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9947312961011591,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122.553955866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9957805907172996,,,,,,1770740531.4625628,,,,,,,,,,,,,,,0.9936842105263158,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122.554009055,,,,,,,,,,,,,,,,,,,,,,,,,,0.9956043956043956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993421052631579,,,,,,,,1770740531.4629786,,,,0.9977973568281938,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122.554095269,,,,,,,,,,,,,,,,,,,,,,,0.9813519813519813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1770740531.4634376,,,,,,,,,,0.9905882352941177,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122.554157687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,0.997716894977169,,,0.997716894977169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770740531.463881,,,,,,,,,,,,,,,,,0.997716894977169,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1122.554214745,,,,,,,,,,,,,,,,,,,,,,,,,0.9956709956709957,,,,,,,,,0.9978308026030369,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770740531.4643297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.9962490622655664,,,,,,,,,,,,,,,,,,1122.554953759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9947565543071161,,,,,,,,,,,,,,,,,,,,,,0.9955022488755623,,1770740531.4647496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
