fold3/confusion_matrix,fold1/class_3/precision,fold0/class_3/recall,fold4/class_0/precision,fold2/class_3/recall,fold4/class_1/f1-score,fold3/class_1/recall,fold4/class_1/precision,fold3/class_3/f1-score,fold2/class_0/precision,fold1/class_2/recall,fold2/class_1/recall,fold0/class_3/f1-score,fold1/class_1/precision,fold2/class_3/precision,fold4/class_2/recall,fold0/class_0/f1-score,fold2/class_0/f1-score,fold3/class_2/f1-score,fold2/class_2/precision,fold1/class_2/precision,fold1/class_3/f1-score,fold1/class_1/f1-score,fold0/class_1/precision,fold3/class_3/recall,fold4/class_3/precision,fold1/confusion_matrix,fold2/confusion_matrix,fold2/class_1/precision,fold0/class_2/recall,fold1/class_3/recall,fold2/class_0/recall,fold0/class_3/precision,fold3/class_0/f1-score,_step,fold2/class_2/recall,fold4/confusion_matrix,cv5/fold_metrics,fold2/class_2/f1-score,fold0/class_2/f1-score,fold3/class_0/recall,fold4/class_3/f1-score,fold4/class_1/recall,fold0/confusion_matrix,_runtime,_timestamp,fold1/class_2/f1-score,fold4/class_2/f1-score,fold1/class_1/recall,fold3/class_0/precision,fold0/class_1/recall,fold1/class_0/recall,fold3/class_1/f1-score,fold0/class_2/precision,fold4/class_3/recall,fold0/class_1/f1-score,fold0/class_0/precision,fold3/class_1/precision,fold3/class_2/recall,fold4/class_2/precision,fold4/class_0/f1-score,fold1/class_0/precision,fold0/class_0/recall,fold2/class_1/f1-score,fold1/class_0/f1-score,fold2/class_3/f1-score,fold4/class_0/recall,fold3/class_3/precision,fold3/class_2/precision
,,,,,,,,,0.9623493975903614,,,,,,,,0.9793103448275862,,,,,,,,,,,,,,0.9968798751950078,,,11,,,,,,,,,,45.780419346,1770708654.0108464,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9477911646586346,,,,,,,,,,,,,,,,,0.9752066115702479,,,,,,12,,,,,,,,,,45.780653024,1770708654.0112803,,,,,,,,,,,,,,,,,,0.9613034623217923,,,,,
,,,,,,,,,,,,,,,,,,,0.9736842105263158,,,,,,,,,,,,,,,13,0.9889937106918238,,,0.9812792511700468,,,,,,45.780895569,1770708654.0115206,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.89568345323741,,,,,,,,,,0.9880952380952381,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,45.781102384,1770708654.011755,,,,,,,,,,,,,,,,,,,,0.939622641509434,,,
"{'path': 'media/table/fold3/confusion_matrix_15_e4935ea1ff03f30bd808.table.json', '_latest_artifact_path': 'wandb-client-artifact://i2jwew28va6k6khcqy792551oe74qa762tlh87khji4km3wywug4x5aqzn3gay73y438ic2obpx1l5s7od042qlo1ppebcz3ye3l33xutvemlwxca0jti1ol7qb0038q:latest/fold3/confusion_matrix.table.json', 'sha256': 'e4935ea1ff03f30bd808303b161dd9d35b01c73129627769c05594b3dab53a09', 'size': 142, 'ncols': 5, 'nrows': 4, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://34pp5ctgckxp25scpu12gj4l3wr542etmqflyfl3a23mw4cxg7wznxd71qni49gct0byjuej5o8gnea98v5l9gybpkjwcdhlxg7mrvwlyvp7jyxgl342e9xl5jzxqdpt/fold3/confusion_matrix.table.json', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,61.371212519,1770708669.6017382,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9802994483845547,16,,,,,,0.9904458598726115,,,,61.372039374,1770708669.6026323,,,,0.9703588143525741,,,,,,,,,,,,,,,,,,,
,,,,,,0.9471698113207547,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,61.372191769,1770708669.6028614,,,,,,,0.9580152671755725,,,,,0.9691119691119691,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.9775367931835787,,,,,,,,,,,,,,,,18,,,,,,,,,,61.372343273,1770708669.6030352,,,,,,,,,,,,,0.9782945736434109,,,,,,,,,,0.9767801857585139
,,,,,,,,0.9467680608365019,,,,,,,,,,,,,,,,0.9325842696629213,,,,,,,,,,19,,,,,,,,,,61.372459586,1770708669.6031797,,,,,,,,,,,,,,,,,,,,,,0.9613899613899614,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,"{'ncols': 5, 'nrows': 4, 'path': 'media/table/fold4/confusion_matrix_20_91beb33699a123ef0d24.table.json', 'sha256': '91beb33699a123ef0d241a68f0f5c5abaa0b43c32271f960fd91f220db767640', 'artifact_path': 'wandb-client-artifact://7gdnkiwr1qtx0bl8lin6ftt43to71nst76ol49y5f0ujmcrw6ng7v3t04sftyfzkjd3nltjrfjc9bf6r74c922keiejyrxglyy7fpqxedhxp5s8t41yff3nehr9s8tqp/fold4/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://lhbf9scmnk5yubx5rlhb9yr6lblmxzlju0h1tzhshlshebxwgzr3d27bk9p57iagq089ki4sjy7jvgwsg79vgd1ixycc7630xnar89e4naaugk1wrtgigytndww5d85r:latest/fold4/confusion_matrix.table.json', 'size': 146, '_type': 'table-file', 'log_mode': 'IMMUTABLE'}",,,,,,,,74.114205042,1770708682.3446026,,,,,,,,,,,,,,,,,,,,,,,
,,,0.9422492401215805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,74.115253862,1770708682.3457947,,,,,,,,,,,,,,,0.9604957397366383,,,,,,0.9794628751974723,,
,,,,,0.9270216962524654,,0.9631147540983607,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,0.8935361216730038,,74.115464263,1770708682.346123,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.9705882352941176,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,74.11572219,1770708682.3463469,,0.9631336405529954,,,,,,,,,,,,0.9557926829268293,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.9390243902439024,,,,,,,,,24,,,,,,,0.9094488188976378,,,74.115907421,1770708682.3465736,,,,,,,,,0.8816793893129771,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,"{'nrows': 5, 'path': 'media/table/cv5/fold_metrics_25_42ef7f538de90357e7d7.table.json', 'sha256': '42ef7f538de90357e7d7430a72bcbc8b1190ffeee01b1fcef404cbc4fa8bbf42', '_latest_artifact_path': 'wandb-client-artifact://rnuq7cv69el1xstk00cxq15b90zxa2edh2sux9wfzdnqk1j2zejopv2meubpzwkfe65sca996m7j30vrmklh8e7skg0ci32cw6wg8bie3q8v9d3ujsj3r2vd4kmmsfl9:latest/cv5/fold_metrics.table.json', 'size': 764, '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://ysv3pb31llyj907wz6x1kkwl0w17rrc5spbcz4c8sevt0v5uje7pwd8yiykxjvj21zswo90bn5jvz3aqnsx5wuusk537p5nwysziyebit5cu5thib65uqkakn47ozoc7/cv5/fold_metrics.table.json', 'ncols': 9}",,,,,,,74.432857076,1770708682.663332,,,,,,,,,,,,,,,,,,,,,,,
