fold4/class_3/recall,fold3/class_4/f1-score,fold2/class_6/precision,fold0/class_8/recall,fold2/class_10/precision,fold0/class_9/precision,fold2/class_1/precision,fold3/class_0/precision,fold2/class_2/recall,fold0/class_1/recall,fold3/class_0/f1-score,fold3/class_8/recall,fold2/class_10/f1-score,fold1/confusion_matrix,_runtime,fold0/class_7/recall,fold4/class_0/recall,fold3/class_5/precision,fold0/class_7/f1-score,fold3/class_8/f1-score,fold1/class_5/recall,fold0/class_2/precision,fold2/class_3/recall,fold2/class_0/recall,fold3/class_5/f1-score,fold2/class_6/recall,fold1/class_10/recall,fold0/class_4/recall,fold4/class_5/recall,fold0/class_10/recall,fold4/class_2/recall,fold1/class_7/recall,fold2/class_2/precision,fold4/class_8/recall,fold3/class_3/recall,fold1/class_7/precision,fold1/class_4/precision,fold0/class_6/recall,fold1/class_10/f1-score,fold1/class_9/f1-score,fold4/class_1/precision,fold0/class_2/f1-score,fold2/class_5/f1-score,fold2/class_0/precision,fold2/class_1/recall,fold1/class_0/recall,fold2/class_1/f1-score,fold4/class_8/f1-score,fold2/class_7/f1-score,fold2/class_9/recall,fold4/class_1/f1-score,fold4/class_9/recall,fold3/class_10/recall,fold1/class_5/precision,fold4/class_5/precision,fold0/class_1/precision,fold1/class_2/precision,fold0/class_0/f1-score,fold0/class_6/f1-score,fold3/class_2/precision,fold3/class_1/recall,fold2/class_7/recall,fold1/class_3/recall,fold0/class_4/precision,fold4/class_6/precision,fold1/class_8/f1-score,fold3/class_1/f1-score,fold2/class_4/precision,fold3/class_3/f1-score,fold1/class_9/recall,_timestamp,fold3/class_9/f1-score,fold4/class_4/precision,fold2/class_8/f1-score,fold3/class_10/precision,fold0/class_6/precision,fold4/class_7/recall,fold4/class_10/f1-score,fold0/class_1/f1-score,fold2/class_7/precision,fold4/class_7/f1-score,fold4/class_5/f1-score,fold1/class_4/recall,fold3/class_7/recall,fold1/class_6/f1-score,fold4/confusion_matrix,fold2/class_9/precision,fold1/class_4/f1-score,fold3/class_0/recall,fold0/class_8/f1-score,fold4/class_7/precision,fold0/class_7/precision,fold2/class_3/precision,fold1/class_6/precision,fold4/class_9/precision,fold2/class_6/f1-score,fold0/class_8/precision,fold4/class_3/precision,fold2/class_5/precision,fold0/class_5/f1-score,fold2/class_4/recall,fold4/class_8/precision,fold0/class_3/f1-score,fold1/class_10/precision,fold2/class_4/f1-score,fold1/class_1/f1-score,fold0/class_9/recall,fold4/class_4/f1-score,fold1/class_8/recall,fold3/class_4/recall,fold2/class_10/recall,fold2/confusion_matrix,fold2/class_3/f1-score,fold4/class_6/recall,fold0/class_5/precision,fold4/class_1/recall,fold3/class_6/recall,fold1/class_2/recall,fold4/class_10/precision,cv5/fold_metrics,fold1/class_1/precision,fold4/class_9/f1-score,fold2/class_0/f1-score,fold3/class_7/f1-score,fold1/class_0/f1-score,fold4/class_3/f1-score,fold1/class_3/precision,fold0/class_0/recall,fold3/class_9/precision,fold1/class_5/f1-score,fold0/class_9/f1-score,fold1/class_0/precision,fold1/class_2/f1-score,fold2/class_5/recall,fold3/confusion_matrix,fold3/class_5/recall,fold4/class_2/f1-score,fold3/class_2/f1-score,fold4/class_0/precision,fold3/class_6/precision,fold0/class_4/f1-score,fold2/class_9/f1-score,fold1/class_1/recall,fold0/class_3/precision,fold3/class_6/f1-score,fold0/confusion_matrix,fold4/class_6/f1-score,fold4/class_10/recall,fold4/class_0/f1-score,fold3/class_10/f1-score,fold1/class_7/f1-score,fold3/class_7/precision,fold3/class_1/precision,fold0/class_0/precision,fold4/class_2/precision,fold2/class_2/f1-score,fold1/class_8/precision,fold1/class_3/f1-score,_step,fold3/class_4/precision,fold0/class_5/recall,fold3/class_8/precision,fold0/class_10/precision,fold4/class_4/recall,fold0/class_3/recall,fold0/class_10/f1-score,fold3/class_9/recall,fold3/class_3/precision,fold1/class_9/precision,fold0/class_2/recall,fold2/class_8/recall,fold2/class_8/precision,fold1/class_6/recall,fold3/class_2/recall
,,,,,,,,,,,,,,10349.546251949,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5400981996726678,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770752194.4267461,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40145985401459855,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
,,0.8212290502793296,,,,,,,,,,,,10349.548720715,,,,,,,,,,,0.3712121212121212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770752194.4271367,,,,,,,,,,,,,,,,,,,,,,,,,0.5113043478260869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10349.548782507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8658536585365854,,,,,,,,,,,,,0.8275058275058275,,,,,,,,,1770752194.4275043,,,,,,,,,0.907928388746803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10349.548811389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770752194.427816,,,0.8503401360544217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,0.8116883116883117,0.8928571428571429,,
,,,,,,,,,,,,,,10349.548847259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8307291666666666,,,,,,,,,,,,,,,,,,,,,1770752194.4280932,,,,,,,,,,,,,,,,0.8575268817204301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.843915343915344,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,
,,,,0.9120234604105572,,,,,,,,0.8892065761258041,,10349.54904136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770752194.428315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8675034867503487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11127.644403057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770752972.524701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://uzq46ho9nv7ii95cx93jwez6ww15mt0c2n75hpig6kxqisw5gco0mglytsqp0n795xrmy92o2n5e6mu9mckv6r9z4s81ws05xp34onlj74i0kyqi24cxpp9zik83pz5m:latest/fold3/confusion_matrix.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://9kdzhurg7ht2acwrodb5z2rks57nj92ss3moaagg1g6k6fsyk2mybu0xz6rysgsf93244hnq5a9z35o9urnlo2q7kfyb9gubmyc84pa8l68lbzyfprakvuqwamt12qxz/fold3/confusion_matrix.table.json', 'nrows': 11, 'sha256': '5add93cf41bfaf3fe0b4c6789c770ec92fe9e69ef7a8292bad7ef52a2fb4493b', 'size': 586, 'ncols': 12, 'path': 'media/table/fold3/confusion_matrix_36_5add93cf41bfaf3fe0b4.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,
,,,,,,,0.968504758724328,,,0.978801046236922,,,,11127.645806788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770752972.52626,,,,,,,,,,,,,,,,,,0.9893186082210472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11127.646168125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.790356394129979,,,,,,0.8213507625272332,,,,1770752972.5266206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.854875283446712,,,,,,38,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11127.646472584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8542713567839196,,,,,,,,,,,1770752972.5269487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8047337278106509,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,0.7606263982102909
,,,,,,,,,,,,,,11127.646845081,,,,,,,,,,,,,,,,,,,,0.8581081081081081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8132337246531484,,1770752972.527335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,0.7728194726166329,,,,,,
,0.5347432024169184,,,,,,,,,,,,,11127.647138697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770752972.527664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39072847682119205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0.84688995215311,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11127.647473674,,,0.8863636363636364,,,,,,,0.46497764530551416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770752972.5279784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3151515151515151,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11127.647836239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770752972.5283473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.445859872611465,,,,,,,,,,,,,,,,,,,,,,,0.813953488372093,,,,,0.5761316872427984,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11127.648147879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770752972.528671,,,,,,,,,,,,,0.7916666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85273492286115,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9240121580547113,,,,,,,44,,,,,,,,,,,,,,,
,,,,,,,,,,,0.8,,,11127.64849787,,,,,0.8375451263537906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770752972.5289955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,0.8787878787878788,,,,,,,,,,,,
,,,,,,,,,,,,,,11127.648811732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770752972.5293388,0.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,0.8142857142857143,,,,,,,
,,,,,,,,,,,,,,11127.649181202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8650793650793651,,,,,,,,,,,,,,,,,,1770752972.529696,,,,0.9055891238670695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8848708487084871,,,,,,,,,47,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11759.394212393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770753604.2744877,,,,,,,,,,,,,,,"{'_type': 'table-file', 'ncols': 12, 'path': 'media/table/fold4/confusion_matrix_48_3a3833ff13d1256d8631.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://06nwg0w69a9afc7be45sgkhsymzq69w0th3vhtog2aj3uvq1objus1g2pblvrsps6o6lxsqcxi6sc1l4rkaqbo76ajz6g304q1pmbzpaqlg2pbez3zxiesmgwsemk02e:latest/fold4/confusion_matrix.table.json', 'sha256': '3a3833ff13d1256d863147c5d2d555c3c73a5e35781e912ff583b02aaf235aaf', 'nrows': 11, 'artifact_path': 'wandb-client-artifact://bc0j51yupyx9ojkfzu48k4f9x7dy5mn45ssi024pttqjjf8xc8l8blryc1rqtvpzpsvwo0zrfystlgu2ihgydpklbvaxhd1rsmtjze7g7hsdlmtn3jug2c5yym64ajze/fold4/confusion_matrix.table.json', 'size': 583}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11759.395660631,,0.9887642844959919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770753604.27616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9692163009404389,,,,,,,,,,0.9788927116533339,,,,,,,,,,49,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11759.396027511,,,,,,,,,,,,,,,,,,,,,,,,,,0.776,,,,,,,,,,0.7918367346938775,,,,,,,,,,,,,,,,,,,,1770753604.2765396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8083333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11759.396397232,,,,,,,,,,,,,,,,0.7428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770753604.2768986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7908745247148289,,,,,,,,,,,,,,,,,,0.8455284552845529,,,,51,,,,,,,,,,,,,,,
0.7761557177615572,,,,,,,,,,,,,,11759.396683329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770753604.2772071,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8137755102040817,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7945205479452054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11759.397016683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770753604.2775342,,0.8227848101265823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5803571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,0.4482758620689655,,,,,,,,,,
,,,,,,,,,,,,,,11759.397368689,,,,,,,,,,,,,,0.32696390658174096,,,,,,,,,,,,,,,,,,,,,,,,,,0.8700564971751412,,,,,,,,,,,,,,,,1770753604.277855,,,,,,,,,,,0.47530864197530864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11759.397701759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8382978723404255,,,,,,1770753604.278195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43777777777777777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5751824817518248,,,,,,,,,,,,55,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11759.398061646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770753604.2785444,,,,,,0.8591269841269841,,,,0.8616915422885573,,,,,,,,,,0.8642714570858283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11759.39847547,,,,,,,,,,,,,,,,,,,0.793939393939394,,,,,,,,,,,,,,0.8469827586206896,,,,,,,,,,,,,,,,,,,,,,,1770753604.2789254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9076212471131639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11759.398804337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8160919540229885,,,,,,,,,,,,,,,,,,,1770753604.2793062,,,,,,,,,,,,,,,,,,,,,,,,0.9102564102564102,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8606060606060606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11759.399141756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770753604.279662,,,,,,,0.8910735351946519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9196428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8642257818459191,,,,,,,,,,,59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11759.782556317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770753604.6628869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'nrows': 5, '_latest_artifact_path': 'wandb-client-artifact://vebrr0gchqgeaevyny9me7721brv7shld75j4yaqwpogzfwiz98e5bf9hw9did22x57ba4ulm3ushrk6ol79wly720efqkn43n2xuklodi1kvgqexjetzzfo8luobpet:latest/cv5/fold_metrics.table.json', 'ncols': 9, 'path': 'media/table/cv5/fold_metrics_60_c3fe4ee4c0e0b0458d69.table.json', 'sha256': 'c3fe4ee4c0e0b0458d69560db002137accb718ebf723ab2c422406c4631c4c72', 'log_mode': 'IMMUTABLE', 'size': 785, 'artifact_path': 'wandb-client-artifact://hg1b5t057rga2mj3nu9hdc5yuqd9u57ul5i6ce5m3bywe70an4o29mi9ghl508z821ge8nc9m9ih45v8wicmkcylysy62h99a1zpwli3l3bavldtb9fjvrnukbj2g7y2/cv5/fold_metrics.table.json', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
