fold3/class_3/recall,fold2/class_3/precision,fold2/class_0/recall,fold4/class_1/recall,cv5/fold_metrics,fold2/class_0/precision,fold2/class_2/precision,fold0/class_3/recall,fold1/class_1/recall,fold0/class_1/recall,fold2/class_2/recall,fold0/class_1/f1-score,fold2/class_2/f1-score,fold4/class_1/precision,fold1/class_2/f1-score,fold3/class_2/recall,fold4/class_0/f1-score,fold1/class_2/precision,fold4/class_1/f1-score,_step,fold4/class_2/recall,fold3/class_0/recall,_timestamp,fold0/class_3/f1-score,fold3/class_3/f1-score,fold2/class_0/f1-score,fold1/class_0/recall,fold1/class_3/recall,fold1/class_0/precision,fold2/class_3/f1-score,fold1/class_2/recall,fold3/class_0/f1-score,fold0/class_2/precision,fold3/class_1/f1-score,fold1/class_3/precision,fold3/class_0/precision,fold2/class_3/recall,fold0/class_2/f1-score,fold3/class_2/f1-score,fold0/confusion_matrix,fold0/class_0/precision,fold3/class_3/precision,fold4/class_3/recall,fold2/class_1/recall,fold4/class_2/precision,_runtime,fold4/class_3/f1-score,fold1/confusion_matrix,fold1/class_1/f1-score,fold4/class_2/f1-score,fold3/class_1/recall,fold0/class_1/precision,fold2/class_1/f1-score,fold1/class_3/f1-score,fold4/confusion_matrix,fold2/class_1/precision,fold0/class_3/precision,fold1/class_1/precision,fold1/class_0/f1-score,fold3/class_2/precision,fold0/class_0/recall,fold3/confusion_matrix,fold0/class_2/recall,fold2/confusion_matrix,fold0/class_0/f1-score,fold3/class_1/precision,fold4/class_3/precision,fold4/class_0/precision,fold4/class_0/recall
,,0.9266770670826833,,,0.9769736842105263,,,,,,,,,,,,,,11,,,1770722762.1824343,,,0.9511609287429944,,,,,,,,,,,,,,,,,,,,749.024117595,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,12,,,1770722762.182831,,,,,,,,,,,,,,,,,,,,,0.927710843373494,,749.024444693,,,,,,,0.8446069469835467,,,0.7751677852348994,,,,,,,,,,,,,
,,,,,,0.9656786271450858,,,,0.9732704402515723,,0.9694596711041503,,,,,,,13,,,1770722762.1831772,,,,,,,,,,,,,,,,,,,,,,,749.024775099,,,,,,,,,,,,,,,,,,,,,,,
,0.9182879377431906,,,,,,,,,,,,,,,,,,14,,,1770722762.1835184,,,,,,,0.8822429906542056,,,,,,,0.8489208633093526,,,,,,,,,749.02510481,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,15,,,1770722841.3442695,,,,,,,,,,,,,,,,,,,,,,,828.186069067,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://g7b474p5wrwiz2m68aysmr18hguv247nf1vfbcg0ttguesvtbye6tgb2nz81n56hhxgp5v1r4pdt6ua64qoh5hc23ww1zowu9v4xf23xzhqcf0aftrbij88tj4bfu1ua/fold3/confusion_matrix.table.json', 'path': 'media/table/fold3/confusion_matrix_15_ae5eb269534b40302a43.table.json', '_type': 'table-file', 'ncols': 5, 'sha256': 'ae5eb269534b40302a43310f2e73cb13f4b792c01df578b8ffc0a9c38be83aee', '_latest_artifact_path': 'wandb-client-artifact://wv8fx581mb94xn2yxiiutnmjqwbwt57no9afx6nte3py3ls4oq0zf1plgc89v5lwfu5xvdhfled56v5zesrhxrk9ip4u24n0vq1dl4j2hy22x7zx5rpy7novf9dxh9bs:latest/fold3/confusion_matrix.table.json', 'nrows': 4, 'size': 144}",,,,,,,
,,,,,,,,,,,,,,,,,,,16,,0.9681528662420382,1770722841.345767,,,,,,,,,0.9822294022617124,,,,0.9967213114754099,,,,,,,,,,828.187425923,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,17,,,1770722841.3461976,,,,,,,,,,,0.9283018867924528,,,,,,,,,,,,828.187846614,,,,,0.9283018867924528,,,,,,,,,,,,,,,0.9283018867924528,,,
,,,,,,,,,,,,,,,0.9891472868217054,,,,18,,,1770722841.3465567,,,,,,,,,,,,,,,,0.9644746787603931,,,,,,,828.188158992,,,,,,,,,,,,,,0.9410029498525073,,,,,,,,,
0.8651685393258427,,,,,,,,,,,,,,,,,,,19,,,1770722841.3469286,,0.8901734104046243,,,,,,,,,,,,,,,,,0.9166666666666666,,,,828.188570185,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,20,,,1770722903.163348,,,,,,,,,,,,,,,,,,,,,,,890.005104612,,,,,,,,,"{'size': 146, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://heyk7efylbfdqjbx7r2xdf2u89yiwedymjn4vqsz6cmy7etd0ukmtg1s2af70yrv8b0nufag7dg2ws6m3t2yq0tzp8s7xh4p67g01wgw7twdmw6b34p73cxvbej7c8yz/fold4/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 4, 'path': 'media/table/fold4/confusion_matrix_20_9e3dbb78cc1bf6596abd.table.json', '_latest_artifact_path': 'wandb-client-artifact://8logbrcdqslyp13xi7zkxbxby4tpotfhz3s543nclgli9nd63wc6ntxzg9dv2swdyhmo9e0zrylhk3o2i0obx3u58rmxlfpt6i9cgjvgyrthikv52eqv3u9q1h55mins:latest/fold4/confusion_matrix.table.json', 'ncols': 5, 'sha256': '9e3dbb78cc1bf6596abd8b7298eca87216f2d22ef57e992e1f84346f1ac50f6e'}",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.9761526232114467,,,21,,,1770722903.164968,,,,,,,,,,,,,,,,,,,,,,,890.00670783,,,,,,,,,,,,,,,,,,,,,,0.9824,0.9699842022116903
,,,0.8821292775665399,,,,,,,,,,0.8992248062015504,,,,,0.8905950095969289,22,,,1770722903.1654375,,,,,,,,,,,,,,,,,,,,,,,890.007068609,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,23,0.9597523219814241,,1770722903.1657906,,,,,,,,,,,,,,,,,,,,,,0.9582689335394127,890.007438992,,,,0.9590100541376644,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,24,,,1770722903.1661751,,,,,,,,,,,,,,,,,,,,0.8816793893129771,,,890.007776504,0.8619402985074627,,,,,,,,,,,,,,,,,,,,0.843065693430657,,
,,,,"{'ncols': 9, 'size': 766, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://oy3uq3q3rdrd6aenxqzv9t943jaw5kg89rclga6o8xcxylnxed90voepzyddtpbhktwtpjjm30fx7f390gs4vsv9yxqda9o3t8qgkyweauduh4q5y77icp69v866b7vs/cv5/fold_metrics.table.json', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://0tqcnvmce2i0qz9kqhdkr4advtxxt7re05lzhwyiygjft3be8xm8yxieij1fmkfmorx5amqgjbra5p1s3d1e9j2nph9319i4uy2cl8bhl58iazhmm2pbthccnnpgfc7x:latest/cv5/fold_metrics.table.json', 'nrows': 5, 'sha256': '559c518a69796a3e0d159f919a7e4014b72143dedff31e27213f668cb8d53c79', 'path': 'media/table/cv5/fold_metrics_25_559c518a69796a3e0d15.table.json'}",,,,,,,,,,,,,,,25,,,1770722903.5037758,,,,,,,,,,,,,,,,,,,,,,,890.345568914,,,,,,,,,,,,,,,,,,,,,,,
