fold0/class_2/f1-score,fold0/class_0/recall,fold2/class_3/recall,fold1/class_3/precision,_runtime,fold0/class_1/recall,fold1/class_3/recall,fold1/class_1/recall,fold0/class_3/f1-score,fold1/confusion_matrix,fold4/class_1/precision,fold1/class_0/precision,fold4/class_1/f1-score,fold3/class_1/precision,fold3/class_3/precision,_timestamp,fold2/class_2/recall,fold3/class_0/recall,fold3/class_2/f1-score,fold0/class_0/precision,fold3/class_2/precision,fold2/class_3/precision,fold0/class_2/recall,fold4/class_3/precision,fold3/confusion_matrix,fold1/class_0/f1-score,fold4/class_2/recall,fold1/class_1/precision,fold4/class_2/f1-score,fold4/class_1/recall,fold2/class_1/precision,fold0/class_2/precision,fold2/class_0/precision,fold0/class_0/f1-score,fold2/confusion_matrix,_step,fold4/confusion_matrix,fold1/class_3/f1-score,fold0/class_3/recall,fold1/class_2/f1-score,fold3/class_3/recall,fold4/class_3/recall,fold4/class_0/precision,fold3/class_1/recall,cv5/fold_metrics,fold2/class_1/recall,fold3/class_0/precision,fold3/class_0/f1-score,fold4/class_0/recall,fold0/class_1/precision,fold1/class_2/recall,fold1/class_0/recall,fold1/class_2/precision,fold2/class_2/precision,fold3/class_2/recall,fold4/class_3/f1-score,fold2/class_1/f1-score,fold0/confusion_matrix,fold1/class_1/f1-score,fold2/class_0/recall,fold4/class_0/f1-score,fold3/class_1/f1-score,fold3/class_3/f1-score,fold0/class_3/precision,fold4/class_2/precision,fold2/class_2/f1-score,fold2/class_0/f1-score,fold2/class_3/f1-score,fold0/class_1/f1-score
,,,,1459.654889157,,,,,,,,,,,1770723413.2850032,,,,,,,,,,,,,,,,,,,"{'size': 155, 'artifact_path': 'wandb-client-artifact://tr59ixkskydz8vjxv3e9r9j6a8wr9pfna4ywzkxpom3n333w43swx56y65x9kc8u8wh9t1b6oatiw6p1ocwt0m8sksqwjkh16e55k20ffpf6hzbl2nup4bn5yt8bpyik/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://k8k3wtc9en5wa9hdfi2t012vca41xuwnnn37i60bbxxd60fmw514iupue4cn6di8stb8qvtjat0qn6zpis11fvav838txoylnkc0qd58yghk0s5p6yhlc4whda5eelxj:latest/fold2/confusion_matrix.table.json', 'sha256': '585e18e177dc68a083059b421a25f8d75ec47a42ad9a217ab7ce1b99f909c499', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold2/confusion_matrix_10_585e18e177dc68a08305.table.json'}",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1459.656310215,,,,,,,,,,,1770723413.286674,,,,,,,,,,,,,,,,,0.8225450533284295,,,11,,,,,,,,,,,,,,,,,,,,,,,,0.9968798751950078,,,,,,,0.901360201511335,,
,,,,1459.656577314,,,,,,,,,,,1770723413.2869983,,,,,,,,,,,,,,,0.6059496567505721,,,,,12,,,,,,,,,,0.759609868043603,,,,,,,,,,,0.6741344195519349,,,,,,,,,,,,
,,,,1459.656912163,,,,,,,,,,,1770723413.2873182,0.8973495058400719,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,0.9967564870259481,,,,,,,,,,,,0.9444444444444444,,,
,,0.355601233299075,,1459.657185019,,,,,,,,,,,1770723413.287609,,,,,,0.6940822467402207,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47026843357118586,
,,,,1676.587948393,,,,,,,,,,,1770723630.2180398,,,,,,,,,"{'_type': 'table-file', 'sha256': '9c6454228d2c5ef38d0c7834910c7cf9304380f4896c6e58751eedf91195d462', '_latest_artifact_path': 'wandb-client-artifact://ummxg6jl9424t23dtwnlkt8jybvvracp74q6r4mlmuvenznuq0hytxofcqj0wgmdoxx5soh0is8e8jj6v1bz2zb1apidtxiyak3b7boe13cwiv1k04bxf8mnv072w7g4:latest/fold3/confusion_matrix.table.json', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold3/confusion_matrix_15_9c6454228d2c5ef38d0c.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://u8xlupj1pv2h08t4l99aio3gbsfpquqcg6gbtg5wdkqew23vni3a9p5m7w9lem7ib5nfbr17z4u4vfug42yv3v5hi0g7qn86uf3cqx6n8pz6ny49e110rhleb6jreqmi/fold3/confusion_matrix.table.json', 'size': 156}",,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1676.589474959,,,,,,,,,,,1770723630.21979,,0.9037761601455869,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,0.8426299045599152,0.8721325869827681,,,,,,,,,,,,,,,,,,,,,
,,,,1676.589884794,,,,,,,,,0.8393393393393394,,1770723630.2201912,,,,,,,,,,,,,,,,,,,,17,,,,,,,,0.6026954177897574,,,,,,,,,,,,,,,,,,0.7016002510197679,,,,,,,
,,,,1676.590266207,,,,,,,,,,,1770723630.2206182,,,0.9692687303723643,,0.9818223131106567,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,0.9570321151716501,,,,,,,,,,,,,,
,,,,1676.590764141,,,,,,,,,,0.803840877914952,1770723630.2210553,,,,,,,,,,,,,,,,,,,,19,,,,,0.9406099518459069,,,,,,,,,,,,,,,,,,,,,,0.8668639053254438,,,,,,
,,,,1781.272849734,,,,,,,,,,,1770723734.9029903,,,,,,,,,,,,,,,,,,,,20,"{'artifact_path': 'wandb-client-artifact://hwp1fk3bxt194fjkh9wjgo1mhfnig2hz6tt6miyjpehmtp9k0m033rqxnwc6pq8ebdurxbrlwcmo6pfm19rvt6afhtgzoxb9n0ybzb6dam0eswr83m4obidfwwzb74sr/fold4/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold4/confusion_matrix_20_e27b75d3e65540bb9735.table.json', 'sha256': 'e27b75d3e65540bb9735463feaf60962492f192a9aa8568468526f48aff42ee9', '_latest_artifact_path': 'wandb-client-artifact://8srgpae2wwkpcq6zsi38zf8g91mpb6p97e4mvhjsaal51a2e892843td3ox8pdycs2j6b40djsaq9gos408cyhpvbn29701armgygiuxejfrvdd5ls0ng4wdyqm64qwz:latest/fold4/confusion_matrix.table.json', 'size': 154, 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1781.274543596,,,,,,,,,,,1770723734.9047508,,,,,,,,,,,,,,,,,,,,21,,,,,,,0.4728391356542617,,,,,,0.711126156623787,,,,,,,,,,,,0.56800360522758,,,,,,,,
,,,,1781.275012507,,,,,,0,,0,,,1770723734.9053779,,,,,,,,,,,,,,0,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1781.275376101,,,,,,,,,,,1770723734.9057639,,,,,,,,,,,0.7476780185758514,,0.6448598130841121,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5669014084507042,,,,
,,,,1781.275780828,,,,,,,,,,,1770723734.9061458,,,,,,,,0,,,,,,,,,,,,24,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,1781.606907573,,,,,,,,,,,1770723735.2371986,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://kh3rrxg2xxdhxmkhwf6vymw0hcfgqagsvl3ms9b34ovy157vlrtwysh1df0qcgp5gfegi0zni6jmtdc2vabnnjoyjiaqsbli44ae8ec8bihu5rv8sjqbzj6djx7slhcw:latest/cv5/fold_metrics.table.json', 'path': 'media/table/cv5/fold_metrics_25_b94393bdb60fbba0ef7f.table.json', '_type': 'table-file', 'sha256': 'b94393bdb60fbba0ef7f61e805e8fec7832f95f0b80ef5142b185179c6712518', 'ncols': 9, 'artifact_path': 'wandb-client-artifact://n3i7fud86y0dd5kw8ntkn1wutz7khif4fu1r2x0o9qszoar18ftquuir9eo03nwl23nwtrsuefnppz70xulu195ei4hk91cerjzij977dd29ayddhk803nwcysxax4wt/cv5/fold_metrics.table.json', 'nrows': 5, 'size': 772}",,,,,,,,,,,,,,,,,,,,,,,,
