fold3/class_3/precision,fold4/class_1/f1-score,cv5/fold_metrics,fold0/class_0/recall,fold4/class_3/f1-score,fold2/class_1/f1-score,fold3/class_3/f1-score,fold0/class_2/f1-score,fold1/class_3/recall,fold3/class_0/f1-score,fold4/class_1/recall,fold3/class_2/recall,fold0/class_2/precision,_step,fold2/class_3/recall,fold4/class_0/recall,fold3/class_1/precision,fold3/class_2/f1-score,fold0/class_3/recall,fold4/class_3/precision,fold2/class_2/f1-score,fold2/class_1/precision,fold1/class_2/recall,fold0/class_1/precision,fold0/class_1/recall,fold0/class_1/f1-score,fold1/class_2/f1-score,fold3/class_2/precision,fold3/class_1/recall,fold4/class_2/recall,fold4/class_0/precision,fold3/confusion_matrix,fold2/class_3/precision,fold0/confusion_matrix,fold4/class_2/f1-score,fold0/class_3/f1-score,fold3/class_3/recall,fold1/confusion_matrix,fold3/class_0/precision,fold1/class_3/f1-score,fold1/class_3/precision,fold2/class_0/precision,fold0/class_0/f1-score,fold4/class_3/recall,fold4/class_2/precision,fold1/class_1/precision,_timestamp,fold1/class_1/f1-score,fold2/confusion_matrix,fold2/class_2/precision,fold3/class_1/f1-score,fold0/class_3/precision,fold2/class_2/recall,fold1/class_0/recall,fold2/class_0/recall,fold1/class_0/precision,fold2/class_3/f1-score,fold4/class_0/f1-score,fold0/class_2/recall,fold0/class_0/precision,fold4/confusion_matrix,fold1/class_2/precision,fold1/class_1/recall,fold3/class_0/recall,fold1/class_0/f1-score,fold2/class_0/f1-score,fold2/class_1/recall,fold4/class_1/precision,_runtime
,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9968875055580257,,,,,1770720859.7774472,,,,,,,,0.9993314018275017,,,,,,,,,,,0.9981079577072899,,,1232.156369561
,,,,,0.994535519125683,,,,,,,,12,,,,,,,,0.9971164936562861,,,,,,,,,,,,,,,,,,,,,,,,,1770720859.7778208,,,,,,,,,,,,,,,,,,,,0.9919678714859438,,1232.156767146
,,,,,,,,,,,,,13,,,,,,,0.9988776655443322,,,,,,,,,,,,,,,,,,,,,,,,,,1770720859.778133,,,0.9982054733064154,,,0.9995507637017071,,,,,,,,,,,,,,,,1232.157016221
,,,,,,,,,,,,,14,0.9933196300102775,,,,,,,,,,,,,,,,,,0.9974200206398349,,,,,,,,,,,,,,1770720859.7784777,,,,,,,,,,0.9953656024716787,,,,,,,,,,,,1232.157447072
,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://59sqhsfnd3y76r7gjumy3srx97wpfowtgx1506zgyi5yobyhi2l4juwtj22xbzr10p47os8ymmo1ijvsq2k6hpgr51dstuskw79rosa8laby922t0gd4xmx3flqprso3:latest/fold3/confusion_matrix.table.json', 'artifact_path': 'wandb-client-artifact://bzp7rdlan3l4ovwblm07pp3bf6ji9py74a18alnrq80oifzaugurlog2xr1duqwyx3q2ekc19gw8g4yyqc9l9lb7jm67gt4klklomiviwk1d28pm4vg6fb2304ciassf/fold3/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 4, 'sha256': 'e791d68b9a54ac53ac60b3630db39dd7656a42ec169626752d7e0326b6528622', 'size': 146, 'log_mode': 'IMMUTABLE', 'ncols': 5, 'path': 'media/table/fold3/confusion_matrix_15_e791d68b9a54ac53ac60.table.json'}",,,,,,,,,,,,,,,1770721184.998479,,,,,,,,,,,,,,,,,,,,,,1557.37764853
,,,,,,,,,0.9971568292960309,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,0.9970434387082101,,,,,,,,1770721185.0002742,,,,,,,,,,,,,,,,,0.997270245677889,,,,,1557.379246508
,,,,,,,,,,,,,17,,,0.9956850053937433,,,,,,,,,,,,0.9951482479784367,,,,,,,,,,,,,,,,,,1770721185.00062,,,,0.9954165543273119,,,,,,,,,,,,,,,,,,1557.379521435
,,,,,,,,,,,0.997563676633444,,18,,,,0.9969012837538734,,,,,,,,,,0.9962397699623977,,,,,,,,,,,,,,,,,,,1770721185.0009875,,,,,,,,,,,,,,,,,,,,,,1557.379899424
0.9919484702093397,,,,,,0.9903536977491961,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,0.9887640449438202,,,,,,,,,,1770721185.0012944,,,,,,,,,,,,,,,,,,,,,,1557.380171098
,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721496.9340086,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://n0loq1sa121p6ncl2s8vmv36chglqp7u0pk8lbf0ztf9vdw3fbw4fxpr445wuln6w3z7sge8zep4mbqe30r3759cfokhkm3r5vmjy90nqhm8pqqwjod7mjuolrwetgvj/fold4/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold4/confusion_matrix_20_267c6a060de47dac468f.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 5, '_latest_artifact_path': 'wandb-client-artifact://ajz3rmcqwz8xhq8nz237hzs8mtjk8ior3ev6vsfc9ki2kwg4jgxqribndoqa8f0uutiklpw5o0m286ojblr95ns5nkcszqornjo97ul8wggknyc81562ekv9ba0lrkyi:latest/fold4/confusion_matrix.table.json', 'sha256': '267c6a060de47dac468fb9e24c2691fd485650e23a5e04995a7ba82ff7ff316c', 'size': 147, 'nrows': 4}",,,,,,,,1869.313128882
,,,,,,,,,,,,,21,,0.998645903859174,,,,,,,,,,,,,,,0.9957245724572458,,,,,,,,,,,,,,,,1770721496.935501,,,,,,,,,,,0.9971830985915493,,,,,,,,,,,1869.314469778
,0.9898934717290357,,,,,,,,,0.9842476914720261,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721496.9358826,,,,,,,,,,,,,,,,,,,,,0.9956043956043956,1869.314854943
,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,0.9969040247678018,,,,,0.9974554707379135,,,,,,,,,,0.9980075271197698,,1770721496.9363153,,,,,,,,,,,,,,,,,,,,,,1869.31527493
,,,,0.9861450692746536,,,,,,,,,24,,,,,,0.9826746074715755,,,,,,,,,,,,,,,,,,,,,,,,0.9896401308615049,,,1770721496.936679,,,,,,,,,,,,,,,,,,,,,,1869.315571099
,,"{'_type': 'table-file', 'artifact_path': 'wandb-client-artifact://c0wr6uhwbd672ihj53akw2lpktfeze7qrvogvc10vco3v5shxoxr05ebw7d9ud95iymtmzk59elr0wqs8srk3pcpqtfmzfxi715kc99oyht0cy00aq4cstwhb8yjob45/cv5/fold_metrics.table.json', 'ncols': 9, 'log_mode': 'IMMUTABLE', 'sha256': '3626e7fef26f71e2bd8bab0787dc401a313bdc7b46b8711e9f99a1272203dd2d', '_latest_artifact_path': 'wandb-client-artifact://xwdgbw0xgckoqql6qgte1egdxzo7wo0yboefmeq7owinqcitl5lxni9qdyctse7hlji0m06qkgelxs7yt6typ951q69ygn36hlbq2p41z49vynmxgs9wk1ycsmqx3jtf:latest/cv5/fold_metrics.table.json', 'size': 777, 'nrows': 5, 'path': 'media/table/cv5/fold_metrics_25_3626e7fef26f71e2bd8b.table.json'}",,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721497.2384253,,,,,,,,,,,,,,,,,,,,,,1869.617452433
