fold2/class_0/f1-score,fold3/class_4/precision,fold4/class_5/precision,fold4/class_5/recall,fold4/class_4/f1-score,fold0/class_6/recall,fold0/class_9/precision,fold3/class_9/recall,fold0/class_4/f1-score,fold1/class_2/precision,fold2/confusion_matrix,fold2/class_0/precision,fold4/class_2/f1-score,fold4/class_3/precision,fold4/class_1/recall,fold1/class_9/precision,fold4/class_10/precision,fold3/class_4/f1-score,fold0/class_1/f1-score,fold1/class_4/recall,fold4/class_9/recall,fold2/class_3/precision,fold2/class_7/precision,fold1/confusion_matrix,fold2/class_8/precision,fold0/class_6/f1-score,fold0/class_1/recall,fold3/class_8/f1-score,fold0/class_3/precision,fold1/class_3/f1-score,fold1/class_9/recall,fold2/class_9/f1-score,fold3/class_3/recall,fold3/class_2/recall,fold1/class_7/recall,fold4/class_0/f1-score,fold4/class_3/f1-score,fold1/class_5/f1-score,fold0/class_1/precision,fold0/class_8/recall,fold2/class_4/precision,fold4/class_6/recall,fold1/class_1/f1-score,fold3/class_0/precision,fold0/class_6/precision,fold3/class_3/precision,fold4/class_0/precision,fold3/class_7/recall,fold0/class_2/precision,fold2/class_3/recall,fold4/confusion_matrix,fold0/class_4/recall,fold1/class_5/precision,fold3/class_2/precision,fold2/class_2/f1-score,fold1/class_8/precision,fold0/class_10/precision,fold0/class_7/f1-score,fold4/class_9/f1-score,fold1/class_4/precision,fold0/class_10/f1-score,fold4/class_4/recall,fold1/class_2/recall,fold2/class_0/recall,fold4/class_7/precision,fold3/class_1/precision,fold1/class_4/f1-score,fold0/class_3/f1-score,fold2/class_6/recall,fold4/class_4/precision,fold0/confusion_matrix,fold0/class_2/f1-score,fold1/class_6/recall,fold1/class_8/f1-score,fold4/class_1/precision,fold1/class_8/recall,fold0/class_2/recall,fold3/class_9/f1-score,fold2/class_10/recall,fold0/class_5/precision,fold3/class_10/recall,fold0/class_5/f1-score,fold2/class_1/recall,fold1/class_7/f1-score,fold0/class_4/precision,fold2/class_1/precision,fold3/class_1/recall,cv5/fold_metrics,fold2/class_4/recall,fold3/class_4/recall,fold2/class_2/recall,fold1/class_3/recall,fold2/class_6/f1-score,fold4/class_7/f1-score,fold2/class_4/f1-score,fold1/class_9/f1-score,_timestamp,fold2/class_7/f1-score,fold2/class_8/recall,fold3/class_0/f1-score,fold4/class_8/recall,fold3/class_6/precision,fold4/class_5/f1-score,fold1/class_3/precision,fold4/class_9/precision,fold4/class_8/f1-score,fold4/class_6/f1-score,fold1/class_1/recall,fold1/class_10/recall,fold2/class_1/f1-score,_runtime,fold1/class_6/precision,fold0/class_10/recall,fold3/class_1/f1-score,fold2/class_5/f1-score,fold1/class_10/precision,fold3/class_5/recall,fold1/class_6/f1-score,fold3/class_0/recall,fold4/class_3/recall,fold4/class_0/recall,fold2/class_10/f1-score,_step,fold4/class_2/precision,fold3/class_7/f1-score,fold3/class_5/f1-score,fold2/class_7/recall,fold0/class_9/f1-score,fold0/class_3/recall,fold3/class_10/precision,fold2/class_6/precision,fold4/class_6/precision,fold2/class_10/precision,fold4/class_1/f1-score,fold3/class_8/precision,fold3/class_10/f1-score,fold3/class_7/precision,fold0/class_0/f1-score,fold3/class_2/f1-score,fold0/class_8/precision,fold1/class_7/precision,fold1/class_0/f1-score,fold1/class_0/recall,fold3/class_9/precision,fold0/class_5/recall,fold2/class_9/precision,fold0/class_7/recall,fold3/class_6/recall,fold0/class_8/f1-score,fold2/class_2/precision,fold1/class_5/recall,fold0/class_0/recall,fold4/class_10/recall,fold2/class_5/precision,fold4/class_7/recall,fold3/class_8/recall,fold2/class_5/recall,fold4/class_8/precision,fold1/class_2/f1-score,fold4/class_10/f1-score,fold0/class_7/precision,fold3/class_6/f1-score,fold3/confusion_matrix,fold2/class_3/f1-score,fold2/class_8/f1-score,fold3/class_3/f1-score,fold1/class_0/precision,fold3/class_5/precision,fold1/class_1/precision,fold4/class_2/recall,fold0/class_9/recall,fold1/class_10/f1-score,fold2/class_9/recall,fold0/class_0/precision
,,,,,,0.7961538461538461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770913566.810387,,,,,,,,,,,,,,2640.397204023,,,,,,,,,,,,10,,,,,0.8058394160583942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8157635467980295,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8253776435045317,,,,0.8394530649869412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770913566.8105297,,,,,,,,,,,,,,2640.397349221,,0.8540168802750859,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"{'ncols': 12, 'artifact_path': 'wandb-client-artifact://8f9pn37nga7avgtmy2klr7ddas9hiob1g5bls683dhitrwpgo2wd530ep7mctxt9wy9o01ivev0re4nwnjyqinjt9etn2dof6f6owlov9ly8yombu51nqqkd9whuye0e/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://f7jgxr3tjv5lrlz214nvj6rfncp2nbx0fysoeqrt1xtglgaltq4813h55f8k8zkxzhbm8yo47sx6ebjgaezbnncosj5kgcw496p79z85w60ypjy2jfh3n08awshf4pcx:latest/fold1/confusion_matrix.table.json', 'nrows': 11, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold1/confusion_matrix_12_157c23d348aa92da07dd.table.json', 'sha256': '157c23d348aa92da07dd9cc586f73675e560a0976fc5c4c6f5122256a5ed132e', 'size': 566, '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770913673.1452796,,,,,,,,,,,,,,2746.73227067,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770913673.1463304,,,,,,,,,,,,,,2746.733341928,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,0.8371451764614929,0.9998461064943059,,,,,,,,,,,,,,,,,,,,,,,,0.7199849287439881,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770913673.1467123,,,,,,,,,,,0,,,2746.733602686,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770913673.1469512,,,,,,,,,,,,,,2746.733813455,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1770913673.1471655,,,,,,,0,,,,,,,2746.733991919,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770913673.1473389,,,,,,,,,,,,,,2746.734124813,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770913673.1474767,,,,,,,,,,,,,,2746.734273919,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1770913673.1476216,,,,,,,,,,,,,,2746.734433677,0,,,,,,0,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
