fold0/class_0/precision,fold0/class_8/f1-score,fold0/class_10/precision,fold1/class_3/f1-score,fold0/class_5/precision,fold1/class_9/f1-score,fold1/class_1/recall,fold1/class_0/recall,fold1/class_4/recall,fold1/class_6/precision,fold1/class_10/precision,fold1/class_1/f1-score,fold0/confusion_matrix,fold2/class_2/precision,fold1/class_2/precision,fold2/class_10/f1-score,fold0/class_1/recall,fold2/class_9/precision,fold2/class_6/f1-score,fold0/class_3/precision,fold2/class_8/precision,fold0/class_2/recall,fold1/class_1/precision,fold0/class_6/recall,fold1/class_6/f1-score,fold2/class_6/precision,fold2/class_4/precision,fold1/class_8/f1-score,fold1/class_9/precision,fold2/class_3/recall,fold0/class_9/precision,fold0/class_6/f1-score,fold1/class_2/recall,fold2/class_3/f1-score,fold1/class_0/f1-score,fold2/class_5/f1-score,fold0/class_4/f1-score,fold0/class_8/precision,fold2/class_1/f1-score,fold2/class_8/f1-score,fold0/class_4/precision,fold1/class_3/precision,_timestamp,fold0/class_4/recall,fold1/class_5/recall,fold0/class_5/recall,fold1/class_7/precision,fold2/class_1/recall,fold0/class_6/precision,fold2/class_7/recall,fold0/class_8/recall,fold2/class_7/precision,fold0/class_0/f1-score,fold2/class_2/recall,fold1/class_5/precision,fold1/class_8/recall,_runtime,fold2/class_8/recall,fold1/class_8/precision,fold1/class_3/recall,fold1/class_7/f1-score,fold0/class_1/precision,fold1/class_7/recall,fold2/class_0/recall,fold2/class_10/recall,fold0/class_0/recall,fold0/class_2/f1-score,fold2/class_6/recall,fold0/class_3/f1-score,fold0/class_9/recall,fold0/class_1/f1-score,fold0/class_10/recall,fold2/confusion_matrix,fold1/confusion_matrix,fold2/class_9/f1-score,fold2/class_1/precision,fold2/class_0/precision,fold1/class_0/precision,fold2/class_2/f1-score,fold0/class_2/precision,fold2/class_0/f1-score,fold0/class_9/f1-score,fold1/class_4/f1-score,fold1/class_6/recall,fold1/class_5/f1-score,fold2/class_9/recall,fold0/class_7/f1-score,fold2/class_4/f1-score,fold0/class_7/precision,fold0/class_5/f1-score,fold1/class_4/precision,fold0/class_3/recall,fold1/class_9/recall,_step,fold2/class_5/recall,fold2/class_4/recall,fold0/class_7/recall,fold1/class_10/f1-score,fold2/class_5/precision,fold2/class_10/precision,fold2/class_7/f1-score,fold0/class_10/f1-score,fold2/class_3/precision,fold1/class_10/recall,fold1/class_2/f1-score
,,0.6150234741784038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770794234.219797,,,,,,,,,,,,,,1258.356748849,,,,,,,,,,,,,,,0.1672340425531915,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,0.26296420207427235,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770794526.8057356,,,,,,,,,,,,,,1550.942938324,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://9hvev8jk2zjeqevbrcochtwdtfbd3baj4270ogdiok79kd567ps4tfxuyaubawgc8kutd13f4sffbnb0wbac4cjnz5djy7lckykpxrd4wonychn3i0rg187y5jpa96pd/fold1/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 11, 'sha256': 'a9a22c8010d2fd4b683ee2011d54747aceaf0d42bbc668816983b461f6c700ea', 'path': 'media/table/fold1/confusion_matrix_12_a9a22c8010d2fd4b683e.table.json', 'log_mode': 'IMMUTABLE', 'size': 614, 'ncols': 12, '_latest_artifact_path': 'wandb-client-artifact://y607m2vo3s3ww3rwrksnonwxac7c33lhse1ztyocp8dxvqap417mvn7texejyv0is6fq3ij7o1m5q5mqgs5zjb40tlkian4w9gkf0qmxkaee28v0j2n68hub3m1wqrws:latest/fold1/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,0.9566356081591538,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9158590095954482,,,,,,,,1770794526.8072712,,,,,,,,,,,,,,1550.944443316,,,,,,,,,,,,,,,,,,,,,0.8784165009480646,,,,,,,,,,,,,,,,13,,,,,,,,,,,
,,,,,,0.3952380952380952,,,,,0.46629213483146065,,,,,,,,,,,0.5684931506849316,,,,,,,,,,,,,,,,,,,,1770794526.8076162,,,,,,,,,,,,,,1550.944740387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,
,,,,,,,,,,,,,,0.5477707006369427,,,,,,,,,,,,,,,,,,0.36083916083916084,,,,,,,,,,1770794526.80795,,,,,,,,,,,,,,1550.944950014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,0.4350758853288364
,,,0.513909224011713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6147110332749562,1770794526.808166,,,,,,,,,,,,,,1550.945243898,,,0.44150943396226416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,
,,,,,,,,0.16794871794871793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770794526.8083878,,,,,,,,,,,,,,1550.945362053,,,,,,,,,,,,,,,,,,,,,,,,,,0.24080882352941177,,,,,,,,0.4253246753246753,,,17,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770794526.8085835,,0.20379746835443038,,,,,,,,,,0.33541666666666664,,1550.945517222,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25354330708661416,,,,,,,,,18,,,,,,,,,,,
,,,,,,,,,0.34545454545454546,,,,,,,,,,,,,,,0.18313253012048192,,,,,,,,,,,,,,,,,,1770794526.80874,,,,,,,,,,,,,,1550.945675396,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12459016393442623,,,,,,,,,,19,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770794526.8088834,,,,0.49489795918367346,,,,,,,,,,1550.945817709,,,,0.3489208633093525,,0.26944444444444443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4553314121037464,,,,,,,,,,,,,,,1770794526.8090255,,,,,,,,,,,,,0.39748427672955977,1550.945952878,,0.5328836424957841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,
,,,,,0.44479745830023826,,,,,,,,,,,,,,,,,,,,,,,0.561122244488978,,,,,,,,,,,,,,1770794526.809163,,,,,,,,,,,,,,1550.946098587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3684210526315789,22,,,,,,,,,,,
,,,,,,,,,,0.6338439095550693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770794526.8093138,,,,,,,,,,,,,,1550.946249327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,0.48398774714564186,,,,,,0.39144144144144144,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770794699.3233588,,,,,,,,,,,,,,1723.460470483,,,,,,,,,,,,,,,,"{'path': 'media/table/fold2/confusion_matrix_24_7cc0e7c1b78c7351e9de.table.json', '_latest_artifact_path': 'wandb-client-artifact://rr1eo6c2lwokuiagrgc67um3qkvjyngoilage7t2b392g0hn1ly62vt62hnfb3g56wltghdxclvc7enzt5n8ao50cfq30xcfqm4bw14i6pvsjfup8qdz8nlh9qpz1e4x:latest/fold2/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 11, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://gz4i29aozfcztso5c5tpjkvfsxq81bk619clelq2hg7lwrlrlq00orvjtof9jbifogh77erm0b5w14n7kphodzkkwpl9ap1jehg15r1p9plhuv4tj4wvy7w696sm8d0g/fold2/confusion_matrix.table.json', 'sha256': '7cc0e7c1b78c7351e9deaa3757716406e046680b81d15d8ee10c05cf59942cbe', 'size': 610, 'ncols': 12}",,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770794699.3245938,,,,,,,,,,,,,,1723.461712222,,,,,,,0.9806238661560169,,,,,,,,,,,,,0.8710803733297522,,,,0.9226119217229486,,,,,,,,,,,,,25,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3605497170573969,,,,1770794699.3249817,,,,,0.3013513513513513,,,,,,,,,1723.462082428,,,,,,,,,,,,,,,,,,,0.448692152917505,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,,,0.5283842794759825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770794699.3253598,,,,,,,,,,,0.31025641025641026,,,1723.462386493,,,,,,,,,,,,,,,,,,,,,,0.39095315024232635,,,,,,,,,,,,,,,27,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15875,,,,0.2403027436140019,,,,,,,,,1770794699.3256347,,,,,,,,,,,,,,1723.462654666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,0.49416342412451364,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1770794699.325868,,,,,,,,,,,,,,1723.462831367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054187192118226604,,,,,,29,,0.027848101265822784,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21171171171171171,,,,,,,1770794699.3260777,,,,,,,,,,,,,,1723.46303874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0.1261744966442953,,,,0.6573426573426573,,,,,,
,,,,,,,,,,,,,,,,,,0.005031446540880503,,,,,,,0.4,,,,,,,,,,,,,,,,,1770794699.3263078,,,,,,,,,,,,,,1723.463498133,,,,,,,,,,,0.002531645569620253,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770794699.3267257,,,,,,,0.32142857142857145,,0.48596112311015116,,,,,1723.463690416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,0.3869303525365434,,,,
,,,,,,,,,,,,,,,,,,,,0.4647058823529412,,,,,,,,,,,,,,,,,,,0.37470355731225297,,,1770794699.3269236,,,,,,,,,,,,,,1723.463881696,0.31390728476821195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.4737762237762238,,,,,,,,,,,,,,,,,,,,,,,,,1770794699.3271654,,,,,,,,,,,,,,1723.464191522,,,,,,,,,,,,,,,,,,0.4294770206022187,,,,,,,,,,,0.3927536231884058,,,,,,,,34,,,,,,,,,,,
,,,,,,,,,,,,,,,0.3637454981992797,,,,,,,,,,,,,,,,,,,,,,,,,,,1770794699.3274405,,,,,,,,,,,,,,1723.464404355,,,,,,,,0.2717488789237668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,0.5499092558983666,,,,,
