fold4/class_2/f1-score,fold2/class_1/f1-score,fold4/confusion_matrix,fold0/class_0/f1-score,fold3/class_2/f1-score,fold4/class_0/precision,fold2/class_1/recall,fold3/class_0/f1-score,fold4/class_1/precision,fold2/class_2/recall,fold4/class_3/f1-score,fold1/class_3/precision,fold2/confusion_matrix,fold0/class_2/f1-score,fold1/class_1/f1-score,fold2/class_0/recall,fold3/class_1/precision,fold0/class_3/recall,fold4/class_2/precision,fold3/class_0/precision,fold1/class_1/precision,fold1/class_2/f1-score,fold1/confusion_matrix,fold0/class_0/recall,fold4/class_2/recall,fold1/class_0/recall,fold2/class_3/recall,fold0/class_2/recall,fold1/class_3/f1-score,_runtime,fold3/class_0/recall,fold0/class_2/precision,fold3/class_3/f1-score,fold4/class_3/precision,fold0/class_1/precision,fold2/class_2/f1-score,fold4/class_1/recall,fold2/class_3/precision,fold3/class_3/precision,fold3/confusion_matrix,fold1/class_1/recall,fold0/class_3/precision,fold1/class_2/recall,fold0/class_0/precision,fold2/class_1/precision,fold1/class_0/f1-score,fold4/class_3/recall,fold3/class_1/recall,_step,fold2/class_0/f1-score,fold1/class_0/precision,fold3/class_1/f1-score,_timestamp,fold0/class_1/f1-score,fold3/class_2/recall,fold2/class_0/precision,fold4/class_0/f1-score,fold0/class_3/f1-score,fold1/class_2/precision,cv5/fold_metrics,fold1/class_3/recall,fold3/class_3/recall,fold0/confusion_matrix,fold2/class_2/precision,fold2/class_3/f1-score,fold3/class_2/precision,fold4/class_0/recall,fold4/class_1/f1-score,fold0/class_1/recall
,,,,,,,,,,,,,,,0.9859594383775351,,,,,,,,,,,,,,46.504421725,,,,,,,,,,,,,,,,,,,11,0.9768160741885626,,,1770792495.5231707,,,0.9678407350689127,,,,,,,,,,,,,
,0.9673469387755103,,,,,0.9518072289156626,,,,,,,,,,,,,,,,,,,,,,,46.504620701,,,,,,,,,,,,,,,0.983402489626556,,,,12,,,,1770792495.523503,,,,,,,,,,,,,,,,
,,,,,,,,,0.9811320754716981,,,,,,,,,,,,,,,,,,,,46.504833535,,,,,,0.9803613511390417,,,,,,,,,,,,,13,,,,1770792495.5237317,,,,,,,,,,,0.9795918367346939,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.9244604316546763,,,46.505024525,,,,,,,,0.9413919413919414,,,,,,,,,,,14,,,,1770792495.5239475,,,,,,,,,,,,0.9328493647912885,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.277389333,,,,,,,,,,"{'size': 141, 'log_mode': 'IMMUTABLE', 'ncols': 5, 'nrows': 4, '_type': 'table-file', 'path': 'media/table/fold3/confusion_matrix_15_399b1ccda9c22d839809.table.json', 'artifact_path': 'wandb-client-artifact://9urmrza2k224j8ceq5a9id55b6vj7g5971el5so1zvpm7xw0mkjg3vht1zahoru47c2luq3cr9xljkqsb943t7tfnatiyqqpr6b0dhxb6q8e8nd3am5qu3cafvr877y7/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://msnu5zavz9y3i6laapz77yjj3dh5ji7uzwpirz5dcuem09ztfkbrfpnuag547d3f082afgx44p1smik9q941w1gjzukmaj465cnv2kfyv545yqqjy6c4l4863ycrl7ip:latest/fold3/confusion_matrix.table.json', 'sha256': '399b1ccda9c22d839809a22ef09fb325a5a5ba51aff20eb75f214ef56c435b41'}",,,,,,,,,15,,,,1770792507.2960973,,,,,,,,,,,,,,,,
,,,,,,,0.9888535031847133,,,,,,,,,,,,0.9888535031847133,,,,,,,,,,58.278898719,0.9888535031847133,,,,,,,,,,,,,,,,,,16,,,,1770792507.2976763,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.99609375,,,,,,,,,,,,,58.279138156,,,,,,,,,,,,,,,,,,0.9622641509433962,17,,,0.9788867562380038,1770792507.298016,,,,,,,,,,,,,,,,
,,,,0.9899146625290923,,,,,,,,,,,,,,,,,,,,,,,,,58.279383735,,,,,,,,,,,,,,,,,,,18,,,,1770792507.2982507,,0.9891472868217054,,,,,,,,,,,0.9906832298136646,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.279526389,,,0.9632352941176471,,,,,,0.9458483754512635,,,,,,,,,,19,,,,1770792507.298471,,,,,,,,,0.9812734082397003,,,,,,,
,,"{'ncols': 5, 'path': 'media/table/fold4/confusion_matrix_20_d652fbff1ba595d7758e.table.json', '_latest_artifact_path': 'wandb-client-artifact://08o7r3adbrtow12d8u539bq5lgmg0fhaqvlmeln2zywu0xfna9290f8u9u7bxbs4e1jw6k9hx74vl08m41llp6ec85gk4j7vokwblt5u3llm2b5trcwiuyo0taeasdwj:latest/fold4/confusion_matrix.table.json', 'size': 142, '_type': 'table-file', 'nrows': 4, 'artifact_path': 'wandb-client-artifact://3rwx1zej7qq44rmxr29pujegif2doov77hh1frpcdi2y0qy8bgf1uo3do5788e2hp75os56y1zeo1nj1m5rumhmnkoarug801m9jo0my516llh75plh6dfp0j3wipkcj/fold4/confusion_matrix.table.json', 'sha256': 'd652fbff1ba595d7758e323e0ed1e0d1badd8e4b8ac0b904e7f9d6a68dc8c957', 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,,,,,,,,,,,74.496071424,,,,,,,,,,,,,,,,,,,20,,,,1770792523.5147,,,,,,,,,,,,,,,,
,,,,,0.9858267716535433,,,,,,,,,,,,,,,,,,,,,,,,74.49758599,,,,,,,,,,,,,,,,,,,21,,,,1770792523.516426,,,,0.9873817034700315,,,,,,,,,,0.9889415481832543,,
,,,,,,,,0.99609375,,,,,,,,,,,,,,,,,,,,,74.497839825,,,,,,,0.9695817490494296,,,,,,,,,,,,22,,,,1770792523.5167565,,,,,,,,,,,,,,,0.9826589595375722,
0.9883086515978177,,,,,,,,,,,,,,,,,,0.9952904238618524,,,,,,0.9814241486068112,,,,,74.498038831,,,,,,,,,,,,,,,,,,,23,,,,1770792523.5169969,,,,,,,,,,,,,,,,
,,,,,,,,,,0.9479553903345725,,,,,,,,,,,,,,,,,,,74.498306204,,,,0.9239130434782609,,,,,,,,,,,,,0.9732824427480916,,24,,,,1770792523.517201,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.75218349,,,,,,,,,,,,,,,,,,,25,,,,1770792523.7709622,,,,,,,"{'log_mode': 'IMMUTABLE', 'size': 764, '_latest_artifact_path': 'wandb-client-artifact://fr4547zi6ld8morzzyvx5jcw07583soaxc2qj9zi278rb6rc48vzvfcovl0iypyi5rbrm7m8b9n8c0ni9zaky9vu1pl0tneji6fafpxeqdsduwgu9qsclyed4lbepe3x:latest/cv5/fold_metrics.table.json', 'nrows': 5, 'path': 'media/table/cv5/fold_metrics_25_ee19f639b1c8481197e0.table.json', 'sha256': 'ee19f639b1c8481197e058b88d0612520295f5a58309a87a9a378b5b690308ef', 'artifact_path': 'wandb-client-artifact://6jkiiq6usgxk1bog9ph3qm5jgvvllx2dgqaw59dn6tvo565qyodhdgebp5i2j2avlqfmu5ipr6a243gugkyk6j9l6af3htgwpob6donghwl35552ioh7jdooigr9j1t5/cv5/fold_metrics.table.json', 'ncols': 9, '_type': 'table-file'}",,,,,,,,,
