fold2/class_3/precision,fold1/class_1/f1-score,fold1/class_10/precision,fold2/class_8/precision,fold2/class_7/f1-score,fold4/class_9/f1-score,fold4/class_1/precision,fold4/class_0/recall,fold1/class_9/precision,fold4/class_4/recall,fold1/class_1/recall,fold0/class_4/recall,fold0/class_9/f1-score,fold0/class_4/precision,fold1/class_3/f1-score,fold4/class_1/f1-score,fold3/class_3/precision,fold2/class_10/f1-score,fold0/class_4/f1-score,fold2/class_0/recall,fold2/class_5/recall,fold2/class_4/f1-score,fold3/class_0/recall,fold3/class_3/recall,fold1/class_4/recall,fold3/class_9/precision,fold3/class_10/f1-score,cv5/fold_metrics,_step,fold4/class_7/f1-score,fold3/class_8/f1-score,fold2/class_1/f1-score,fold4/class_6/f1-score,fold3/class_8/precision,fold3/class_8/recall,fold0/class_9/precision,fold2/class_9/recall,fold2/class_1/precision,fold4/class_10/recall,fold3/class_2/f1-score,fold0/class_1/f1-score,fold3/class_5/precision,_timestamp,fold4/class_3/precision,fold2/class_9/f1-score,fold1/class_5/precision,fold3/class_6/precision,fold0/class_6/precision,fold0/class_3/precision,fold1/class_5/f1-score,fold2/class_7/recall,fold4/class_3/f1-score,fold0/class_7/recall,fold1/confusion_matrix,fold1/class_7/f1-score,fold4/class_9/precision,fold1/class_10/recall,fold3/class_4/f1-score,fold1/class_4/precision,fold0/class_5/f1-score,fold4/class_1/recall,fold3/class_9/recall,fold4/class_4/f1-score,fold0/class_3/f1-score,fold4/class_2/recall,fold2/class_6/recall,fold1/class_7/recall,fold0/class_10/recall,fold1/class_2/recall,fold1/class_0/precision,fold4/class_10/f1-score,fold3/class_2/recall,fold2/class_5/precision,fold0/class_2/precision,fold2/class_4/recall,fold0/class_6/f1-score,fold1/class_3/recall,fold3/class_10/precision,fold0/class_10/f1-score,fold1/class_10/f1-score,fold2/class_2/recall,fold2/class_3/recall,fold1/class_2/precision,fold4/class_5/f1-score,fold2/class_6/f1-score,fold3/class_1/precision,fold1/class_8/precision,fold1/class_4/f1-score,fold0/class_8/precision,fold4/class_9/recall,fold0/class_7/f1-score,fold1/class_9/f1-score,fold1/class_8/f1-score,fold0/class_0/recall,fold4/class_4/precision,fold4/class_7/recall,fold4/class_3/recall,fold4/class_6/precision,fold0/class_1/precision,fold0/class_8/recall,fold0/class_10/precision,fold4/confusion_matrix,fold2/class_8/recall,fold3/class_6/recall,fold3/class_9/f1-score,fold1/class_8/recall,fold0/class_0/f1-score,fold2/class_3/f1-score,fold2/confusion_matrix,fold2/class_2/f1-score,fold4/class_10/precision,fold3/class_7/f1-score,fold1/class_7/precision,fold3/class_4/recall,fold3/class_10/recall,fold0/class_5/precision,fold1/class_6/recall,fold1/class_6/precision,fold1/class_2/f1-score,fold2/class_8/f1-score,fold4/class_2/f1-score,fold2/class_10/precision,fold0/class_2/f1-score,fold4/class_8/precision,fold1/class_9/recall,fold4/class_2/precision,fold3/class_4/precision,fold0/class_9/recall,fold3/class_1/f1-score,fold2/class_6/precision,fold1/class_0/f1-score,fold2/class_4/precision,fold4/class_5/precision,fold3/class_7/recall,fold4/class_6/recall,fold1/class_6/f1-score,fold4/class_5/recall,fold4/class_0/precision,fold1/class_5/recall,fold0/confusion_matrix,fold4/class_7/precision,fold3/class_5/f1-score,_runtime,fold2/class_10/recall,fold4/class_8/f1-score,fold2/class_9/precision,fold4/class_8/recall,fold3/class_6/f1-score,fold0/class_0/precision,fold2/class_5/f1-score,fold0/class_6/recall,fold0/class_2/recall,fold3/class_7/precision,fold2/class_2/precision,fold0/class_7/precision,fold0/class_3/recall,fold1/class_0/recall,fold0/class_1/recall,fold2/class_1/recall,fold4/class_0/f1-score,fold2/class_7/precision,fold3/class_0/f1-score,fold0/class_5/recall,fold3/class_5/recall,fold3/class_2/precision,fold3/class_1/recall,fold3/class_3/f1-score,fold3/confusion_matrix,fold0/class_8/f1-score,fold1/class_1/precision,fold1/class_3/precision,fold2/class_0/precision,fold3/class_0/precision,fold2/class_0/f1-score
,,,,,,,,,,,,0.9993706733794839,,,,,,,,,,,,,,,,10,,,,,,,1,,,,,,,1770936735.2224314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987421383647799,,,,,,,,,,,,,,,4834.964935656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,1770936735.222552,,,,,,,,,,,,,,,,,,,,,,,,,0.9953191489361702,,,,,,,,,,,0.9970161977834612,,,,,,,,,,,,,,,,,,,,,,0.9987190435525192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4834.965072206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,1770937270.185777,,,,,,,,,,,"{'size': 559, 'log_mode': 'IMMUTABLE', 'ncols': 12, 'artifact_path': 'wandb-client-artifact://jw29e0488cvi289paolkvl5fqezaaynzwhc4bu48uzqvpy1speh0rc47ovpigavpymvtvf4axz5mck2pfxlwzguxh2ugemtrkqf080ir5rmhy3towux0auizhexcj6d3/fold1/confusion_matrix.table.json', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://y3tutnff2t98aklj93ogp00asobehwunkwb9gqwi9agssqk5hyddr9tjzt61wr996c3vfytnuiu2mu0di9lyrrpwjbgd0kal1tu7au99gn2rx03on210slhuw59hswgd:latest/fold1/confusion_matrix.table.json', 'nrows': 11, 'path': 'media/table/fold1/confusion_matrix_12_e241b148c3f733a32a3c.table.json', 'sha256': 'e241b148c3f733a32a3c6b0ad691fa9ce3adf3ad765ee5c076af3bc9c6933076'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5369.928694569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,1770937270.1872997,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998740966434165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999118643214182,,,,,,,,,,,,5369.930092251,,,,,,,,,,,,,,0.999949634852682,,,,,,,,,,,,,,,,,
,0.995840760546643,,,,,,,,,0.9976190476190476,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,1770937270.1876643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5369.930284761,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9940688018979834,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,1770937270.1879165,,,,,,,,,,,,,,,,,,,,,,,,,,0.9986013986013986,,,,,,,,,,,,,,0.9986013986013986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9986013986013986,,,,,,,,,,,,,,,,,,,,,,,,5369.93061287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.9981143934632307,,,,,,,,,,,,,,16,,,,,,,,,,,,,,1770937270.1881635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987421383647799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5369.93080028,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9974874371859297,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,,,,17,,,,,,,,,,,,,,1770937270.1883957,,,,,,,,,,,,,,,,0.998719590268886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993593850096092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5369.930994223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,1770937270.18861,,,0.9987293519695044,,,,0.9968294229549778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9949367088607595,,,,5369.931228637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,1770937270.188831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983606557377049,0.9983606557377049,,,,,,,,,,,,,,,,,,0.9983606557377049,,,,,,,5369.931409364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,1770937270.1890302,,,,,,,,,,,,0.9986111111111111,,,,,,,,,,,,0.9986111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9986111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5369.931568178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,1770937270.1891625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0.9962121212121212,,,,,,,,,,,,,0.9924528301886792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5369.931686201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,1770937270.1892886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993416721527321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9986842105263158,,,,,,,,,,,,,,,,,,5369.931817029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.9990999099909991,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,1770937270.189418,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.9995497523638001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5369.93194914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,1770937878.9951768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_type': 'table-file', 'ncols': 12, 'log_mode': 'IMMUTABLE', 'nrows': 11, 'sha256': '8ef1c0357fa3740569863d1cc1081e8149027bd7fa32b38c49070467c0da4a0a', 'size': 559, 'path': 'media/table/fold2/confusion_matrix_24_8ef1c0357fa374056986.table.json', '_latest_artifact_path': 'wandb-client-artifact://g5muuye04opldtwsne99gm1iwsfrk0ne1p98gud8vsupv92ngwy4tus57yqvzp98o0zws7amnf86pqcwuja23co1fsxvv7byjlpeu24spp7pl67ohcul2652xdwt0b4y:latest/fold2/confusion_matrix.table.json', 'artifact_path': 'wandb-client-artifact://2ci7aj9dx4uvd7su2z8c7fhpj16lwte2emo2f8if71k73qs8b89rc3p8bz3a14e8skyt9kbzyaf3k171grzbwblax9vmolm1yg6qandgs80hsqn5koue68mr3d5psg2f/fold2/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5978.738034919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.9999748034670429,,,,,,,,,25,,,,,,,,,,,,,,1770937878.996481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5978.739229268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998236509296116,,0.9998992214859792
,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,1,,,,,,1,,,,,1770937878.996858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5978.739469154,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,1770937878.9970975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987179487179487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9961636828644501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5978.739707827,,,,,,,,,,,0.9936224489795918,,,,,,,,,,,,,,,,,,,,
0.9950248756218906,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,1770937878.9973264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.9975062344139651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5978.739922323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.9987325728770595,,,,,,,29,,,,,,,,,,,,,,1770937878.997534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9974683544303797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,5978.740134854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,,,,,,,,30,,,,,,,,,,,,,,1770937878.997747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9973226238286479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5978.740323088,,,,,,,0.9986595174262735,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,1770937878.997953,,,,,,,,,,,,,,,,,,,,,,,0.9987341772151899,,,,,,,,,,,,,,,,,,,0.999366687777074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,5978.740522323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.995702005730659,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,1770937878.9981503,,,,,,,,0.9928571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5978.74072756,,,,,,,,,,,,,,,,,,0.9985632183908046,,,,,,,,,,,,,
