fold3/class_1/recall,fold0/class_6/f1-score,fold2/class_3/recall,fold1/class_9/precision,fold2/class_3/f1-score,fold2/confusion_matrix,fold3/class_7/f1-score,_timestamp,fold3/class_6/f1-score,fold0/class_3/precision,fold1/class_2/f1-score,fold2/class_4/precision,fold2/class_8/precision,fold1/class_2/precision,fold0/class_0/precision,fold0/class_9/precision,fold3/class_0/f1-score,fold1/class_5/f1-score,fold2/class_8/f1-score,fold2/class_4/recall,_runtime,fold2/class_6/precision,fold3/class_9/f1-score,fold4/confusion_matrix,fold0/class_6/recall,fold0/confusion_matrix,fold1/class_6/recall,fold1/class_3/f1-score,fold0/class_10/precision,fold1/class_4/precision,fold1/class_10/precision,fold2/class_2/precision,fold1/class_0/precision,fold4/class_1/f1-score,fold1/class_7/recall,fold3/class_3/precision,fold3/class_4/f1-score,fold3/class_8/recall,fold1/class_2/recall,fold3/class_7/recall,fold0/class_10/recall,fold2/class_6/recall,fold0/class_9/f1-score,fold4/class_8/precision,fold3/class_8/precision,fold1/class_10/f1-score,fold0/class_6/precision,fold2/class_6/f1-score,fold3/class_10/precision,fold1/class_5/precision,fold3/class_2/precision,fold4/class_6/recall,fold3/class_4/precision,fold0/class_2/precision,fold0/class_10/f1-score,fold1/class_9/f1-score,fold4/class_9/f1-score,fold3/class_1/precision,fold0/class_8/recall,fold4/class_4/f1-score,fold4/class_0/precision,fold4/class_0/recall,fold0/class_7/f1-score,fold2/class_2/f1-score,fold2/class_0/f1-score,fold1/class_5/recall,fold1/class_0/recall,fold4/class_10/f1-score,fold4/class_7/recall,fold4/class_5/precision,fold1/class_4/f1-score,fold0/class_2/f1-score,fold0/class_4/recall,fold4/class_10/precision,fold0/class_5/precision,fold4/class_2/recall,fold1/class_3/recall,fold3/class_5/recall,fold4/class_5/f1-score,fold1/class_1/recall,fold3/class_7/precision,fold1/class_7/precision,fold2/class_0/recall,fold2/class_10/f1-score,fold0/class_9/recall,fold2/class_2/recall,fold3/class_2/recall,fold2/class_9/f1-score,fold1/class_1/f1-score,fold4/class_9/precision,fold2/class_1/recall,fold0/class_8/precision,fold2/class_1/precision,fold0/class_7/precision,fold1/class_10/recall,fold1/class_6/precision,fold0/class_1/f1-score,fold4/class_3/f1-score,fold0/class_3/recall,fold2/class_5/recall,fold2/class_0/precision,fold2/class_10/precision,fold2/class_5/precision,fold0/class_5/f1-score,fold3/class_6/recall,fold4/class_8/recall,fold3/class_10/recall,fold3/class_0/precision,fold0/class_3/f1-score,fold4/class_2/f1-score,fold2/class_9/recall,fold0/class_7/recall,fold4/class_7/f1-score,fold3/class_5/precision,fold0/class_1/precision,fold0/class_0/f1-score,fold3/class_3/recall,fold4/class_4/precision,fold3/class_3/f1-score,fold1/class_8/f1-score,fold4/class_9/recall,fold2/class_3/precision,fold1/class_3/precision,fold4/class_8/f1-score,fold3/class_10/f1-score,fold4/class_1/precision,fold3/class_8/f1-score,fold2/class_10/recall,fold0/class_0/recall,fold4/class_0/f1-score,fold1/class_6/f1-score,fold3/class_5/f1-score,fold4/class_5/recall,fold1/class_0/f1-score,fold4/class_6/precision,fold4/class_3/precision,fold4/class_10/recall,fold3/class_9/recall,fold4/class_2/precision,fold1/class_1/precision,cv5/fold_metrics,fold2/class_7/recall,fold0/class_4/precision,fold1/class_8/recall,fold1/confusion_matrix,fold0/class_1/recall,fold2/class_7/f1-score,_step,fold0/class_4/f1-score,fold4/class_3/recall,fold2/class_4/f1-score,fold0/class_5/recall,fold2/class_7/precision,fold3/class_0/recall,fold4/class_1/recall,fold1/class_7/f1-score,fold0/class_2/recall,fold4/class_7/precision,fold3/class_2/f1-score,fold3/class_6/precision,fold1/class_9/recall,fold3/class_1/f1-score,fold3/confusion_matrix,fold2/class_8/recall,fold4/class_4/recall,fold3/class_4/recall,fold0/class_8/f1-score,fold2/class_5/f1-score,fold1/class_8/precision,fold2/class_1/f1-score,fold1/class_4/recall,fold2/class_9/precision,fold3/class_9/precision,fold4/class_6/f1-score
,,,,,,,1770936524.0358777,,,,,,,,0.9970414201183432,,,,,9339.494229783,,,,,,,,,,,,,,,,,,,,,,0.9965500246426812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9960591133004926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1770936524.0360732,,,,,,,,,,,,,9339.494468676,,,,,,,,0.9943449575871819,,,,,,,,,,,,0.989371678649578,,,,,,,,,,,,,,0.9918520839862112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1770937887.1464643,,,,,,,,,,,,,10702.605039891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'size': 564, '_type': 'table-file', 'ncols': 12, 'nrows': 11, 'path': 'media/table/fold1/confusion_matrix_12_3608fd7ace69aa2ed097.table.json', 'sha256': '3608fd7ace69aa2ed097768cb9da0ecb9fed548ac00c574fcd102f0d00e0aed1', '_latest_artifact_path': 'wandb-client-artifact://m7hvmynodyxf27pxpnnx7hm2826xhs3lwqaxwwh4q9xjhy3m5ih5bdcwekmn49spuc6pwbhcd5wei2fqjwffwb4vzjxeetmvvnxw9rn9wq7e3vsecon8r8yjmgfej7rk:latest/fold1/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://83mr25qi9fkbb0i3hpfhpy4gcsuaipvzh4hcw7h3tjenlkrc595e5ooq5h6aoxa90aif76a4kqgdk7fmzcp34ltqea75l50t3tuup6qzglf1pu7uld9l8s2p9cnsmw7r/fold1/confusion_matrix.table.json'}",,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1770937887.147781,,,,,,,,,,,,,10702.606322335,,,,,,,,,,,,0.9998768510821712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995998768851955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997383447999877,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1770937887.1481493,,,,,,,,,,,,,10702.606662851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99375,,,,,,,,,0.9933065595716198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9928635147190009,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1770937887.1484509,,,0.9953964194373401,,,0.9908350305498982,,,,,,,10702.606794853,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1770937887.1486156,,,,,,,,,,,,,10702.606955982,,,,,,,0.9949518127581459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9990783410138249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9908592321755028,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1770937887.1487575,,,,,,,,,,,,,10702.607051361,,,,,,,,,0.9978768577494692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962904080551139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,0.9947089947089947,,,
,,,,,,,1770937887.1488738,,,,,,,,,,0.9990732159406858,,,10702.607164776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9981481481481481,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1770937887.1489785,,,,,,,,,,,,,10702.607265897,,,,,,0.9990783410138249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9954086317722681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9972401103955841,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1770937887.149081,,,,,,,,,,,,,10702.607359913,,,,,,,,,,,,,,0.99000999000999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9929859719438878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,0.991495747873937,,,,,,,,,,,,,,,,,,
,,,,,,,1770937887.1491814,,,,,,,,,,,,,10702.607464822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9930008748906387,,,,,,,,,,,,,,,,,,,,,,,,0.9886759581881533,,,,21,,,,,,,,,,,,,,,,,,,,,0.9973637961335676,,,,,
,,,0.997997997997998,,,,1770937887.1492834,,,,,,,,,,,,,10702.607566824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,0.996003996003996,,,,,,,,,,,,,
,,,,,,,1770937887.149385,,,,,,,,,,,,,10702.607663275,,,,,,,,,,0.9940643548890972,,,,,,,,,,,,,,,0.994375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994685839324789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
