fold4/class_2/recall,fold0/confusion_matrix,fold2/class_2/f1-score,fold1/class_3/recall,fold2/class_3/recall,fold0/class_3/f1-score,fold0/class_3/precision,fold3/class_2/precision,fold2/class_2/precision,fold1/confusion_matrix,fold2/class_1/precision,fold2/class_2/recall,fold3/class_0/recall,fold0/class_0/precision,fold1/class_1/recall,fold1/class_0/f1-score,fold1/class_0/precision,fold4/class_2/precision,fold2/class_3/f1-score,fold4/class_1/recall,fold0/class_2/precision,fold2/class_1/f1-score,fold0/class_0/recall,fold2/class_3/precision,fold4/class_1/precision,fold1/class_2/precision,fold2/class_0/precision,_runtime,fold0/class_0/f1-score,fold2/class_0/recall,fold0/class_1/f1-score,fold0/class_3/recall,fold3/class_0/f1-score,fold3/class_3/f1-score,fold4/class_0/precision,fold3/class_2/f1-score,fold3/class_2/recall,fold3/class_1/f1-score,_step,fold3/class_1/recall,_timestamp,fold4/class_1/f1-score,fold4/confusion_matrix,fold2/class_0/f1-score,fold0/class_1/recall,fold3/confusion_matrix,fold1/class_1/precision,fold1/class_3/precision,fold3/class_0/precision,fold3/class_3/recall,fold4/class_0/recall,fold1/class_1/f1-score,fold0/class_2/f1-score,fold4/class_3/precision,fold0/class_2/recall,fold1/class_2/recall,fold1/class_3/f1-score,fold0/class_1/precision,fold3/class_3/precision,fold4/class_3/f1-score,fold1/class_0/recall,fold4/class_3/recall,cv5/fold_metrics,fold4/class_0/f1-score,fold4/class_2/f1-score,fold2/confusion_matrix,fold3/class_1/precision,fold1/class_2/f1-score,fold2/class_1/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,0.9968354430379747,42.40685516,,0.982839313572543,,,,,,,,,11,,1770792491.3504994,,,0.9897879025923016,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.9461538461538461,,,,,,,,,,,0.9666011787819253,,,,,,42.407011221,,,,,,,,,,,12,,1770792491.3507597,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9879518072289156
,,0.9867704280155642,,,,,,0.9768875192604006,,,0.9968553459119497,,,,,,,,,,,,,,,,42.407157111,,,,,,,,,,,13,,1770792491.3509223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.9244604316546763,,,,,,,,,,,,,,0.9500924214417745,,,,,0.9771863117870723,,,,42.407303493,,,,,,,,,,,14,,1770792491.3510652,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,57.094797235,,,,,,,,,,,15,,1770792506.038208,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://20wpj74loumdjr2vy13fjvek6jdooxxjyi1dvpf898ejvtdmr7o14aazjvhq2605r99wnk44maodrhga2ykhoaamnxiwr5v2ia45vte24uzawqeozjzmckhmovse1095:latest/fold3/confusion_matrix.table.json', 'nrows': 4, 'sha256': 'd04272c43848e571228f3934a2126fa160f4324b4b94060607e40521941b346a', 'artifact_path': 'wandb-client-artifact://120a6mzgrk49a6kpzxvgz6e77ntg7k2yw1f5sp33s3ppplokoderqrte1iwmjgzxz8kujnnw0owfe1jjhgictbkoulxdxpakpogy6plb6p7f4mnmn44fmy69hczxv34e/fold3/confusion_matrix.table.json', 'ncols': 5, 'path': 'media/table/fold3/confusion_matrix_15_d04272c43848e571228f.table.json', 'size': 142, 'log_mode': 'IMMUTABLE', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.9872611464968153,,,,,,,,,,,,,,,57.096085009,,,,,0.9904153354632588,,,,,,16,,1770792506.0396328,,,,,,,,0.9935897435897436,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,57.096317893,,,,,,,,,,0.9586466165413534,17,0.9622641509433962,1770792506.0399733,,,,,,,,,,,,,,,,,,,,,,,,,,0.9550561797752809,,
,,,,,,,0.9786259541984733,,,,,,,,,,,,,,,,,,,,57.096511368,,,,,,,,0.9861538461538462,0.993798449612403,,18,,1770792506.0402076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,57.096692609,,,,,,0.9391634980988594,,,,,19,,1770792506.0404303,,,,,,,,,0.9250936329588015,,,,,,,,,0.9536679536679536,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,69.442861184,,,,,,,,,,,20,,1770792518.3862708,,"{'ncols': 5, 'nrows': 4, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://sexp4m4n39tdzjhy2l61gy4tg2gb5dq7lr9jhx4bty8gne2rm0tiig7mpga0lmgkd1xlo96o6k0zlku5ehux70dx632qze494ij19h720eak2vrmzs1ongbrnscftq28/fold4/confusion_matrix.table.json', 'path': 'media/table/fold4/confusion_matrix_20_6264880c544a5ccb94a0.table.json', '_latest_artifact_path': 'wandb-client-artifact://c3tbup923vu131gqs9uqoe4mov6bro54gyaj0npk37ifuppyz21swn8wyi52ybmaqtnndnq3evogt23h8qmj0kfkxqwneqs47zkyuiabmo3bfmbki63adoflf5h3x2pu:latest/fold4/confusion_matrix.table.json', 'sha256': '6264880c544a5ccb94a04563a7ad59f550d952a42761a45033ac307acb550358', 'size': 144, '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,69.444684725,,,,,,,0.9703125,,,,21,,1770792518.3882177,,,,,,,,,,0.981042654028436,,,,,,,,,,,,,0.9756480754124116,,,,,
,,,,,,,,,,,,,,,,,,,0.8935361216730038,,,,,0.9791666666666666,,,69.444865345,,,,,,,,,,,22,,1770792518.3885524,0.9343936381709742,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9860681114551083,,,,,,,,,,,,,,,,,0.969558599695586,,,,,,,,,,69.445135152,,,,,,,,,,,23,,1770792518.3888104,,,,,,,,,,,,,,,,,,,,,,,,0.977743668457406,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,69.445302856,,,,,,,,,,,24,,1770792518.3890374,,,,,,,,,,,,,0.9138576779026217,,,,,,0.9224952741020794,,0.9312977099236641,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,69.694536435,,,,,,,,,,,25,,1770792518.638023,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://an78oftq386pd4wjq8iopm4ub4i9ne3vuaw67jl8qgy5g9m3zbtfqyi1g1jpac1so04ruj9t7lw8p15hdd76rl0yygorzf3310c1021b7u2sp0cx739652gg8c9i25f0/cv5/fold_metrics.table.json', '_latest_artifact_path': 'wandb-client-artifact://lcg2amrgec75wzlq36zp93366e7k03aysebch6lcgj4rl36azcho774paofcdhg3u260rl40bhfd07c456yacrppegh16d5tkvehmq328he924tbupig3077l2p5p1b7:latest/cv5/fold_metrics.table.json', 'path': 'media/table/cv5/fold_metrics_25_678b6ded25d302a84195.table.json', 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'size': 768, 'ncols': 9, 'nrows': 5, 'sha256': '678b6ded25d302a84195e86140a6553abef67361c88b4cf4d4e713f37e027ccb'}",,,,,,
