fold1/class_3/f1-score,fold0/class_0/f1-score,fold3/class_2/recall,fold2/confusion_matrix,fold1/class_3/recall,fold0/class_1/recall,fold4/class_1/recall,fold2/class_2/f1-score,fold1/class_3/precision,fold4/confusion_matrix,fold2/class_2/precision,fold3/class_0/precision,fold0/class_2/recall,fold1/class_2/precision,fold4/class_2/precision,fold2/class_2/recall,fold4/class_1/f1-score,fold1/class_2/recall,fold4/class_3/precision,fold3/class_2/precision,fold3/class_3/precision,fold4/class_1/precision,fold4/class_3/f1-score,fold4/class_2/recall,fold1/class_2/f1-score,fold4/class_3/recall,fold2/class_0/f1-score,fold0/class_3/precision,fold0/class_0/recall,fold4/class_2/f1-score,fold0/class_1/precision,fold3/confusion_matrix,fold2/class_3/f1-score,fold3/class_1/precision,fold2/class_1/f1-score,fold2/class_1/precision,_timestamp,fold1/class_1/precision,fold0/class_1/f1-score,fold0/class_0/precision,fold0/class_2/f1-score,fold1/confusion_matrix,fold4/class_0/precision,fold4/class_0/recall,fold3/class_1/f1-score,fold1/class_1/recall,fold2/class_3/recall,fold1/class_1/f1-score,fold1/class_0/precision,fold2/class_1/recall,fold0/class_3/f1-score,fold4/class_0/f1-score,fold3/class_3/recall,fold3/class_0/recall,fold2/class_0/precision,fold2/class_3/precision,fold3/class_0/f1-score,fold2/class_0/recall,_runtime,fold1/class_0/recall,fold0/confusion_matrix,_step,fold3/class_2/f1-score,fold0/class_2/precision,fold3/class_1/recall,fold3/class_3/f1-score,cv5/fold_metrics,fold0/class_3/recall,fold1/class_0/f1-score
,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987014111332352,,,,,,,,,,1770929046.465568,,,,,,,,,,,,,,,,,,0.9975786924939467,,,0.999826659733056,2995.193974773,,,11,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962011173184357,0.9977618621307073,1770929046.4660048,,,,,,,,,,,,,0.9946452476572959,,,,,,,,,2995.194381511,,,12,,,,,,,
,,,,,,,0.9987775061124694,,,0.9984287709497207,,,,,0.9991264849755416,,,,,,,,,,,,,,,,,,,,,1770929046.466367,,,,,,,,,,,,,,,,,,,,,,2995.194528132,,,13,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9947937525030036,,,,1770929046.4665372,,,,,,,,,,0.9928057553956835,,,,,,,,,0.9967897271268058,,,2995.194716115,,,14,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://svevuuzcrj03hno1t7x6hdg4q461ikhtwog3gh4d9pybyo8v141c36k85xcek1htarknx0vqb2vpepv4vj6a063qywqx9xhp78t35vunamo7tgpet26gb8r4n3gto5bd:latest/fold3/confusion_matrix.table.json', '_type': 'table-file', 'sha256': '35c0cda98b8e6a75dacae6a211447d113d2983b740eb2c03d6519480331cb0fd', 'size': 146, 'ncols': 5, 'path': 'media/table/fold3/confusion_matrix_15_35c0cda98b8e6a75daca.table.json', 'artifact_path': 'wandb-client-artifact://19cl6afe9l6ixcup6pelrctgy6pmj8bpiztmkxqa9x37gbj5yjsbl8fpn8dvwigayxtm16452qvchjneqqc0ne36rhc6jsxtwiixg13c35sqmsjw0y11xalo2sn9lieg/fold3/confusion_matrix.table.json', 'nrows': 4, 'log_mode': 'IMMUTABLE'}",,,,,1770929275.4196732,,,,,,,,,,,,,,,,,,,,,,3224.148004958,,,15,,,,,,,
,,,,,,,,,,,0.9994686503719448,,,,,,,,,,,,,,,,,,,,,,,,,1770929275.4210107,,,,,,,,,,,,,,,,,0.9984076433121019,,,0.9989378651088688,,3224.14932102,,,16,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9941593658740092,,,1770929275.4213488,,,,,,,,0.9966541196152238,,,,,,,,,,,,,,3224.149601546,,,17,,,0.9991614255765199,,,,
,,0.9993109388458226,,,,,,,,,,,,,,,,,0.9994831150930393,,,,,,,,,,,,,,,,,1770929275.4216094,,,,,,,,,,,,,,,,,,,,,,3224.14979505,,,18,0.9993970195537945,,,,,,
,,,,,,,,,,,,,,,,,,,,0.9966638865721434,,,,,,,,,,,,,,,,1770929275.421835,,,,,,,,,,,,,,,,0.9945900957136912,,,,,,3224.150007362,,,19,,,,0.9956259112684858,,,
,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://p6c04cd202npwwp6tqzk480l6mqa2h6t3hb7va4x6t8mquxiltnrnj485gj7a355ov3eud1vk7u0sq4ysbjrwfzuhw4xe1fzzrrfv6xvvc7d2c8skuxervcbzzh6l42j:latest/fold4/confusion_matrix.table.json', 'ncols': 5, 'path': 'media/table/fold4/confusion_matrix_20_90acd03e4d8c7ac7b5db.table.json', 'size': 147, '_type': 'table-file', 'nrows': 4, 'artifact_path': 'wandb-client-artifact://afqetm3cxxvodlsi7el4mhs85ycv6i0anzmbfx73qnzmcrd09qn4tv3z3na1anqe7oy493ida509jy7pe8wm40wnoucdro8fz72d469k3e723ptn8q3ge8daosy01ln9/fold4/confusion_matrix.table.json', 'sha256': '90acd03e4d8c7ac7b5db439883f9d446e645b59e52a66b899b06ac7adf07b5bb', 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,,,,,,,,,,,1770929476.4382746,,,,,,,,,,,,,,,,,,,,,,3425.166663873,,,20,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770929476.4395912,,,,,,0.9992961464015485,0.9968404423380727,,,,,,,,0.998066783831283,,,,,,,3425.167899374,,,21,,,,,,,
,,,,,,0.9932403886776511,,,,,,,,,,0.9934502429748574,,,,,0.9936601859678783,,,,,,,,,,,,,,,1770929476.4399626,,,,,,,,,,,,,,,,,,,,,,3425.168181174,,,22,,,,,,,
,,,,,,,,,,,,,,0.9984533424987111,,,,,,,,,0.9993120055039559,,,,,,0.9988824894696123,,,,,,,1770929476.440237,,,,,,,,,,,,,,,,,,,,,,3425.168492842,,,23,,,,,,,
,,,,,,,,,,,,,,,,,,0.988597972972973,,,,0.9906898011002963,,,0.9927905004240882,,,,,,,,,,,1770929476.4405136,,,,,,,,,,,,,,,,,,,,,,3425.168752858,,,24,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770929476.6947176,,,,,,,,,,,,,,,,,,,,,,3425.423100307,,,25,,,,,"{'log_mode': 'IMMUTABLE', 'size': 779, 'nrows': 5, 'artifact_path': 'wandb-client-artifact://8pxgt0kx263e592nb9nt9xhra4zb492w0o1budnipifczcs0b7531qrntg02vtngxrw4vwtznx3qk8ahoew2y62mys608c0kpflicuinai54brpvrgqn5ndqyxqnom0k/cv5/fold_metrics.table.json', 'ncols': 9, '_latest_artifact_path': 'wandb-client-artifact://ls1tmet8mk3m4pbzxqymv6tigbsim5l2ggctda0vm8gqzattm2mn5axmee647c8f5vegurf4d5k7qdlaghuwox8hahpaae4jkpwo5amrn96hnon11ygj946d5cotts3q:latest/cv5/fold_metrics.table.json', 'path': 'media/table/cv5/fold_metrics_25_96d70490fce9609f3bc8.table.json', 'sha256': '96d70490fce9609f3bc854ddcc6bbf91236dfe352363a951e1abc82c1880c348', '_type': 'table-file'}",,
