fold0/class_4/f1-score,fold2/class_9/precision,fold2/class_5/precision,fold0/class_9/precision,fold3/class_1/f1-score,fold2/class_1/precision,fold1/class_3/precision,fold0/class_7/recall,fold3/class_0/recall,fold4/class_0/f1-score,fold1/class_10/recall,fold0/class_2/precision,fold0/class_2/f1-score,fold4/class_10/recall,fold3/class_10/recall,fold3/class_6/precision,_timestamp,fold1/class_3/f1-score,fold1/class_4/recall,fold0/class_1/precision,fold3/class_2/f1-score,fold3/class_0/f1-score,fold1/class_5/f1-score,_step,fold1/class_6/recall,fold1/class_8/recall,fold3/class_7/f1-score,fold2/class_10/f1-score,fold4/class_1/recall,fold4/class_4/recall,fold1/class_3/recall,fold0/class_8/recall,fold2/class_3/f1-score,fold4/class_8/recall,fold2/class_5/recall,fold2/class_0/f1-score,fold2/class_9/f1-score,fold4/class_5/precision,fold4/confusion_matrix,fold0/class_3/f1-score,fold3/class_2/precision,fold2/class_0/recall,fold0/class_7/f1-score,fold0/class_4/precision,fold0/class_7/precision,fold2/class_5/f1-score,fold0/class_0/recall,fold0/class_4/recall,fold0/class_1/f1-score,fold4/class_8/precision,fold1/class_9/f1-score,fold2/class_2/precision,fold4/class_9/f1-score,fold1/class_7/recall,fold4/class_2/precision,fold3/class_2/recall,fold0/class_10/f1-score,fold3/class_1/precision,fold3/class_6/recall,fold4/class_0/precision,fold0/class_5/f1-score,fold2/class_1/f1-score,fold2/class_0/precision,fold3/class_7/precision,fold2/class_9/recall,fold0/class_8/f1-score,fold1/class_7/f1-score,fold4/class_7/f1-score,fold2/class_6/precision,fold4/class_2/f1-score,fold2/class_4/precision,fold1/class_1/precision,fold3/class_9/precision,fold4/class_5/recall,fold2/class_7/recall,fold3/class_4/f1-score,fold1/class_8/precision,fold1/class_0/recall,fold4/class_10/f1-score,fold4/class_7/recall,fold4/class_1/f1-score,fold4/class_2/recall,fold0/class_8/precision,fold1/class_1/f1-score,fold2/class_6/recall,fold0/class_10/recall,fold1/class_4/precision,fold3/class_10/precision,fold1/class_0/precision,fold1/class_5/recall,fold0/class_3/precision,fold2/class_6/f1-score,fold0/class_6/recall,fold3/class_4/precision,fold3/class_5/precision,fold0/class_0/f1-score,fold1/class_2/precision,fold3/class_7/recall,fold4/class_5/f1-score,fold3/class_9/f1-score,fold0/class_10/precision,fold4/class_9/recall,fold3/class_3/precision,fold0/class_9/recall,fold1/class_6/precision,fold1/class_1/recall,fold0/confusion_matrix,fold4/class_4/f1-score,fold0/class_9/f1-score,fold3/class_3/recall,fold3/class_9/recall,fold1/class_10/precision,fold0/class_5/recall,fold2/class_8/recall,fold3/class_0/precision,fold0/class_3/recall,fold3/class_3/f1-score,fold2/class_7/f1-score,fold1/class_5/precision,fold0/class_1/recall,fold1/class_9/recall,fold0/class_0/precision,fold1/class_9/precision,fold1/class_2/f1-score,fold2/class_8/precision,fold0/class_6/f1-score,fold0/class_6/precision,fold4/class_6/precision,fold1/class_0/f1-score,fold4/class_1/precision,_runtime,fold2/class_2/recall,fold4/class_3/recall,fold3/class_6/f1-score,fold1/class_2/recall,fold4/class_7/precision,fold2/confusion_matrix,fold4/class_6/recall,fold0/class_2/recall,fold2/class_2/f1-score,fold3/class_5/f1-score,fold2/class_10/recall,fold2/class_7/precision,fold2/class_8/f1-score,fold4/class_8/f1-score,fold3/confusion_matrix,fold4/class_0/recall,fold4/class_6/f1-score,fold1/class_6/f1-score,fold1/confusion_matrix,fold4/class_3/precision,fold1/class_8/f1-score,fold3/class_8/f1-score,fold2/class_10/precision,fold1/class_4/f1-score,fold4/class_4/precision,fold4/class_3/f1-score,fold2/class_4/recall,fold2/class_3/recall,fold1/class_7/precision,fold3/class_1/recall,fold3/class_8/precision,fold0/class_5/precision,fold1/class_10/f1-score,cv5/fold_metrics,fold4/class_9/precision,fold2/class_3/precision,fold3/class_10/f1-score,fold4/class_10/precision,fold3/class_5/recall,fold3/class_4/recall,fold2/class_4/f1-score,fold3/class_8/recall,fold2/class_1/recall
,,,,,,,,,,,,,,,,1770732410.7042987,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9276315789473685,,,,,,,,,,,,,,,,0.9724137931034482,,,,,,,0.9494949494949495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9194.829643391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770732410.7047014,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.972972972972973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.976271186440678,,,,,,,,,,,,,9194.829978714,,,,,,,,,,,,0.9795918367346939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770732410.7050555,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9470198675496688,,,,,,,,,,,0.959731543624161,,,,,,9194.830314681,,,,,,,,,,,,,0.9533333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.986013986013986,,,,,,,,,,,,,,,1770732410.705368,,,,,,,34,,,,,,,,,,,,,0.986013986013986,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.986013986013986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9194.830604442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770732410.7056863,,,,,,,35,,,,0.9872537659327926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9194.830947159,,,,,,,,,,,0.9838337182448037,,,,,,,,,,,,0.9906976744186047,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770732940.5541663,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9724.679677496,,,,,,,,,,,,,,,"{'_type': 'table-file', 'ncols': 12, 'artifact_path': 'wandb-client-artifact://1z7okpv4dnr5u3htids428ss37jah8h9fjxos9rt8tcgl8qz1t0kg19qd0o5s2au18t6rmq30tlpxpwp3tlk8ar24un1879rqk0n6i6lzt6bdu9r6tsrmqzh63fworjm/fold3/confusion_matrix.table.json', 'nrows': 11, 'sha256': 'ca1cc42e3ca9755519876efae97224924b22b8ea63751f525959a7df5185034b', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://zicntjjlbl2r4ahbd59gatjgkhi0536czu6myrftufgal0di6hhbi8rz2iz79vbhz4qkworm54apqhhufbxrs3t2u3vs3sphzr739k1j2buitk2k3xb31chkih36j1dy:latest/fold3/confusion_matrix.table.json', 'path': 'media/table/fold3/confusion_matrix_36_ca1cc42e3ca975551987.table.json', 'size': 560}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.9993532889874354,,,,,,,,1770732940.556252,,,,,0.9992517390139583,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9991502096765255,,,,,,,,,,,,,,,,9724.681724121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.9652996845425867,,,,,,,,,,,,1770732940.5567522,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9622641509433962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9724.682059876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9683544303797469,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770732940.5571897,,,,0.9338235294117647,,,39,,,,,,,,,,,,,,,,,0.9844961240310077,,,,,,,,,,,,,,,0.8881118881118881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9724.682555157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770732940.557722,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9668874172185431,,,,,,,0.9864864864864865,,,,,,,0.9765886287625418,,,,,,,,,,,,,,9724.683000218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770732940.558081,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9688581314878892,,,,,,,,,,,,,,,,,,0.9722222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9724.683327746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9655172413793104,,,
,,,,,,,,,,,,,,,,1770732940.5584543,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9387755102040817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9724.683800403,,,,,,,,,,0.9583333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9787234042553191,,,,
,,,,,,,,,,,,,,,0.9797297297297297,1770732940.5588593,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9119496855345912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9724.684174223,,,0.9446254071661238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770732940.55928,,,,,,,44,,,0.9477124183006536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9294871794871795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9724.684576178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770732940.5596497,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9724.684881814,,,,,,,,,,,,,,,,,,,,,,0.9791666666666666,,,,,,,,,0.986013986013986,,,,,,,,,,,0.9724137931034482,
,,,,,,,,,,,,,,,,1770732940.5599754,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9567901234567902,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9627329192546584,,,,,,,,,,,0.96875,,,,,,,,,,,,,,,,,,,,9724.685233486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.9758241758241758,,1770732940.560295,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9779735682819384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9724.68553153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.976897689768977,,,,,,
,,,,,,,,,,,,,,,,1770733474.8406634,,,,,,,48,,,,,,,,,,,,,,,"{'ncols': 12, 'sha256': '76e5e5991cae8023f03361efe0956962e08abe7fbb0a913ec73ea0146200018f', '_latest_artifact_path': 'wandb-client-artifact://76hqz1itgjtgp7c2sbb5dyskt9syqmrf1c9z1x0rtjbgn7qi9lzqwkdfrl57vepgalqqwv9wal5z974k2g11x9rrnyrbjtr0e6k1togg0ado5yope5lw5adyjo30n7c0:latest/fold4/confusion_matrix.table.json', '_type': 'table-file', 'size': 559, 'artifact_path': 'wandb-client-artifact://4exnkzhvim0ff44skm1809cyug3rroa10geqz4wi59tn6lksyd5td9z42a8lyl076b6h6pmkh2sofxjzxj1bloltrnhe0dqjhtfvw5um0r8uq03wpg5lu83u4rhclhrt/fold4/confusion_matrix.table.json', 'path': 'media/table/fold4/confusion_matrix_48_76e5e5991cae8023f033.table.json', 'log_mode': 'IMMUTABLE', 'nrows': 11}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10258.966096257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.9993440320777554,,,,,,,1770733474.8425066,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993717316185302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10258.967820937,,,,,,,,,,,,,,,,0.9993163340724316,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770733474.8428578,,,,,,,50,,,,,0.9507042253521126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9342560553633218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9183673469387755,10258.968136501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770733474.8431578,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9801324503311258,,,,,,,,,,,,,,,0.9641693811074918,,,,,,,,,,,,0.9487179487179487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10258.968401389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770733474.8434498,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10258.968701399,,0.9485294117647058,,,,,,,,,,,,,,,,,,0.9847328244274809,,,,,,0.9662921348314607,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770733474.8437202,,,,,,,53,,,,,,0.9691358024691358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9721362229102167,,,,,,,,,,,,,,,,,,,,,,,10258.96901322,,,,,,,,,,,,,,,,,,,,,,,,,0.9751552795031055,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770733474.844161,,,,,,,54,,,,,,,,,,,,,,0.9390243902439024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9871794871794872,,,,,,,,,,,,,,,,,,,,,,,,,0.9625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10258.969577869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770733474.8446445,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9798657718120806,,,10258.970009992,,,,,,,0.9733333333333334,,,,,,,,,,0.9765886287625418,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770733474.8450549,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9577464788732394,,,,,,,,,,,,0.9714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10258.970421517,,,,,0.9444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770733474.845485,,,,,,,57,,,,,,,,,,0.9931972789115646,,,,,,,,,,,,,,,,0.9668874172185431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10258.970758736,,,,,,,,,,,,,,0.9798657718120806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1770733474.845799,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9896193771626297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9930555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10258.971021262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9862068965517241,,,,,,,,
,,,,,,,,,,,,,0.9766454352441614,,,1770733474.8460917,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.983957219251337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10258.971333965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9913793103448276,,,,,
,,,,,,,,,,,,,,,,1770733475.1365151,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10259.26191452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'sha256': '7591816b95a4a34257caf2dbacc60c0c6e56a9b4e84778f3d715827ec7a5638d', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://g1y51wod5k7c1d6ehy7swx28lnssei9jpvlk6herqitowk88egu3lcqeeue587ei98tzv698c36as99dcukkqz2hp9cgckimm2hbm4e531b9hjbvxj8aq6enrjl5othd:latest/cv5/fold_metrics.table.json', 'size': 792, '_type': 'table-file', 'path': 'media/table/cv5/fold_metrics_60_7591816b95a4a34257ca.table.json', 'artifact_path': 'wandb-client-artifact://j2xrzbsv99d5q1zug5kk9m4v85uxsema47w1tf2f2ck4gu8h3m0ip2scoy5p3yevvwvp39o3ufz9mgoqrc1t6pm5vbtbmp6fqvp4xw0ojs4lpun0c1jfjb9m48ycltwn/cv5/fold_metrics.table.json', 'ncols': 9, 'nrows': 5}",,,,,,,,,
