fold4/class_5/precision,fold4/class_3/recall,fold0/class_4/precision,fold3/class_7/f1-score,fold2/class_1/precision,fold4/class_8/f1-score,fold3/class_1/f1-score,fold1/class_5/recall,fold0/class_9/f1-score,fold0/class_3/f1-score,fold1/class_10/recall,fold3/class_3/precision,fold3/class_2/recall,fold0/class_10/precision,fold2/class_8/precision,fold1/class_4/f1-score,fold0/class_3/recall,fold1/class_1/recall,fold3/class_8/precision,fold3/class_9/recall,fold1/class_10/precision,fold1/class_7/f1-score,fold2/class_0/recall,fold4/class_6/f1-score,fold4/class_1/f1-score,fold1/class_2/precision,fold0/class_9/recall,fold2/class_3/precision,fold2/class_0/precision,fold3/class_8/recall,fold2/class_6/recall,fold1/class_10/f1-score,fold1/class_3/precision,fold0/class_9/precision,fold0/class_2/recall,fold2/class_1/f1-score,fold4/class_4/f1-score,fold1/class_5/precision,fold3/class_6/precision,fold3/class_10/precision,fold2/class_7/recall,fold3/class_4/precision,fold4/class_4/recall,fold1/class_9/precision,fold1/class_6/f1-score,fold3/class_5/precision,fold1/class_8/precision,fold0/class_0/precision,fold1/class_7/recall,fold4/class_3/precision,fold2/class_8/f1-score,fold2/class_7/f1-score,fold4/class_1/precision,fold1/class_5/f1-score,fold4/class_5/f1-score,fold2/class_2/recall,fold3/class_4/recall,fold4/class_3/f1-score,fold0/class_6/precision,fold4/class_1/recall,fold4/class_0/precision,fold0/class_5/f1-score,fold1/class_2/f1-score,fold0/class_4/recall,fold2/class_1/recall,fold1/class_3/f1-score,fold4/class_6/recall,fold2/class_0/f1-score,fold1/class_6/precision,fold1/class_2/recall,fold3/class_10/recall,fold2/class_3/recall,fold4/class_2/recall,fold0/class_0/f1-score,fold3/class_2/f1-score,fold1/confusion_matrix,fold2/class_9/recall,fold1/class_0/precision,fold1/class_0/f1-score,fold3/class_1/precision,fold0/class_8/recall,fold2/class_5/precision,fold4/confusion_matrix,fold3/class_7/recall,fold2/class_4/precision,fold3/class_0/recall,fold4/class_10/recall,fold3/class_2/precision,fold4/class_9/f1-score,fold0/class_4/f1-score,fold2/class_10/recall,fold3/class_8/f1-score,fold2/class_8/recall,fold2/class_4/f1-score,fold1/class_7/precision,fold2/class_10/precision,fold3/class_3/recall,fold2/class_2/precision,fold4/class_7/f1-score,fold4/class_9/precision,fold0/class_6/f1-score,fold0/class_7/f1-score,fold0/class_1/precision,fold0/class_2/f1-score,fold0/class_8/f1-score,fold1/class_8/f1-score,fold2/class_4/recall,fold2/class_5/f1-score,fold3/class_10/f1-score,fold0/class_7/recall,fold4/class_10/precision,fold3/class_6/recall,fold4/class_10/f1-score,fold0/class_1/recall,fold2/class_10/f1-score,fold3/confusion_matrix,fold4/class_8/recall,fold2/class_7/precision,fold0/class_5/recall,fold3/class_0/f1-score,fold2/class_9/precision,fold1/class_9/recall,fold3/class_6/f1-score,fold4/class_2/precision,_runtime,fold4/class_4/precision,fold4/class_8/precision,fold1/class_1/f1-score,fold4/class_7/precision,fold1/class_3/recall,fold1/class_4/recall,fold4/class_9/recall,fold2/class_2/f1-score,fold3/class_3/f1-score,fold2/class_3/f1-score,fold0/class_3/precision,fold1/class_1/precision,_timestamp,fold3/class_1/recall,fold4/class_5/recall,fold0/class_1/f1-score,fold0/class_2/precision,fold4/class_6/precision,fold0/class_0/recall,fold4/class_2/f1-score,fold0/class_8/precision,fold3/class_5/f1-score,cv5/fold_metrics,fold0/class_10/f1-score,_step,fold3/class_0/precision,fold1/class_9/f1-score,fold4/class_0/recall,fold2/class_5/recall,fold0/confusion_matrix,fold1/class_0/recall,fold1/class_8/recall,fold0/class_6/recall,fold1/class_6/recall,fold0/class_10/recall,fold0/class_5/precision,fold1/class_4/precision,fold3/class_5/recall,fold3/class_9/f1-score,fold2/class_9/f1-score,fold3/class_7/precision,fold2/class_6/precision,fold2/class_6/f1-score,fold4/class_0/f1-score,fold3/class_9/precision,fold4/class_7/recall,fold2/confusion_matrix,fold3/class_4/f1-score,fold0/class_7/precision
,,,,,,,,0.9970267591674926,,,,,,,,,,,,,,,,,,0.998015873015873,,,,,,,0.996039603960396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9865.62100489,,,,,,,,,,,,,1770751724.0195103,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9992553983618764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9865.621544955,,,,,,,,,,,,,1770751724.0201235,,,,,,,,,,,0.9955489614243324,11,,,,,,,,,,0.991869918699187,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_type': 'table-file', 'nrows': 11, 'log_mode': 'IMMUTABLE', 'ncols': 12, 'path': 'media/table/fold1/confusion_matrix_12_6bd54c11fdb17b675a51.table.json', 'sha256': '6bd54c11fdb17b675a51ec6dc660f1db40beee98943d2cfaedc142f66bec0c6a', 'artifact_path': 'wandb-client-artifact://uc58vt4ak0cy4tewaxitxpr28piueqvw98t2cysjg408dpsqqc75ok2a4fvszvpfb4wszj4n6l224p9tcfx3sw1cbswuffhn7eqybdtvezz4evjqmpz13podk2w1s5ko/fold1/confusion_matrix.table.json', 'size': 561, '_latest_artifact_path': 'wandb-client-artifact://k6d2p0sfmhufaq6im0hxq7a66amr7nru15ac5a84utzqqtivicmogwmna3kqtooxlo2oru0zjhclxmwsa970lyff9gb72crggn4d7mumo4t1w5oxwwyz69f7iu6wc2nk:latest/fold1/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10496.653538633,,,,,,,,,,,,,1770752355.0518217,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989987004409979,0.9990944827365797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10496.6558289,,,,,,,,,,,,,1770752355.0541568,,,,,,,,,,,,13,,,,,,0.9991902834008097,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.975669099756691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10496.656459814,,,0.9876847290640394,,,,,,,,,1,1770752355.0548818,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.9787234042553191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9825242718446602,,,,,,,0.98635477582846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10496.657040689,,,,,,,,,,,,,1770752355.0555305,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9841584158415841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9880715705765407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10496.657663897,,,,,0.9920159680638723,,,,,,,,1770752355.0561569,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.9751243781094527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10496.658226936,,,,,,0.98989898989899,,,,,,,1770752355.0567255,,,,,,,,,,,,17,,,,,,,,,,,,0.9607843137254902,,,,,,,,,,,,
,,,,,,,0.9620253164556962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991304347826087,,,,,,,,,,,,,,,,0.9764453961456103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10496.658874282,,,,,,,,,,,,,1770752355.0573838,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9890590809628009,,,,,,,,,,,,,,,,,,,,,,,,0.9868995633187773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10496.659553149,,,,,,,,,,,,,1770752355.0579684,,,,,,,,,,,,19,,,,,,,,,0.9912280701754386,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.9777777777777777,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9743589743589743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9812206572769953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10496.660194191,,,,,,,,,,,,,1770752355.0586958,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9977011494252873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9942726231386025,,,,,,,,,,,,,,,,,,,10496.66104863,,,,,,,,,,,,,1770752355.0595481,,,,,,,,,,,,21,,,,,,,0.9908675799086758,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9956616052060737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9935064935064936,,,10496.661616755,,,,,,,,,,,,,1770752355.060134,,,,,,,,,,,,22,,0.9945828819068255,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.9932584269662922,,,,,,,,,,0.9932584269662922,,,,,,,,,,,0.9932584269662922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10496.662339343,,,,,,,,,,,,,1770752355.0608912,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11155.371523784,,,,,,,,,,,,,1770753013.7698848,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,"{'size': 559, 'ncols': 12, 'nrows': 11, 'path': 'media/table/fold2/confusion_matrix_24_891fcb3980e9ac289532.table.json', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://ogits2a8xf744skldhsti36ego10g9gpf73czzkzjfyhu3o3h9coezbdyl1elt60r5n8debus44kizvw6cl5vl6a7y6sy11g6n3ntdbfn0bp2uvft97wpsk8hno5rix6:latest/fold2/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://4bqjrbycz4e0j4hn57b9z0fspckb3l0midzscahktnm64l4k1s7ahfr18t5sna1vdicjj3o7zvv4uow9lxm5d84z2slhjlzohsr88pk8lh8zercpnmha3ote0g0bxzgm/fold2/confusion_matrix.table.json', 'sha256': '891fcb3980e9ac2895324fb945344bd649b8c60285415a6e7328a7149e6c6e41'}",,
,,,,,,,,,,,,,,,,,,,,,,0.9994883165614873,,,,,,0.9990836050550903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992859198311786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11155.37335639,,,,,,,,,,,,,1770753013.7718444,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.9869848156182213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9891304347826086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9912854030501089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11155.373877763,,,,,,,,,,,,,1770753013.772439,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9850427350427351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9913978494623656,,,,,,,,,,,,,,,,,,,,,,,,,,,11155.379173807,,,,,,,,0.9882100750267953,,,,,1770753013.7729394,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9958847736625515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9777777777777777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11155.379248284,,,,,,,,,,0.9867482161060143,,,1770753013.7736418,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9914712153518124,,,,,,,,,0.9862142099681867,,,,,,,,,,,,,0.9810126582278481,,,,,,,,,,,,,,,,,,11155.379285134,,,,,,,,,,,,,1770753013.77425,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9736842105263158,,,,,,,,,,,,,,,,,,,,,,,,,,0.9819059107358263,,,,,,,,,,,,,,,,,11155.379322756,,,,,,,,,,,,,1770753013.774719,,,,,,,,,,,,30,,,,0.9902676399026764,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9747474747474747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11155.379358985,,,,,,,,,,,,,1770753013.7751837,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,0.9922879177377892,0.9834394904458599,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993006993006993,,,,,,,,,,,0.9953271028037384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9976580796252927,,,,,,,11155.379398189,,,,,,,,,,,,,1770753013.7756279,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.9934497816593887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9891304347826086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9848484848484849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11155.379431746,,,,,,,,,,,,,1770753013.776056,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9974025974025974,,,,11155.379466333,,,,,,,,,,,,,1770753013.7764738,,,,,,,,,,,,34,,,,,,,,,,,,,,,0.9986996098829649,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99302649930265,,,,,0.9923344947735192,,,,,,,,,,,,,,,,,,,0.9926803764377832,,,,,,,,,,11155.379573369,,,,,,,,,,,,,1770753013.7768652,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'size': 560, 'nrows': 11, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://bgr11bcn4trqe76lrw42gtc61gds35afkcmi5ziullk9guil6y5t0mdj8x2jak7vr53rxyxos4sua9riiguxi7hqpntyhcfc8ggt0zowvcirvqowmm623rqjq1sps0z2/fold3/confusion_matrix.table.json', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://jh8y7xfxmh25ekbvpla03vpevdxbjzit1xapumn5h3y7f2mx088x23kmw4h4m8ecymk01zmf7424b2fzg72aiupig9atoizbcwejinzj5v87ro5r7ce8feubvfest8zm:latest/fold3/confusion_matrix.table.json', 'sha256': 'bb22d6423612ae237c0ed7101672360524db42133565cf7223dbb4e3d86aa3b8', 'path': 'media/table/fold3/confusion_matrix_36_bb22d6423612ae237c0e.table.json', 'ncols': 12}",,,,,,,,,11755.599369532,,,,,,,,,,,,,1770753613.9978461,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995096367047587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993391882673943,,,,,11755.601011337,,,,,,,,,,,,,1770753613.9995754,,,,,,,,,,,,37,0.9991687979539642,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.9854469854469855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.977319587628866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11755.601337033,,,,,,,,,,,,,1770753613.9999971,0.9937106918238994,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,
