fold2/class_1/f1-score,fold1/class_3/precision,fold4/class_2/recall,fold3/class_1/f1-score,fold4/class_2/precision,fold2/class_3/recall,fold3/class_2/precision,fold0/class_2/f1-score,fold4/class_3/precision,fold2/class_0/recall,cv5/fold_metrics,fold0/class_2/precision,fold1/class_0/precision,fold2/class_2/precision,fold0/confusion_matrix,fold3/class_0/precision,fold2/class_0/precision,fold3/class_3/f1-score,fold4/class_0/precision,fold4/class_3/f1-score,fold3/class_3/recall,fold4/class_0/f1-score,fold3/class_0/f1-score,fold4/class_1/precision,fold4/class_0/recall,fold1/class_2/recall,fold0/class_1/f1-score,fold2/class_0/f1-score,fold1/confusion_matrix,fold1/class_2/precision,fold4/class_1/f1-score,fold3/class_2/f1-score,fold3/class_2/recall,fold2/class_1/recall,fold1/class_0/f1-score,fold0/class_2/recall,fold1/class_1/precision,fold2/class_3/precision,fold2/class_3/f1-score,fold3/class_1/recall,fold3/class_1/precision,fold0/class_0/f1-score,fold0/class_0/precision,fold2/class_2/f1-score,fold0/class_0/recall,_step,fold3/class_3/precision,fold0/class_3/f1-score,fold2/confusion_matrix,fold1/class_0/recall,fold2/class_1/precision,fold4/confusion_matrix,_timestamp,fold0/class_3/precision,fold1/class_1/recall,fold0/class_1/recall,fold1/class_3/f1-score,fold3/class_0/recall,fold1/class_3/recall,fold1/class_2/f1-score,fold4/class_2/f1-score,_runtime,fold2/class_2/recall,fold0/class_1/precision,fold3/confusion_matrix,fold4/class_1/recall,fold4/class_3/recall,fold0/class_3/recall,fold1/class_1/f1-score
,,,,,,,,,0.9996879875195008,,,,,,,0.9987531172069826,,,,,,,,,,,0.9992203336971776,,,,,,,,,,,,,,,,,,11,,,,,,,1770732828.8038754,,,,,,,,,8160.341542327,,,,,,,
0.9935639581657281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9919678714859438,,,,,,,,,,,,12,,,,,0.9951651893634166,,1770732828.8042982,,,,,,,,,8160.34194164,,,,,,,
,,,,,,,,,,,,,0.999056010069226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987417426863794,,13,,,,,,,1770732828.804706,,,,,,,,,8160.342419425,0.9984276729559748,,,,,,
,,,,,0.9971223021582734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9949748743718593,0.9960474308300395,,,,,,,14,,,,,,,1770732828.8050697,,,,,,,,,8160.342703024,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,1770733613.118805,,,,,,,,,8944.656568892,,,"{'artifact_path': 'wandb-client-artifact://wvxzohi0gzw7lgw32ln41tfhthk84l05x3njrfznxt01hxoy2cqb963x58maxnxps5c6aco9bxyy1lmnxlzy47bk6vy75tjxrgd3vmjpm5tosx1c0ypztd29q2vmtfu9/fold3/confusion_matrix.table.json', 'sha256': '06c6071ffb2f53512691257d10bac61b867bc5cf6ff5029b66b7e172a7575243', 'ncols': 5, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://01mampitd88d65vgo30xq3ya2rrlj7dw8w2e1p09wrgagmo1lxy1c1pyj4a7cy2semv39xxiootk8owxjebnscmfou7ontnxrrfqjs9kw8zpl3vm6iwy50mfjy6znjj8:latest/fold3/confusion_matrix.table.json', 'nrows': 4, '_type': 'table-file', 'path': 'media/table/fold3/confusion_matrix_15_06c6071ffb2f53512691.table.json', 'size': 145}",,,,
,,,,,,,,,,,,,,,0.9987244897959183,,,,,,,0.9980879541108987,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,1770733613.1207213,,,,,0.9974522292993631,,,,8944.658405488,,,,,,,
,,,0.9969788519637462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962264150943396,0.9977324263038548,,,,,17,,,,,,,1770733613.121108,,,,,,,,,8944.658786959,,,,,,,
,,,,,,0.999379074821484,,,,,,,,,,,,,,,,,,,,,,,,,0.9987589202606267,0.998139534883721,,,,,,,,,,,,,18,,,,,,,1770733613.1214492,,,,,,,,,8944.659069336,,,,,,,
,,,,,,,,,,,,,,,,,0.9917910447761195,,,0.9955056179775281,,,,,,,,,,,,,,,,,,,,,,,,,19,0.9881040892193309,,,,,,1770733613.1217372,,,,,,,,,8944.65941829,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,"{'path': 'media/table/fold4/confusion_matrix_20_53d0c027969afcfac8c0.table.json', 'sha256': '53d0c027969afcfac8c0c31f306da8f42768b55d850f3feacd62634b291e57c1', 'size': 145, 'nrows': 4, '_latest_artifact_path': 'wandb-client-artifact://6eab5fv8qeeoai0jhm7jjjx476uyjds5wtaz4w6u6oq3m132shy7fdekt67dbal3l5bkmtcbmafunmt5oilar47b27xrq1uagjnc8bahm55m0cxl6eqy2zohqxexsy05:latest/fold4/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 5, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://3y4wfxuspwh1h95atrx5hjmk7695uh6epz0ajrsez8p1d9fgdfv6nilmll58i5j8marqzl3jjmzspjbmcuuas9kkvzhnfuax8ly2q42h925eh8p8ca48iknw8o9nzbu8/fold4/confusion_matrix.table.json'}",1770734228.4149108,,,,,,,,,9559.952865023,,,,,,,
,,,,,,,,,,,,,,,,,,0.9974715549936789,,,0.9973139516511297,,,0.9971563981042654,,,,,,,,,,,,,,,,,,,,,21,,,,,,,1770734228.4167416,,,,,,,,,9559.954425393,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.9900990099009901,,,,,,,0.989345509893455,,,,,,,,,,,,,,,22,,,,,,,1770734228.4171228,,,,,,,,,9559.954894346,,,,0.9885931558935361,,,
,,0.9987616099071207,,0.9959864155603582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,1770734228.4175239,,,,,,,,0.9973720822383676,9559.955188042,,,,,,,
,,,,,,,,0.9915644171779141,,,,,,,,,,,0.9892884468247896,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,1770734228.417883,,,,,,,,,9559.955540224,,,,,0.9870229007633587,,
,,,,,,,,,,"{'size': 774, 'artifact_path': 'wandb-client-artifact://cs7kgzcimc7ctx0blmd54wkqkku8kcdbm1ou915ldruwxdz4rhplrseu77dznd72do8fmblq1oi16a2ofm9yvx5qce2b2uafwpmtehaj4ku83s8j42jst1hp7qlgh6kq/cv5/fold_metrics.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://69a5a2wgy70bixd05s79rpjm29ze0n7ybpjjpdnqhyf4iyhan3nvwtgz7u4ohmvnvql5ggmb20n06gutquz0avoqih1zgmtmrrxjspsoy2ohu47ewj2dj62bqkf2o3cj:latest/cv5/fold_metrics.table.json', 'nrows': 5, '_type': 'table-file', 'ncols': 9, 'path': 'media/table/cv5/fold_metrics_25_7b136078fad078903c50.table.json', 'sha256': '7b136078fad078903c509087ab8a23c5c9b77789b855dcdb48d94801b3332514'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,1770734228.832395,,,,,,,,,9560.370264013,,,,,,,
