fold2/class_2/precision,fold3/class_3/precision,fold0/class_8/recall,fold0/class_5/precision,fold1/class_10/recall,fold4/class_10/recall,fold1/class_1/recall,fold4/class_1/recall,fold1/class_7/recall,fold2/class_2/recall,fold1/class_4/recall,fold1/class_4/precision,fold0/class_1/recall,fold4/class_2/f1-score,fold0/class_9/f1-score,fold1/class_0/recall,fold3/class_6/f1-score,fold4/class_10/precision,fold1/class_6/f1-score,cv5/fold_metrics,fold1/class_3/f1-score,fold4/class_6/precision,fold3/class_9/recall,fold3/class_9/f1-score,fold4/class_9/f1-score,fold2/class_6/recall,fold4/class_8/precision,fold1/class_5/precision,fold4/class_2/precision,_timestamp,fold4/class_7/f1-score,fold2/class_1/f1-score,fold1/class_2/precision,fold0/class_8/precision,fold2/class_10/f1-score,fold3/class_6/precision,fold2/class_7/f1-score,_step,fold0/class_3/recall,fold3/class_6/recall,fold0/class_0/recall,fold0/class_0/f1-score,fold4/class_9/precision,fold0/class_7/f1-score,fold1/class_0/f1-score,fold1/class_2/f1-score,fold3/class_5/precision,fold0/class_9/precision,fold4/class_1/f1-score,fold3/class_4/precision,fold4/class_1/precision,fold0/class_10/f1-score,fold1/class_5/recall,fold1/class_7/f1-score,fold2/class_3/precision,fold2/class_9/f1-score,fold3/class_0/precision,fold3/class_8/f1-score,fold4/class_5/f1-score,fold0/class_10/precision,fold0/class_2/f1-score,fold2/class_8/f1-score,fold1/confusion_matrix,fold0/class_2/recall,fold4/class_3/recall,fold1/class_3/recall,fold2/class_8/precision,fold2/class_10/recall,fold2/class_4/precision,fold1/class_3/precision,fold1/class_2/recall,fold4/class_6/f1-score,fold1/class_8/f1-score,fold3/class_7/f1-score,fold3/class_1/recall,fold4/class_3/f1-score,fold0/class_4/precision,fold4/class_9/recall,fold2/class_10/precision,fold1/class_8/recall,fold1/class_5/f1-score,fold2/class_0/f1-score,fold2/class_5/precision,fold3/class_4/f1-score,fold4/class_8/recall,fold3/class_1/precision,fold0/class_7/precision,fold2/class_4/f1-score,fold3/class_10/f1-score,fold3/class_10/recall,fold0/class_1/f1-score,fold0/class_3/f1-score,fold4/class_7/recall,fold2/class_6/f1-score,fold3/confusion_matrix,fold3/class_5/f1-score,fold3/class_8/recall,fold4/class_8/f1-score,fold0/class_5/f1-score,fold0/class_6/recall,fold0/class_5/recall,fold4/class_10/f1-score,fold4/class_5/recall,fold1/class_6/precision,fold2/class_7/precision,fold1/class_9/recall,fold2/class_1/recall,fold4/class_3/precision,fold2/class_0/precision,fold3/class_9/precision,fold2/confusion_matrix,fold1/class_0/precision,fold3/class_8/precision,fold4/class_2/recall,fold4/class_4/recall,fold1/class_9/precision,fold1/class_9/f1-score,fold3/class_0/f1-score,fold0/class_0/precision,fold0/class_3/precision,fold1/class_1/precision,fold1/class_4/f1-score,fold4/class_0/precision,fold0/class_4/f1-score,fold2/class_3/recall,fold4/class_6/recall,fold3/class_2/f1-score,fold3/class_4/recall,fold2/class_5/recall,fold3/class_10/precision,fold0/class_8/f1-score,fold4/class_0/recall,_runtime,fold2/class_3/f1-score,fold0/class_6/precision,fold4/class_5/precision,fold2/class_8/recall,fold2/class_5/f1-score,fold3/class_2/precision,fold2/class_7/recall,fold0/class_10/recall,fold1/class_10/f1-score,fold4/class_0/f1-score,fold1/class_1/f1-score,fold4/class_4/precision,fold2/class_9/recall,fold0/class_6/f1-score,fold0/class_1/precision,fold0/class_7/recall,fold0/class_2/precision,fold0/confusion_matrix,fold2/class_9/precision,fold1/class_6/recall,fold2/class_6/precision,fold0/class_9/recall,fold3/class_7/precision,fold2/class_2/f1-score,fold4/class_4/f1-score,fold3/class_2/recall,fold2/class_4/recall,fold2/class_0/recall,fold4/class_7/precision,fold1/class_7/precision,fold3/class_7/recall,fold3/class_1/f1-score,fold2/class_1/precision,fold1/class_8/precision,fold3/class_3/recall,fold3/class_5/recall,fold0/class_4/recall,fold3/class_3/f1-score,fold1/class_10/precision,fold4/confusion_matrix,fold3/class_0/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727584.5381327,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9935483870967742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4324.089502822,,,,,0.9967637540453075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.9724137931034482,,,,1770727584.5385246,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.986013986013986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.090027044,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727584.5389497,,,,,,,0.9931972789115646,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.090336431,,,,,,,0.9864864864864865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727584.5393124,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,0.9770491803278688,,,,,0.9675324675324676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.09068777,,,,0.9867549668874173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727584.53963,,,,,,,,34,,,,,,,,,,,,,,,,,,0.9929577464788732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.091022664,,,,,,,,,,,,,0.986013986013986,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727584.5399792,,,,,0.9965317919075144,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9953810623556582,,,,,,,,,,,0.9976851851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.091355338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727781.6201842,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'size': 558, '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://e1y9lm98c5s3uq66viizx3ikx25cx3wcwuunnc0qm1vuvxa675emxelpxutnfz1x5a7bm395k68a6wbyt3loib1ce93dthdni4cvxz1nb3xll21vi990yoe57ur2elma:latest/fold3/confusion_matrix.table.json', 'sha256': '6ccd90359dec9391c74c2fbd9f927ed86f6d4d3d3e982aaee1d27b909832d1ef', 'nrows': 11, 'path': 'media/table/fold3/confusion_matrix_36_6ccd90359dec9391c74c.table.json', 'artifact_path': 'wandb-client-artifact://rohsxflekgsrd3fsstitkggr3cs9891kzkcojw7807obdy5qd3fvd26rwy4fgicpotmc9uwuqj1m6swn2jo57oqqc4vohpeviduj547z588sem21vjg0f3ddnqzfixo2/fold3/confusion_matrix.table.json', 'ncols': 12}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4521.171843874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727781.6218293,,,,,,,,37,,,,,,,,,,,,,,,,,,,0.999944570700072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999722845819129,,,,,,,,,,,,,,,4521.173268006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727781.622317,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4521.173835159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727781.6227283,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9825783972125436,,,,,,4521.174171335,,,,,,0.9791666666666666,,,,,,,,,,,,,,,,,,,,0.986013986013986,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727781.623129,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4521.174559095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727781.623511,,,,,,,,41,,,,,,,,,,,,0.9797297297297297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9897610921501706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4521.174957319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727781.6238828,,,,,,,,42,,,,,,,,,0.9928571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9893238434163701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4521.175307239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9858156028368794,,,,,
,,,,,,,,,,,,,,,,0.9968454258675079,,,,,,,,,,,,,1770727781.6242447,,,,,,1,,43,,0.9937106918238994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4521.17567098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727781.624588,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9864864864864865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4521.175963042,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0.9733333333333334,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727781.6249084,,,,,,,,45,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4521.176276515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.99375,0.9968652037617555,,,,,,1770727781.6252372,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4521.176589433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727781.6255426,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9956043956043956,0.9956043956043956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9956043956043956,,,4521.176915193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770728075.5150583,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4815.066654779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://es4lj1qahjd4oathjfkc1d98ert1qqsh8qb9dopbnj3qccgo7razwmbe5rxpr004rc7esg52eh3hlzljr9kglqzqfdjqx9o9yba6u1sk54qi3xgwmbms8n1o0vm6m7sj/fold4/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://hvfqx5ow890i4yqoap7jovxuyvx0skat2k22ia2897l0mi05b3wcqxwcw63jcnq1udlgk5gg5qu05lvd5im1vdxhfxmbbu6sxyv09jdwann5v7od4jode1vdxe1k6jxa:latest/fold4/confusion_matrix.table.json', 'nrows': 11, 'path': 'media/table/fold4/confusion_matrix_48_294d80275de737418a83.table.json', '_type': 'table-file', 'sha256': '294d80275de737418a8330db492d9f6a6ae62342a2bdb8ca12abd6e78890669d', 'size': 558, 'ncols': 12, 'log_mode': 'IMMUTABLE'}",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770728075.516439,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999815228839083,,,,,,,,,1,4815.067894821,,,,,,,,,,0.9999907613566024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.9929577464788732,,,,,,,,,,,,,,,,,,,,,,1770728075.5168014,,,,,,,,50,,,,,,,,,,,0.9964664310954063,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4815.068416926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1770728075.5171645,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4815.068536488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770728075.5175118,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4815.068927193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770728075.517868,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4815.069218286,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770728075.518192,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4815.069575002,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1770728075.5185034,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4815.069894497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770728075.5188227,1,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4815.070202629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1770728075.5191422,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4815.07051951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1770728075.519455,,,,,,,,58,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4815.070846839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1770728075.5197713,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4815.071148978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'size': 768, 'ncols': 9, 'sha256': '385d7f39ba725fc6a760236e25b0320e3a195fc9d5a9c1ab1599b55b57282051', 'artifact_path': 'wandb-client-artifact://sk033pwh2gqnlfgd1vnevnmk6g6i0v3m1cdalpx44llzrqpg351w07qqa66f1smsw72vim0df1j4rs7cdm7611u1wfqyxppqphpef9add94bnsbjka32pp87r1ms97p4/cv5/fold_metrics.table.json', '_latest_artifact_path': 'wandb-client-artifact://3d35dzx8mb6xq3vdtxnxw9u69pvb85a4lpzarzbne7k3mfg28w76xzx5h38au3960wjsk0he2tqktvu574vu5qin3ma7cacwfb56fpf2daa95iqwlxh9dzg1b5u10r78:latest/cv5/fold_metrics.table.json', '_type': 'table-file', 'path': 'media/table/cv5/fold_metrics_60_385d7f39ba725fc6a760.table.json', 'nrows': 5}",,,,,,,,,,1770728075.8099294,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4815.361483655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
