fold1/class_3/f1-score,fold0/class_1/recall,fold1/class_2/precision,fold2/class_1/f1-score,fold1/class_3/recall,fold2/confusion_matrix,cv5/fold_metrics,fold0/class_2/f1-score,fold4/class_0/recall,fold3/class_0/recall,fold4/class_1/f1-score,fold4/class_3/precision,fold3/class_2/precision,fold2/class_2/f1-score,fold4/class_2/precision,fold0/class_0/precision,fold4/class_1/precision,fold0/class_3/precision,fold4/class_0/precision,fold1/class_2/recall,fold1/class_1/recall,fold4/class_3/f1-score,fold2/class_3/precision,fold3/class_1/precision,fold0/class_2/recall,_step,fold0/class_0/f1-score,fold3/class_3/precision,fold4/class_2/recall,_runtime,fold4/class_0/f1-score,fold0/class_3/f1-score,fold2/class_0/precision,fold2/class_0/recall,fold3/class_1/f1-score,fold1/class_3/precision,fold2/class_2/recall,fold3/confusion_matrix,fold3/class_0/precision,fold4/confusion_matrix,fold0/class_1/precision,fold1/confusion_matrix,fold3/class_3/f1-score,fold2/class_2/precision,fold1/class_0/precision,fold4/class_3/recall,fold2/class_3/recall,fold0/class_1/f1-score,fold1/class_0/recall,fold3/class_1/recall,fold1/class_1/precision,fold2/class_1/recall,fold1/class_1/f1-score,fold3/class_3/recall,fold0/class_3/recall,fold3/class_0/f1-score,fold0/class_0/recall,fold3/class_2/f1-score,fold4/class_1/recall,fold1/class_2/f1-score,fold2/class_0/f1-score,fold2/class_3/f1-score,fold4/class_2/f1-score,fold1/class_0/f1-score,_timestamp,fold0/confusion_matrix,fold2/class_1/precision,fold3/class_2/recall,fold0/class_2/precision
,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,272.912706614,,,0.9948081264108353,0.9821707154000445,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9884490299428059,,,,1770721782.58545,,,,
,,,0.9815986198964922,,,,,,,,,,,,,,,,,,,,,,12,,,,272.913031017,,,,,,,,,,,,,,,,,,,,,,0.9793459552495697,,,,,,,,,,,,,1770721782.585795,,0.9838616714697407,,
,,,,,,,,,,,,,0.9797678275290216,,,,,,,,,,,,13,,,,272.913222932,,,,,,,0.9952830188679245,,,,,,,0.9647289353363815,,,,,,,,,,,,,,,,,,,,,1770721782.5860615,,,,
,,,,,,,,,,,,,,,,,,,,,,0.9925133689839573,,,14,,,,272.913717118,,,,,,,,,,,,,,,,,0.9537512846865365,,,,,,,,,,,,,,,0.9727463312368972,,,1770721782.5864522,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,378.618689087,,,,,,,,"{'size': 153, 'artifact_path': 'wandb-client-artifact://eo9rj4lnf3jergai6o7qe3rhq6rec7om6bi8wkg1qjb1xx2appevrxsw9t63gxqjddl88jr17ncwkkdk4npof9n7zrf7b1emuxkbxruzbi2nc40mo19olocvokqs0tpf/fold3/confusion_matrix.table.json', 'path': 'media/table/fold3/confusion_matrix_15_ef1a814b1cae898b64e0.table.json', '_type': 'table-file', 'ncols': 5, 'nrows': 4, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://57e3csspxyu8yfyj1pdl2frqchi4tqoe66jkl2zt0kfavgf93bx9zwl5ku1icgutlevvw3xf96wmgqey6ce16nifymc3deo4burynuu34h7faif52qtp2w7i2z4zq470:latest/fold3/confusion_matrix.table.json', 'sha256': 'ef1a814b1cae898b64e0fec4f1f88abf1c84261678a1070701735f203e12d844'}",,,,,,,,,,,,,,,,,,,,,,,,,,,1770721888.291187,,,,
,,,,,,,,,0.9984076433121019,,,,,,,,,,,,,,,,16,,,,378.620556589,,,,,,,,,0.9149468417761101,,,,,,,,,,,,,,,,,0.9548569563798542,,,,,,,,,1770721888.2931175,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.9970041941282205,,17,,,,378.620943605,,,,,0.9443813847900113,,,,,,,,,,,,,,,0.8970350404312668,,,,,,,,,,,,,,,1770721888.2936354,,,,
,,,,,,,,,,,,0.9843154828590635,,,,,,,,,,,,,18,,,,378.621445544,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9786143907329027,,,,,,,1770721888.2941647,,,0.9729789590254706,
,,,,,,,,,,,,,,,,,,,,,,,,,19,,0.9988276670574443,,378.621798321,,,,,,,,,,,,,0.9532867132867133,,,,,,,,,,,0.9117174959871589,,,,,,,,,,,1770721888.2946465,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,483.728839633,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://byqoa5c38i2yod4p57bpv2bgigwcojpo3r93nr1enev9bfs6c2en2snwvqamg3mcst94mz2sma8mof8t9q72rkrowtmfyxu9lwpqf7jpq9qxkj3b3b7fl9xgwolb2a5u:latest/fold4/confusion_matrix.table.json', 'size': 152, 'ncols': 5, 'artifact_path': 'wandb-client-artifact://rr78kkojfkblql7mcs3vyq7eyx5e0mk9rmhtbtrjlr63l7y4y3tecckdqn9t27sbo2ph6rt3mg3bcodqpihk1mnyyfdblhmh3x8cxp0klhgkacncbr4xqa2ea3k5n4vq/fold4/confusion_matrix.table.json', 'sha256': '8a5e2a32b1fd329a8eee896d29b78f57387473e86403ac71c422fedc62140ebf', '_type': 'table-file', 'path': 'media/table/fold4/confusion_matrix_20_8a5e2a32b1fd329a8eee.table.json', 'nrows': 4, 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,,,,,,,,,1770721993.4013753,,,,
,,,,,,,,0.9930038366057323,,,,,,,,,,0.974745237040319,,,,,,,21,,,,483.730796311,0.9837898267188373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721993.4033968,,,,
,,,,,,,,,,0.9670682730923694,,,,,,0.9535374868004224,,,,,,,,,22,,,,483.73138277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9809885931558935,,,,,,1770721993.4039865,,,,
,,,,,,,,,,,,,,0.9791162892943505,,,,,,,,,,,23,,,0.9849624060150376,483.731669248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9820306471171867,,1770721993.4044833,,,,
,,,,,,,,,,,0.9988031119090365,,,,,,,,,,0.9523537803138373,,,,24,,,,483.731967569,,,,,,,,,,,,,,,,0.9100327153762269,,,,,,,,,,,,,,,,,,,1770721993.4047751,,,,
,,,,,,"{'path': 'media/table/cv5/fold_metrics_25_5561567036eb1cb2f1d7.table.json', 'sha256': '5561567036eb1cb2f1d70ce3fc3b88762c7da18fb6025c70b93540604000e9a7', 'size': 776, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://1h8iym34670x4ml3clfg2r35ljemcpixxqna1v5ef1qgxa5nif90sbyxxa4vxw8t8cxzmg3drp373lz6fo2jic0ohgcixlbg1oxlda5sa3vsoxfadfrjkj4g4wyx3v6m/cv5/fold_metrics.table.json', '_type': 'table-file', 'ncols': 9, '_latest_artifact_path': 'wandb-client-artifact://yv1nqj6xz1mr2rfkgrzm2bnjoybqesjpm2bhm6f94r4qldced167ogucwhlifox0uvnb27wvokyviau4m9kbntbvruv40d8dlkcmk96yvir9e30laz81dyja7x901xwu:latest/cv5/fold_metrics.table.json', 'nrows': 5}",,,,,,,,,,,,,,,,,,,25,,,,484.014590356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721993.6872127,,,,
